sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
APH,2026-06-08,3.772,gap_2plus,PMH,early,09:32,0.6,SL,-0.5,-0.761,-1.156,-1.232,-0.682,0,,
APH,2026-06-15,1.748,gap_1_2,PDH,early,09:48,0.75,TP,1.0,0.391,0.436,1.068,1.296,0,,
AVGO,2025-12-19,1.004,gap_1_2,PMH,early,09:31,0.94,TP,1.0,1.22,0.441,-0.223,-0.213,1,SL,-0.5
AVGO,2026-01-02,1.979,gap_1_2,PDH,mid,11:13,0.66,SL,-0.5,-0.094,-0.519,-1.016,-0.635,1,SL,-0.5
AVGO,2026-01-09,1.662,gap_1_2,PMH,mid,10:02,0.67,SL,-0.5,1.234,1.837,1.643,1.902,0,,
AVGO,2026-01-27,1.545,gap_1_2,PDH,early,09:31,1.06,SL,-0.5,0.457,0.021,1.003,1.203,0,,
AVGO,2026-01-28,1.818,gap_1_2,PDH,early,09:55,1.0,SL,-0.5,-1.243,-1.526,-2.197,-1.183,0,,
AVGO,2026-02-03,1.697,gap_1_2,BOTH,early,09:35,1.57,SL,-0.5,-4.738,-6.443,-6.551,-8.326,0,,
AVGO,2026-02-05,2.118,gap_2plus,PDH,early,09:38,1.76,TP,1.0,-1.964,-1.061,0.028,0.031,1,SL,-0.5
AVGO,2026-02-06,3.122,gap_2plus,PMH,early,09:38,1.31,TP,1.0,-0.162,-0.188,1.88,2.972,1,TP,1.0
AVGO,2026-02-25,1.662,gap_1_2,PMH,early,09:39,0.77,SL,-0.5,0.457,0.036,-0.463,-0.041,1,TP,1.0
AVGO,2026-03-16,1.276,gap_1_2,PMH,mid,11:08,1.05,SL,-0.5,0.522,0.185,0.479,0.415,1,SL,-0.5
AVGO,2026-03-23,2.381,gap_2plus,PMH,early,09:32,0.97,TP,1.0,1.059,1.554,0.861,-0.1,1,TP,1.0
AVGO,2026-03-25,1.347,gap_1_2,PMH,mid,10:22,0.7,SL,-0.5,-0.957,-1.322,-1.589,-1.308,0,,
AVGO,2026-03-31,2.161,gap_2plus,PMH,early,09:53,0.92,TP,1.0,0.885,0.123,0.278,2.18,1,SL,-0.5
AVGO,2026-04-07,3.958,gap_2plus,PMH,early,09:38,1.33,SL,-0.5,-1.35,-1.429,-0.514,1.04,0,,
AVGO,2026-04-08,5.473,gap_2plus,PMH,early,09:34,1.44,SL,-0.5,-2.173,-1.876,-1.052,-1.273,0,,
AVGO,2026-04-15,2.363,gap_2plus,PMH,early,09:48,1.24,SL,-0.5,0.302,0.5,-0.396,-1.035,1,SL,-0.5
AVGO,2026-04-22,1.176,gap_1_2,PMH,mid,10:20,1.12,TP,1.0,0.77,1.005,1.953,1.997,1,TP,1.0
AVGO,2026-04-30,2.48,gap_2plus,PMH,early,09:32,0.86,SL,-0.5,-0.669,-2.056,-0.938,-0.693,0,,
AVGO,2026-05-05,1.186,gap_1_2,PMH,early,09:41,0.87,SL,-0.5,-0.144,-0.109,1.285,1.687,1,SL,-0.5
AVGO,2026-05-08,1.752,gap_1_2,PMH,early,09:38,1.09,SL,-0.5,-0.028,-0.219,0.502,1.883,1,SL,-0.5
AVGO,2026-05-29,1.449,gap_1_2,PMH,early,09:31,1.63,TP,1.0,1.649,0.127,0.242,0.379,0,,
AVGO,2026-06-03,2.748,gap_2plus,PDH,mid,11:19,1.88,SL,-0.5,-0.753,-0.783,-1.071,-0.515,0,,
AVGO,2026-06-09,1.263,gap_1_2,PDH,early,09:43,1.44,SL,-0.5,-2.405,-3.44,-5.216,-7.705,1,SL,-0.5
AXP,2025-12-18,1.19,gap_1_2,PMH,early,09:45,1.1,SL,-0.5,-0.161,0.069,-0.145,-0.723,1,SL,-0.5
AXP,2026-01-16,1.055,gap_1_2,PDH,early,09:31,1.45,TP,1.0,-0.146,0.505,0.809,1.089,1,SL,-0.5
AXP,2026-02-06,1.095,gap_1_2,PDH,early,09:33,0.88,SL,-0.5,-0.223,0.265,0.444,0.722,0,,
AXP,2026-02-11,1.214,gap_1_2,PMH,early,09:33,1.09,SL,-0.5,-2.16,-2.597,-2.676,-3.103,0,,
AXP,2026-03-17,1.915,gap_1_2,PMH,mid,10:04,0.65,SL,-0.5,-0.313,-0.603,-0.86,-0.413,1,SL,-0.5
AXP,2026-03-31,1.835,gap_1_2,PDH,early,09:49,0.88,SL,-0.5,-0.691,-1.099,-0.678,0.07,1,SL,-0.5
AXP,2026-04-01,1.378,gap_1_2,PMH,early,09:32,0.85,SL,-0.5,-1.492,-1.746,-0.803,-0.864,0,,
AXP,2026-04-17,1.317,gap_1_2,PMH,early,09:31,1.57,TP,1.0,0.872,1.518,1.789,1.86,1,TP,1.0
AXP,2026-05-06,1.033,gap_1_2,PDH,mid,11:33,0.85,EOD,0.4008,0.242,0.07,-0.023,0.217,1,EOD,0.3898
