sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
FCX,2026-05-07,1.216,gap_1_2,PDH,early,09:52,1.15,TP,1.0,1.402,1.435,0.742,-0.897,1,TP,1.0
FCX,2026-05-08,1.93,gap_1_2,PMH,early,09:35,0.77,SL,-0.5,-0.981,-1.85,-1.922,-1.07,0,,
FCX,2026-05-13,1.204,gap_1_2,PDH,early,09:34,1.14,SL,-0.5,1.205,2.463,2.75,3.277,0,,
FCX,2026-05-26,1.71,gap_1_2,PMH,early,09:35,0.72,TP,1.0,1.22,0.563,-0.094,0.235,1,TP,1.0
FCX,2026-06-02,1.253,gap_1_2,PMH,early,09:33,1.48,TP,1.0,1.95,2.812,4.009,4.009,0,,
FCX,2026-06-08,1.925,gap_1_2,PMH,early,09:33,0.93,SL,-0.5,-0.676,-0.246,-0.876,-0.822,0,,
FCX,2026-06-09,2.003,gap_2plus,PDH,early,09:33,1.24,SL,-0.5,0.73,0.091,-2.853,-3.731,0,,
FCX,2026-06-11,1.53,gap_1_2,PMH,early,09:46,1.13,TP,1.0,-0.083,0.301,1.258,0.348,1,TP,1.0
FCX,2026-06-12,1.342,gap_1_2,PMH,early,09:35,0.89,SL,-0.5,-0.483,-0.483,0.307,0.337,0,,
FCX,2026-06-15,4.087,gap_2plus,PMH,early,09:47,1.21,SL,-0.5,-1.202,-2.866,-2.866,-2.684,1,SL,-0.5
GE,2025-12-18,1.325,gap_1_2,PMH,early,09:34,0.84,TP,1.0,0.181,0.835,1.12,0.473,1,SL,-0.5
GE,2026-02-11,1.004,gap_1_2,PDH,early,09:31,0.81,SL,-0.5,0.105,-1.577,-1.043,-1.615,1,SL,-0.5
GE,2026-02-12,1.272,gap_1_2,PDH,early,09:32,0.9,SL,-0.5,-0.31,-0.437,-1.602,-2.253,1,SL,-0.5
GE,2026-02-18,1.012,gap_1_2,PDH,early,09:31,0.55,SL,-0.5,-0.681,-0.559,-0.45,-0.704,1,SL,-0.5
GE,2026-02-20,1.246,gap_1_2,PMH,early,09:38,0.79,SL,-0.5,-0.264,0.397,0.357,-0.217,1,SL,-0.5
GE,2026-03-16,1.348,gap_1_2,PMH,early,09:45,1.39,SL,-0.5,-0.03,-0.851,0.026,-0.323,1,SL,-0.5
GE,2026-03-23,3.661,gap_2plus,PDH,early,09:41,1.35,SL,-0.5,0.911,1.07,1.627,0.528,1,TP,1.0
GE,2026-03-25,1.531,gap_1_2,PMH,early,09:35,0.9,SL,-0.5,-0.186,-0.308,-0.014,-0.335,1,SL,-0.5
GE,2026-03-31,1.716,gap_1_2,PMH,early,09:54,1.17,TP,1.0,0.622,0.411,0.45,1.636,1,TP,1.0
GE,2026-04-08,7.387,gap_2plus,PMH,early,09:34,1.18,SL,-0.5,-1.16,-1.667,-0.755,-0.837,0,,
GE,2026-04-14,1.013,gap_1_2,PMH,early,09:34,0.59,TP,1.0,0.374,1.005,1.252,1.088,1,TP,1.0
GE,2026-04-17,3.99,gap_2plus,PMH,mid,10:41,1.38,SL,-0.5,-0.594,-0.833,-0.619,-1.929,1,SL,-0.5
GE,2026-05-06,4.796,gap_2plus,PMH,early,09:35,1.38,SL,-0.5,-1.186,-0.623,-0.234,-0.712,0,,
GE,2026-05-20,1.293,gap_1_2,PDH,early,09:33,0.93,TP,1.0,1.643,3.083,3.69,3.523,1,TP,1.0
GE,2026-06-15,2.431,gap_2plus,PMH,early,09:31,0.96,TP,1.0,0.695,0.55,0.766,0.523,1,TP,1.0
GOOGL,2025-12-18,1.682,gap_1_2,PMH,mid,10:42,0.86,EOD,-0.0628,-0.058,0.045,0.225,0.321,1,EOD,-0.0529
GOOGL,2026-01-02,1.246,gap_1_2,PMH,mid,10:09,1.43,SL,-0.5,-0.685,-1.946,-1.834,-1.36,0,,
GOOGL,2026-01-08,2.154,gap_2plus,PDH,early,09:35,1.24,SL,-0.5,-1.014,-0.542,-0.502,0.098,0,,
GOOGL,2026-01-22,1.681,gap_1_2,PDH,early,09:31,0.93,SL,-0.5,-0.253,-0.464,-0.241,-0.328,1,SL,-0.5
GOOGL,2026-02-03,1.03,gap_1_2,PDH,early,09:38,1.09,SL,-0.5,-0.655,-0.467,-0.536,-1.334,0,,
GOOGL,2026-02-23,1.274,gap_1_2,PDH,early,09:48,0.76,SL,-0.5,-0.197,-0.67,-1.135,-1.267,1,SL,-0.5
GOOGL,2026-03-31,1.759,gap_1_2,PMH,early,09:33,1.28,TP,1.0,0.612,1.469,1.027,1.284,1,SL,-0.5
GOOGL,2026-04-14,1.102,gap_1_2,PMH,early,09:44,0.98,TP,1.0,0.441,0.473,1.97,1.967,1,TP,1.0
GOOGL,2026-05-06,1.552,gap_1_2,PMH,mid,10:59,1.12,SL,-0.5,-0.496,-0.125,0.035,-0.181,0,,
GOOGL,2026-06-09,1.038,gap_1_2,PDH,mid,10:19,1.02,SL,-0.5,-0.767,-0.931,-2.078,-1.078,1,SL,-0.5
GOOGL,2026-06-12,1.404,gap_1_2,PDH,early,09:58,0.81,TP,1.0,0.709,0.843,0.501,0.633,1,TP,1.0
GOOGL,2026-06-15,2.305,gap_2plus,PMH,early,09:32,0.81,SL,-0.5,-0.089,-0.662,0.077,-0.239,0,,
GS,2026-02-25,1.381,gap_1_2,PMH,early,09:37,0.72,SL,-0.5,-0.093,0.202,0.208,0.575,0,,
GS,2026-03-16,1.245,gap_1_2,PDH,early,09:56,0.8,SL,-0.5,0.54,0.165,0.202,-0.463,1,SL,-0.5
GS,2026-03-17,1.466,gap_1_2,PMH,mid,11:07,0.65,EOD,0.1163,-0.322,-0.173,0.135,0.065,1,EOD,0.1352
GS,2026-03-23,2.354,gap_2plus,PMH,mid,11:03,0.8,SL,-0.5,-0.423,-1.588,-1.506,-0.956,1,SL,-0.5
GS,2026-03-25,1.081,gap_1_2,PMH,early,09:32,0.51,SL,-0.5,-0.563,-0.454,-0.81,-1.05,1,SL,-0.5
GS,2026-03-30,1.025,gap_1_2,PMH,mid,11:00,0.67,SL,-0.5,-0.17,-0.175,-0.414,-0.501,1,SL,-0.5
GS,2026-03-31,1.964,gap_1_2,PDH,early,09:46,1.13,TP,1.0,0.389,-0.25,0.377,2.004,1,SL,-0.5
GS,2026-04-01,1.647,gap_1_2,PMH,early,09:58,0.88,SL,-0.5,-0.721,0.486,0.619,0.068,1,SL,-0.5
GS,2026-04-08,4.697,gap_2plus,PMH,mid,10:24,1.26,SL,-0.5,-0.922,-0.994,-0.606,-0.704,0,,
GS,2026-04-17,1.724,gap_1_2,PMH,early,09:41,1.26,SL,-0.5,0.231,0.84,0.776,0.958,1,TP,1.0
GS,2026-04-22,1.346,gap_1_2,PMH,early,09:32,0.68,SL,-0.5,0.002,-0.391,-0.097,-0.627,1,SL,-0.5
GS,2026-05-06,1.859,gap_1_2,PMH,early,09:38,0.96,SL,-0.5,-0.838,-1.014,-0.336,-0.634,0,,
GS,2026-05-08,1.107,gap_1_2,PMH,early,09:40,0.81,SL,-0.5,0.001,0.307,-0.022,-0.173,1,SL,-0.5
GS,2026-05-14,1.374,gap_1_2,PMH,early,09:38,1.11,SL,-0.5,-0.606,-0.581,-0.015,0.356,1,SL,-0.5
GS,2026-05-20,1.719,gap_1_2,PMH,early,09:37,1.86,TP,1.0,-0.037,1.513,1.85,2.493,1,TP,1.0
GS,2026-06-08,1.298,gap_1_2,PMH,early,09:41,0.95,SL,-0.5,0.122,-0.206,0.286,0.196,1,SL,-0.5
GS,2026-06-11,1.268,gap_1_2,PMH,early,09:50,1.02,SL,-0.5,-1.098,-0.85,-0.534,-0.558,1,SL,-0.5
GS,2026-06-12,1.69,gap_1_2,PMH,early,09:31,1.03,SL,-0.5,0.242,0.517,1.533,0.074,1,SL,-0.5
HON,2026-01-14,1.326,gap_1_2,PDH,mid,10:09,1.33,TP,1.0,0.052,0.066,0.941,0.076,1,TP,1.0
HON,2026-01-16,1.93,gap_1_2,PMH,mid,10:07,1.76,EOD,-0.0228,-0.26,0.231,0.2,0.073,1,SL,-0.5
HON,2026-02-04,1.113,gap_1_2,PMH,early,09:34,1.28,EOD,0.5811,0.235,0.417,0.737,0.709,1,TP,1.0
HON,2026-03-25,1.115,gap_1_2,BOTH,early,09:31,1.13,SL,-0.5,0.004,-0.069,0.545,0.929,1,SL,-0.5
HON,2026-04-08,2.535,gap_2plus,PMH,early,09:31,1.08,SL,-0.5,0.504,-0.458,0.148,0.043,0,,
HON,2026-05-06,1.942,gap_1_2,PMH,early,09:36,1.01,TP,1.0,0.428,0.675,1.439,1.549,1,TP,1.0
HON,2026-05-26,2.514,gap_2plus,PMH,mid,10:09,1.66,SL,-0.5,0.243,-0.657,-1.178,-0.685,1,SL,-0.5
HON,2026-06-11,1.059,gap_1_2,PMH,mid,11:13,1.47,SL,-0.5,-0.516,0.241,0.331,1.75,1,SL,-0.5
HON,2026-06-15,3.06,gap_2plus,PMH,early,09:58,1.69,SL,-0.5,0.379,0.626,0.733,0.532,1,SL,-0.5
IBM,2026-01-05,1.507,gap_1_2,PMH,early,09:31,1.4,SL,-0.5,-0.024,0.263,0.313,-0.555,1,SL,-0.5
IBM,2026-01-16,1.017,gap_1_2,PMH,early,09:34,1.91,SL,-0.5,-0.618,-0.638,-0.161,0.26,1,SL,-0.5
IBM,2026-02-24,1.983,gap_1_2,PMH,early,09:38,2.02,TP,1.0,1.051,1.682,0.013,-0.419,1,TP,1.0
IBM,2026-02-25,1.683,gap_1_2,PMH,early,09:51,1.18,TP,1.0,0.75,0.901,1.372,1.753,1,TP,1.0
IBM,2026-03-31,1.247,gap_1_2,PDH,early,09:48,0.73,SL,-0.5,-0.397,-0.743,-0.662,-0.04,1,SL,-0.5
IBM,2026-04-08,1.44,gap_1_2,PDH,early,09:44,1.26,SL,-0.5,-0.256,-0.207,-1.3,-1.884,1,SL,-0.5
IBM,2026-04-13,1.235,gap_1_2,PMH,early,09:49,1.23,SL,-0.5,-0.109,-0.522,-0.22,0.656,1,SL,-0.5
IBM,2026-04-16,1.609,gap_1_2,PMH,mid,11:22,1.21,EOD,0.9086,0.346,0.909,0.724,0.691,1,TP,1.0
IBM,2026-04-17,1.462,gap_1_2,PDH,mid,11:49,1.31,EOD,0.8314,0.473,0.844,0.374,0.171,1,EOD,0.5673
IBM,2026-04-28,1.092,gap_1_2,PMH,early,09:46,0.9,TP,1.0,0.653,0.572,0.456,0.77,1,TP,1.0
IBM,2026-05-01,1.55,gap_1_2,PMH,early,09:35,0.58,SL,-0.5,-1.118,-0.975,-1.419,-1.232,0,,
IBM,2026-05-28,2.225,gap_2plus,PDH,early,09:33,1.73,TP,1.0,1.807,3.05,2.709,1.718,0,,
IBM,2026-05-29,4.954,gap_2plus,PMH,early,09:55,3.54,TP,1.0,1.947,2.517,2.974,2.16,1,TP,1.0
INTU,2026-03-19,1.647,gap_1_2,PMH,early,09:33,0.56,TP,1.0,1.043,0.284,-0.226,-0.235,1,TP,1.0
INTU,2026-04-14,1.129,gap_1_2,PMH,early,09:32,0.75,TP,1.0,-1.121,-0.051,-1.046,-0.9,1,SL,-0.5
INTU,2026-04-15,2.233,gap_2plus,PMH,early,09:33,0.97,TP,1.0,0.885,1.02,1.775,2.274,0,,
INTU,2026-04-16,2.8,gap_2plus,PMH,early,09:32,0.79,SL,-0.5,-2.768,-2.863,-3.646,-3.325,0,,
INTU,2026-04-28,1.918,gap_1_2,PDH,early,09:31,0.63,SL,-0.5,-0.449,-0.064,-0.794,-0.628,1,SL,-0.5
INTU,2026-05-01,3.558,gap_2plus,PDH,mid,10:29,0.6,TP,1.0,0.516,1.308,2.335,2.218,1,TP,1.0
INTU,2026-05-07,1.856,gap_1_2,PMH,early,09:35,0.69,TP,1.0,1.415,1.947,2.95,2.943,1,TP,1.0
INTU,2026-05-15,1.784,gap_1_2,PMH,early,09:45,1.11,SL,-0.5,0.791,0.484,0.786,0.816,1,SL,-0.5
INTU,2026-05-19,3.921,gap_2plus,PMH,early,09:45,1.32,TP,1.0,-0.346,-1.661,-3.159,-4.2,1,SL,-0.5
INTU,2026-05-29,1.302,gap_1_2,PMH,early,09:43,1.42,SL,-0.5,0.203,2.577,3.228,3.656,0,,
INTU,2026-06-01,2.166,gap_2plus,PMH,early,09:37,1.31,TP,1.0,1.774,0.714,4.088,4.878,1,TP,1.0
JNJ,2026-03-30,1.302,gap_1_2,PDH,mid,10:46,0.83,SL,-0.5,-0.227,-0.323,-0.232,0.146,1,EOD,-0.0927
JNJ,2026-04-28,1.074,gap_1_2,PDH,early,09:36,0.98,TP,1.0,0.346,0.855,0.905,0.138,1,TP,1.0
JNJ,2026-06-04,1.57,gap_1_2,PMH,mid,10:15,1.05,SL,-0.5,0.023,-0.452,0.03,0.153,1,SL,-0.5
JPM,2026-02-11,1.587,gap_1_2,PMH,early,09:45,0.71,SL,-0.5,-1.321,-2.209,-2.059,-2.827,0,,
JPM,2026-03-16,1.023,gap_1_2,PMH,early,09:39,0.72,SL,-0.5,0.745,-0.218,0.33,-0.292,1,SL,-0.5
JPM,2026-03-17,1.007,gap_1_2,PDH,mid,10:04,0.71,SL,-0.5,-0.323,-0.479,-0.886,-0.793,1,SL,-0.5
JPM,2026-03-31,1.628,gap_1_2,PDH,early,09:41,1.07,TP,1.0,0.915,0.581,0.689,2.07,1,TP,1.0
JPM,2026-04-28,1.133,gap_1_2,PDH,mid,10:06,0.7,EOD,-0.3663,0.09,0.27,0.117,-0.059,1,EOD,-0.3711
JPM,2026-06-04,1.622,gap_1_2,PMH,early,09:31,1.36,TP,1.0,0.685,0.605,1.499,1.705,1,TP,1.0
JPM,2026-06-05,1.094,gap_1_2,PDH,mid,10:04,1.11,SL,-0.5,-0.23,0.115,-0.591,-0.482,1,SL,-0.5
KO,2026-04-23,1.085,gap_1_2,BOTH,early,09:31,1.01,TP,1.0,0.474,0.672,0.685,0.777,1,TP,1.0
KO,2026-04-28,5.408,gap_2plus,PMH,early,09:31,2.68,SL,-0.5,-0.327,0.308,0.691,0.798,1,SL,-0.5
KO,2026-05-15,1.093,gap_1_2,PDH,early,09:32,1.37,SL,-0.5,-0.018,-0.043,-0.486,-0.487,1,SL,-0.5
KO,2026-06-10,1.66,gap_1_2,PMH,early,09:33,1.6,SL,-0.5,0.37,0.235,0.954,0.936,1,SL,-0.5
LRCX,2025-12-18,5.284,gap_2plus,PDH,early,09:31,1.32,TP,1.0,2.09,-0.036,0.122,-0.778,1,TP,1.0
LRCX,2025-12-22,2.009,gap_2plus,PDH,early,09:48,0.96,SL,-0.5,-0.198,0.014,0.687,0.707,1,TP,1.0
LRCX,2026-01-09,1.821,gap_1_2,PMH,early,09:36,1.82,TP,1.0,1.11,2.429,3.695,3.598,1,SL,-0.5
LRCX,2026-01-16,1.904,gap_1_2,PMH,early,09:31,0.96,SL,-0.5,-1.696,-2.411,-0.041,-0.409,1,SL,-0.5
LRCX,2026-01-27,3.477,gap_2plus,PMH,early,09:33,0.99,TP,1.0,1.823,2.419,3.241,3.504,1,TP,1.0
LRCX,2026-01-28,1.132,gap_1_2,PDH,early,09:39,1.22,SL,-0.5,-0.591,-0.456,-0.466,-0.429,1,SL,-0.5
LRCX,2026-01-29,2.194,gap_2plus,PDH,mid,10:03,1.39,SL,-0.5,-0.792,-2.862,-0.612,-0.616,1,SL,-0.5
LRCX,2026-02-06,3.285,gap_2plus,PMH,early,09:35,1.03,TP,1.0,1.168,2.653,3.121,2.491,1,SL,-0.5
LRCX,2026-02-11,4.185,gap_2plus,PMH,early,09:34,0.74,SL,-0.5,-0.338,-2.675,-1.386,-0.293,1,TP,1.0
LRCX,2026-02-13,2.11,gap_2plus,BOTH,early,09:32,0.79,SL,-0.5,-0.567,-0.215,-1.254,-1.254,0,,
LRCX,2026-02-25,2.347,gap_2plus,PMH,mid,11:00,0.7,SL,-0.5,-0.383,-0.682,-0.058,-0.142,1,SL,-0.5
LRCX,2026-03-04,2.018,gap_2plus,PMH,early,09:34,0.79,SL,-0.5,-1.195,0.15,-0.107,0.184,0,,
LRCX,2026-03-13,1.083,gap_1_2,PDH,early,09:34,0.94,SL,-0.5,0.962,0.639,-0.209,-0.857,1,TP,1.0
LRCX,2026-03-16,3.016,gap_2plus,PMH,early,09:32,1.07,SL,-0.5,-0.291,-0.231,-0.713,-1.303,1,SL,-0.5
LRCX,2026-03-23,1.046,gap_1_2,PDH,early,09:52,0.95,SL,-0.5,0.412,0.656,-1.117,-1.389,0,,
LRCX,2026-03-31,3.008,gap_2plus,PMH,early,09:34,1.0,SL,-0.5,1.183,0.244,-0.771,-0.741,0,,
LRCX,2026-04-01,1.213,gap_1_2,PMH,early,09:48,1.01,TP,1.0,0.36,0.455,1.425,1.117,1,SL,-0.5
LRCX,2026-04-08,8.245,gap_2plus,PMH,mid,10:59,1.17,TP,1.0,0.497,1.231,1.156,1.035,1,TP,1.0
LRCX,2026-04-10,1.616,gap_1_2,PMH,mid,11:13,0.98,SL,-0.5,-0.743,-0.676,-1.055,0.357,1,SL,-0.5
LRCX,2026-04-14,1.497,gap_1_2,PDH,early,09:51,0.85,TP,1.0,1.198,1.441,1.615,1.314,1,TP,1.0
LRCX,2026-04-17,2.659,gap_2plus,PDH,early,09:34,0.83,SL,-0.5,-0.383,0.261,0.233,0.454,1,SL,-0.5
LRCX,2026-04-24,3.37,gap_2plus,PDH,mid,10:09,1.37,SL,-0.5,-1.319,-0.594,-0.517,0.18,0,,
LRCX,2026-04-30,1.254,gap_1_2,PMH,early,09:53,0.98,SL,-0.5,-0.637,0.291,1.254,1.211,1,SL,-0.5
LRCX,2026-05-06,4.076,gap_2plus,PMH,early,09:31,1.53,TP,1.0,1.276,0.719,2.443,1.535,1,TP,1.0
LRCX,2026-05-13,2.018,gap_2plus,PDH,early,09:49,0.68,SL,-0.5,-0.543,0.001,1.082,1.486,1,SL,-0.5
LRCX,2026-05-20,2.294,gap_2plus,PMH,early,09:33,0.85,SL,-0.5,0.246,2.485,3.45,3.022,0,,
LRCX,2026-05-26,2.852,gap_2plus,PMH,mid,10:14,1.05,TP,1.0,0.687,0.381,-0.586,1.1,1,SL,-0.5
LRCX,2026-05-29,1.242,gap_1_2,PMH,early,09:46,0.86,SL,-0.5,-0.033,-1.392,-1.198,-1.207,1,SL,-0.5
LRCX,2026-06-02,2.37,gap_2plus,PMH,early,09:34,0.89,TP,1.0,1.6,2.071,2.735,1.481,1,TP,1.0
LRCX,2026-06-08,5.058,gap_2plus,PMH,early,09:32,1.19,SL,-0.5,-1.436,-0.634,1.731,2.103,1,SL,-0.5
LRCX,2026-06-09,3.479,gap_2plus,PDH,mid,10:50,1.89,SL,-0.5,0.078,-2.194,-6.782,-4.011,1,SL,-0.5
LRCX,2026-06-11,4.476,gap_2plus,PMH,early,09:53,1.65,TP,1.0,1.235,-0.275,0.794,0.554,1,TP,1.0
LRCX,2026-06-15,5.136,gap_2plus,PMH,early,09:31,1.19,SL,-0.5,-1.049,-0.918,-0.033,0.028,1,SL,-0.5
MDT,2026-03-23,1.206,gap_1_2,PDH,mid,10:55,0.85,SL,-0.5,0.264,-0.103,-0.705,-0.355,1,SL,-0.5
MDT,2026-04-08,1.672,gap_1_2,PDH,early,09:41,1.74,TP,1.0,0.637,0.689,1.017,0.999,1,TP,1.0
META,2025-12-18,1.169,gap_1_2,PMH,early,09:45,1.27,TP,1.0,0.237,1.327,1.113,0.868,1,TP,1.0
META,2026-01-22,2.659,gap_2plus,PMH,early,09:33,1.96,SL,-0.5,-0.291,0.531,0.768,1.821,1,SL,-0.5
META,2026-03-16,3.085,gap_2plus,PDH,early,09:33,1.36,SL,-0.5,-0.151,-0.082,-0.302,-1.078,1,SL,-0.5
META,2026-03-23,1.961,gap_1_2,PDH,early,09:53,1.09,SL,-0.5,0.282,0.086,0.413,-0.23,1,SL,-0.5
META,2026-03-30,2.03,gap_2plus,PMH,early,09:31,1.63,SL,-0.5,-1.059,-0.676,-0.451,0.027,0,,
META,2026-04-01,1.402,gap_1_2,PMH,early,09:34,1.55,SL,-0.5,-0.825,-0.566,0.164,0.917,1,SL,-0.5
META,2026-04-09,2.331,gap_2plus,BOTH,early,09:44,1.12,SL,-0.5,-0.916,-0.646,0.096,0.333,1,SL,-0.5
META,2026-04-14,1.371,gap_1_2,PMH,early,09:35,0.98,TP,1.0,0.835,1.581,2.934,3.043,1,TP,1.0
META,2026-06-09,1.148,gap_1_2,PDH,early,09:35,0.87,SL,-0.5,0.459,0.443,-0.75,-1.029,1,SL,-0.5
MSFT,2026-02-10,1.447,gap_1_2,PMH,early,09:58,0.91,SL,-0.5,0.084,0.2,-0.085,-0.567,1,SL,-0.5
MSFT,2026-02-26,1.054,gap_1_2,PDH,early,09:39,0.71,TP,1.0,0.663,-0.348,-0.578,-0.572,1,SL,-0.5
MSFT,2026-03-30,1.471,gap_1_2,PDH,mid,10:24,1.44,SL,-0.5,0.717,0.152,0.058,-0.833,1,SL,-0.5
MSFT,2026-04-15,1.244,gap_1_2,PMH,early,09:33,1.52,TP,1.0,1.013,1.731,1.92,2.19,1,TP,1.0
MSFT,2026-04-16,2.098,gap_2plus,PDH,mid,10:06,1.28,TP,1.0,0.23,-0.087,1.426,1.042,1,TP,1.0
MSFT,2026-04-17,1.137,gap_1_2,PMH,mid,10:41,1.47,SL,-0.5,0.653,0.316,0.213,-0.757,1,SL,-0.5
MSFT,2026-05-01,1.224,gap_1_2,PDH,early,09:34,0.99,SL,-0.5,-0.727,-0.175,0.063,-0.183,1,SL,-0.5
MSFT,2026-05-15,1.155,gap_1_2,PMH,early,09:34,1.54,TP,1.0,0.456,1.315,1.717,2.543,1,SL,-0.5
MSFT,2026-05-19,1.47,gap_1_2,PDH,early,09:36,0.94,TP,1.0,0.35,-0.15,-1.087,-1.993,1,TP,1.0
NEE,2026-01-29,1.142,gap_1_2,PDH,early,09:35,1.15,SL,-0.5,-0.763,-0.707,-1.605,-1.066,1,SL,-0.5
NEE,2026-02-04,1.042,gap_1_2,PMH,mid,11:44,1.39,TP,1.0,0.508,0.106,0.687,1.229,1,TP,1.0
NEE,2026-02-06,1.48,gap_1_2,BOTH,early,09:31,0.84,SL,-0.5,-0.11,-1.322,-2.544,-2.037,0,,
NEE,2026-03-13,1.123,gap_1_2,PDH,mid,11:05,0.78,EOD,0.0377,-0.248,-0.296,-0.065,-0.054,1,SL,-0.5
NEE,2026-03-23,1.641,gap_1_2,PMH,early,09:52,0.87,SL,-0.5,-0.756,-0.839,-0.685,-0.449,1,SL,-0.5
NEE,2026-03-30,1.467,gap_1_2,PMH,early,09:31,0.8,SL,-0.5,-0.314,0.124,0.027,-0.043,1,SL,-0.5
NEE,2026-04-28,1.065,gap_1_2,PMH,mid,10:56,0.86,EOD,0.5103,0.406,0.489,0.302,0.276,1,EOD,0.4789
NFLX,2025-12-17,1.539,gap_1_2,PMH,early,09:33,1.49,SL,-0.5,-0.01,-0.17,-1.499,-1.149,1,SL,-0.5
NFLX,2026-01-07,1.049,gap_1_2,PMH,early,09:31,1.13,SL,-0.5,-1.149,-1.753,-1.6,-0.928,1,SL,-0.5
NFLX,2026-01-20,1.051,gap_1_2,PMH,early,09:38,2.61,SL,-0.5,-1.288,-1.22,-1.165,-1.694,1,SL,-0.5
NFLX,2026-02-05,1.465,gap_1_2,PMH,early,09:33,1.09,TP,1.0,-0.376,-1.48,-1.182,-0.934,1,SL,-0.5
NFLX,2026-03-27,1.317,gap_1_2,PMH,early,09:32,0.91,SL,-0.5,-2.252,-1.659,-1.606,-2.0,0,,
NFLX,2026-04-06,2.34,gap_2plus,PDH,mid,10:40,1.03,SL,-0.5,-0.081,-0.243,-0.111,0.182,1,SL,-0.5
NOC,2026-01-08,7.079,gap_2plus,PMH,early,09:42,6.44,SL,-0.5,-0.879,-4.949,-5.332,-5.752,1,TP,1.0
NOC,2026-01-13,1.56,gap_1_2,PDH,mid,10:04,1.31,SL,-0.5,0.157,-0.06,-0.834,-1.598,1,SL,-0.5
NOC,2026-02-03,1.312,gap_1_2,BOTH,early,09:38,0.73,TP,1.0,0.381,0.481,0.397,1.374,1,TP,1.0
NOC,2026-02-18,1.235,gap_1_2,BOTH,early,09:32,1.33,SL,-0.5,-0.578,-0.011,0.366,0.655,1,SL,-0.5
NOC,2026-02-27,1.22,gap_1_2,PMH,early,09:33,0.63,SL,-0.5,-0.351,-1.089,-0.117,-0.209,1,SL,-0.5
NOC,2026-03-30,1.516,gap_1_2,PMH,early,09:48,0.95,SL,-0.5,-0.543,-0.161,-0.892,-1.428,0,,
NOC,2026-03-31,1.24,gap_1_2,PMH,early,09:33,0.62,SL,-0.5,-0.013,0.024,-0.152,0.027,1,SL,-0.5
NOC,2026-04-01,1.075,gap_1_2,PMH,early,09:47,0.8,TP,1.0,-0.166,-0.043,1.178,0.722,1,TP,1.0
NOC,2026-06-04,1.186,gap_1_2,PMH,early,09:39,1.35,TP,1.0,0.409,0.292,-0.047,0.562,1,SL,-0.5
NVDA,2025-12-18,2.13,gap_2plus,PMH,mid,10:26,0.97,SL,-0.5,0.57,0.315,-0.372,0.269,1,SL,-0.5
NVDA,2025-12-19,1.526,gap_1_2,PMH,early,09:32,1.37,TP,1.0,1.207,0.768,1.067,1.538,1,TP,1.0
NVDA,2025-12-31,1.077,gap_1_2,PMH,early,09:31,0.75,SL,-0.5,-0.922,-0.799,-0.846,-0.746,0,,
NVDA,2026-01-02,1.794,gap_1_2,BOTH,early,09:31,1.04,TP,1.0,0.681,-0.192,-0.597,-0.549,1,TP,1.0
NVDA,2026-01-05,1.568,gap_1_2,PDH,early,09:31,1.23,SL,-0.5,-1.557,-1.684,-1.57,-3.158,1,SL,-0.5
NVDA,2026-01-06,1.276,gap_1_2,PMH,early,09:47,1.2,SL,-0.5,0.298,-0.719,-1.058,-1.07,1,SL,-0.5
NVDA,2026-01-15,1.801,gap_1_2,PMH,early,09:39,1.34,TP,1.0,0.55,0.326,0.238,0.544,1,SL,-0.5
NVDA,2026-01-16,1.021,gap_1_2,BOTH,early,09:35,1.1,SL,-0.5,-0.4,-0.964,-1.064,-0.906,1,SL,-0.5
NVDA,2026-01-23,1.439,gap_1_2,PMH,early,09:31,0.93,SL,-0.5,-0.687,-0.901,-0.906,-0.732,0,,
NVDA,2026-01-28,1.457,gap_1_2,PDH,mid,11:54,0.97,TP,1.0,0.411,0.827,0.953,1.096,1,TP,1.0
NVDA,2026-02-06,2.798,gap_2plus,PDH,early,09:33,1.39,TP,1.0,1.706,3.259,3.764,4.47,1,TP,1.0
NVDA,2026-02-11,2.025,gap_2plus,PDH,early,09:31,0.85,SL,-0.5,-0.573,-1.637,-0.771,-0.34,0,,
NVDA,2026-02-18,2.005,gap_2plus,PMH,mid,10:04,0.94,SL,-0.5,-0.179,0.298,-0.337,-0.082,1,SL,-0.5
NVDA,2026-03-13,1.044,gap_1_2,PMH,early,09:31,0.89,SL,-0.5,-0.498,-0.907,-2.082,-2.437,0,,
NVDA,2026-03-16,1.492,gap_1_2,PMH,early,09:33,1.2,TP,1.0,-0.122,-0.171,0.315,-0.057,1,SL,-0.5
NVDA,2026-03-23,2.538,gap_2plus,PDH,mid,11:11,0.92,SL,-0.5,-0.861,-1.537,-1.64,-1.077,0,,
NVDA,2026-03-25,1.021,gap_1_2,PMH,early,09:34,0.87,TP,1.0,0.011,0.747,0.66,0.263,1,TP,1.0
NVDA,2026-03-31,1.163,gap_1_2,PMH,early,09:34,1.2,TP,1.0,0.652,1.399,0.949,1.355,1,TP,1.0
NVDA,2026-05-06,1.73,gap_1_2,PDH,early,09:32,1.17,SL,-0.5,1.093,1.804,2.793,2.013,1,SL,-0.5
