symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
NVDA,2026-01-02 11:41:00+00:00,2026-01-02 12:00:00+00:00,189.98,190.16997999999998,0.4,1.5463703665264952,core,win
NVDA,2026-01-02 12:39:00+00:00,2026-01-02 12:58:00+00:00,189.25,189.15537500000002,-0.1,0.8710596570717458,expanded,loss
NVDA,2026-01-02 13:01:00+00:00,2026-01-02 13:05:00+00:00,189.2205,189.12588975,-0.2,2.89743438481196,core,loss
NVDA,2026-01-02 14:15:00+00:00,2026-01-02 14:22:00+00:00,188.91,188.81554500000001,-0.1,1.0288851600897062,expanded,loss
NVDA,2026-01-02 15:42:00+00:00,2026-01-02 15:45:00+00:00,191.555,191.74655499999997,0.2,0.671765206404936,expanded,win
NVDA,2026-01-02 16:12:00+00:00,2026-01-02 16:13:00+00:00,188.6198,188.80841979999997,0.2,0.7597132675323585,expanded,win
NVDA,2026-01-02 16:46:00+00:00,2026-01-02 16:48:00+00:00,189.695,189.88469499999997,0.2,0.8721439281688981,expanded,win
NVDA,2026-01-02 16:54:00+00:00,2026-01-02 17:01:00+00:00,189.23,189.135385,-0.1,0.687417382763656,expanded,loss
NVDA,2026-01-02 17:27:00+00:00,2026-01-02 17:30:00+00:00,189.42,189.60941999999997,0.2,1.0117373557965181,expanded,win
NVDA,2026-01-02 17:33:00+00:00,2026-01-02 17:35:00+00:00,189.75,189.93974999999998,0.2,0.6951568296194719,expanded,win
NVDA,2026-01-02 17:45:00+00:00,2026-01-02 17:48:00+00:00,189.8301,190.01993009999995,0.2,0.7407927983986252,expanded,win
NVDA,2026-01-02 18:57:00+00:00,2026-01-02 19:00:00+00:00,188.485,188.673485,0.2,1.1701536274708557,expanded,win
NVDA,2026-01-02 19:24:00+00:00,2026-01-02 19:31:00+00:00,189.275,189.18036250000003,-0.1,0.6535962530988685,expanded,loss
NVDA,2026-01-02 20:28:00+00:00,2026-01-02 20:32:00+00:00,189.01,189.19900999999996,0.2,0.6240573664633582,expanded,win
NVDA,2026-01-02 21:09:00+00:00,2026-01-02 21:50:00+00:00,188.86,189.04886,0.2,0.7807222273216525,expanded,win
NVDA,2026-01-02 21:53:00+00:00,2026-01-02 22:11:00+00:00,188.6,188.78859999999997,0.2,1.007707022569295,expanded,win
