timestamp,direction,slack,entry,hit,pnl_pts,pnl_dollar,exit_type,bars
2025-12-08 15:21:00+00:00,long,0.7153284671532846,6869.75,True,-1.0,-50.0,sl,0
2025-12-08 15:38:00+00:00,long,0.6885245901639344,6867.0,True,-1.0,-50.0,sl,1
2025-12-08 17:20:00+00:00,short,0.7924528301886793,6849.25,True,2.0,100.0,tp,0
2025-12-08 17:21:00+00:00,long,0.6666666666666666,6848.5,True,-1.0,-50.0,sl,1
2025-12-08 18:05:00+00:00,long,0.6666666666666666,6857.0,True,2.0,100.0,tp,1
2025-12-08 18:07:00+00:00,short,0.6363636363636364,6857.5,True,-1.0,-50.0,sl,0
2025-12-08 18:11:00+00:00,short,0.7,6858.75,True,-1.0,-50.0,sl,0
2025-12-08 18:18:00+00:00,short,0.673076923076923,6858.75,True,2.0,100.0,tp,1
2025-12-08 18:46:00+00:00,short,0.6131386861313868,6849.25,True,-1.0,-50.0,sl,0
2025-12-08 18:59:00+00:00,long,0.6268656716417911,6837.0,True,2.0,100.0,tp,0
2025-12-08 19:04:00+00:00,long,0.7225806451612904,6838.5,True,2.0,100.0,tp,0
2025-12-08 19:27:00+00:00,long,0.6666666666666666,6842.0,True,2.0,100.0,tp,6
2025-12-08 20:48:00+00:00,short,0.693069306930693,6845.75,True,2.0,100.0,tp,0
2025-12-08 20:55:00+00:00,long,0.7241379310344827,6844.5,True,2.0,100.0,tp,0
2025-12-09 15:14:00+00:00,short,0.7954545454545455,6861.25,True,-1.0,-50.0,sl,0
2025-12-09 15:23:00+00:00,long,0.6131386861313868,6859.25,True,-1.0,-50.0,sl,0
2025-12-09 15:28:00+00:00,long,0.6666666666666666,6857.5,True,2.0,100.0,tp,0
2025-12-09 15:33:00+00:00,long,0.6363636363636364,6860.25,True,-1.0,-50.0,sl,0
2025-12-09 16:03:00+00:00,short,0.7967479674796747,6865.5,True,2.0,100.0,tp,1
2025-12-09 16:17:00+00:00,short,0.6021505376344086,6871.25,True,-1.0,-50.0,sl,2
2025-12-09 16:36:00+00:00,short,0.6796116504854369,6871.25,True,2.0,100.0,tp,2
2025-12-09 17:02:00+00:00,long,0.7216494845360825,6868.5,True,2.0,100.0,tp,1
2025-12-09 18:05:00+00:00,short,0.6481481481481481,6862.5,True,2.0,100.0,tp,1
2025-12-09 18:19:00+00:00,short,0.7608695652173914,6862.75,True,2.0,100.0,tp,2
