symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
NVDA,2026-01-01 00:54:00+00:00,2026-01-02 09:00:00+00:00,186.42,186.60641999999996,0.4,1.9836501404687796,core,win
NVDA,2026-01-02 09:24:00+00:00,2026-01-02 09:41:00+00:00,190.01,190.20000999999996,0.4,1.2081644403146232,core,win
NVDA,2026-01-02 09:44:00+00:00,2026-01-02 09:47:00+00:00,190.24,190.14488000000003,-0.2,1.2402119498613486,core,loss
NVDA,2026-01-02 09:56:00+00:00,2026-01-02 10:14:00+00:00,190.17,190.074915,-0.2,1.633164370776585,core,loss
NVDA,2026-01-02 10:15:00+00:00,2026-01-02 10:31:00+00:00,190.06,189.96497000000002,-0.2,1.8531718760522742,core,loss
NVDA,2026-01-02 10:33:00+00:00,2026-01-02 11:41:00+00:00,189.77,189.95977,0.4,1.3893910724193879,core,win
NVDA,2026-01-02 11:48:00+00:00,2026-01-02 12:00:00+00:00,189.82,189.72509,-0.2,1.3308891192897176,core,loss
NVDA,2026-01-02 12:09:00+00:00,2026-01-02 12:11:00+00:00,189.49,189.39525500000002,-0.2,2.0,core,loss
NVDA,2026-01-02 12:29:00+00:00,2026-01-02 12:35:00+00:00,189.42,189.32529,-0.2,1.9894414528560875,core,loss
NVDA,2026-01-02 12:37:00+00:00,2026-01-02 12:52:00+00:00,189.28,189.18536,-0.2,2.0,core,loss
NVDA,2026-01-02 12:59:00+00:00,2026-01-02 13:05:00+00:00,189.13,189.035435,-0.2,1.4844415555161556,core,loss
NVDA,2026-01-02 13:24:00+00:00,2026-01-02 14:13:00+00:00,189.16,189.06542000000002,-0.2,1.4063327616517958,core,loss
NVDA,2026-01-02 14:15:00+00:00,2026-01-02 14:22:00+00:00,188.91,188.81554500000001,-0.2,1.9978825895929269,core,loss
NVDA,2026-01-02 14:27:00+00:00,2026-01-02 14:28:00+00:00,189.48,189.66947999999996,0.4,1.7693929866036442,core,win
NVDA,2026-01-02 15:12:00+00:00,2026-01-02 15:15:00+00:00,191.04,190.94448,-0.2,1.4240040787230024,core,loss
NVDA,2026-01-02 16:34:00+00:00,2026-01-02 16:35:00+00:00,189.9399,189.84493005000002,-0.2,1.2874011988074725,core,loss
NVDA,2026-01-02 17:06:00+00:00,2026-01-02 17:07:00+00:00,189.38,189.28531,-0.2,1.6620713620568885,core,loss
NVDA,2026-01-02 17:12:00+00:00,2026-01-02 17:16:00+00:00,189.62,189.52519,-0.2,1.2249584173741632,core,loss
NVDA,2026-01-02 17:27:00+00:00,2026-01-02 17:30:00+00:00,189.42,189.60941999999997,0.4,1.3207693914226362,core,win
NVDA,2026-01-02 17:31:00+00:00,2026-01-02 17:34:00+00:00,189.7931,189.69820345000002,-0.2,1.7211457160275012,core,loss
NVDA,2026-01-02 17:48:00+00:00,2026-01-02 17:50:00+00:00,189.58,189.48521000000002,-0.2,1.504184045154099,core,loss
NVDA,2026-01-02 18:18:00+00:00,2026-01-02 18:21:00+00:00,189.505,189.69450499999996,0.4,1.5056916401446465,core,win
NVDA,2026-01-02 18:38:00+00:00,2026-01-02 18:39:00+00:00,189.54,189.44523,-0.2,1.62690473187956,core,loss
NVDA,2026-01-02 18:41:00+00:00,2026-01-02 18:46:00+00:00,189.36,189.54935999999998,0.4,1.7394420672125037,core,win
NVDA,2026-01-02 18:48:00+00:00,2026-01-02 18:49:00+00:00,189.3443,189.24962785000002,-0.2,1.7797286057926183,core,loss
NVDA,2026-01-02 19:26:00+00:00,2026-01-02 19:31:00+00:00,189.12,189.30911999999998,0.4,1.2766336225760806,core,win
NVDA,2026-01-02 19:42:00+00:00,2026-01-02 19:46:00+00:00,189.365,189.27031750000003,-0.2,1.3243574321956355,core,loss
NVDA,2026-01-02 19:48:00+00:00,2026-01-02 19:50:00+00:00,189.15,189.055425,-0.2,1.2239670840876795,core,loss
NVDA,2026-01-02 19:51:00+00:00,2026-01-02 19:57:00+00:00,188.9601,188.86561995000002,-0.2,1.8626921421747014,core,loss
NVDA,2026-01-02 20:19:00+00:00,2026-01-02 20:22:00+00:00,189.1843,189.08970785000002,-0.2,1.52785675506971,core,loss
NVDA,2026-01-02 20:26:00+00:00,2026-01-02 20:32:00+00:00,188.946,188.851527,-0.2,1.2910057305652025,core,loss
NVDA,2026-01-02 20:33:00+00:00,2026-01-02 20:34:00+00:00,188.89,188.795555,-0.2,1.5436788533783197,core,loss
NVDA,2026-01-02 20:49:00+00:00,2026-01-02 20:51:00+00:00,188.7368,188.6424316,-0.2,1.199054904797711,core,loss
NVDA,2026-01-02 20:54:00+00:00,2026-01-02 20:55:00+00:00,188.65,188.555675,-0.2,1.9460770681027288,core,loss
NVDA,2026-01-02 20:56:00+00:00,2026-01-02 20:59:00+00:00,188.581,188.76958099999996,0.4,1.5882776082269867,core,win
