symbol,date,entry_time,support,touches,entry_price,pnl,exit_reason
APP,2025-12-17,2025-12-17 15:45:00+00:00,672.68,30,673.7047140000001,-0.0034000000000000002,stop
APP,2025-12-23,2025-12-23 15:31:00+00:00,712.4,26,712.952562,0.009600000000000001,scale
APP,2026-01-16,2026-01-16 15:36:00+00:00,582.71,17,582.846546,-0.0034000000000000002,stop
APP,2026-01-21,2026-01-21 15:31:00+00:00,545.51,26,546.1492079999999,0.0021,scale_be
APP,2026-01-22,2026-01-22 15:45:00+00:00,519.09,22,519.17021328,-0.0034000000000000002,stop
APP,2026-01-29,2026-01-29 15:31:00+00:00,553.0,26,552.945567,-0.0034000000000000002,stop
APP,2026-02-02,2026-02-02 15:40:00+00:00,490.67,16,491.258232,-0.0034000000000000002,stop
APP,2026-02-03,2026-02-03 15:36:00+00:00,458.205,15,458.651712,0.009600000000000001,scale
APP,2026-02-04,2026-02-04 15:34:00+00:00,387.0,14,387.5775,0.009600000000000001,scale
APP,2026-02-05,2026-02-05 15:37:00+00:00,374.41,17,374.15261556,-0.0034000000000000002,stop
APP,2026-02-17,2026-02-17 15:37:00+00:00,376.24,24,377.05539600000003,-0.0034000000000000002,stop
APP,2026-02-23,2026-02-23 15:37:00+00:00,382.555,18,382.686522,-0.0034000000000000002,stop
APP,2026-03-03,2026-03-03 15:39:00+00:00,414.5,23,415.473078,0.0021,scale_be
APP,2026-03-09,2026-03-09 15:37:00+00:00,504.1869,37,504.53078597999996,0.0021,scale_be
APP,2026-03-13,2026-03-13 15:32:00+00:00,450.5,20,450.710124,-0.0034000000000000002,stop
APP,2026-03-26,2026-03-26 15:39:00+00:00,395.045,31,394.868958,0.009600000000000001,scale
APP,2026-04-09,2026-04-09 15:33:00+00:00,378.51,33,379.735932,0.0021,scale_be
APP,2026-04-20,2026-04-20 15:39:00+00:00,476.51,34,476.855352,0.009213947627455804,scale_time
APP,2026-04-22,2026-04-22 15:51:00+00:00,478.552,47,478.39566,0.000946876767234886,time
APP,2026-05-06,2026-05-06 15:59:00+00:00,458.009,40,458.25163200000003,-0.0034000000000000002,stop
APP,2026-05-11,2026-05-11 15:37:00+00:00,448.88,27,449.05479299999996,0.009600000000000001,scale
APP,2026-05-19,2026-05-19 15:36:00+00:00,480.21,22,480.48107699999997,-0.0034000000000000002,stop
APP,2026-06-05,2026-06-05 15:58:00+00:00,567.59,38,567.7935359999999,-0.0034000000000000002,stop
APP,2026-06-10,2026-06-10 15:50:00+00:00,507.2501,23,506.906361,-0.0034000000000000002,stop
MSTR,2025-12-15,2025-12-15 15:58:00+00:00,165.69,16,165.78315,-0.0034000000000000002,stop
MSTR,2025-12-22,2025-12-22 15:45:00+00:00,167.51,25,167.67352799999998,-0.0034000000000000002,stop
MSTR,2026-01-07,2026-01-07 15:44:00+00:00,163.0,13,163.12991946,-0.0034000000000000002,stop
MSTR,2026-01-14,2026-01-14 15:45:00+00:00,183.56,19,183.876768,-0.0034000000000000002,stop
MSTR,2026-01-16,2026-01-16 15:46:00+00:00,169.6703,22,169.828959,-0.0034000000000000002,stop
MSTR,2026-01-22,2026-01-22 15:45:00+00:00,161.6,23,161.76234599999998,-0.0034000000000000002,stop
MSTR,2026-01-23,2026-01-23 15:31:00+00:00,159.91,34,159.98199,0.009600000000000001,scale
MSTR,2026-02-03,2026-02-03 15:46:00+00:00,135.86,19,135.962187,0.009600000000000001,scale
MSTR,2026-02-04,2026-02-04 15:41:00+00:00,127.85,20,127.71563802,0.0021,scale_be
MSTR,2026-02-05,2026-02-05 15:51:00+00:00,113.55,11,114.17283,0.0021,scale_be
MSTR,2026-02-09,2026-02-09 15:35:00+00:00,127.9,14,128.640723,0.009600000000000001,scale
MSTR,2026-02-17,2026-02-17 15:45:00+00:00,127.0,26,127.255446,0.009600000000000001,scale
MSTR,2026-02-19,2026-02-19 15:31:00+00:00,123.5366,34,123.57471,0.005277389613133639,scale_time
MSTR,2026-02-23,2026-02-23 15:31:00+00:00,127.67,33,127.770549,0.0021,scale_be
MSTR,2026-02-27,2026-02-27 15:58:00+00:00,129.75,30,129.835962,-0.0034000000000000002,stop
MSTR,2026-03-03,2026-03-03 15:33:00+00:00,129.4525,23,129.660927,0.009600000000000001,scale
MSTR,2026-03-13,2026-03-13 15:33:00+00:00,143.8801,21,143.92878,-0.0034000000000000002,stop
MSTR,2026-03-18,2026-03-18 15:55:00+00:00,142.0,49,142.04340299999998,-0.0034000000000000002,stop
MSTR,2026-03-19,2026-03-19 15:48:00+00:00,135.54,27,135.57711,0.0021,scale_be
MSTR,2026-03-24,2026-03-24 15:40:00+00:00,136.4714,41,136.487292,0.0021,scale_be
MSTR,2026-03-25,2026-03-25 15:51:00+00:00,139.47,21,139.53290099999998,-0.0034000000000000002,stop
MSTR,2026-03-31,2026-03-31 15:32:00+00:00,119.58,19,119.943984,-0.0034000000000000002,stop
MSTR,2026-04-07,2026-04-07 15:44:00+00:00,122.27,29,122.34446399999999,0.009600000000000001,scale
MSTR,2026-04-21,2026-04-21 15:47:00+00:00,167.45,14,167.588511,-0.0034000000000000002,stop
MSTR,2026-04-24,2026-04-24 15:40:00+00:00,170.19,34,170.26404599999998,0.0021,scale_be
MSTR,2026-04-27,2026-04-27 15:52:00+00:00,169.23,17,169.50899502,-0.0034000000000000002,stop
MSTR,2026-04-28,2026-04-28 15:32:00+00:00,162.86,26,162.98259,-0.0034000000000000002,stop
MSTR,2026-04-29,2026-04-29 15:52:00+00:00,159.365,35,159.5319,-0.0034000000000000002,stop
MSTR,2026-05-05,2026-05-05 15:55:00+00:00,187.27,35,187.297452,-0.0034000000000000002,stop
MSTR,2026-05-18,2026-05-18 15:36:00+00:00,163.4001,30,163.57270799999998,-0.0034000000000000002,stop
MSTR,2026-06-02,2026-06-02 15:41:00+00:00,135.43,24,135.58781213999998,0.009600000000000001,scale
MSTR,2026-06-04,2026-06-04 15:47:00+00:00,128.3,34,128.43568199999999,-0.0034000000000000002,stop
MSTR,2026-06-10,2026-06-10 15:42:00+00:00,118.08,42,118.21363799999999,0.0021,scale_be
MSTR,2026-06-11,2026-06-11 15:37:00+00:00,115.67,30,115.713138,-0.0034000000000000002,stop
AFRM,2025-12-29,2025-12-29 15:57:00+00:00,75.2,52,75.160029,0.0029258502335064583,time
AFRM,2026-01-06,2026-01-06 15:47:00+00:00,79.3819,37,79.425882,-0.0034000000000000002,stop
AFRM,2026-01-09,2026-01-09 15:51:00+00:00,81.16,21,81.256248,-0.0034000000000000002,stop
AFRM,2026-01-13,2026-01-13 15:33:00+00:00,73.23,16,73.41468,0.009600000000000001,scale
AFRM,2026-01-14,2026-01-14 15:32:00+00:00,71.6,17,71.71744062,0.0021,scale_be
AFRM,2026-01-23,2026-01-23 15:37:00+00:00,71.97,32,71.95938899999999,-0.0034000000000000002,stop
AFRM,2026-01-26,2026-01-26 15:56:00+00:00,69.815,37,69.92008122,-0.0034000000000000002,stop
AFRM,2026-01-27,2026-01-27 15:53:00+00:00,68.63,30,68.67873300000001,0.003601680294538899,scale_time
AFRM,2026-01-28,2026-01-28 15:38:00+00:00,66.7,22,66.76335,-0.0034000000000000002,stop
AFRM,2026-02-06,2026-02-06 15:33:00+00:00,56.31,10,56.576313,-0.0034000000000000002,stop
AFRM,2026-02-11,2026-02-11 15:44:00+00:00,56.29,19,56.381274,0.0021,scale_be
AFRM,2026-02-17,2026-02-17 15:45:00+00:00,49.455,36,49.529904,0.0021,scale_be
AFRM,2026-02-27,2026-02-27 15:44:00+00:00,47.05,32,47.094417,-0.0034000000000000002,stop
AFRM,2026-03-05,2026-03-05 15:48:00+00:00,51.74,24,51.795356999999996,-0.0034000000000000002,stop
AFRM,2026-03-12,2026-03-12 15:55:00+00:00,47.57,20,47.664531,-0.0034000000000000002,stop
AFRM,2026-03-18,2026-03-18 15:33:00+00:00,48.205,44,48.249648,-0.0034000000000000002,stop
AFRM,2026-05-18,2026-05-18 15:54:00+00:00,64.0,37,64.037805,-0.0034000000000000002,stop
AFRM,2026-05-19,2026-05-19 15:58:00+00:00,63.15,31,63.142626,0.0058009388871473255,scale_time
AFRM,2026-06-10,2026-06-10 15:40:00+00:00,64.08,27,64.152828,0.0021,scale_be
RDDT,2025-12-19,2025-12-19 15:47:00+00:00,232.44,28,233.10661199999998,-0.0034000000000000002,stop
RDDT,2025-12-30,2025-12-30 15:35:00+00:00,230.55,25,231.79624998,-0.0034000000000000002,stop
RDDT,2026-01-05,2026-01-05 15:57:00+00:00,244.31,32,244.68892799999998,-0.0034000000000000002,stop
RDDT,2026-01-08,2026-01-08 16:00:00+00:00,251.6,29,251.555301,-0.0034000000000000002,stop
RDDT,2026-01-12,2026-01-12 15:39:00+00:00,242.285,34,243.013593,0.0021,scale_be
RDDT,2026-01-15,2026-01-15 15:51:00+00:00,235.7,19,235.87716600000002,0.009600000000000001,scale
RDDT,2026-01-27,2026-01-27 15:48:00+00:00,195.08,28,195.39907200000002,-0.0034000000000000002,stop
RDDT,2026-01-29,2026-01-29 15:58:00+00:00,193.21,26,193.62791784,-0.0034000000000000002,stop
RDDT,2026-02-03,2026-02-03 15:31:00+00:00,170.76,18,170.56590636,-0.0034000000000000002,stop
RDDT,2026-02-05,2026-02-05 15:59:00+00:00,151.0,21,151.220238,0.0021,scale_be
RDDT,2026-02-06,2026-02-06 15:42:00+00:00,145.42,10,145.78415099999998,-0.0034000000000000002,stop
RDDT,2026-02-09,2026-02-09 15:46:00+00:00,140.03,25,140.37806999999998,0.009600000000000001,scale
RDDT,2026-02-11,2026-02-11 15:36:00+00:00,140.99,13,141.27824999999999,-0.0034000000000000002,stop
RDDT,2026-02-19,2026-02-19 15:32:00+00:00,144.79,23,145.003995,-0.0034000000000000002,stop
