direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
long,396.0,0.8,True,tp,2026-03-09 19:20:00+00:00,3.547569145351768,3.821415607985494
long,397.64,0.8,True,tp,2026-03-09 19:25:00+00:00,4.009290124868099,1.441042345276867
long,409.01,0.8,True,tp,2026-03-11 13:35:00+00:00,3.946184076286974,4.255123186737273
long,414.54,-0.5,False,sl,2026-03-11 14:05:00+00:00,2.6742741940347656,1.0636898580823786
long,407.695,-0.5,False,sl,2026-03-11 19:35:00+00:00,3.115786800439098,1.840040753947966
long,408.22,-0.5,False,sl,2026-03-11 19:50:00+00:00,2.71400600153134,0.6686567164179276
long,407.05,-0.5,False,sl,2026-03-12 12:40:00+00:00,3.415240582579725,0.4236760124610254
short,395.38,-0.5,False,sl,2026-03-12 20:40:00+00:00,3.8256655228055836,1.7071801042920645
short,396.56,0.8,True,tp,2026-03-16 19:15:00+00:00,3.33869286302214,2.9793541556379766
short,395.28,-0.5,False,sl,2026-03-16 19:45:00+00:00,3.0751517326062783,1.2171199286669887
short,395.26,-0.5,False,sl,2026-03-16 19:55:00+00:00,2.6026600752629343,0.821487603305756
short,397.275,-0.5,False,sl,2026-03-17 17:15:00+00:00,2.953983904305462,1.297101449275325
long,398.93,-0.5,False,sl,2026-03-17 19:55:00+00:00,2.718119631605239,0.6657736101807736
long,399.1,-0.5,False,sl,2026-03-17 20:00:00+00:00,3.8121559378474013,0.6160714285713733
short,394.96,0.8,True,tp,2026-03-18 19:00:00+00:00,3.5334473629318524,0.520204366000974
short,392.55,0.8,True,tp,2026-03-18 19:55:00+00:00,2.571233706026126,0.8074291300098217
short,381.67,-0.5,False,sl,2026-03-19 13:35:00+00:00,3.528735603652219,3.6540463795551266
short,378.945,-0.5,False,sl,2026-03-19 18:50:00+00:00,3.790122657825499,1.7135086128739323
short,378.47,-0.5,False,sl,2026-03-20 12:20:00+00:00,3.29770781689259,0.6697038724373311
short,369.33,0.8,True,tp,2026-03-20 18:25:00+00:00,2.962088313411519,2.0450160771703767
short,365.02,-0.5,False,sl,2026-03-20 19:40:00+00:00,2.652295356012314,0.7130730050934003
long,393.35,-0.5,False,sl,2026-03-25 13:35:00+00:00,2.9989190088079267,2.274647887323957
short,386.18,0.8,True,tp,2026-03-25 19:00:00+00:00,3.1754885416641696,0.7481384143670688
short,374.395,0.8,True,tp,2026-03-26 19:00:00+00:00,3.1502174412647523,0.8552631578947081
short,373.985,0.8,True,tp,2026-03-26 19:05:00+00:00,2.827337277482398,0.46893203883491075
short,369.86,0.8,True,tp,2026-03-27 12:40:00+00:00,3.3388523012811997,0.6089686098654178
short,361.875,0.5236614853195114,True,time,2026-03-27 17:30:00+00:00,2.7961190094689545,1.3172205438066937
short,371.3,-0.5,False,sl,2026-03-31 19:55:00+00:00,3.477804815207761,1.958135109419584
short,378.07,-0.5,False,sl,2026-04-01 18:20:00+00:00,3.1923988905256566,1.0802030456852763
short,363.065,0.8,True,tp,2026-04-02 17:40:00+00:00,3.6044934805962594,1.111839708561046
short,360.58,0.2662377281047145,True,time,2026-04-02 17:50:00+00:00,2.6234211593033767,1.4113500176242575
short,360.275,0.12351675803205694,True,time,2026-04-02 17:55:00+00:00,3.449212175024584,0.3125915080527151
short,360.63,-0.5,False,sl,2026-04-02 20:10:00+00:00,3.5432227214530654,0.4930985245120676
short,350.11,0.8,True,tp,2026-04-06 17:00:00+00:00,2.8992603035078974,0.9184782608695993
short,356.28,0.8,True,tp,2026-04-08 13:35:00+00:00,3.5956901182339793,2.929016189290154
short,345.12,-0.5,False,sl,2026-04-09 19:55:00+00:00,3.4126272863868334,0.4827586206896708
long,400.56,-0.4006890353505138,False,time,2026-05-06 18:15:00+00:00,2.680505560605583,0.887780548628474
long,412.36,-0.5,False,sl,2026-05-07 13:35:00+00:00,3.723247010522406,3.0593437281824625
long,406.78,-0.5,False,sl,2026-05-07 17:25:00+00:00,3.393927428537644,1.1477130717321007
long,407.49,0.8,True,tp,2026-05-07 19:55:00+00:00,2.6723203452901125,1.3259592118907777
long,411.825,0.8,True,tp,2026-05-07 20:00:00+00:00,4.058375650540158,3.4551665243381677
long,426.21,-0.5,False,sl,2026-05-08 19:55:00+00:00,3.194718592672731,0.8931826467371508
long,427.7,-0.5,False,sl,2026-05-08 20:00:00+00:00,3.995980929937551,1.8613485280152198
long,444.77,-0.5,False,sl,2026-05-11 20:25:00+00:00,2.877797281897479,1.3347031025272214
long,434.595,-0.5,False,sl,2026-05-12 19:55:00+00:00,4.050407909018061,0.8673955705073971
long,409.64,-0.5,False,sl,2026-05-18 19:05:00+00:00,2.6756423121878625,2.239173228346451
long,403.68,0.8,True,tp,2026-05-19 20:10:00+00:00,3.4767283210637863,0.5671129419842393
long,409.36,0.8,True,tp,2026-05-20 13:35:00+00:00,2.7667799181503514,1.1721132897603272
long,411.77,-0.5,False,sl,2026-05-20 13:45:00+00:00,2.8734299907659957,0.34832872581050967
long,414.76,0.8,True,tp,2026-05-20 19:55:00+00:00,3.3299882356956605,0.6165351059409724
long,416.1,0.8,True,tp,2026-05-20 20:00:00+00:00,3.819263751224827,2.371638141809303
long,425.76,0.8,True,tp,2026-05-22 20:10:00+00:00,3.7598571295536014,1.7315387413604826
long,440.65,-0.5,False,sl,2026-05-27 19:55:00+00:00,3.5536352590313376,1.2643051771116849
long,443.65,-0.5,False,sl,2026-05-28 19:30:00+00:00,3.0115694099760923,1.654383735705197
long,439.09,-0.5,False,sl,2026-05-29 16:20:00+00:00,3.0303518577878705,0.34058898847630825
long,439.86,-0.5,False,sl,2026-05-29 16:25:00+00:00,2.725144152282267,0.7247842903897684
long,416.74,-0.5,False,sl,2026-06-01 19:45:00+00:00,2.717347555504359,0.3323643410852777
long,422.55,-0.10886285646669892,False,time,2026-06-02 17:00:00+00:00,3.118315523389672,1.4301369863013735
long,421.085,-0.5,False,sl,2026-06-02 19:40:00+00:00,3.211625161682327,1.2090284592738767
long,422.41,-0.5,False,sl,2026-06-02 19:45:00+00:00,3.6792671346534886,1.4494802494802643
long,423.65,-0.5,False,sl,2026-06-03 19:20:00+00:00,3.258891179156136,1.26085192697771
long,423.87,-0.5,False,sl,2026-06-03 20:00:00+00:00,3.4800897670926436,1.7744463373083186
long,424.18,-0.5,False,sl,2026-06-04 13:35:00+00:00,3.1345267792466593,2.9696969696969604
long,424.43,-0.5,False,sl,2026-06-04 13:40:00+00:00,2.715913098995668,0.5168007572172088
long,418.02,0.8,True,tp,2026-06-04 20:00:00+00:00,3.714624119512748,0.32737276478678834
short,389.55,-0.5,False,sl,2026-06-05 19:15:00+00:00,2.8687486320624744,0.5911528150134532
short,388.99,-0.5,False,sl,2026-06-05 19:20:00+00:00,2.5924924516321965,0.5135492399206939
