date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2025-12-16,SPY,A,short,-0.258,676.74,0.04433017111445378,0.28814611224399994,0.04433017111445378,0.39527735910393275,0.04433017111445378,0.39527735910393275,False,False,False,
2025-12-18,SPY,A,long,0.835,678.86,0.2504198214653878,0.026515039919875034,0.2563120525587027,0.026515039919875034,0.27693486138526285,0.026515039919875034,True,False,False,
2025-12-19,SPY,A,long,0.043,680.05,0.029409602235136462,0.12352032938753302,0.029409602235136462,0.2352768178810248,0.029409602235136462,0.2352768178810248,False,False,False,
2025-12-24,SPY,A,long,0.035,688.59,0.028318738291281655,0.01887915886085994,0.09076518683106057,0.01887915886085994,0.11617943914375092,0.01887915886085994,False,False,False,
2025-12-30,SPY,A,short,-0.058,687.06,0.04511978575378358,0.0523826157831978,0.06840741711057458,0.0523826157831978,0.06986289407037297,0.13972578814077904,False,False,False,
2026-01-06,SPY,A,long,0.071,689.625,0.1254304875838331,0.05872756933115428,0.15443175638934994,0.05872756933115428,0.17908283487402774,0.05872756933115428,False,False,False,
2026-01-07,SPY,A,long,0.039,692.755,0.003608779438614989,0.048357644477490073,0.003608779438614989,0.12053323324985549,0.14074239810611583,0.12053323324985549,False,False,False,
2026-01-09,SPY,A,long,0.122,692.96,0.07071115215885607,0.24243823597322553,0.07071115215885607,0.24243823597322553,0.09957284691756245,0.24243823597322553,False,False,False,
2026-01-14,SPY,A,short,-0.419,687.93,0.011629090169047323,0.42446179117062394,0.011629090169047323,0.42446179117062394,0.20641635050077176,0.42446179117062394,False,False,False,
2026-01-15,SPY,A,long,0.569,694.47,0.06191772142784425,0.1231154693507305,0.06191772142784425,0.21311215747260764,0.09935634368654382,0.21311215747260764,False,False,False,
2026-01-21,SPY,A,long,0.297,683.27,0.05195603494958336,0.18148023475346628,0.2641708255887224,0.18148023475346628,0.27222035213019946,0.18148023475346628,True,False,False,
2026-01-22,SPY,A,long,0.611,690.225,0.03984208048099928,0.11880183997972402,0.04824513745517331,0.11880183997972402,0.10069180339743365,0.11880183997972402,False,False,False,
2026-01-27,SPY,A,long,0.218,695.37,0.010066583257841153,0.12367516573910488,0.010066583257841153,0.12367516573910488,0.11073241583617094,0.12367516573910488,False,False,False,
2026-02-05,SPY,A,short,-0.814,679.69,0.4399064279303813,0.0367814739072224,0.5171475231355618,0.0367814739072224,0.5517221086083361,0.0367814739072224,True,True,False,
2026-02-06,SPY,A,long,0.556,685.53,0.2713229180342237,0.027715781949723704,0.31946085510481737,0.027715781949723704,0.3632226160780723,0.027715781949723704,True,False,False,
2026-02-10,SPY,A,long,0.104,696.31,0.019387916301662277,0.13786962703392494,0.019387916301662277,0.20105987275782014,0.019387916301662277,0.3188235125159647,False,False,False,
2026-02-13,SPY,A,long,0.095,683.24,0.1946607341490605,0.24735085767812987,0.1946607341490605,0.35858556290615967,0.1946607341490605,0.35858556290615967,False,False,False,
2026-02-18,SPY,A,long,0.176,687.59,0.12725606829651392,0.08726130397475569,0.12725606829651392,0.08726130397475569,0.1861574484794678,0.08726130397475569,False,False,False,
2026-02-19,SPY,A,short,-0.316,683.14,0.06440846678571609,0.1434552214772987,0.06440846678571609,0.19322540035718155,0.11051907368914067,0.24006792165588114,False,False,False,
2026-02-25,SPY,A,long,0.401,691.1,0.04485602662421436,0.044856026624230806,0.10707567645782219,0.05932571263203128,0.18665894950079057,0.05932571263203128,False,False,False,
2026-03-03,SPY,A,short,-1.632,672.33,0.29896033197982996,0.1829458747936139,0.39712641113739866,0.1829458747936139,0.39712641113739866,0.3406065473800014,True,False,False,
2026-03-04,SPY,A,long,0.212,684.81,0.21903885749331933,0.0,0.21903885749331933,0.13580409164585067,0.2672274061418556,0.13580409164585067,True,False,False,
2026-03-05,SPY,A,short,-0.38,681.0444,0.253199350879318,0.11241557819137041,0.253199350879318,0.225477222924092,0.29871767538210503,0.225477222924092,True,False,False,
2026-03-06,SPY,A,short,-1.148,670.91,0.01773710333724561,0.37560924714193883,0.01773710333724561,0.5529802805145305,0.01773710333724561,0.7460016991846888,False,False,False,
2026-03-11,SPY,A,long,0.043,679.74,0.050019124959548036,0.41192220554917386,0.050019124959548036,0.6686380086503603,0.050019124959548036,0.6686380086503603,False,False,False,
2026-03-12,SPY,A,short,-0.728,668.06,0.11376223692482576,0.158668383079373,0.11376223692482576,0.3728707002365206,0.17064335538723863,0.3728707002365206,False,False,False,
2026-03-17,SPY,A,long,0.495,673.2,0.019310754604871576,0.161913250148549,0.019310754604871576,0.23767082590612337,0.019310754604871576,0.430778371954856,False,False,False,
2026-03-18,SPY,A,short,-0.377,667.16,0.2158402781941275,0.10192457581390726,0.2158402781941275,0.10192457581390726,0.22483362311889205,0.1259068289465843,False,False,False,
2026-03-20,SPY,A,short,-0.53,653.11,0.24957510985898168,0.10734791995222806,0.24957510985898168,0.10734791995222806,0.29244690787156347,0.10734791995222806,True,False,False,
2026-03-27,SPY,A,short,-0.418,639.09,0.12361326260778252,0.23439578150181248,0.12361326260778252,0.34111001580371303,0.12361326260778252,0.47724107715657493,False,False,False,
2026-03-31,SPY,A,long,1.164,641.51,0.13249988308834199,0.09664697354678876,0.18549983632368236,0.10444108431668392,0.18549983632368236,0.5502642203550954,False,False,False,
2026-04-01,SPY,A,long,0.526,657.85,0.03724253249221016,0.06232423804818243,0.03724253249221016,0.09044615033822714,0.03724253249221016,0.15353044006992336,False,False,False,
