direction,window,tp1,runner,stop,n,wr,pf,ev,total,max_dd,worst_streak
LONG,9:30-11:00,0.40%,2.00%,0.50%,31,0.6129032258064516,1.4178247160681146,0.000801170844720536,0.024836296186336614,-0.01929229797493624,2
LONG,9:30-12:00,0.60%,1.00%,0.40%,38,0.5526315789473685,1.4172555715255173,0.000762599930295711,0.02897879735123702,-0.01145530739789534,3
LONG,9:30-10:30,0.60%,1.50%,0.50%,26,0.5384615384615384,1.4044779268905805,0.0009222321141752319,0.02397803496855603,-0.01472397784968251,3
LONG,9:30-10:00,0.40%,1.00%,0.40%,21,0.6190476190476191,1.3993519273325772,0.0006403397399169966,0.013447134538256928,-0.009091291053708338,3
LONG,9:30-10:30,0.40%,2.00%,0.40%,26,0.5769230769230769,1.384574043739385,0.0006933040473160028,0.018025905230216074,-0.014160968426723413,3
LONG,9:30-10:30,0.50%,1.00%,0.30%,26,0.5384615384615384,1.3786727672233745,0.00059422495779668,0.01544984890271368,-0.009751586112210678,3
LONG,9:30-10:30,0.40%,1.50%,0.30%,26,0.5384615384615384,1.3676053178354877,0.0005768575756803041,0.014998296967687907,-0.010251586112210678,3
LONG,9:30-12:00,0.50%,1.00%,0.30%,38,0.5526315789473685,1.3569161069981748,0.0005428881838024865,0.020629750984494488,-0.013600000000000001,4
LONG,9:30-12:00,0.50%,2.00%,0.50%,38,0.5789473684210527,1.3521177955869352,0.0007509551627983318,0.02853629618633661,-0.021892297974936248,2
LONG,9:30-10:30,0.50%,1.00%,0.40%,26,0.5769230769230769,1.351538646833527,0.0006337483525093018,0.016477457165241845,-0.012223977849682509,3
LONG,9:30-12:00,0.40%,1.50%,0.30%,38,0.5526315789473685,1.340453270752054,0.0005178473434070714,0.019678199049468714,-0.013600000000000001,4
LONG,9:30-11:00,0.50%,1.00%,0.50%,31,0.6129032258064516,1.3328939210934225,0.0006383176813342704,0.019787848121362382,-0.015292297974936243,2
LONG,9:30-12:00,0.60%,1.50%,0.50%,38,0.5526315789473685,1.3293961869564748,0.0007233796295967516,0.02748842592467656,-0.01745530739789534,3
