symbol,direction,entry,entry_time,mfe_pct,mae_pct,final_pct,hold_bars,tier
TOST,long,34.965,2025-12-16 13:45:00-05:00,0.24310024310022518,0.6435006435006475,-0.1859001859001997,35,expanded
TOST,short,35.2,2025-12-17 07:15:00-05:00,1.107954545454547,2.4715909090909016,-0.9943181818181657,99,expanded
TOST,long,35.92,2025-12-18 06:50:00-05:00,3.8140311804008835,1.0857461024498902,2.3106904231625784,102,expanded
TOST,short,36.8487,2025-12-19 08:00:00-05:00,1.9504080198215903,0.24776993489593072,1.2220241148262994,99,core
TOST,short,36.625,2025-12-22 09:55:00-05:00,0.013651877133112788,2.318088737201356,-1.8430034129692754,84,core
TOST,short,37.14,2025-12-23 05:05:00-05:00,3.419493807215948,0.7000538502961713,0.8616047388260643,98,expanded
TOST,long,36.35,2025-12-26 11:15:00-05:00,0.3851444291609369,0.41265474552956966,0.2751031636863863,63,expanded
TOST,long,36.15,2025-12-29 10:40:00-05:00,1.3831258644536655,0.09681881051174714,0.9679114799446698,70,expanded
TOST,long,36.295,2025-12-30 10:10:00-05:00,0.7025761124121654,0.5097120815539393,-0.12398401983744786,79,expanded
TOST,short,35.795,2025-12-31 11:10:00-05:00,1.3825953345439341,0.48889509708058987,0.7403268612934782,64,expanded
TOST,short,35.0212,2026-01-02 09:55:00-05:00,3.858234440852965,0.196452434525382,2.8588397884709753,94,core
TOST,long,34.105,2026-01-05 09:55:00-05:00,2.1111274006744054,0.7770121683037486,1.3047940184723656,80,core
TOST,long,34.51,2026-01-06 06:35:00-05:00,4.810199942045794,1.7096493769921655,4.544190089829049,97,core
TOST,short,35.76,2026-01-07 10:00:00-05:00,0.2796420581655521,2.908277404921698,-2.7125279642058135,82,expanded
TOST,short,35.74,2026-01-08 04:10:00-05:00,2.9798545047565885,2.9096250699496244,-1.007274762171235,103,expanded
TOST,short,36.6,2026-01-09 07:00:00-05:00,4.289617486338798,1.0972677595628468,3.0601092896174986,94,expanded
TOST,long,35.95,2026-01-12 11:25:00-05:00,1.249791376912361,0.2086230876217047,1.1126564673157122,62,expanded
TOST,long,34.7093,2026-01-13 10:15:00-05:00,1.543390388166856,0.6750352211078804,0.4629883057278554,77,expanded
TOST,short,34.6321,2026-01-14 08:00:00-05:00,0.006063738554689604,4.426240395471248,-1.8965064203441226,93,expanded
TOST,short,35.67,2026-01-15 08:00:00-05:00,5.522848331931591,0.9251471825063031,5.023549201009246,103,expanded
TOST,long,33.17,2026-01-16 10:05:00-05:00,2.230931564666852,0.4220681338558956,0.6933976484775305,79,expanded
TOST,long,32.85,2026-01-20 04:55:00-05:00,4.809741248097407,0.76103500761035,1.004566210045657,116,expanded
TOST,short,33.18,2026-01-21 09:55:00-05:00,1.6576250753465855,1.2055455093429734,-0.6931886678722027,84,core
TOST,long,33.47,2026-01-22 06:50:00-05:00,3.0773827308037083,0.4780400358529925,2.181057663579337,103,expanded
TOST,long,34.255,2026-01-23 09:55:00-05:00,0.36491023208290757,1.4742373376149542,-1.4742373376149542,81,core
TOST,short,33.76,2026-01-26 10:05:00-05:00,1.510663507108999,1.3326421800947854,0.7701421800947809,78,expanded
TOST,long,33.51,2026-01-27 08:00:00-05:00,1.283199045061175,3.461653237839441,-2.56639809012235,100,core
TOST,long,31.095,2026-01-29 11:30:00-05:00,1.1899019134909181,0.49847242321915936,0.01607975558772329,66,expanded
TOST,short,31.12,2026-01-30 11:00:00-05:00,1.2853470437018062,0.5784061696658088,-0.032133676092538595,64,expanded
TOST,long,30.98,2026-02-02 07:05:00-05:00,3.8411878631375123,1.5493867010974836,1.6785022595222712,100,expanded
TOST,short,31.5,2026-02-03 07:10:00-05:00,10.539682539682541,0.0,9.365079365079362,123,expanded
TOST,long,28.14,2026-02-04 10:25:00-05:00,2.0611229566453386,1.5636105188344038,0.8528784648187577,80,expanded
TOST,long,27.9009,2026-02-05 09:55:00-05:00,0.6060736392016037,4.232479955843722,-3.981591991656187,104,core
TOST,short,27.119,2026-02-06 10:05:00-05:00,0.21755964452966942,3.1748958294922405,-2.971717246211148,91,expanded
TOST,long,27.63,2026-02-09 09:55:00-05:00,4.0535649656170865,0.07238508867173209,3.8660875859572967,98,core
TOST,short,29.155,2026-02-10 09:55:00-05:00,0.08574858514835236,3.0183501972217424,-0.8403361344537726,87,core
TOST,long,28.195,2026-02-11 11:35:00-05:00,0.19507004788082893,1.9673701010817537,0.19507004788082893,79,expanded
TOST,short,27.22,2026-02-12 09:55:00-05:00,18.258633357825126,4.922850844966935,9.47832476120499,120,core
