date,side,entry_dist,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.60%,hit_+0.75%,hit_+1.00%
2026-01-21,long,0.51314119288118,0.11,0.0625,0.3301,0.0625,0.3301,0.0625,True,False,False,False,False
2026-01-21,short,0.45349810515412103,0.0049,0.3043,0.0049,0.4475,0.0049,0.6444,False,False,False,False,False
2026-01-23,short,0.40037362100854,0.061,0.0497,0.061,0.0497,0.061,0.1252,False,False,False,False,False
2026-01-23,short,0.43457010201037904,0.0465,0.0232,0.0465,0.093,0.0465,0.1491,False,False,False,False,False
2026-01-23,short,0.48241414373223074,0.0208,0.0729,0.0208,0.0929,0.0208,0.1617,False,False,False,False,False
2026-01-23,short,0.5455636943272758,0.0704,0.0448,0.1136,0.0448,0.1136,0.0448,False,False,False,False,False
2026-01-28,long,0.41982050790906383,0.0839,0.0301,0.1297,0.0301,0.1297,0.0301,False,False,False,False,False
2026-01-29,long,0.4359634968051111,0.3138,0.0414,0.3138,0.0924,0.3138,0.5608,True,False,False,False,False
2026-01-29,long,0.555159443007396,0.0128,0.428,0.0128,0.428,0.0128,0.5589,False,False,False,False,False
2026-01-29,long,0.6126290444059904,0.0417,0.2198,0.0417,0.3353,0.0417,0.515,False,False,False,False,False
2026-01-29,long,0.9251223242110607,0.0902,0.0967,0.0902,0.2997,0.0902,0.3835,False,False,False,False,False
2026-01-29,long,1.0884924182909608,0.2343,0.0937,0.2343,0.0937,0.2343,0.0937,False,False,False,False,False
2026-01-29,short,0.4216394863448931,0.0044,0.0893,0.0044,0.0941,0.0044,0.3301,False,False,False,False,False
2026-01-30,long,0.5007212235367619,0.0225,0.1124,0.0337,0.1124,0.0417,0.1124,False,False,False,False,False
2026-01-30,long,0.4504503612296193,0.1846,0.0016,0.2232,0.0289,0.2232,0.0289,False,False,False,False,False
2026-01-30,long,0.6764220975210945,0.0538,0.2746,0.0957,0.2782,0.1617,0.2782,False,False,False,False,False
2026-01-30,long,0.749534751830063,0.1451,0.0145,0.2129,0.0145,0.3918,0.0145,True,False,False,False,False
2026-01-30,long,0.40979317264725307,0.0724,0.0595,0.1785,0.0595,0.1785,0.1011,False,False,False,False,False
2026-02-02,short,0.4724377910994634,0.1392,0.0128,0.2585,0.0128,0.2585,0.1136,True,False,False,False,False
2026-02-02,short,0.41226836310945425,0.0,0.1376,0.0,0.2495,0.0,0.3823,False,False,False,False,False
2026-02-02,short,0.522295056782302,0.1658,0.0096,0.2518,0.0096,0.2518,0.0096,True,False,False,False,False
2026-02-02,short,0.4064523545830332,0.1084,0.0064,0.1084,0.0064,0.1084,0.012,False,False,False,False,False
2026-02-02,short,0.43086229094785866,0.047,0.0183,0.047,0.0311,0.0717,0.0311,False,False,False,False,False
2026-02-03,long,0.44321391444956365,0.2501,0.0369,0.2501,0.1058,0.2501,0.4807,True,False,False,False,False
2026-02-03,long,0.5593559335563367,0.0257,0.4035,0.0257,0.4775,0.0257,0.492,False,False,False,False,False
2026-02-03,long,0.836721148579739,0.3516,0.0292,0.3516,0.0292,0.3516,0.0292,True,False,False,False,False
2026-02-03,long,0.5133604443775341,0.1019,0.0712,0.1019,0.1294,0.1019,0.1294,False,False,False,False,False
2026-02-03,long,0.5459456337107962,0.0356,0.0551,0.0761,0.3126,0.0761,0.3207,False,False,False,False,False
2026-02-04,long,0.5678661333697066,0.1715,0.183,0.4258,0.183,0.4258,0.183,True,False,False,False,False
2026-02-04,long,0.5872161441662113,0.1037,0.0658,0.2403,0.1144,0.2403,0.1144,False,False,False,False,False
2026-02-04,long,0.6244554570722681,0.2718,0.0181,0.346,0.0181,0.346,0.0181,True,False,False,False,False
2026-02-04,long,0.522476812886401,0.0395,0.1337,0.0395,0.3813,0.0395,0.517,False,False,False,False,False
2026-02-04,long,0.8271117905849334,0.0149,0.1867,0.0149,0.2379,0.223,0.2379,False,False,False,False,False
2026-02-05,short,0.5575071932741714,0.3179,0.0571,0.3179,0.1557,0.4819,0.1557,True,False,False,False,False
2026-02-05,long,0.4763370150087208,0.142,0.1771,0.142,0.411,0.142,0.5982,False,False,False,False,False
2026-02-05,long,0.7763729377727708,0.2635,0.1628,0.2836,0.1628,0.2903,0.1628,True,False,False,False,False
2026-02-05,long,0.5723896450698824,0.314,0.0319,0.314,0.0361,0.314,0.0361,True,False,False,False,False
2026-02-05,long,0.544935952486308,0.168,0.0554,0.4451,0.1058,0.692,0.1058,True,True,True,False,False
2026-02-05,short,0.46966272050940827,0.143,0.123,0.2427,0.123,0.332,0.123,True,False,False,False,False
2026-02-05,short,0.46174547403894384,0.0033,0.1429,0.132,0.1429,0.132,0.1795,False,False,False,False,False
2026-02-05,short,0.6677569570313278,0.4129,0.0066,0.4129,0.0066,0.471,0.0066,True,False,False,False,False
2026-02-05,short,0.4036743167432673,0.195,0.0366,0.4008,0.0366,0.5901,0.0366,True,True,False,False,False
2026-02-06,short,0.47153200519483246,0.0892,0.066,0.0892,0.0991,0.0892,0.2014,False,False,False,False,False
2026-02-06,short,0.6150809639824094,0.2044,0.0231,0.206,0.0231,0.206,0.0758,False,False,False,False,False
2026-02-06,short,0.6059800684291651,0.0445,0.0478,0.1104,0.0577,0.1104,0.0577,False,False,False,False,False
2026-02-06,short,0.5325833951751473,0.0371,0.0832,0.047,0.0832,0.047,0.1178,False,False,False,False,False
2026-02-06,short,0.6262761330134244,0.028,0.1251,0.0955,0.1251,0.1136,0.1251,False,False,False,False,False
2026-02-09,short,0.4083326125008808,0.1211,0.0295,0.1211,0.117,0.1211,0.1898,False,False,False,False,False
2026-02-09,short,0.4059076341268166,0.0441,0.1455,0.0441,0.1455,0.0441,0.1553,False,False,False,False,False
2026-02-09,short,0.6483210982138454,0.0372,0.0378,0.0518,0.0378,0.0518,0.0638,False,False,False,False,False
2026-02-09,short,0.6922328788052329,0.0407,0.0195,0.0602,0.0195,0.0602,0.1041,False,False,False,False,False
2026-02-09,short,0.688786321690093,0.0188,0.1106,0.0188,0.1578,0.0188,0.1578,False,False,False,False,False
2026-02-11,long,0.5149263498863917,0.0441,0.3693,0.0441,0.5213,0.0441,0.6749,False,False,False,False,False
2026-02-11,long,0.8262144979172846,0.1068,0.1774,0.1068,0.1922,0.2497,0.1922,False,False,False,False,False
2026-02-12,long,0.4179285932540389,0.1898,0.0949,0.1898,0.1325,0.1898,0.1325,False,False,False,False,False
2026-02-12,long,0.43019188039285317,0.018,0.2862,0.018,0.3196,0.018,0.3196,False,False,False,False,False
2026-02-12,long,0.7705612158978332,0.0346,0.1598,0.0346,0.3525,0.0346,0.4118,False,False,False,False,False
2026-02-12,long,0.7584839388171585,0.063,0.1012,0.063,0.1925,0.1278,0.1925,False,False,False,False,False
2026-02-12,long,0.762899916761435,0.0548,0.1361,0.1046,0.1361,0.1046,0.1361,False,False,False,False,False
2026-02-13,short,0.40202573662096264,0.0568,0.3563,0.0568,0.3563,0.2177,0.3563,False,False,False,False,False
2026-02-13,short,0.4443189335564948,0.2999,0.048,0.2999,0.048,0.3794,0.048,True,False,False,False,False
2026-02-13,short,0.5667245657708804,0.0951,0.1091,0.0951,0.1504,0.0951,0.1504,False,False,False,False,False
2026-02-13,short,0.6730595386083661,0.104,0.0116,0.104,0.0776,0.104,0.0776,False,False,False,False,False
2026-02-13,short,0.5291071050204375,0.076,0.0529,0.076,0.071,0.076,0.1635,False,False,False,False,False
2026-02-17,long,0.663377039408654,0.084,0.2083,0.1579,0.2537,0.1815,0.2537,False,False,False,False,False
2026-02-17,long,0.40132487052920734,0.1344,0.1596,0.1344,0.3008,0.1344,0.3008,False,False,False,False,False
2026-02-17,short,0.4829187731906055,0.0567,0.2684,0.0567,0.2867,0.0567,0.3067,False,False,False,False,False
2026-02-17,short,0.5687902849791746,0.1414,0.0383,0.193,0.0383,0.193,0.0383,False,False,False,False,False
2026-02-17,short,0.43810902141298935,0.2713,0.0183,0.2713,0.0183,0.5194,0.0183,True,True,False,False,False
2026-02-17,short,0.5034746395223858,0.1696,0.0308,0.1696,0.0657,0.1696,0.138,False,False,False,False,False
