direction,max_fav,final_pnl,level_hit
short,0.0,-0.07335109727253812,
short,0.09868863734915864,-0.044858471522357196,0.08
short,0.07029824403961041,-0.07927248795955198,0.07
short,0.010447917133099005,-0.889565515903228,
short,0.8576706544686874,0.7359840487919446,0.2
short,0.7514493285389308,0.5503779261759741,0.2
long,0.36600844180759534,-0.20514182827119842,0.2
long,0.4905872270000201,0.10048172119276974,0.2
long,0.4430921927155644,0.0782796207130958,0.2
long,0.3365705389576665,0.08451330713914097,0.2
long,0.24299896280930308,-0.680100755667511,0.2
long,0.23111795905063046,-0.5881655752763085,0.2
short,1.19572616686892,1.1424512386420853,0.2
short,1.3292720793718702,1.0779080599133481,0.2
long,0.10733292586574848,-0.11553196881381872,0.1
long,0.0,-0.4990465975449921,
long,0.15068104850139355,-0.13949186173148123,0.15
long,0.14022316367324136,-0.04773554508026285,0.1
long,0.5210984995956851,0.03893264652151641,0.2
short,0.379200692713088,0.14705223713479743,0.2
long,0.35729769326217076,-0.18238627020076148,0.2
long,0.09864733577461803,-0.336297735595247,0.08
long,0.19904220293324262,0.05686920083807175,0.15
long,0.22451728783116298,0.22451728783116298,0.2
long,0.8300839832033717,0.037492501499700064,0.2
short,0.8670822681676092,0.7714042247835984,0.2
long,0.0,-0.4333678228140397,
long,0.18601638751657032,0.009037233401623558,0.15
long,0.1475859160868676,-0.33432727929882045,0.1
short,0.3292869468242942,-1.0059452494518266,0.2
short,0.3330419843877206,-1.0699538864944558,0.2
long,1.1754777262041216,1.0534088854059935,0.2
long,1.3365936860853906,0.9803699594720047,0.2
long,1.4292189152440002,0.9314095784861878,0.2
long,1.4047065220674968,1.073920792677403,0.2
long,1.4552763211581756,1.21953062427273,0.2
long,0.42331682946166077,-0.04337875637592384,0.2
short,0.5189073124179915,0.29524036741023774,0.2
short,0.2164599101318234,-0.5792168629734121,0.2
short,0.24475420111631593,-0.565620989165161,0.2
short,0.17175201995311778,-0.42713980614422686,0.15
short,0.2112460531324994,-0.412041771481035,0.2
long,0.7680124316409148,0.48411678570361427,0.2
long,0.8433518751121458,0.6325139063341136,0.2
long,0.8901189318572715,0.5093873887351293,0.2
long,0.14300823787037442,-0.09831816353587394,0.1
short,0.5342977482103136,0.5342977482103136,0.2
long,0.15647120184786056,-0.3665896729006665,0.15
short,0.5796539957382745,0.27865114962225696,0.2
short,0.6019070321811796,0.5929678188319455,0.2
long,0.08668749159279704,-0.3549703319533083,0.08
long,0.046331584689644954,-0.2690221046496089,0.04
long,0.0,-0.3331441034987627,
long,0.2581497268415722,0.0015008705048914729,0.2
long,0.13040936549098445,-0.19336561090041876,0.1
long,0.027029462113696424,-1.2929092711055068,
long,0.0,-0.9354790194014178,
long,0.0,-1.021943951115253,
long,0.0,-1.1378687537627854,
long,0.02413564230979332,-0.7798829421347914,
long,0.0,-0.7676298485853941,
long,0.0,-0.4932173177437364,
long,0.9333130328867228,0.4826431181486104,0.2
short,0.45147070000760464,0.4301892528692013,0.2
long,0.051502666020363526,-1.1194255937954416,0.05
short,1.3452507195879406,1.3301014997727576,0.2
short,1.3153508107288907,1.1774511289589304,0.2
long,0.06211274220181614,-1.1816570467663603,0.06
long,0.0,-0.44801365374945595,
long,1.3475101024845169,1.1831046509841174,0.2
long,2.2053830483363113,1.950737699858014,0.2
long,2.330145093252166,2.191078078402903,0.2
long,2.427732261555115,2.4006801669500653,0.2
long,2.2791121264509733,2.188812052358599,0.2
short,0.2125544766419604,0.08486887376711731,0.2
short,0.5540736224373128,0.27589360567029125,0.2
long,0.7275506304929295,0.4768819258693167,0.2
long,0.7244715484433046,0.48756629526037487,0.2
short,0.35578494098246133,-0.7360014658950434,0.2
long,0.8438882954372176,0.5371585533343654,0.2
long,0.12506442712913401,-0.4881302489160952,0.1
short,0.7011792560214913,0.3551427400628378,0.2
long,0.17628375605976657,-0.004559062656713632,0.15
long,0.16106240408430844,-0.05773935240757836,0.15
long,0.05767975592357572,-0.18214659765333432,0.05
long,0.22040828735161133,0.013680514387345803,0.2
short,0.2874612155502808,0.17491026343006286,0.2
long,0.1302946487759015,-0.28192409384262884,0.1
long,0.029155413699983826,-0.7388595629756846,
long,0.0601267286434464,-0.5426822687818913,0.06
long,0.677452284468091,-0.8228415875274441,0.2
long,0.7296446174201558,-0.8054719477565232,0.2
long,0.8037415018660959,-1.0329394638626164,0.2
long,0.014021749291127634,-0.4229894369488723,
long,0.3721250214988188,-0.11882983879795872,0.2
short,0.5252297880322663,0.5064715813168275,0.2
short,0.4645488245507058,0.45359986235591804,0.2
long,0.7822952574333834,0.06925752782107233,0.2
short,0.7217724220172006,0.6856838009163378,0.2
long,2.0515058926233194,1.7451688425062506,0.2
short,0.21817158139207263,-0.2979332348042278,0.2
long,1.6643702636688165,1.3089497087743494,0.2
short,0.0,-0.621635379228445,
short,0.015398355455623335,-0.843829878968929,
short,0.1261266804072871,-0.4737441166518043,0.1
short,0.041550607100534286,-0.6863544728459144,0.04
short,0.13762730525737696,-0.5520384133100743,0.1
short,0.5855246148464743,0.4197527109029232,0.2
short,1.6529556311909581,0.06257726766282785,0.2
short,1.6754661702322486,0.01068147831660665,0.2
short,0.0,-1.283799488649565,
short,0.10385326145057806,-0.597156253340863,0.1
short,0.07462913887112144,-0.11118218648145,0.07
short,0.007617190475458101,-0.24070321902470115,
short,0.9698783284978644,0.6258259535491325,0.2
short,0.4737026487746202,-0.019801075350706816,0.2
short,0.5032547870113158,-3.1786516426205793,0.2
short,0.1111669483911104,-2.7654681955929283,0.1
short,0.07160159046935811,-2.7703721759266404,0.07
short,0.6568144499179063,0.0983742363052654,0.2
long,0.0,-0.19302021165665528,
long,0.07776222533270787,0.033326667999736756,0.07
long,0.21940552961233686,0.173448965977329,0.2
short,0.1482206115582433,-0.23789408155098318,0.1
short,0.092629350271271,-0.2749474365194896,0.08
short,0.25995388388726254,0.2276432316526832,0.2
short,0.23064831274149022,0.19832816700701092,0.2
short,0.2159890683083835,0.10725987745926595,0.2
short,0.7665710292061977,-0.06032516736555112,0.2
long,0.2622042836520008,0.11489850631941383,0.2
short,0.12218100453395174,-0.026497085320607367,0.1
short,0.0801735868485836,0.04045456217130334,0.08
long,0.5614410319820896,0.11863783711524957,0.2
short,0.2769851996462546,-0.021691612020508445,0.2
short,0.36841929783616784,-0.1233621178274946,0.2
short,0.6483251600033211,-0.22275787548832715,0.2
short,0.562367935044839,-0.6197693958704262,0.2
short,0.5408553835912797,-0.9851888833416663,0.2
short,0.446421135042404,-1.2309896223743584,0.2
short,0.4480794216610678,-1.4375187393810167,0.2
short,0.19470213845122702,0.009816914543768568,0.15
long,0.7419105430258749,0.22372468703219556,0.2
long,0.853068080761495,0.3046671717005406,0.2
long,0.2850223240028367,-0.016475278844098183,0.2
long,0.3199736104238916,-0.3908955962394862,0.2
long,0.22079420003295963,-0.5074971164936443,0.2
short,1.5381321739703295,1.3355730118735922,0.2
short,1.6239963143346063,1.4841384757140945,0.2
long,0.0646155375515659,-0.4738472753781688,0.06
long,0.0,-0.18111426814881806,
long,0.8479390486374573,0.3074301181266866,0.2
long,0.5840887881615776,-0.8898813491534515,0.2
long,0.5070436607053773,-0.90418623239084,0.2
short,1.111166641677905,0.9712296133406512,0.2
short,1.060070671378094,0.9033935595706502,0.2
long,0.17315580660345178,-0.24040078004170257,0.15
long,0.20179259084871365,0.013452839389920616,0.2
long,0.16819443276427554,-0.055504162812198686,0.15
long,0.1833596877838573,-0.272516233220066,0.15
long,0.3961965134706853,0.0,0.2
long,0.3251566817171076,-0.06570523620189811,0.2
long,1.3092793914711676,1.2924506075190922,0.2
long,1.6104281546685477,1.556466164145633,0.2
long,1.593296353121669,1.4179494528839451,0.2
long,1.5504921127140237,1.1611837670217044,0.2
long,1.5573383671543004,1.0854176498348178,0.2
long,0.2695776616633758,-0.11981229407262409,0.2
long,0.5076480085218403,-0.039946072801700275,0.2
short,0.31590323385154057,-0.2926261534624642,0.2
short,0.296010510036101,-0.5687392945637103,0.2
long,0.9328979809422309,0.7813020590391242,0.2
short,0.4482079949721377,0.3175495757736068,0.2
short,0.6076618229854794,0.3252972258916822,0.2
