symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
NVDA,2026-01-02 09:37:00+00:00,2026-01-02 12:00:00+00:00,190.06,189.67988,-20.0,0.7468128389018006,expanded,loss
NVDA,2026-01-02 12:24:00+00:00,2026-01-02 13:05:00+00:00,189.36,188.98128000000003,-20.0,0.7030509574191646,expanded,loss
NVDA,2026-01-02 13:59:00+00:00,2026-01-02 14:27:00+00:00,189.1,188.7218,-40.0,0.9593479274158334,core,loss
NVDA,2026-01-02 15:17:00+00:00,2026-01-02 15:41:00+00:00,191.0811,190.69893779999998,-20.0,0.7605761444354876,expanded,loss
NVDA,2026-01-02 15:42:00+00:00,2026-01-02 15:56:00+00:00,191.555,193.08744000000002,80.0,0.671765206404936,expanded,win
NVDA,2026-01-02 16:12:00+00:00,2026-01-05 09:10:00+00:00,188.6198,190.1287584,80.0,0.7597132675323585,expanded,win
NVDA,2026-01-05 09:27:00+00:00,2026-01-05 10:46:00+00:00,190.2,189.81959999999998,-40.0,1.2446169688300464,core,loss
NVDA,2026-01-05 11:39:00+00:00,2026-01-05 12:07:00+00:00,191.19,190.80762,-20.0,0.7209151863045437,expanded,loss
NVDA,2026-01-05 12:23:00+00:00,2026-01-05 13:01:00+00:00,191.76,193.29407999999998,80.0,0.772638220964641,expanded,win
NVDA,2026-01-05 13:38:00+00:00,2026-01-05 14:03:00+00:00,191.67,191.28665999999998,-20.0,0.7391126837078962,expanded,loss
NVDA,2026-01-05 14:17:00+00:00,2026-01-05 14:28:00+00:00,192.05,191.66590000000002,-20.0,0.629774939154719,expanded,loss
NVDA,2026-01-05 14:34:00+00:00,2026-01-05 14:39:00+00:00,192.975,194.5188,80.0,0.633287721277081,expanded,win
NVDA,2026-01-05 15:00:00+00:00,2026-01-05 16:08:00+00:00,190.17,189.78966,-20.0,0.7356913806858754,expanded,loss
NVDA,2026-01-05 16:38:00+00:00,2026-01-05 17:03:00+00:00,190.18,191.70144000000002,160.0,0.9677750995307461,core,win
NVDA,2026-01-05 17:46:00+00:00,2026-01-05 18:16:00+00:00,187.7301,187.3546398,-20.0,0.641280322302842,expanded,loss
NVDA,2026-01-05 19:16:00+00:00,2026-01-05 21:02:00+00:00,186.64,188.13312,160.0,1.298275165234345,core,win
NVDA,2026-01-05 21:06:00+00:00,2026-01-05 22:14:00+00:00,188.4238,188.0469524,-40.0,1.301675440728288,core,loss
NVDA,2026-01-05 23:31:00+00:00,2026-01-06 09:44:00+00:00,187.5101,189.0101808,80.0,0.7276737200770205,expanded,win
NVDA,2026-01-06 09:57:00+00:00,2026-01-06 14:47:00+00:00,189.19,190.70352,160.0,0.8163903936544796,core,win
NVDA,2026-01-06 15:11:00+00:00,2026-01-06 15:36:00+00:00,191.082,190.699836,-40.0,0.962208680237191,core,loss
NVDA,2026-01-06 16:25:00+00:00,2026-01-06 16:30:00+00:00,188.64,188.26271999999997,-20.0,0.6336496733572227,expanded,loss
NVDA,2026-01-06 16:59:00+00:00,2026-01-06 18:33:00+00:00,189.49,191.00592,80.0,0.6529242075764577,expanded,win
NVDA,2026-01-06 18:34:00+00:00,2026-01-06 20:26:00+00:00,187.5699,187.1947602,-40.0,1.3639903925847494,core,loss
NVDA,2026-01-06 20:30:00+00:00,2026-01-07 12:28:00+00:00,187.005,188.50104,80.0,0.6502735239297959,expanded,win
NVDA,2026-01-07 13:00:00+00:00,2026-01-07 14:27:00+00:00,188.12,187.74376,-40.0,1.2052934041547811,core,loss
NVDA,2026-01-07 14:31:00+00:00,2026-01-07 14:44:00+00:00,187.055,188.55144,160.0,1.060954681332966,core,win
NVDA,2026-01-07 15:14:00+00:00,2026-01-07 15:38:00+00:00,190.515,190.13396999999998,-40.0,0.8099690260956772,core,loss
NVDA,2026-01-07 15:51:00+00:00,2026-01-08 14:31:00+00:00,190.3097,191.8321776,80.0,0.723170057656982,expanded,win
NVDA,2026-01-08 15:59:00+00:00,2026-01-08 17:34:00+00:00,185.4629,186.9466032,80.0,0.7120279233356068,expanded,win
NVDA,2026-01-08 18:03:00+00:00,2026-01-08 19:11:00+00:00,184.2998,183.9312004,-40.0,0.8066573047476168,core,loss
NVDA,2026-01-08 19:15:00+00:00,2026-01-09 09:09:00+00:00,183.9,185.37120000000002,80.0,0.76967095790232,expanded,win
NVDA,2026-01-09 09:33:00+00:00,2026-01-09 11:42:00+00:00,185.79,185.41842,-20.0,0.7289500204840033,expanded,loss
NVDA,2026-01-09 13:00:00+00:00,2026-01-09 14:01:00+00:00,185.78,185.40844,-40.0,3.9399409411323365,core,loss
NVDA,2026-01-09 14:03:00+00:00,2026-01-09 14:30:00+00:00,186.15,187.63920000000002,160.0,0.9880460281868153,core,win
NVDA,2026-01-09 14:32:00+00:00,2026-01-09 14:39:00+00:00,184.0887,185.5614096,80.0,0.6230643041240063,expanded,win
NVDA,2026-01-09 14:56:00+00:00,2026-01-09 15:08:00+00:00,184.66,184.29068,-20.0,0.6473936604690459,expanded,loss
NVDA,2026-01-09 15:13:00+00:00,2026-01-09 15:30:00+00:00,184.76,184.39048,-20.0,0.6486163179689008,expanded,loss
NVDA,2026-01-09 15:45:00+00:00,2026-01-09 19:08:00+00:00,184.5,185.976,80.0,0.7876211033134777,expanded,win
NVDA,2026-01-09 19:48:00+00:00,2026-01-12 09:00:00+00:00,185.94,187.42752,160.0,1.0375198717957348,core,win
NVDA,2026-01-12 09:22:00+00:00,2026-01-12 12:07:00+00:00,182.72,182.35456,-40.0,1.0343594650119177,core,loss
NVDA,2026-01-12 12:47:00+00:00,2026-01-12 14:31:00+00:00,183.01,184.47408,160.0,1.1506462654143061,core,win
NVDA,2026-01-12 16:01:00+00:00,2026-01-12 16:15:00+00:00,184.5,184.131,-40.0,0.8621421086205786,core,loss
NVDA,2026-01-12 16:26:00+00:00,2026-01-12 17:22:00+00:00,184.94,186.41952,80.0,0.7461991436547669,expanded,win
NVDA,2026-01-12 17:24:00+00:00,2026-01-12 18:44:00+00:00,186.57,186.19686,-20.0,0.7567674453243161,expanded,loss
NVDA,2026-01-12 19:00:00+00:00,2026-01-12 20:02:00+00:00,186.8,186.4264,-20.0,0.6624446975569325,expanded,loss
NVDA,2026-01-12 20:17:00+00:00,2026-01-13 00:52:00+00:00,186.1494,187.63859520000003,80.0,0.6075624969905968,expanded,win
NVDA,2026-01-13 00:55:00+00:00,2026-01-13 09:03:00+00:00,184.67,184.30066,-40.0,0.9399600072907169,core,loss
NVDA,2026-01-13 10:05:00+00:00,2026-01-13 12:00:00+00:00,185.47,185.09906,-20.0,0.6073926254923826,expanded,loss
NVDA,2026-01-13 12:56:00+00:00,2026-01-13 14:31:00+00:00,184.7,184.33059999999998,-20.0,0.6465194807058031,expanded,loss
NVDA,2026-01-13 14:32:00+00:00,2026-01-13 15:41:00+00:00,183.985,183.61703,-40.0,0.9240923336967742,core,loss
NVDA,2026-01-13 16:27:00+00:00,2026-01-13 16:45:00+00:00,185.32,186.80256,160.0,2.9856820548832292,core,win
NVDA,2026-01-13 17:06:00+00:00,2026-01-13 17:43:00+00:00,187.5555,189.05594399999998,80.0,0.6433357588898809,expanded,win
NVDA,2026-01-13 18:21:00+00:00,2026-01-13 18:50:00+00:00,184.995,184.62501,-20.0,0.7291482342838739,expanded,loss
NVDA,2026-01-13 18:52:00+00:00,2026-01-14 10:49:00+00:00,184.535,184.16593,-20.0,0.6548445789561034,expanded,loss
NVDA,2026-01-14 11:43:00+00:00,2026-01-14 12:01:00+00:00,184.45,184.0811,-40.0,0.916036182659779,core,loss
NVDA,2026-01-14 12:33:00+00:00,2026-01-14 14:30:00+00:00,184.54,184.17092,-20.0,0.7012018172680664,expanded,loss
NVDA,2026-01-14 16:26:00+00:00,2026-01-14 20:00:00+00:00,181.5,181.137,-20.0,0.7193896918301372,expanded,loss
NVDA,2026-01-14 20:01:00+00:00,2026-01-14 20:33:00+00:00,181.13,182.57904,160.0,0.9254627983041647,core,win
NVDA,2026-01-14 20:50:00+00:00,2026-01-14 20:55:00+00:00,182.3699,182.0051602,-40.0,0.8010432906516096,core,loss
NVDA,2026-01-14 21:02:00+00:00,2026-01-15 09:00:00+00:00,183.25,182.8835,-20.0,0.6356632606953181,expanded,loss
NVDA,2026-01-15 09:05:00+00:00,2026-01-15 11:02:00+00:00,184.76,186.23808,160.0,2.0993396781628912,core,win
NVDA,2026-01-15 11:17:00+00:00,2026-01-15 12:25:00+00:00,186.5,187.992,80.0,0.6146929543042629,expanded,win
NVDA,2026-01-15 12:56:00+00:00,2026-01-15 14:31:00+00:00,185.46,186.94368,160.0,1.1355731072237665,core,win
