entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
83,97,14,1.734,1.6174050356294538,-0.06724046388151451,time,long,0.7262247838617697,Tight Scalp (+20/-10%),AAPL
90,104,14,1.734,1.5818780341716248,-0.08772893069687153,time,short,0.7677946324387697,Tight Scalp (+20/-10%),AAPL
124,138,14,1.734,1.6629275201432399,-0.04098758930609004,time,long,0.6979472140763298,Tight Scalp (+20/-10%),AAPL
128,142,14,1.734,1.6497875820895498,-0.04856540825285478,time,short,0.6003430531732611,Tight Scalp (+20/-10%),AAPL
205,219,14,1.734,1.8142676938174718,0.04629048086359388,time,long,0.7162790697675572,Tight Scalp (+20/-10%),AAPL
227,241,14,1.734,1.727836067682836,-0.003554747587753204,time,short,0.767123287671139,Tight Scalp (+20/-10%),AAPL
249,263,14,1.734,1.7718312937637666,0.02181735511174544,time,long,0.6893939393939039,Tight Scalp (+20/-10%),AAPL
344,358,14,1.734,1.6886562989820137,-0.026149769906566457,time,long,0.6724890829694931,Tight Scalp (+20/-10%),AAPL
359,373,14,1.734,1.7846578716280983,0.029214458839733747,time,long,0.61059190031146,Tight Scalp (+20/-10%),AAPL
377,391,14,1.734,1.7359917159763316,0.0011486251305257392,time,long,0.6847826086959037,Tight Scalp (+20/-10%),AAPL
380,394,14,1.734,1.7099612565882205,-0.013863173824555637,time,short,0.613402061855559,Tight Scalp (+20/-10%),AAPL
418,432,14,1.734,1.8466778435981828,0.0649814553622738,time,long,0.6239554317547449,Tight Scalp (+20/-10%),AAPL
453,467,14,1.734,1.8657820860927103,0.07599889624723781,time,short,0.6494464944649443,Tight Scalp (+20/-10%),AAPL
475,481,6,1.734,1.521722179313656,-0.12242088851576935,sl,short,0.7139442231075571,Tight Scalp (+20/-10%),AAPL
502,516,14,1.734,1.6923011585722707,-0.024047774756475942,time,short,0.766073871408979,Tight Scalp (+20/-10%),AAPL
548,562,14,1.734,1.661940216532051,-0.041556968551297035,time,long,0.727272727272573,Tight Scalp (+20/-10%),AAPL
560,574,14,1.734,1.6641858855961393,-0.04026188835286081,time,long,0.6817391304347431,Tight Scalp (+20/-10%),AAPL
568,582,14,1.734,1.641849123097628,-0.05314352762535871,time,long,0.6016528925619443,Tight Scalp (+20/-10%),AAPL
612,626,14,1.734,1.7063629619907787,-0.015938314884210634,time,short,0.6715867158671543,Tight Scalp (+20/-10%),AAPL
652,666,14,1.734,1.7352234064735128,0.0007055400654629888,time,short,0.6242038216561393,Tight Scalp (+20/-10%),AAPL
684,698,14,1.734,1.6216663823305377,-0.06478293983244651,time,long,0.6117647058823386,Tight Scalp (+20/-10%),AAPL
757,771,14,1.734,1.6436647684749695,-0.052096442632658904,time,long,0.6935779816513237,Tight Scalp (+20/-10%),AAPL
763,777,14,1.734,1.5986739351287362,-0.07804271330522708,time,long,0.639593908629402,Tight Scalp (+20/-10%),AAPL
800,814,14,1.734,1.7052469645286192,-0.01658191203655176,time,long,0.7127272727272033,Tight Scalp (+20/-10%),AAPL
921,935,14,1.734,1.590862585551331,-0.08254752851711016,time,short,0.6274509803920233,Tight Scalp (+20/-10%),AAPL
979,993,14,1.734,1.6900242565557815,-0.0253608670381883,time,long,0.6491935483870988,Tight Scalp (+20/-10%),AAPL
996,1010,14,1.734,1.6952558912159594,-0.02234377669206491,time,short,0.6652267818575345,Tight Scalp (+20/-10%),AAPL
1007,1021,14,1.734,1.694674510661568,-0.022679059595404873,time,long,0.7865168539323532,Tight Scalp (+20/-10%),AAPL
1095,1109,14,1.734,1.6882741293191892,-0.026370167635992387,time,short,0.6282051282051347,Tight Scalp (+20/-10%),AAPL
1120,1134,14,1.734,1.710933326499234,-0.013302579873567519,time,short,0.707865168539587,Tight Scalp (+20/-10%),AAPL
1130,1144,14,1.734,1.7062881149515625,-0.015981479266688275,time,short,0.6302250803857649,Tight Scalp (+20/-10%),AAPL
1187,1201,14,1.734,1.7485798516497517,0.008408218944493501,time,long,0.6268656716419075,Tight Scalp (+20/-10%),AAPL
1297,1311,14,1.734,1.7690643053560462,0.0202216293864165,time,long,0.7125748502994611,Tight Scalp (+20/-10%),AAPL
1323,1337,14,1.734,1.8248297008035543,0.052381603692937914,time,long,0.6678899082568518,Tight Scalp (+20/-10%),AAPL
1356,1370,14,1.734,1.6356381957551238,-0.05672537730385016,time,long,0.6526806526804703,Tight Scalp (+20/-10%),AAPL
1368,1382,14,1.734,1.5828230201742872,-0.0871839560701919,time,short,0.6060606060604286,Tight Scalp (+20/-10%),AAPL
1493,1507,14,1.734,1.7656633150684922,0.01826027397260218,time,long,0.693069306930108,Tight Scalp (+20/-10%),AAPL
1494,1508,14,1.734,1.7743914131607315,0.023293779216108115,time,short,0.633165829145986,Tight Scalp (+20/-10%),AAPL
1497,1511,14,1.734,1.7481861394680038,0.008181164629760002,time,short,0.6730769230763712,Tight Scalp (+20/-10%),AAPL
1506,1520,14,1.734,1.6383937553779921,-0.055136242573245585,time,short,0.7758186397982008,Tight Scalp (+20/-10%),AAPL
1511,1525,14,1.734,1.6145166365873644,-0.06890620727372292,time,long,0.6730769230766986,Tight Scalp (+20/-10%),AAPL
1538,1552,14,1.734,1.6649661889016412,-0.03981188644657371,time,short,0.6726726726725536,Tight Scalp (+20/-10%),AAPL
1598,1612,14,1.734,1.7505095936740487,0.009521103618251843,time,long,0.602739726027457,Tight Scalp (+20/-10%),AAPL
1600,1614,14,1.734,1.7551402634730557,0.01219161676646814,time,short,0.7328519855594796,Tight Scalp (+20/-10%),AAPL
1674,1688,14,1.734,1.6537332027098108,-0.04628996383517252,time,short,0.6853146853146831,Tight Scalp (+20/-10%),AAPL
1684,1698,14,1.734,1.697009178990313,-0.02133265340812398,time,long,0.689119170984425,Tight Scalp (+20/-10%),AAPL
1705,1719,14,1.734,1.714319429657794,-0.011349809885931978,time,long,0.6780104712042081,Tight Scalp (+20/-10%),AAPL
1707,1721,14,1.734,1.6623945662581068,-0.04129494448782769,time,short,0.6173541963014684,Tight Scalp (+20/-10%),AAPL
1828,1842,14,1.734,1.7802840620746037,0.026692077320994042,time,long,0.7257019438445206,Tight Scalp (+20/-10%),AAPL
1861,1875,14,1.734,1.7630148240024481,0.016732885814560637,time,long,0.6921348314607706,Tight Scalp (+20/-10%),AAPL
1866,1880,14,1.734,1.7328519838056702,-0.0006620623958072687,time,short,0.6337448559671847,Tight Scalp (+20/-10%),AAPL
1917,1931,14,1.734,1.738048634600991,0.0023348527110674273,time,long,0.7424242424242379,Tight Scalp (+20/-10%),AAPL
1944,1958,14,1.734,1.7016289371242272,-0.018668433031010807,time,short,0.765625000000149,Tight Scalp (+20/-10%),AAPL
1958,1972,14,1.734,1.717789614835945,-0.009348549690919798,time,short,0.7019498607244538,Tight Scalp (+20/-10%),AAPL
1964,1978,14,1.734,1.6923967162354854,-0.023992666530861944,time,long,0.7272727272728883,Tight Scalp (+20/-10%),AAPL
2018,2032,14,1.734,1.6935447145187588,-0.023330614464383635,time,short,0.6540145985400354,Tight Scalp (+20/-10%),AAPL
2085,2099,14,1.734,1.7419065890002716,0.004559739907884449,time,short,0.6536964980545013,Tight Scalp (+20/-10%),AAPL
2097,2111,14,1.734,1.6751949864791804,-0.03391292590589364,time,short,0.7547169811320251,Tight Scalp (+20/-10%),AAPL
2116,2130,14,1.734,1.7965012192274534,0.03604453242644374,time,long,0.701559020044604,Tight Scalp (+20/-10%),AAPL
2137,2151,14,1.734,1.6850058384716466,-0.028254995114390623,time,short,0.7124681933840106,Tight Scalp (+20/-10%),AAPL
2164,2178,14,1.734,1.7353504109312416,0.0007787836973712015,time,short,0.7402298850574872,Tight Scalp (+20/-10%),AAPL
2207,2221,14,1.734,1.8235104319272517,0.051620779658161316,time,long,0.6758620689654832,Tight Scalp (+20/-10%),AAPL
2240,2254,14,1.734,1.6754770655441995,-0.03375025055121135,time,short,0.6299999999999933,Tight Scalp (+20/-10%),AAPL
2340,2354,14,1.734,1.6053395165831006,-0.07419866402358673,time,short,0.628571428571495,Tight Scalp (+20/-10%),AAPL
2359,2373,14,1.734,1.704429797698002,-0.017053173184543205,time,long,0.7880794701984906,Tight Scalp (+20/-10%),AAPL
2390,2404,14,1.734,1.712959570582924,-0.012134042339720916,time,short,0.6562499999998122,Tight Scalp (+20/-10%),AAPL
2435,2449,14,1.734,1.5735912747875338,-0.09250791534744301,time,long,0.6311475409836561,Tight Scalp (+20/-10%),AAPL
2464,2478,14,1.734,1.7044576914807865,-0.017037086804621376,time,short,0.6602985074626606,Tight Scalp (+20/-10%),AAPL
2587,2601,14,1.734,1.652183711254071,-0.04718355752360384,time,short,0.6496519721575935,Tight Scalp (+20/-10%),AAPL
2621,2635,14,1.734,1.6140156259830662,-0.06919514072487529,time,long,0.7516778523488679,Tight Scalp (+20/-10%),AAPL
2634,2646,12,1.734,1.5028371928413407,-0.133311884174544,sl,short,0.7098591549293892,Tight Scalp (+20/-10%),AAPL
2651,2665,14,1.734,1.920495862068967,0.10755240027045383,time,long,0.7504187604689923,Tight Scalp (+20/-10%),AAPL
2724,2738,14,1.734,1.7735410724365044,0.0228033866415827,time,long,0.6652267818575345,Tight Scalp (+20/-10%),AAPL
2748,2762,14,1.734,1.7015978325123133,-0.01868637110016531,time,long,0.7967479674795117,Tight Scalp (+20/-10%),AAPL
