symbol,direction,slack,timestamp,entry_price,micro_3_5_hit,micro_3_5_bars,micro_3_5_pnl,micro_3_5_win,micro_5_10_hit,micro_5_10_bars,micro_5_10_pnl,micro_5_10_win,micro_5_15_hit,micro_5_15_bars,micro_5_15_pnl,micro_5_15_win,micro_7_20_hit,micro_7_20_bars,micro_7_20_pnl,micro_7_20_win
AAPL,short,0.6913580246913553,2026-05-29 14:42:00+00:00,313.52,True,3,0.3,True,True,9,0.5,True,True,9,0.5,True,True,16,0.7,True
AAPL,short,0.7335562987737119,2026-05-29 14:54:00+00:00,312.26,True,4,0.3,True,False,10,0.4355344904886997,True,True,10,0.5,True,False,20,0.4979824505220031,True
AAPL,short,0.6163522012579267,2026-05-29 15:37:00+00:00,311.895,False,5,0.0480931082575794,True,False,10,0.22924381602782185,True,False,15,0.26290899180813837,True,False,20,0.2516872665480268,True
AAPL,short,0.7991543340379789,2026-05-29 16:35:00+00:00,311.495,False,5,-0.0401290550410119,False,False,10,0.030498081831177797,True,False,15,0.0722322990738287,True,False,20,0.13001813833288803,True
AAPL,long,0.7811158798283042,2026-05-29 16:38:00+00:00,311.5,False,5,-0.012841091492783455,False,False,10,-0.08025682182985554,False,False,15,-0.15409309791332848,False,False,20,-0.18619582664525974,False
AAPL,short,0.7974683544301662,2026-05-29 17:16:00+00:00,310.62,False,5,0.09014229605306469,True,False,10,0.08692292833686878,True,False,15,0.06438735432360718,True,False,20,0.12394565707294794,True
AAPL,short,0.682926829268156,2026-05-29 17:31:00+00:00,310.435,False,5,0.06442572519206553,True,False,10,0.16267495610997323,True,False,15,0.12240887786493002,True,False,20,0.183613316797395,True
AAPL,long,0.768292682927134,2026-05-29 17:51:00+00:00,309.87,False,5,-0.016135798883406386,False,False,10,-0.05486171620357437,False,False,15,0.016135798883406386,True,False,20,0.11940491173718158,True
AAPL,long,0.7142857142858634,2026-05-29 18:15:00+00:00,310.1,False,5,0.05159625927119257,True,False,10,0.009674298613341733,True,False,15,0.048371493066745326,True,False,20,0.17252499193807422,True
AAPL,short,0.6064981949458007,2026-05-29 18:45:00+00:00,310.58,False,5,0.04829673514069717,True,False,10,0.019318694056282528,True,False,15,0.003219782342710704,True,False,20,-0.14650009659348345,False
AAPL,long,0.7650273224045521,2026-05-29 19:22:00+00:00,311.07,False,5,0.10287073649017688,True,False,10,0.19288263091909305,True,False,15,0.20252676246503856,True,False,20,0.24753270967948754,True
AAPL,long,0.7777777777778204,2026-05-29 19:31:00+00:00,311.51,False,5,0.04173220763378237,True,False,10,0.08346441526756473,True,False,15,0.09309492472152434,True,False,20,0.3900356328849898,True
AAPL,short,0.6397849462367695,2026-05-29 19:40:00+00:00,311.87,False,5,0.03847757078269937,True,False,10,0.054509891942160486,True,False,15,-0.29178824510211565,False,False,20,-0.04489049924647653,False
AAPL,short,0.6766398158804441,2026-05-29 19:55:00+00:00,312.735,False,5,0.23182566709834931,True,True,8,0.5,True,True,8,0.5,True,True,8,0.7,True
AAPL,short,0.6249424758398731,2026-06-01 13:37:00+00:00,310.445,True,3,0.3,True,False,10,0.1658908985488529,True,False,15,0.17233326354103568,True,False,20,0.10468843112306163,True
AAPL,short,0.6000000000001267,2026-06-01 15:43:00+00:00,307.1,False,5,0.15304461087594504,True,False,10,0.16932595245849516,True,False,15,0.08791924454576315,True,False,20,0.06512536633020041,True
AAPL,long,0.6017191977078619,2026-06-01 15:51:00+00:00,306.655,False,5,0.0375014266847138,True,False,10,0.08967732468084137,True,False,15,0.06032838205801383,True,False,20,-0.014674471311395241,False
AAPL,short,0.7522388059704357,2026-06-01 16:10:00+00:00,306.725,False,5,0.19398483984025666,True,False,10,0.24451870568098455,True,False,15,0.29668269622626947,True,False,20,0.32765506561251784,True
AAPL,long,0.7098591549294121,2026-06-01 16:47:00+00:00,306.02,False,5,0.11273772956016839,True,False,10,0.12090713025292614,True,False,15,-0.10946996928304673,False,False,20,-0.1503169727468726,False
AAPL,long,0.6932599724897007,2026-06-01 17:57:00+00:00,308.0,False,5,-0.10389610389610168,False,False,10,-0.10064935064935138,False,False,15,-0.1801948051948074,False,False,20,-0.16883116883116292,False
AAPL,short,0.7044025157231665,2026-06-01 18:27:00+00:00,307.88,False,5,-0.10393659867480615,False,False,10,0.0032480187085848077,True,False,15,0.03572820579446981,True,False,20,0.019488112251527308,True
AAPL,short,0.613545816733146,2026-06-01 18:44:00+00:00,307.855,False,5,0.0032482824706406926,True,False,10,0.1315554400610773,True,False,15,0.056844943236267514,True,False,20,0.060093225706908206,True
AAPL,short,0.6363636363638555,2026-06-01 18:57:00+00:00,307.6,False,5,-0.03576072821845149,False,False,10,-0.026007802340697033,False,False,15,-0.13003901170350365,False,False,20,-0.006501950585169638,False
AAPL,short,0.7130977130977092,2026-06-02 13:59:00+00:00,309.065,False,5,0.08574248135505035,True,False,10,-0.011324478669543626,False,False,15,0.08412469868797531,True,False,20,-0.03073787067446242,False
AAPL,long,0.6425120772946715,2026-06-02 14:02:00+00:00,308.8,False,5,-0.02590673575129018,False,False,10,0.11658031088083343,True,False,15,0.04857512953367139,True,False,20,0.259067357512957,True
AAPL,short,0.7174515235457237,2026-06-02 14:12:00+00:00,309.0,False,5,0.016181229773466463,True,False,10,-0.19417475728156075,False,False,15,-0.24919093851132096,False,False,20,-0.31715210355987644,False
AAPL,long,0.7823050058207381,2026-06-02 14:25:00+00:00,309.62,False,5,0.24061753116723872,True,False,10,0.19378593114140646,True,False,15,0.18732640010334736,True,False,20,0.04198695174730167,True
AAPL,long,0.637436762225932,2026-06-02 14:44:00+00:00,309.805,False,5,-0.04034796081406045,False,False,10,0.19689804877261943,True,False,15,0.2049676409354242,True,False,20,0.29857491002405107,True
AAPL,short,0.7169274537695773,2026-06-02 15:00:00+00:00,310.53,False,5,-0.09660902328277829,False,True,8,-0.5,False,True,8,-0.5,False,False,20,-0.5377902296074505,False
AAPL,short,0.6678023850087105,2026-06-02 15:33:00+00:00,312.55,False,5,-0.038393856982884195,False,False,10,-0.06558950567908625,False,False,15,-0.028795392737154053,False,False,20,-0.15677491601344073,False
AAPL,long,0.7205882352938451,2026-06-02 16:13:00+00:00,312.22,False,5,0.01921721862787311,True,False,10,0.008007174428280464,True,False,15,-0.019217218627891317,False,False,20,0.01921721862787311,True
AAPL,long,0.6327683615817812,2026-06-02 16:29:00+00:00,312.22,False,5,0.043238741912750914,True,False,10,-0.03843443725578263,False,False,15,-0.02242008839922171,False,False,20,0.14412913970917576,True
AAPL,short,0.6312997347482647,2026-06-02 16:31:00+00:00,312.41,False,5,0.0592170545117001,True,False,10,0.001600460932765371,True,False,15,0.048013827982469864,True,False,20,-0.19685669472806638,False
AAPL,long,0.67898383371819,2026-06-02 17:18:00+00:00,314.3,False,5,0.062042634425705755,True,False,10,0.07476932866688311,True,False,15,0.0540884505249812,True,False,20,0.13044861597199114,True
AAPL,short,0.7298578199052991,2026-06-02 17:38:00+00:00,314.675,False,5,-0.12075951378406147,False,False,10,-0.17796138873440923,False,False,15,-0.09374751727973811,False,False,20,0.030189878446024398,True
AAPL,short,0.7417218543044927,2026-06-02 19:34:00+00:00,314.92,False,5,0.007938524069615809,True,False,10,-0.028578686650569982,False,False,15,0.025403277022748926,True,False,20,0.2699098183665765,True
AAPL,long,0.6331658291456711,2026-06-03 16:43:00+00:00,309.71,False,5,0.09040715508056879,True,False,10,0.083949501146249,True,False,15,0.19050079106261725,True,False,20,0.1291530786865242,True
AAPL,long,0.6192307692308263,2026-06-03 17:20:00+00:00,308.96,False,5,0.06473329880892204,True,False,10,0.08415328845159495,True,False,15,0.1375582599689317,True,False,20,0.14726825479027736,True
AAPL,short,0.6187845303866554,2026-06-03 17:52:00+00:00,309.49,False,5,0.0355423438560256,True,False,10,0.009693366506197149,True,False,15,0.13086044783354212,True,False,20,0.012924488674923412,True
AAPL,short,0.7567567567564855,2026-06-03 18:33:00+00:00,309.845,False,5,0.09843631493166158,True,False,10,0.12425567622522478,True,False,15,0.05647985282964429,True,False,20,0.05325243266795348,True
AAPL,long,0.7932011331445121,2026-06-03 20:05:00+00:00,310.17,True,3,0.3,True,True,3,0.5,True,True,3,0.5,True,True,3,0.7,True
AAPL,long,0.743295019157119,2026-06-04 13:33:00+00:00,311.19,False,5,0.0257077669590874,True,False,10,0.27635849481024893,True,False,15,0.16710048523409549,True,False,20,0.2811787011150744,True
AAPL,short,0.7613636363636078,2026-06-04 13:53:00+00:00,312.1,False,5,-0.009612303748789719,False,False,10,0.02082665812239594,True,False,15,0.3492470362063543,True,False,20,0.17302146747837888,True
AAPL,short,0.7858627858628979,2026-06-04 14:05:00+00:00,311.89,False,5,0.19237551700919103,True,False,10,0.15390041360734918,True,False,15,0.24688191349513672,True,False,20,0.26772259450446617,True
AAPL,long,0.6215644820295354,2026-06-04 14:37:00+00:00,310.4,False,5,-0.028994845360816687,False,False,10,0.10148195876288586,True,False,15,-0.09020618556700152,False,False,20,-0.07409793814431745,False
AAPL,short,0.6760563380281754,2026-06-04 15:31:00+00:00,310.395,False,5,0.09826189210522297,True,False,10,0.07248828106121745,True,False,15,0.07248828106121745,True,False,20,0.08698593727346828,True
