date,level,level_px,overlap,gap_regime,gap_pct,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2025-12-16,PMH,611.63,none,Flat,-0.419,609.74,0.3066880965657501,0.3099681831600332,0.3099681831600332,False,False
2025-12-18,PMH,609.75,none,Gap Up,1.424,608.02,0.12828525377454242,0.12828525377454242,0.12828525377454242,False,False
2025-12-18,PDH,613.65,none,Gap Up,1.424,612.1,0.12824701846103057,0.12824701846103057,0.6485868322169625,True,False
2026-01-06,PDH,620.81,none,Flat,0.244,619.18,0.10336251170903234,0.10336251170903234,0.10336251170903234,False,False
2026-01-09,PDH,623.42,PMH,Flat,0.097,621.33,0.36534530764651557,0.36534530764651557,0.36534530764651557,False,False
2026-01-13,PMH,629.45,PDH,Flat,0.003,627.7,0.2915405448462706,0.4046519037757013,0.6085709733949418,True,False
2026-01-13,PDH,628.84,PMH,Flat,0.003,627.18,0.22959915813641077,0.5165981058069288,0.5261647373959556,True,False
2026-01-15,PMH,627.13,none,Gap Up,1.058,625.18,0.083176045298951,0.09117374196230467,0.1887456412553105,False,False
2026-01-15,PMH,627.13,none,Gap Up,1.058,625.4501,0.0,0.0,0.0,False,False
2026-01-21,PMH,610.59,none,Flat,0.196,608.01,0.024094998437516873,0.024094998437516873,0.024094998437516873,False,False
2026-01-22,PMH,622.53,none,Gap Up,0.926,620.82,0.04349086691796261,0.04349086691796261,0.04349086691796261,False,False
2026-01-22,PDH,620.42,4H_Res,Gap Up,0.926,618.09,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False
2026-01-22,4H_Res,620.36,PDH,Gap Up,0.926,618.09,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False
2026-01-30,PMH,625.9,none,Gap Down,-0.634,624.32,0.3275403639159562,0.3507816504356827,0.3507816504356827,False,False
2026-02-03,PMH,629.33,PDH,Flat,0.395,623.87,0.615512847227793,0.859153349255456,1.0883677689262128,True,True
2026-02-03,PDH,628.49,PMH,Flat,0.395,623.87,0.615512847227793,0.859153349255456,1.0883677689262128,True,True
2026-02-04,PMH,615.04,none,Flat,-0.285,612.8,0.7359660574412518,0.7359660574412518,0.7359660574412518,True,False
2026-02-05,PMH,602.53,none,Gap Down,-0.988,600.9575,0.8582137671965201,1.004646751226172,1.004646751226172,True,True
2026-02-06,PMH,602.06,1H_Res,Flat,0.43,600.43,0.10992122312342292,0.10992122312342292,0.10992122312342292,False,False
2026-02-06,PDH,604.81,none,Flat,0.43,603.15,0.4990466716405522,0.5603912791179633,0.5603912791179633,True,False
2026-02-06,PDH,604.81,none,Flat,0.43,602.67,0.17090613436872132,0.17090613436872132,0.17090613436872132,False,False
