direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
long,97.915,-0.5,False,sl,2026-03-09 19:30:00+00:00,2.8979829848795955,0.41273584905660565
short,94.71,-0.5,False,sl,2026-03-11 19:50:00+00:00,3.3572493161118127,1.2104404567699816
short,94.28,-0.5,False,sl,2026-03-12 20:00:00+00:00,4.03814572986226,0.8385416666666774
short,94.155,-0.5,False,sl,2026-03-17 19:00:00+00:00,3.1389443208187275,0.4077669902912734
short,94.34,-0.5,False,sl,2026-03-18 20:20:00+00:00,3.67073788446414,0.49201277955271383
short,94.035,0.8,True,tp,2026-03-19 13:40:00+00:00,2.9938946522707703,1.0315789473684123
short,93.38,0.8,True,tp,2026-03-23 20:10:00+00:00,4.069824104775282,1.7499999999999645
short,91.165,-0.5,False,sl,2026-03-24 18:50:00+00:00,3.2430638651177213,1.5849056603773095
short,90.92,-0.5,False,sl,2026-03-24 20:00:00+00:00,3.9061752059117727,0.9020618556700976
long,94.635,-0.5,False,sl,2026-03-26 18:20:00+00:00,3.801954948653706,1.0652173913043703
short,93.635,-0.5,False,sl,2026-03-26 18:30:00+00:00,3.2711458753734535,1.58289396602227
long,96.17,0.8,True,tp,2026-03-31 20:10:00+00:00,3.1480866819902986,0.5928961748633952
long,95.98,-0.5,False,sl,2026-04-02 13:40:00+00:00,2.6959845311016406,2.9302325581395503
long,98.63,0.8,True,tp,2026-04-02 20:00:00+00:00,3.9206578298906614,2.4592220828105584
long,98.86,0.8,True,tp,2026-04-06 19:50:00+00:00,2.820974133727537,0.6681127982646449
long,98.96,0.8,True,tp,2026-04-06 20:00:00+00:00,4.11425831392875,0.4725738396624391
long,98.7,0.8,True,tp,2026-04-07 19:50:00+00:00,3.471549640954202,0.9357798165138045
long,98.94,0.8,True,tp,2026-04-07 20:00:00+00:00,2.9541953850937954,0.5660377358490276
long,99.26,0.8,True,tp,2026-04-08 20:20:00+00:00,3.730252650848717,1.1397849462365632
long,102.78,0.8,True,tp,2026-04-10 19:50:00+00:00,2.6891110445434214,0.7499999999999643
long,103.05,-0.5,False,sl,2026-04-10 20:40:00+00:00,4.060639706681732,1.0402476780185523
long,103.16,0.8,True,tp,2026-04-13 20:00:00+00:00,3.7597795453727993,1.051502145922724
short,88.22,-0.5,False,sl,2026-05-06 20:00:00+00:00,4.054007523778233,0.44044943820229204
short,87.715,-0.25651256911588016,False,time,2026-05-08 13:30:00+00:00,4.005263060044707,0.9719008264462456
short,86.805,-0.5,False,sl,2026-05-14 18:10:00+00:00,2.6726324757979723,2.1700000000000363
short,87.885,-0.5,False,sl,2026-05-15 13:30:00+00:00,3.8317299987877225,0.4959742351046667
short,86.785,-0.5,False,sl,2026-05-15 19:30:00+00:00,3.0460326182971826,0.41437632135302604
short,88.04,-0.5,False,sl,2026-05-21 13:30:00+00:00,4.034578327256892,1.2250000000000434
short,89.225,0.8,True,tp,2026-05-22 13:30:00+00:00,3.388605319147671,0.8189415041783032
short,87.685,0.8,True,tp,2026-05-26 20:00:00+00:00,4.177234242627101,0.8484848484848789
short,87.3,0.8,True,tp,2026-05-27 20:50:00+00:00,4.143301102284411,2.09843400447431
short,86.25,0.21449275362319103,True,time,2026-05-29 13:30:00+00:00,4.031464554377717,0.3515981735160257
short,86.03,-0.5,False,sl,2026-05-29 20:00:00+00:00,4.039829094690213,1.588652482269452
short,85.85,0.8,True,tp,2026-06-01 20:00:00+00:00,3.954094916524798,0.9568345323740889
short,83.36,0.8,True,tp,2026-06-02 19:50:00+00:00,2.6268654246250827,1.007194244604315
short,81.52,-0.5,False,sl,2026-06-03 20:00:00+00:00,4.186571804597968,0.6403326403326443
