symbol,n,tpd,wr,pf,ev,avg_mfe,med_mfe
APP,65,1.3,0.3076923076923077,0.8482666712356779,-0.00035368731932917957,1.169480396000254,0.8716435343836565
MSTR,75,1.271186440677966,0.38666666666666666,1.011159088885657,2.327042002289161e-05,1.162089787068985,0.7641608933115368
AFRM,49,1.1666666666666667,0.4489795918367347,1.0833606760091647,0.0001561736746457411,0.9323812824124348,0.6653936181963278
RDDT,62,1.1923076923076923,0.3225806451612903,0.7854538432106316,-0.0004941482449922868,1.142747454619164,0.9347715142382893
HOOD,61,1.2448979591836735,0.4098360655737705,1.0488209378337643,9.796201296479922e-05,1.0661426538911116,0.8755435205998517
NET,50,1.2195121951219512,0.32,0.8282018859008122,-0.0003971972397973221,0.9836346078842862,0.8512342503147037
AMD,54,1.255813953488372,0.2777777777777778,0.47835416043190737,-0.0012809303393838715,0.7056188973553665,0.5482930819839261
DDOG,42,1.1666666666666667,0.42857142857142855,1.044903735289427,8.724154284802944e-05,0.9267429572715058,0.6212144145305363
SHOP,37,1.0277777777777777,0.3783783783783784,0.7905549328584194,-0.0004426649797424757,0.738033539645457,0.5127207784949791
PLTR,55,1.1224489795918366,0.38181818181818183,0.9042242520874795,-0.00019916515945250045,0.7567819797503711,0.6891248436697951
CRWD,38,1.1515151515151516,0.4473684210526316,1.1066531219059643,0.00020039560273910165,0.7278081266214989,0.6614127728815122
SMCI,60,1.2,0.35,0.9491533824737074,-0.00011237102473310619,1.0914839703761647,0.7780326916499742
ARM,55,1.1458333333333333,0.38181818181818183,0.8000153775297807,-0.00042033131559195223,0.8212770380000267,0.5259342787672228
COIN,70,1.2727272727272727,0.38571428571428573,0.8171907210145118,-0.0003818102369668335,0.9280894151563406,0.760144910323644
TSLA,47,1.119047619047619,0.40425531914893614,1.2274973634923219,0.0004139622670369424,0.5971699518388032,0.44240711665156485
NVDA,31,1.1071428571428572,0.2903225806451613,0.28131418032891947,-0.0017341193326257042,0.30601949731521433,0.3050469157887381
META,26,1.2380952380952381,0.34615384615384615,0.532254885204749,-0.0010398333705832889,0.38274993328405876,0.3091104609450072
AMZN,24,1.1428571428571428,0.5416666666666666,1.5732839822337181,0.0008185230392745681,0.47964587365126427,0.3874296641004516
NFLX,26,1.1304347826086956,0.34615384615384615,0.6273457251155904,-0.0007892294760999923,0.4442689394489991,0.36434941497049417
AVGO,49,1.1136363636363635,0.4489795918367347,1.1012830533597566,0.00018975069996787037,0.7368933059048861,0.651980061235742
UBER,31,1.0333333333333334,0.4838709677419355,1.6004442180423988,0.0009971603506883147,0.6868648429773363,0.5322822357221262
DASH,41,1.1388888888888888,0.34146341463414637,0.7454209463456671,-0.0005522231671401328,0.7592464282960711,0.3887217380358026
ABNB,18,1.0588235294117647,0.2222222222222222,0.4207306072821813,-0.0015318457274093428,0.5065753637695953,0.39854102768832655
PANW,26,1.1818181818181819,0.5,1.591763649576396,0.001005998204279873,0.6549250906809543,0.5623774339835623
SNOW,55,1.1702127659574468,0.2909090909090909,0.5040642159524271,-0.0011819574740756507,0.6455318422103342,0.48586596377870545
MDB,52,1.1063829787234043,0.38461538461538464,1.0096125580273474,1.9555004037914542e-05,0.8923212444508805,0.6538583860358325
ZS,46,1.2432432432432432,0.3695652173913043,0.9840350193560422,-3.42205889455269e-05,0.77432918850041,0.6459517892435659
MRVL,59,1.2553191489361701,0.3559322033898305,0.6844459599174063,-0.000691009864045273,0.7753546896633636,0.6242186652983102
MU,60,1.25,0.5,1.2576270625699604,0.0004379660063689323,1.0934646920212039,0.8887681573420073
QCOM,40,1.2121212121212122,0.5,1.433551543389834,0.0007066885822605777,0.9088399383593019,0.6500771481946367
