sym,date,gap_pct,gap_bucket,rvol,ret_2h
ARM,2024-01-18,3.063,gap_2plus,1.7,2.0734
ARM,2024-02-08,22.594,gap_2plus,16.24,19.0484
ARM,2024-03-26,1.973,gap_1_2,2.05,-2.9298
ARM,2024-04-22,3.225,gap_2plus,1.61,0.291
ARM,2024-05-10,2.589,gap_2plus,1.52,0.4605
ARM,2024-06-12,1.504,gap_1_2,2.02,0.8693
ARM,2024-06-13,1.18,gap_1_2,1.72,-2.7484
ARM,2024-06-14,1.202,gap_1_2,2.4,-1.9226
ARM,2024-09-11,1.556,gap_1_2,1.74,1.339
ARM,2024-09-13,2.063,gap_2plus,1.75,3.0223
ARM,2024-12-13,2.101,gap_2plus,2.03,-0.1235
AVGO,2023-03-03,3.042,gap_2plus,2.67,1.2708
AVGO,2023-05-23,1.841,gap_1_2,2.06,1.3645
AVGO,2023-08-21,1.003,gap_1_2,1.64,1.1896
AVGO,2023-08-24,2.977,gap_2plus,1.65,-2.0367
AVGO,2023-11-10,1.152,gap_1_2,1.8,1.5508
AVGO,2024-01-19,1.137,gap_1_2,2.28,1.248
AVGO,2024-01-24,1.287,gap_1_2,1.55,1.2317
AVGO,2024-02-22,4.314,gap_2plus,1.7,0.9684
AVGO,2024-03-01,1.938,gap_1_2,2.22,2.7131
AVGO,2024-03-07,2.368,gap_2plus,2.22,-0.1398
AVGO,2024-03-21,4.069,gap_2plus,2.36,4.6448
AVGO,2024-06-05,1.096,gap_1_2,1.58,3.4081
AVGO,2024-06-13,14.628,gap_2plus,3.98,-2.0362
AVGO,2024-06-17,3.722,gap_2plus,3.02,-0.5758
AVGO,2024-12-11,4.737,gap_2plus,1.99,1.9517
AVGO,2024-12-13,18.325,gap_2plus,6.86,-0.616
AXP,2022-01-25,6.165,gap_2plus,3.94,0.9507
AXP,2022-01-26,2.311,gap_2plus,1.95,-1.7302
AXP,2023-01-27,6.998,gap_2plus,5.75,2.6549
AXP,2023-01-30,1.436,gap_1_2,3.35,0.8233
AXP,2023-03-14,2.461,gap_2plus,2.04,0.7663
AXP,2024-01-26,2.371,gap_2plus,5.72,3.1576
AXP,2024-04-15,1.667,gap_1_2,1.59,-1.327
AXP,2024-11-06,4.299,gap_2plus,2.18,-0.2535
BAC,2022-07-15,1.727,gap_1_2,1.65,2.3314
BAC,2022-08-10,1.73,gap_1_2,1.57,1.7617
BAC,2022-10-17,5.094,gap_2plus,2.02,-1.0461
BAC,2022-10-18,4.024,gap_2plus,1.83,-1.6954
BAC,2023-03-14,5.023,gap_2plus,3.01,-2.9916
BAC,2023-04-18,1.359,gap_1_2,1.7,-1.4286
BAC,2023-06-29,1.497,gap_1_2,1.63,-0.0376
BAC,2023-07-18,2.054,gap_2plus,2.29,1.3899
BAC,2024-07-16,1.449,gap_1_2,2.71,1.2858
BAC,2024-10-11,1.327,gap_1_2,1.69,2.6122
BKNG,2022-02-11,2.118,gap_2plus,1.52,-0.9565
BKNG,2022-06-21,2.332,gap_2plus,1.59,-0.8681
BKNG,2022-11-03,4.276,gap_2plus,2.3,-2.0156
BKNG,2023-11-02,1.58,gap_1_2,2.01,-0.1357
BKNG,2024-02-08,1.087,gap_1_2,1.92,1.1436
BKNG,2024-02-26,1.485,gap_1_2,1.57,-1.1705
BKNG,2024-09-19,1.766,gap_1_2,1.94,-1.4094
BKNG,2024-10-31,5.993,gap_2plus,4.72,-2.5092
BLK,2022-02-09,1.628,gap_1_2,1.69,0.2036
BLK,2022-03-09,2.263,gap_2plus,1.63,1.1798
BLK,2022-07-15,1.229,gap_1_2,1.67,1.2418
BLK,2023-01-06,1.736,gap_1_2,2.24,2.1181
BLK,2023-04-14,1.393,gap_1_2,2.12,1.5069
BLK,2023-10-19,1.442,gap_1_2,1.83,-0.2445
BLK,2024-11-06,3.124,gap_2plus,2.72,-1.0866
BLK,2024-11-14,1.018,gap_1_2,1.71,0.9656
BSX,2022-06-15,2.411,gap_2plus,1.7,-0.5763
BSX,2022-07-27,6.964,gap_2plus,2.63,-0.6658
BSX,2022-10-26,1.598,gap_1_2,2.93,2.0312
BSX,2023-04-19,1.26,gap_1_2,1.52,0.1814
BSX,2023-07-27,1.488,gap_1_2,1.99,-2.9123
BSX,2023-08-28,4.786,gap_2plus,2.87,-0.8642
BSX,2023-12-29,1.27,gap_1_2,2.19,0.4689
BSX,2024-02-01,1.945,gap_1_2,1.68,-0.4805
BSX,2024-04-24,6.015,gap_2plus,2.72,0.0839
BSX,2024-10-24,1.04,gap_1_2,1.79,-1.9747
CAT,2022-10-27,6.778,gap_2plus,2.81,0.5463
CAT,2022-12-21,1.083,gap_1_2,1.71,0.9369
CAT,2023-06-02,2.818,gap_2plus,3.26,3.2571
CAT,2023-10-30,1.034,gap_1_2,1.88,-0.1287
CAT,2023-11-02,1.711,gap_1_2,1.86,-0.4831
CAT,2024-06-12,1.795,gap_1_2,1.67,-1.646
CAT,2024-09-19,2.177,gap_2plus,2.35,1.638
CAT,2024-11-06,5.665,gap_2plus,2.66,0.5628
CL,2024-07-29,1.405,gap_1_2,1.56,-0.4852
COIN,2022-03-28,3.471,gap_2plus,1.53,2.5996
COIN,2022-04-21,3.29,gap_2plus,1.63,-8.1211
COIN,2022-05-10,4.192,gap_2plus,4.49,-15.8187
COIN,2022-07-18,5.298,gap_2plus,1.72,4.9384
COIN,2022-07-19,3.733,gap_2plus,1.5,4.4282
COIN,2022-07-20,1.961,gap_1_2,2.56,12.1586
COIN,2022-08-03,2.761,gap_2plus,1.75,10.8893
COIN,2022-08-04,31.027,gap_2plus,3.32,-16.8578
COIN,2022-11-04,8.097,gap_2plus,1.68,-4.3304
COIN,2022-11-10,11.242,gap_2plus,1.85,0.6221
COIN,2023-01-09,5.805,gap_2plus,1.64,7.2102
COIN,2023-01-12,3.118,gap_2plus,1.52,-1.7619
COIN,2023-02-02,4.138,gap_2plus,2.49,10.9732
COIN,2023-02-22,1.163,gap_1_2,1.6,-9.0211
COIN,2023-05-05,9.707,gap_2plus,1.7,2.7357
COIN,2023-06-27,3.029,gap_2plus,1.53,2.6452
COIN,2023-10-16,5.678,gap_2plus,2.02,-5.1651
COIN,2023-10-24,7.837,gap_2plus,3.35,0.4253
COIN,2023-11-28,1.995,gap_1_2,1.8,2.4135
COIN,2024-01-11,5.045,gap_2plus,2.17,-7.5156
COIN,2024-02-14,7.983,gap_2plus,1.63,1.9034
COIN,2024-02-16,14.126,gap_2plus,2.9,-1.0198
COIN,2024-02-28,5.115,gap_2plus,1.88,-0.1047
COIN,2024-07-15,5.196,gap_2plus,2.25,3.259
COIN,2024-08-20,2.274,gap_2plus,1.69,-5.4481
COIN,2024-09-26,2.119,gap_2plus,1.96,3.2775
COIN,2024-09-27,1.768,gap_1_2,1.52,2.03
COIN,2024-10-14,2.841,gap_2plus,2.31,7.1966
COIN,2024-10-18,1.925,gap_1_2,1.5,3.2606
COIN,2024-11-06,14.076,gap_2plus,3.12,7.4399
COIN,2024-11-13,1.843,gap_1_2,1.87,-5.5276
CRM,2022-03-01,1.275,gap_1_2,1.58,-1.0371
CRM,2022-04-21,1.355,gap_1_2,1.64,-2.6523
CRM,2022-04-28,3.898,gap_2plus,1.72,-0.4919
CRM,2022-06-01,10.593,gap_2plus,5.11,-1.035
CRM,2023-07-19,2.78,gap_2plus,1.58,1.3148
CRM,2023-11-29,1.646,gap_1_2,2.72,0.1954
CRM,2024-01-11,1.503,gap_1_2,1.95,-0.3253
CRM,2024-09-19,3.319,gap_2plus,2.12,2.0921
CRM,2024-11-06,2.509,gap_2plus,1.69,0.2051
CRM,2024-11-13,1.334,gap_1_2,1.59,0.1058
CRWD,2022-02-28,3.192,gap_2plus,2.37,3.5809
CRWD,2022-03-01,3.093,gap_2plus,1.92,1.636
CRWD,2022-04-12,4.997,gap_2plus,1.88,-0.5465
CRWD,2022-05-20,6.401,gap_2plus,1.76,-1.816
CRWD,2022-08-30,2.208,gap_2plus,2.18,-2.5627
CRWD,2022-11-10,8.227,gap_2plus,1.54,1.5191
CRWD,2022-11-18,5.123,gap_2plus,1.53,-1.8085
CRWD,2023-01-09,2.46,gap_2plus,1.61,0.4807
CRWD,2023-05-08,2.891,gap_2plus,1.89,1.3881
CRWD,2023-05-30,3.517,gap_2plus,1.92,-0.6177
CRWD,2023-09-21,2.441,gap_2plus,1.78,-5.363
CRWD,2023-11-29,3.588,gap_2plus,4.86,4.5184
CRWD,2024-01-08,1.778,gap_1_2,1.59,1.6272
CRWD,2024-01-09,1.577,gap_1_2,2.46,1.8117
CRWD,2024-06-10,5.165,gap_2plus,4.11,1.4473
CRWD,2024-07-23,1.917,gap_1_2,4.81,1.0771
CVX,2022-01-25,1.764,gap_1_2,1.65,1.9369
CVX,2022-01-27,1.337,gap_1_2,1.6,0.9411
CVX,2022-03-10,1.483,gap_1_2,1.77,1.9186
CVX,2022-07-29,4.12,gap_2plus,2.02,3.2917
CVX,2023-04-03,4.11,gap_2plus,1.65,-0.7646
CVX,2023-05-23,1.124,gap_1_2,1.61,1.4358
CVX,2023-07-24,1.115,gap_1_2,1.71,1.8997
CVX,2023-07-31,1.457,gap_1_2,1.73,0.5875
DASH,2022-08-04,1.914,gap_1_2,1.82,-0.8547
DASH,2022-09-09,1.129,gap_1_2,1.84,4.8933
DASH,2022-11-04,13.526,gap_2plus,3.43,-3.1709
DASH,2023-02-15,3.035,gap_2plus,2.08,5.0229
DASH,2023-05-02,2.139,gap_2plus,1.72,-0.7469
DASH,2023-05-05,3.47,gap_2plus,3.07,-3.2846
DASH,2023-07-28,1.848,gap_1_2,2.03,2.8516
DASH,2023-11-02,12.005,gap_2plus,3.75,0.447
DASH,2023-12-11,2.32,gap_2plus,2.04,-0.8679
