symbol,direction,slack,timestamp,config,config_name,hit,pnl,win,bars
AAPL,long,0.6538461538464769,2025-12-08 17:06:00+00:00,micro_3_5,0.3% / 5 min,False,0.007217610970762111,False,5
AAPL,long,0.6538461538464769,2025-12-08 17:06:00+00:00,micro_5_10,0.5% / 10 min,False,0.0505232767953758,False,10
AAPL,long,0.6538461538464769,2025-12-08 17:06:00+00:00,micro_5_15,0.5% / 15 min,False,0.19848430169612216,False,15
AAPL,long,0.6538461538464769,2025-12-08 17:06:00+00:00,micro_7_20,0.7% / 20 min,False,0.09743774810537055,False,20
AAPL,short,0.6913580246912185,2025-12-08 17:38:00+00:00,micro_3_5,0.3% / 5 min,False,0.046884016156951626,False,5
AAPL,short,0.6913580246912185,2025-12-08 17:38:00+00:00,micro_5_10,0.5% / 10 min,False,-0.05409694171957376,False,10
AAPL,short,0.6913580246912185,2025-12-08 17:38:00+00:00,micro_5_15,0.5% / 15 min,False,-0.05409694171957376,False,15
AAPL,short,0.6913580246912185,2025-12-08 17:38:00+00:00,micro_7_20,0.7% / 20 min,False,0.11180034622040734,False,20
AAPL,long,0.7278287461771988,2025-12-08 19:43:00+00:00,micro_3_5,0.3% / 5 min,False,0.009049282391918668,False,5
AAPL,long,0.7278287461771988,2025-12-08 19:43:00+00:00,micro_5_10,0.5% / 10 min,False,0.0343872730892539,False,10
AAPL,long,0.7278287461771988,2025-12-08 19:43:00+00:00,micro_5_15,0.5% / 15 min,False,0.0343872730892539,False,15
AAPL,long,0.7278287461771988,2025-12-08 19:43:00+00:00,micro_7_20,0.7% / 20 min,False,0.04524641195953161,False,20
AAPL,long,0.7839999999999593,2025-12-08 20:19:00+00:00,micro_3_5,0.3% / 5 min,False,0.0325220879180353,False,5
AAPL,long,0.7839999999999593,2025-12-08 20:19:00+00:00,micro_5_10,0.5% / 10 min,False,0.04336278389072743,False,10
AAPL,long,0.7839999999999593,2025-12-08 20:19:00+00:00,micro_5_15,0.5% / 15 min,False,0.01987460928325178,False,15
AAPL,long,0.7839999999999593,2025-12-08 20:19:00+00:00,micro_7_20,0.7% / 20 min,False,0.07407808914665079,False,20
AAPL,short,0.7336244541484747,2025-12-09 15:23:00+00:00,micro_3_5,0.3% / 5 min,False,0.04497616263380408,False,5
AAPL,short,0.7336244541484747,2025-12-09 15:23:00+00:00,micro_5_10,0.5% / 10 min,False,0.12053611585860803,False,10
AAPL,short,0.7336244541484747,2025-12-09 15:23:00+00:00,micro_5_15,0.5% / 15 min,False,0.15291895295493796,False,15
AAPL,short,0.7336244541484747,2025-12-09 15:23:00+00:00,micro_7_20,0.7% / 20 min,False,0.04857425564450514,False,20
AAPL,short,0.6511627906975638,2025-12-09 19:04:00+00:00,micro_3_5,0.3% / 5 min,False,0.06097670331247544,False,5
AAPL,short,0.6511627906975638,2025-12-09 19:04:00+00:00,micro_5_10,0.5% / 10 min,False,0.05559640596138006,False,10
AAPL,short,0.6511627906975638,2025-12-09 19:04:00+00:00,micro_5_15,0.5% / 15 min,False,0.008967162251846017,False,15
AAPL,short,0.6511627906975638,2025-12-09 19:04:00+00:00,micro_7_20,0.7% / 20 min,False,0.03766208145770842,False,20
AAPL,short,0.6199261992620339,2025-12-09 20:04:00+00:00,micro_3_5,0.3% / 5 min,False,0.019796990857392133,False,5
AAPL,short,0.6199261992620339,2025-12-09 20:04:00+00:00,micro_5_10,0.5% / 10 min,False,0.007198905766316972,False,10
AAPL,short,0.6199261992620339,2025-12-09 20:04:00+00:00,micro_5_15,0.5% / 15 min,False,-0.05759124613059716,False,15
AAPL,short,0.6199261992620339,2025-12-09 20:04:00+00:00,micro_7_20,0.7% / 20 min,False,-0.03599452883162578,False,20
AAPL,short,0.610909090909114,2025-12-09 20:08:00+00:00,micro_3_5,0.3% / 5 min,False,0.008998308318028026,False,5
AAPL,short,0.610909090909114,2025-12-09 20:08:00+00:00,micro_5_10,0.5% / 10 min,False,-0.025195263290498933,False,10
AAPL,short,0.610909090909114,2025-12-09 20:08:00+00:00,micro_5_15,0.5% / 15 min,False,-0.08278443652593967,False,15
AAPL,short,0.610909090909114,2025-12-09 20:08:00+00:00,micro_7_20,0.7% / 20 min,False,-0.01799661663607651,False,20
AAPL,long,0.6921348314607353,2025-12-09 20:56:00+00:00,micro_3_5,0.3% / 5 min,True,0.3,True,4
AAPL,long,0.6921348314607353,2025-12-09 20:56:00+00:00,micro_5_10,0.5% / 10 min,False,-0.11727771362586195,False,10
AAPL,long,0.6921348314607353,2025-12-09 20:56:00+00:00,micro_5_15,0.5% / 15 min,False,0.13351616628175683,False,15
AAPL,long,0.6921348314607353,2025-12-09 20:56:00+00:00,micro_7_20,0.7% / 20 min,False,0.2814665127020687,False,20
AAPL,short,0.7296416938108908,2025-12-10 18:03:00+00:00,micro_3_5,0.3% / 5 min,False,-0.04126374710705578,False,5
AAPL,short,0.7296416938108908,2025-12-10 18:03:00+00:00,micro_5_10,0.5% / 10 min,False,-0.05561635479647269,False,10
AAPL,short,0.7296416938108908,2025-12-10 18:03:00+00:00,micro_5_15,0.5% / 15 min,False,-0.05561635479647269,False,15
AAPL,short,0.7296416938108908,2025-12-10 18:03:00+00:00,micro_7_20,0.7% / 20 min,False,-0.01614668365059148,False,20
AAPL,long,0.689230769230608,2025-12-10 18:04:00+00:00,micro_3_5,0.3% / 5 min,False,0.04844787367667244,False,5
AAPL,long,0.689230769230608,2025-12-10 18:04:00+00:00,micro_5_10,0.5% / 10 min,False,0.0681858962856622,False,10
AAPL,long,0.689230769230608,2025-12-10 18:04:00+00:00,micro_5_15,0.5% / 15 min,False,0.007177462766925769,False,15
