direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
short,405.07,-0.5,False,sl,2026-03-09 18:30:00+00:00,2.814439030696679,0.4210526315789965
short,405.69,-0.5,False,sl,2026-03-10 16:10:00+00:00,2.544670622821685,1.0941883767534792
long,406.515,-0.11192698916398759,False,time,2026-03-10 16:25:00+00:00,2.799848058878542,0.6032580136626792
short,404.55,-0.19280682239524724,False,time,2026-03-10 18:15:00+00:00,3.4051563734054393,1.792307692307643
short,402.94,-0.2159130391621593,False,time,2026-03-11 17:40:00+00:00,2.925257431921167,2.6020025031288325
short,402.41,-0.5,False,sl,2026-03-12 20:40:00+00:00,3.9633796287772802,1.1967213114754527
short,394.965,-0.5,False,sl,2026-03-13 19:25:00+00:00,3.374956110477389,0.6138613861386238
short,396.3,-0.34065102195305724,False,time,2026-03-16 13:35:00+00:00,2.596599157314254,2.492647058823578
short,398.84,0.8,True,tp,2026-03-17 19:00:00+00:00,3.949213813484966,0.7497267759562719
short,391.19,0.8,True,tp,2026-03-18 19:45:00+00:00,3.2507372122309,1.5861165684348701
short,381.63,-0.5,False,sl,2026-03-20 18:50:00+00:00,2.627441679842241,0.3652173913042712
short,382.52,0.8,True,tp,2026-03-23 18:40:00+00:00,3.5286985983594197,0.944881889763835
short,382.82,0.8,True,tp,2026-03-23 20:10:00+00:00,3.977572407472515,1.015075376884425
short,372.74,-0.5,False,sl,2026-03-24 19:55:00+00:00,4.088849224033608,0.6624913013222398
short,370.26,-0.5,False,sl,2026-03-25 19:00:00+00:00,3.867108452711533,0.3675143560295882
short,366.28,0.8,True,tp,2026-03-26 20:20:00+00:00,3.9675792149240494,0.3122676579925193
short,358.68,-0.5,False,sl,2026-03-27 18:45:00+00:00,2.747840979049709,0.3381642512078136
short,360.5,-0.5,False,sl,2026-03-30 13:00:00+00:00,2.99569391314594,0.8270401948842101
short,360.98,0.8,True,tp,2026-03-30 16:45:00+00:00,2.5431603103206237,1.11744583808437
short,371.305,-0.5,False,sl,2026-03-31 19:55:00+00:00,3.5346580531314777,1.3210412147505455
short,370.67,-0.5,False,sl,2026-03-31 20:10:00+00:00,3.2800228104013276,1.6072300928187724
short,371.11,-0.5,False,sl,2026-04-02 18:40:00+00:00,2.9537409633532574,0.8969359331476953
short,371.13,-0.5,False,sl,2026-04-02 19:05:00+00:00,3.0456565255096915,0.6660567246111417
short,372.52,-0.10871899495329904,False,time,2026-04-06 16:50:00+00:00,3.0291464531920944,0.36761487964991424
short,372.4,0.8,True,tp,2026-04-06 19:55:00+00:00,2.5169192490119605,0.9896049896051052
short,376.845,0.8,True,tp,2026-04-08 17:30:00+00:00,2.721892862061976,0.7675675675676177
short,375.54,0.8,True,tp,2026-04-08 17:45:00+00:00,2.950820606827041,1.3080568720379322
short,374.035,-0.06015479834773908,False,time,2026-04-08 18:20:00+00:00,2.5587365081617373,1.956663055254668
short,372.71,-0.5,False,sl,2026-04-09 20:10:00+00:00,3.381076358052654,0.7734806629833456
short,370.82,-0.5,False,sl,2026-04-10 20:25:00+00:00,3.778550589942934,0.5008944543828002
short,372.33,-0.5,False,sl,2026-04-13 13:35:00+00:00,3.0051265888801213,1.484848484848464
long,383.15,0.8,True,tp,2026-04-13 19:50:00+00:00,2.7439261218242494,1.083682008368041
long,383.68,0.8,True,tp,2026-04-13 19:55:00+00:00,3.133310851979607,1.3570722057369025
long,389.49,-0.5,False,sl,2026-04-14 12:05:00+00:00,4.032719862700862,1.6049382716048615
long,416.385,-0.5,False,sl,2026-05-06 14:30:00+00:00,3.1701850721975235,1.1975069847410365
long,413.35,0.8,True,tp,2026-05-06 19:50:00+00:00,2.912856018643589,0.8347169811320371
long,414.15,0.8,True,tp,2026-05-06 19:55:00+00:00,3.488671330595238,1.5331964407938883
long,417.13,-0.5,False,sl,2026-05-08 17:20:00+00:00,3.6842607725312804,1.009767092411763
long,410.625,-0.5,False,sl,2026-05-11 13:35:00+00:00,2.775042662688328,2.146367521367515
long,413.79,-0.5,False,sl,2026-05-12 13:10:00+00:00,4.079877141835361,1.499647639182499
long,407.54,-0.5,False,sl,2026-05-12 20:00:00+00:00,2.975599709761172,0.7395577395577474
long,409.31,0.8,True,tp,2026-05-14 19:35:00+00:00,3.227042756562708,0.795737122557694
long,415.065,0.8,True,tp,2026-05-15 13:35:00+00:00,2.852082019997781,0.7911301859799371
long,423.94,-0.5,False,sl,2026-05-15 14:45:00+00:00,2.8847602363616422,1.0437446808510586
long,420.8,-0.5,False,sl,2026-05-15 20:15:00+00:00,3.052974418079905,0.7155812036273655
long,423.62,0.8,True,tp,2026-05-18 20:15:00+00:00,3.313935759619668,1.1259484066767849
long,415.7,-0.5,False,sl,2026-05-20 12:45:00+00:00,3.819958016214064,0.6751662971175343
long,421.45,-0.5,False,sl,2026-05-20 19:55:00+00:00,3.0979134074724244,0.435643564356374
long,417.2,0.26605944391179615,True,time,2026-05-21 17:15:00+00:00,2.6349129391780512,1.8943620178041163
long,420.03,0.8,True,tp,2026-05-21 20:05:00+00:00,3.611371690735984,1.6735057983942456
long,416.01,-0.5,False,sl,2026-05-26 19:55:00+00:00,3.315838392291987,1.525719267654763
long,412.305,0.21464692400043434,True,time,2026-05-27 18:05:00+00:00,3.3833610970604595,1.4917127071823773
long,412.74,0.8,True,tp,2026-05-27 19:15:00+00:00,4.2036847635142065,1.7304469273743053
long,414.955,0.8,True,tp,2026-05-28 13:35:00+00:00,2.7948007784140767,2.539451114922831
long,426.8,0.8,True,tp,2026-05-28 20:05:00+00:00,2.661625443729232,1.8246041412911855
long,438.205,0.8,True,tp,2026-05-29 13:35:00+00:00,3.2575303738309054,4.134831460674131
long,443.3,0.8,True,tp,2026-05-29 19:50:00+00:00,2.674173913653145,0.7238723872386713
long,448.0,0.8,True,tp,2026-05-29 19:55:00+00:00,4.170256129228402,5.24110980851886
long,449.79,0.8,True,tp,2026-05-29 20:00:00+00:00,3.9156269565174573,1.3747016706443766
long,441.57,-0.5,False,sl,2026-06-02 20:05:00+00:00,3.2829223203572275,0.7145400593472011
long,428.05,-0.5,False,sl,2026-06-04 19:55:00+00:00,2.855313795856827,0.42939297124602016
