direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
short,198.61,-0.5,False,sl,2026-03-09 14:06:00+00:00,3.264319182126252,1.1490963855421448
short,198.74,-0.5,False,sl,2026-03-09 15:06:00+00:00,2.5236058885396444,2.2347417840375603
short,197.92,-0.10105092966856156,False,time,2026-03-09 16:26:00+00:00,3.4011243951435475,1.0390624999999636
short,198.105,0.31296534665958764,True,time,2026-03-09 16:53:00+00:00,2.5860159310464814,0.3111111111110472
short,196.44,-0.22398696803094978,False,time,2026-03-09 18:10:00+00:00,3.9158204204601366,3.4584980237154133
short,197.475,-0.5,False,sl,2026-03-09 19:17:00+00:00,3.1774510213517084,0.5337243401759305
short,190.895,-0.5,False,sl,2026-03-10 14:08:00+00:00,3.6631681005524257,2.2657580919932134
short,194.035,-0.5,False,sl,2026-03-10 15:10:00+00:00,2.868358395749529,0.5622489959839017
short,194.78,-0.010267994660648028,False,time,2026-03-10 15:28:00+00:00,2.5115831941745497,0.5938009787927964
long,198.475,-0.5,False,sl,2026-03-10 16:31:00+00:00,3.2003612894471436,0.8431372549019758
long,198.935,-0.5,False,sl,2026-03-10 16:32:00+00:00,3.454979804519088,0.9113725490195904
short,195.25,-0.5,False,sl,2026-03-10 17:39:00+00:00,2.8446517745949884,0.8690958164642025
short,192.13,-0.5,False,sl,2026-03-11 15:13:00+00:00,2.775203080868515,0.735083532219562
short,192.81,0.4201026917691003,True,time,2026-03-11 15:32:00+00:00,2.855547020721833,0.7573099415204799
short,191.98,0.18751953328470947,True,time,2026-03-11 17:14:00+00:00,3.9907095299589774,4.024291497975663
short,192.02,-0.22914279762524617,False,time,2026-03-11 18:20:00+00:00,3.3654965581171465,0.8281690140845949
short,192.41,-0.10394470141885404,False,time,2026-03-11 18:42:00+00:00,2.9009697358296496,0.9776536312849361
short,192.43,-0.09873720313880255,False,time,2026-03-11 18:53:00+00:00,3.2462109211963774,0.75
short,192.91,-0.5,False,sl,2026-03-11 19:38:00+00:00,3.6194544277850196,0.6784140969161798
long,200.44,-0.5,False,sl,2026-03-12 17:36:00+00:00,2.570928026796368,0.6138279932546035
long,200.52,-0.5,False,sl,2026-03-12 17:41:00+00:00,3.6519916122862726,0.9948006932408173
long,198.86,-0.06537262395656435,False,time,2026-03-12 18:01:00+00:00,3.3276169771312842,0.3161290322580343
long,198.75,-0.5,False,sl,2026-03-12 19:40:00+00:00,2.515008632920732,1.252293577981571
long,198.14,0.8,True,tp,2026-03-12 19:51:00+00:00,2.8628279429986856,1.4955489614243744
long,200.12,-0.5,False,sl,2026-03-13 13:30:00+00:00,2.8223998748350243,2.0613496932515054
short,197.08,0.8,True,tp,2026-03-13 13:55:00+00:00,2.636196142825713,0.54481132075474
short,196.71,0.8,True,tp,2026-03-13 13:57:00+00:00,3.3030880584885707,0.7390029325513005
short,195.4,0.8,True,tp,2026-03-13 14:53:00+00:00,3.2210745471582736,0.6584867075664423
short,193.665,0.42341156120103957,True,time,2026-03-13 15:26:00+00:00,2.9606472777554074,0.40740740740745474
short,193.33,0.253452645735276,True,time,2026-03-13 15:27:00+00:00,2.712974544590282,0.3584905660377308
short,193.14,0.17344931138033529,True,time,2026-03-13 15:35:00+00:00,3.140480641807681,0.5633383010431828
short,192.7,0.16865594187856184,True,time,2026-03-13 15:51:00+00:00,2.5146934467756443,1.0504774897681004
short,193.12,0.2796188898094408,True,time,2026-03-13 16:27:00+00:00,2.6681330963760352,1.0290964777947236
short,192.72,0.48775425487754137,True,time,2026-03-13 19:30:00+00:00,2.822818907663466,0.563218390804787
short,192.415,-0.5,False,sl,2026-03-13 19:59:00+00:00,2.5060031899512083,1.2322097378277794
long,198.04,-0.0605938194304204,False,time,2026-03-16 15:54:00+00:00,2.801146552639888,1.0397877984084074
long,198.13,0.11860899409479313,True,time,2026-03-16 15:55:00+00:00,2.7854990460822266,1.3333333333333524
long,197.95,-0.22733013387218423,False,time,2026-03-16 17:27:00+00:00,2.7631165433578637,0.31111111111117395
long,197.375,0.16972767574414588,True,time,2026-03-16 17:59:00+00:00,2.9656024555980154,0.5075528700906533
long,197.74,0.24780014160007113,True,time,2026-03-16 18:22:00+00:00,3.403086073549034,1.2093023255813566
long,198.1,-0.4795557799091311,False,time,2026-03-16 19:10:00+00:00,2.962449240926042,2.3564356435643683
long,197.11,0.8,True,tp,2026-03-16 19:44:00+00:00,2.6829947476474674,2.3236514522822764
long,197.38,0.8,True,tp,2026-03-16 19:45:00+00:00,3.530062731548565,0.8955223880595988
long,197.71,0.8,True,tp,2026-03-16 19:48:00+00:00,2.715449604657207,1.887966804979212
long,197.945,0.8,True,tp,2026-03-16 19:49:00+00:00,3.372665216054576,1.3548387096773158
long,198.12,0.8,True,tp,2026-03-16 19:59:00+00:00,2.563709821376532,0.5129770992366509
long,198.05,0.8,True,tp,2026-03-17 13:30:00+00:00,2.5601257320969766,0.41176470588232195
long,197.705,-0.5,False,sl,2026-03-17 15:00:00+00:00,3.8708823805226933,0.86956521739133
long,197.83,-0.0581307182934889,False,time,2026-03-17 15:26:00+00:00,3.479218505519729,1.281927710843295
long,197.61,-0.5,False,sl,2026-03-17 15:55:00+00:00,4.0047570813301485,1.5196304849885265
short,196.3,-0.11716760061130399,False,time,2026-03-17 16:55:00+00:00,4.049135050047838,4.495412844036615
short,196.7,0.44738179969496467,True,time,2026-03-17 17:31:00+00:00,2.622657375765907,1.5156695156697282
short,195.76,-0.028095627298736627,False,time,2026-03-17 17:46:00+00:00,4.010453557618311,2.7191601049867806
short,195.07,-0.015379094683960187,False,time,2026-03-17 19:07:00+00:00,4.108328161523247,0.5641025641026538
short,194.91,0.8,True,tp,2026-03-17 19:42:00+00:00,2.5511316955239303,0.7417218543044647
short,195.03,0.8,True,tp,2026-03-17 19:56:00+00:00,3.703878207569715,0.5549549549548792
short,195.15,0.8,True,tp,2026-03-17 19:58:00+00:00,2.88707171852016,0.4153577661431481
short,194.55,0.005140066820878605,True,time,2026-03-18 15:57:00+00:00,2.6348644048993113,0.7179487179487587
short,195.26,0.10242753252073576,True,time,2026-03-18 17:42:00+00:00,4.068097969546403,0.7887323943660473
short,194.38,-0.5,False,sl,2026-03-18 19:51:00+00:00,2.7368983809802008,1.9935275080905472
short,195.75,-0.5,False,sl,2026-03-19 13:30:00+00:00,3.099921225927889,0.7449541284402751
