symbol,date,score,tp,sl,pnl,exit_type,entry_price,mfe,mae
SPY,2025-12-16,6,0.0025,0.0025,0.00039683825912715,avg,678.74,0.0013407195686123,0.000547043050358
SPY,2025-12-23,6,0.0025,0.0025,-0.0001826177153792168,avg,684.49,8.765650338216645e-05,0.0004528919341406
SPY,2025-12-26,6,0.0025,0.0025,-0.00056486537375265,avg,690.43,0.0006517677389451,0.0017814984864504
SPY,2026-01-02,6,0.0025,0.0025,-0.0008172796263864,avg,685.2,0.0002918855808523,0.0019264448336251
SPY,2026-01-07,6,0.0025,0.0025,0.00020235892691960002,avg,691.84,0.0010696114708603,0.0006648936170211
SPY,2026-01-28,6,0.0025,0.0025,-0.0008856694364839498,avg,694.39,0.0006480508071831,0.002419389680151
SPY,2026-02-02,6,0.0025,0.0025,-4.310747411765e-05,avg,695.935,0.0006825350068611,0.0007687499550964
SPY,2026-02-04,6,0.0025,0.0025,-0.0007826313806196502,avg,689.98,0.0006232064697528,0.0021884692309921
SPY,2026-02-10,6,0.0025,0.0025,0.0025,tp,695.5,0.0034795111430624,0.0
SPY,2026-02-10,6,0.0025,0.0025,-0.0025,sl,693.97,0.0007421070075075,0.0035520267446718
SPY,2026-02-11,6,0.0025,0.0025,0.00036061506505495004,avg,693.26,0.0008799007587341,0.0001586706286242
SPY,2026-02-12,6,0.0025,0.0025,0.00016961120557979997,avg,693.94,0.0006562527019627,0.0003170302908031
SPY,2026-02-12,6,0.0025,0.0025,0.00059111027811025,avg,693.61,0.0020905119591702,0.0009082914029497
SPY,2026-02-12,6,0.0025,0.0025,-0.0025,sl,683.78,0.0,0.0025739272865541
SPY,2026-02-13,6,0.0025,0.0025,0.0025,tp,680.06,0.0037349645619503,0.0047936946739995
SPY,2026-02-13,7,0.0025,0.0025,0.0025,tp,680.06,0.0037349645619503,0.0047936946739995
SPY,2026-02-13,6,0.0025,0.0025,-0.0025,sl,681.855,7.332937354709509e-06,0.0046270834708258
SPY,2026-02-13,6,0.0025,0.0025,0.0025,tp,684.49,0.0030387587839121,0.0006428143581351
SPY,2026-02-17,6,0.0025,0.0025,0.00017687375635649992,avg,678.45,0.0017834770432604,0.0014297295305474
SPY,2026-02-17,6,0.0025,0.0025,0.00017687375635649992,avg,678.45,0.0017834770432604,0.0014297295305474
SPY,2026-02-17,6,0.0025,0.0025,0.0025,tp,678.48,0.0032572809810164,0.0018718311519867
SPY,2026-02-19,6,0.0025,0.0025,-0.0025,sl,683.89,0.0002632002222578,0.0028805802102677
SPY,2026-02-20,6,0.0025,0.0025,0.00071687336661775,avg,683.2448,0.001646262071808,0.0002125153385725
SPY,2026-02-20,6,0.0025,0.0025,0.00016000000000005008,avg,687.5,0.0023418181818182,0.0020218181818181
SPY,2026-02-23,7,0.0025,0.0025,-0.00035015027282555005,avg,685.42,0.0013422427124973,0.0020425432581484
SPY,2026-03-02,7,0.0025,0.0025,-0.0025,sl,675.3,0.000918110469421,0.0089589811935437
SPY,2026-03-02,6,0.0025,0.0025,-0.0025,sl,675.3,0.000918110469421,0.0089589811935437
SPY,2026-03-02,6,0.0025,0.0025,0.0025,tp,686.79,0.002766493396817,2.9120983124363794e-05
SPY,2026-03-04,6,0.0025,0.0025,0.0025,tp,681.17,0.0064154322709455,0.0032297370700413
SPY,2026-03-05,6,0.0025,0.0025,-0.00021949399318100003,avg,683.39,0.0007170137110581,0.0011560016974201
SPY,2026-03-05,6,0.0025,0.0025,0.0025,tp,680.2,0.0045868862099382,0.0013819464863274
SPY,2026-03-06,6,0.0025,0.0025,0.0025,tp,676.39,0.0064459853043362,0.001404515146587
