pnl,slack,tier,result,symbol,trend
100.0,0.7846406769188066,expanded,win,NVDA,down
100.0,0.6284056602329037,expanded,win,NVDA,up
-50.0,2.9680640231882465,core,loss,NVDA,up
-25.0,0.6512342809213543,expanded,loss,NVDA,up
-25.0,0.6103540357305732,expanded,loss,NVDA,up
-50.0,0.9989125249460796,core,loss,NVDA,up
100.0,0.6867751852134395,expanded,win,NVDA,down
200.0,1.3261084044050362,core,win,NVDA,up
-25.0,0.6520402215401839,expanded,loss,NVDA,up
-50.0,1.3814201149810168,core,loss,NVDA,up
100.0,0.7072879365048759,expanded,win,NVDA,up
-25.0,0.6474473782212719,expanded,loss,NVDA,up
100.0,0.6504257170609217,expanded,win,NVDA,up
-25.0,0.6187718668222589,expanded,loss,NVDA,up
-50.0,1.3019741676254644,core,loss,NVDA,down
-50.0,2.3806922809693654,core,loss,NVDA,up
100.0,0.7545362392731175,expanded,win,NVDA,down
-25.0,0.6878108452258667,expanded,loss,NVDA,down
-50.0,0.8747306388439123,core,loss,NVDA,down
200.0,0.9035538251746372,core,win,NVDA,up
200.0,0.8310020540127832,core,win,NVDA,up
-50.0,0.877163167167028,core,loss,NVDA,up
-50.0,0.900833801940584,core,loss,NVDA,up
-25.0,0.6376666615063267,expanded,loss,NVDA,up
-50.0,0.8089744539988685,core,loss,NVDA,up
-50.0,1.1605422990259904,core,loss,NVDA,down
100.0,0.732962798967803,expanded,win,NVDA,up
-25.0,0.721861754031681,expanded,loss,NVDA,up
200.0,0.8566408869128136,core,win,NVDA,up
-50.0,1.5162437219810447,core,loss,NVDA,up
-50.0,3.3443009677474795,core,loss,NVDA,up
-25.0,0.7355988831596608,expanded,loss,NVDA,up
200.0,1.7035852923949353,core,win,NVDA,up
-25.0,0.6845995912422219,expanded,loss,NVDA,up
-25.0,0.7396965489951959,expanded,loss,NVDA,up
-25.0,0.7486881160940555,expanded,loss,NVDA,up
-50.0,1.3036758707371257,core,loss,NVDA,up
-25.0,0.6298712765617099,expanded,loss,NVDA,up
-25.0,0.6599617362414926,expanded,loss,NVDA,up
-50.0,1.7934318820862787,core,loss,NVDA,up
-25.0,0.7797641034316459,expanded,loss,NVDA,up
-50.0,1.1161599508903772,core,loss,META,up
-25.0,0.6352871704677452,expanded,loss,META,up
-25.0,0.727450161294146,expanded,loss,META,down
-25.0,0.7464579310805467,expanded,loss,META,up
-50.0,0.8224074561842337,core,loss,META,up
200.0,0.9054694029408118,core,win,META,up
-50.0,1.2268663637663186,core,loss,META,up
-50.0,1.0679928577657802,core,loss,META,up
-50.0,0.8464641138273186,core,loss,META,down
100.0,0.79248819774751,expanded,win,META,up
-25.0,0.6785293003048914,expanded,loss,META,up
-25.0,0.7092184770918151,expanded,loss,META,up
-25.0,0.7352342309073856,expanded,loss,META,up
-25.0,0.7329381957348033,expanded,loss,META,up
-50.0,1.4707260547432104,core,loss,META,up
-50.0,1.1317893461403763,core,loss,META,up
200.0,1.1768279043689833,core,win,META,up
-50.0,0.9397092824990682,core,loss,META,up
-50.0,2.9234075254378613,core,loss,META,up
-25.0,0.6379703623453814,expanded,loss,META,up
-50.0,0.8429248421928932,core,loss,META,down
100.0,0.6169066878388526,expanded,win,META,up
-25.0,0.7137979202158006,expanded,loss,META,up
-25.0,0.7005182172915451,expanded,loss,META,up
200.0,0.8580650558939992,core,win,META,down
-25.0,0.6998349065317051,expanded,loss,META,up
-25.0,0.6034231638196466,expanded,loss,META,up
-25.0,0.6212169435455327,expanded,loss,META,up
-25.0,0.6429303446949277,expanded,loss,META,up
-50.0,2.0698587637184978,core,loss,META,up
-25.0,0.7708751320643935,expanded,loss,META,up
-50.0,0.8428894400740128,core,loss,META,up
-50.0,0.8204397836179558,core,loss,META,up
200.0,0.9754671748161835,core,win,META,down
-25.0,0.6251965304700707,expanded,loss,META,up
200.0,1.2137148881227553,core,win,META,down
-25.0,0.6711644130086354,expanded,loss,META,up
-50.0,0.9928123386415786,core,loss,META,up
-25.0,0.6844939536782169,expanded,loss,META,up
100.0,0.6819232712329968,expanded,win,META,up
-50.0,1.3448167257934862,core,loss,META,up
200.0,1.0807848477637838,core,win,META,up
-25.0,0.7135433003044609,expanded,loss,META,up
-50.0,0.8730247116687548,core,loss,META,up
-25.0,0.6275431139928963,expanded,loss,META,up
-50.0,0.9581929058593266,core,loss,META,up
-25.0,0.6559351074365344,expanded,loss,META,up
-50.0,0.951970610584673,core,loss,META,up
200.0,1.0455122568714914,core,win,META,up
100.0,0.7159149256498251,expanded,win,META,down
-25.0,0.6371781075234921,expanded,loss,META,up
100.0,0.6345075348295877,expanded,win,META,up
-25.0,0.7916151875074945,expanded,loss,META,up
-50.0,1.1195327993670774,core,loss,META,up
-50.0,1.33238285381419,core,loss,META,up
200.0,2.582821528635962,core,win,META,down
-25.0,0.7966678300672863,expanded,loss,META,down
100.0,0.6527162040339459,expanded,win,META,up
200.0,0.8354415031859384,core,win,META,up
-50.0,2.51666831988006,core,loss,META,up
200.0,1.677288240393445,core,win,META,up
200.0,0.8798642012258655,core,win,META,down
200.0,0.8420889258253429,core,win,META,up
200.0,0.8628704312460491,core,win,META,down
200.0,0.9009813605413605,core,win,META,up
-25.0,0.6040948915214043,expanded,loss,META,up
100.0,0.7465573063947663,expanded,win,META,up
-50.0,2.1162281749331617,core,loss,META,up
-50.0,1.0325021741348879,core,loss,META,down
100.0,0.6307568385750144,expanded,win,META,up
100.0,0.6338250009147823,expanded,win,META,up
-25.0,0.6090205383464624,expanded,loss,META,up
-50.0,0.8022513437829679,core,loss,META,up
-25.0,0.7435417309733547,expanded,loss,META,up
-50.0,0.920771270246052,core,loss,META,up
-25.0,0.7717160879658889,expanded,loss,META,down
-50.0,1.4034976056637913,core,loss,GOOGL,up
-50.0,0.8383523520417735,core,loss,GOOGL,up
-50.0,1.2736315345053224,core,loss,GOOGL,up
-25.0,0.6798989692206909,expanded,loss,GOOGL,up
100.0,0.7623290124407345,expanded,win,GOOGL,up
100.0,0.6458921590445084,expanded,win,GOOGL,up
100.0,0.7644283928549743,expanded,win,GOOGL,down
-50.0,1.2032082511261544,core,loss,GOOGL,up
-50.0,1.7035125614694913,core,loss,GOOGL,up
-25.0,0.6048735289530776,expanded,loss,GOOGL,up
-25.0,0.7876230234067423,expanded,loss,GOOGL,up
-25.0,0.6363511705109373,expanded,loss,GOOGL,up
100.0,0.6988053218806496,expanded,win,GOOGL,down
-50.0,0.8250515137637796,core,loss,GOOGL,up
-25.0,0.6851216795282798,expanded,loss,GOOGL,neutral
-50.0,1.166143474194882,core,loss,GOOGL,up
200.0,1.6909685756452142,core,win,GOOGL,down
-50.0,0.9966683624475469,core,loss,GOOGL,up
200.0,1.3641485966319042,core,win,GOOGL,down
-50.0,1.0521473596618502,core,loss,GOOGL,up
-25.0,0.7666494761965604,expanded,loss,GOOGL,up
200.0,1.3652442262763944,core,win,GOOGL,down
-25.0,0.6199678333835091,expanded,loss,GOOGL,up
100.0,0.7117090978457896,expanded,win,GOOGL,down
-25.0,0.6338006749487659,expanded,loss,GOOGL,down
-25.0,0.6564411179300289,expanded,loss,GOOGL,down
-50.0,0.9303750596651754,core,loss,GOOGL,up
-25.0,0.7291501461377431,expanded,loss,GOOGL,up
-50.0,5.329227416376374,core,loss,GOOGL,up
-50.0,0.9281327839439265,core,loss,GOOGL,up
-25.0,0.6770770763885888,expanded,loss,GOOGL,up
100.0,0.6623025239359419,expanded,win,GOOGL,up
100.0,0.6779430531156284,expanded,win,GOOGL,up
-50.0,0.9578604415227466,core,loss,GOOGL,up
-25.0,0.7427359266907674,expanded,loss,GOOGL,up
100.0,0.6310230025580581,expanded,win,GOOGL,down
200.0,0.8487665918576804,core,win,GOOGL,up
100.0,0.7351266217181353,expanded,win,GOOGL,down
-25.0,0.691466087205102,expanded,loss,GOOGL,up
-25.0,0.690683675966268,expanded,loss,GOOGL,up
100.0,0.7581737871692726,expanded,win,GOOGL,down
-50.0,1.7123816739149493,core,loss,GOOGL,up
-25.0,0.7890993659414517,expanded,loss,GOOGL,up
-50.0,2.20442975023016,core,loss,GOOGL,up
200.0,1.2769407814996219,core,win,GOOGL,up
-50.0,1.3283553447475536,core,loss,GOOGL,up
100.0,0.7381719986128575,expanded,win,GOOGL,up
-25.0,0.6674301813190887,expanded,loss,GOOGL,up
-50.0,0.8527291719314752,core,loss,GOOGL,down
100.0,0.7731725610205434,expanded,win,GOOGL,up
-50.0,0.8084543185189561,core,loss,GOOGL,up
-50.0,0.8561597737047646,core,loss,GOOGL,up
-25.0,0.6183326380353177,expanded,loss,GOOGL,up
-50.0,1.0903717761037899,core,loss,GOOGL,up
-25.0,0.6363247355709815,expanded,loss,GOOGL,up
-25.0,0.6844319711081145,expanded,loss,GOOGL,up
-25.0,0.7215651049202314,expanded,loss,GOOGL,up
-50.0,0.9106563257780618,core,loss,GOOGL,up
100.0,0.6605427483159142,expanded,win,GOOGL,down
-25.0,0.6530656443975691,expanded,loss,GOOGL,up
-25.0,0.737836335341734,expanded,loss,GOOGL,up
-25.0,0.7580535152930459,expanded,loss,GOOGL,up
-50.0,1.1192076260473236,core,loss,GOOGL,up
100.0,0.6334898148807383,expanded,win,GOOGL,up
-50.0,1.2256991268928985,core,loss,AMD,up
-50.0,0.9211625856984255,core,loss,AMD,up
-50.0,0.9863423195485589,core,loss,AMD,up
100.0,0.6104589490804659,expanded,win,AMD,down
-25.0,0.6344806163817658,expanded,loss,AMD,up
-25.0,0.605067679879227,expanded,loss,AMD,up
-25.0,0.6495918244910881,expanded,loss,AMD,up
-50.0,1.3007192073100426,core,loss,AMD,up
-50.0,0.9559135822727681,core,loss,AMD,up
-50.0,0.8732888807804019,core,loss,AMD,up
-25.0,0.611673887233606,expanded,loss,AMD,up
-25.0,0.6422683079661553,expanded,loss,AMD,up
-25.0,0.6163575637443235,expanded,loss,AMD,up
-50.0,1.0447097063603623,core,loss,AMD,up
-25.0,0.7222517480063891,expanded,loss,AMD,up
-25.0,0.6489549095708956,expanded,loss,AMD,up
-50.0,1.1397381450211301,core,loss,AMD,up
200.0,1.757267896329646,core,win,AMD,down
200.0,1.062380371510356,core,win,AMD,neutral
-25.0,0.7076780696574022,expanded,loss,AMD,down
-25.0,0.6985355446036949,expanded,loss,AMD,up
100.0,0.7572756652376869,expanded,win,AMD,down
100.0,0.6625169784292808,expanded,win,AMD,down
200.0,1.7210303197897794,core,win,AMD,down
-50.0,0.8205576961490327,core,loss,AMD,down
-50.0,0.8945286697525696,core,loss,AMD,up
200.0,1.2057265323296236,core,win,AMD,down
200.0,0.8707256672366267,core,win,AMD,down
-50.0,0.9286910804776927,core,loss,AMD,up
-25.0,0.6419528258740199,expanded,loss,AMD,up
-25.0,0.7801359583711418,expanded,loss,AMD,up
-25.0,0.6018248900854167,expanded,loss,AMD,down
-50.0,0.8139157930157795,core,loss,AMD,up
-25.0,0.6279705220739846,expanded,loss,AMD,up
-50.0,0.8962076734020017,core,loss,AMD,up
-50.0,0.9584827065354912,core,loss,AMD,up
200.0,1.0600503987479728,core,win,AMD,down
100.0,0.6520425550560033,expanded,win,AMD,neutral
100.0,0.6623915226777328,expanded,win,AMD,up
-25.0,0.790213884927685,expanded,loss,AMD,up
-50.0,0.8425368489052822,core,loss,AMD,up
200.0,1.0056324255952935,core,win,AMD,down
200.0,0.8502476713492059,core,win,AMD,up
-25.0,0.6883330365953229,expanded,loss,AMD,down
200.0,1.1861831378812508,core,win,AMD,up
-25.0,0.7708293091087051,expanded,loss,AMD,up
-25.0,0.791723734469382,expanded,loss,AMD,down
200.0,0.8146151457955132,core,win,AMD,up
-25.0,0.7506063833774741,expanded,loss,AMD,up
-50.0,0.8593680541514491,core,loss,AMD,up
-50.0,1.6429213295238263,core,loss,AMD,up
-50.0,1.1692490923323173,core,loss,AMD,up
-25.0,0.713825183436687,expanded,loss,AMD,up
-25.0,0.6441459971131579,expanded,loss,AMD,up
-50.0,0.898695074623895,core,loss,AMD,up
100.0,0.750221258057201,expanded,win,AMD,up
200.0,2.5029548692260235,core,win,AMD,up
-25.0,0.623344908197895,expanded,loss,AMD,up
100.0,0.7375416046460538,expanded,win,AMD,down
-50.0,1.0630107832257873,core,loss,AMD,up
-25.0,0.7281163777588575,expanded,loss,AMD,up
-50.0,0.8922522438817689,core,loss,AMD,up
100.0,0.7163854172186468,expanded,win,AMD,down
-25.0,0.7464874807464376,expanded,loss,AMD,up
100.0,0.783796150783042,expanded,win,AMD,up
100.0,0.6563060537793727,expanded,win,AMD,up
-25.0,0.745251527211425,expanded,loss,AMD,up
-25.0,0.787525887232164,expanded,loss,AMD,up
-50.0,0.8657664706805722,core,loss,AMD,up
-50.0,3.951688857551307,core,loss,AMD,up
-50.0,1.1351603987843835,core,loss,AMD,up
200.0,1.2272198845585687,core,win,AMD,up
200.0,0.8006566379896738,core,win,AMD,down
100.0,0.6808793530020955,expanded,win,AMD,up
-25.0,0.6020483263445083,expanded,loss,AMD,up
200.0,1.088170939859572,core,win,AMD,down
200.0,0.8588296481818845,core,win,AMD,up
-50.0,0.8349854119709965,core,loss,AMD,up
-50.0,1.5344479698054434,core,loss,AMD,up
-50.0,1.4389740543928666,core,loss,AMD,up
200.0,2.068172712017967,core,win,AMD,up
-50.0,4.055168776373049,core,loss,AMD,up
-50.0,0.8138873863454534,core,loss,AMD,up
100.0,0.7388598557954061,expanded,win,AMD,up
-50.0,1.2982495598953467,core,loss,AMD,down
-25.0,0.6187300227541382,expanded,loss,AMD,up
-25.0,0.7643585655969468,expanded,loss,AMD,up
-50.0,2.1819389666445135,core,loss,AMD,up
-50.0,0.8542091331131811,core,loss,AMD,up
-25.0,0.7471222924044547,expanded,loss,AMD,up
-50.0,1.0150049668935117,core,loss,AMD,up
200.0,1.8728150858003856,core,win,AMD,down
100.0,0.6969778540398185,expanded,win,AMD,up
200.0,0.8328003551933288,core,win,AMD,up
100.0,0.7742727131472137,expanded,win,AMD,up
