pnl,result,slack
-25.0,loss,1.7238158094002356
-25.0,loss,0.6397756095264676
100.0,win,4.1107509588194215
-25.0,loss,0.7315378999784571
-25.0,loss,0.8213349816337487
-25.0,loss,0.840865080692298
-25.0,loss,0.7123412515102453
-25.0,loss,1.1044515914229633
-25.0,loss,0.6809192603476745
-25.0,loss,3.372938733131457
-25.0,loss,0.7555193976092113
-25.0,loss,0.6127475245147694
-25.0,loss,0.7256491639545773
-25.0,loss,1.0424936798029754
-25.0,loss,4.367980134389503
-25.0,loss,1.7919283673774447
-25.0,loss,0.6189132723628593
-25.0,loss,1.0051348860910798
100.0,win,0.7780096099899341
-25.0,loss,1.7367163560603869
-25.0,loss,0.876719180751558
-25.0,loss,0.6030699315857843
-25.0,loss,0.9094787963946128
-25.0,loss,1.1362134399599764
-25.0,loss,0.61923048608797
-25.0,loss,1.2184170508878804
-25.0,loss,1.1222357079503122
-25.0,loss,0.6436190821118789
-25.0,loss,0.6769497318519027
-25.0,loss,0.7931125869258883
-25.0,loss,0.7519220437031772
-25.0,loss,1.4426252637114663
-25.0,loss,0.7387012960299423
-25.0,loss,1.3862617913234305
100.0,win,1.0041940054693548
-25.0,loss,1.02598819322179
100.0,win,0.6446415516113325
-25.0,loss,1.0038433780891056
-25.0,loss,0.6661321987532582
-25.0,loss,0.6475228841584623
-25.0,loss,1.128426626525009
100.0,win,1.0255149196189601
-25.0,loss,0.9675576653533912
-25.0,loss,0.7239953788900767
-25.0,loss,0.9719294813509958
100.0,win,0.7540115501358752
-25.0,loss,0.9824848634552745
-25.0,loss,3.7772245563287767
-25.0,loss,0.7456316905696615
100.0,win,0.79646093297865
-25.0,loss,0.6726162609783372
-25.0,loss,0.8032963088495095
100.0,win,1.0631541144239942
-25.0,loss,1.6177060161738355
-25.0,loss,1.8729245794628362
-25.0,loss,5.855927853372658
-25.0,loss,0.6466001270084561
-25.0,loss,0.6098965548043838
-25.0,loss,0.9444104857769623
100.0,win,1.2840406566462816
-25.0,loss,1.1365867134096126
-25.0,loss,0.6831395280974942
100.0,win,1.8225563431722318
-25.0,loss,0.6533259947478773
-25.0,loss,0.7931203909917549
-25.0,loss,0.7805667912349519
-25.0,loss,0.7520407780575664
-25.0,loss,0.7215239367187168
-25.0,loss,0.9770429688014407
-25.0,loss,0.6429724412189183
100.0,win,0.7089278840340607
100.0,win,1.4228471348552385
100.0,win,0.6717715348966199
100.0,win,0.6789514427018996
-25.0,loss,0.7560671943592587
-25.0,loss,0.6918229309421895
-25.0,loss,0.820542701142898
-25.0,loss,0.7353547505324799
-25.0,loss,0.7485892177671959
-25.0,loss,1.7505098555593885
-25.0,loss,1.3692966334546754
-25.0,loss,0.921482235091174
-25.0,loss,0.8940268840414423
-25.0,loss,0.6345569573278811
-25.0,loss,0.6857482526800556
100.0,win,0.8242910568168904
100.0,win,1.0242704985546216
-25.0,loss,0.6160934320561968
-25.0,loss,1.0531104247324892
100.0,win,0.7420853301541833
100.0,win,0.810665413360342
-25.0,loss,0.7359675837302797
-25.0,loss,0.6167202709059765
100.0,win,1.5268679291661962
-25.0,loss,1.2176441341611457
-25.0,loss,1.1658058380036478
100.0,win,1.0138474594684528
100.0,win,0.8394244846914584
-25.0,loss,0.8760456696208468
-25.0,loss,0.6450599557493919
100.0,win,0.714078476371064
100.0,win,0.6370966418010219
100.0,win,1.0037690057513318
100.0,win,0.6609929808896501
-25.0,loss,1.1497153608830366
-25.0,loss,0.6311442299129626
100.0,win,0.6012112288252975
-25.0,loss,0.9567018913033083
100.0,win,0.6603633687796059
100.0,win,0.674498577707887
-25.0,loss,0.772014260019577
-25.0,loss,0.8943216887718196
100.0,win,0.7694797134013962
-25.0,loss,2.7970968822541318
100.0,win,1.2531197915037786
-25.0,loss,0.7310652313270063
-25.0,loss,0.9393025131578826
100.0,win,1.0762025710198955
-25.0,loss,0.9433823527584481
100.0,win,1.1870207819453744
100.0,win,0.6095239125729606
-25.0,loss,4.12426409989163
100.0,win,1.2020435633493938
100.0,win,0.6826681338481864
-25.0,loss,0.6046277211168466
100.0,win,1.0843623359574708
100.0,win,0.6973442123510535
100.0,win,0.7846406769188066
-25.0,loss,0.97168273694061
100.0,win,0.6284056602329037
-25.0,loss,0.6713370958763407
-25.0,loss,0.6103540357305732
-25.0,loss,0.9989125249460796
-25.0,loss,2.298722817746141
-25.0,loss,0.7056125115781591
100.0,win,1.015280472320337
-25.0,loss,0.6520402215401839
-25.0,loss,0.9613964792548552
-25.0,loss,0.6474473782212719
-25.0,loss,0.6506795254775342
100.0,win,0.6504257170609217
-25.0,loss,0.6187718668222589
-25.0,loss,0.7327731094336412
-25.0,loss,1.3019741676254644
-25.0,loss,2.3806922809693654
100.0,win,0.7545362392731175
-25.0,loss,0.6878108452258667
-25.0,loss,0.8747306388439123
100.0,win,0.9035538251746372
-25.0,loss,0.6075803467036659
100.0,win,0.6628965785302596
-25.0,loss,0.6777617191374001
-25.0,loss,0.6781005784078843
100.0,win,1.1274572432054435
-25.0,loss,0.787427138867659
100.0,win,0.7585140615791534
-25.0,loss,0.8089744539988685
100.0,win,2.0089694246617213
-25.0,loss,0.6177855403670627
-25.0,loss,1.1605422990259904
100.0,win,0.732962798967803
100.0,win,0.6669012181605481
100.0,win,0.8566408869128136
-25.0,loss,3.3443009677474795
-25.0,loss,3.0709877900112788
100.0,win,1.7035852923949353
-25.0,loss,0.6845995912422219
100.0,win,0.93669506102369
-25.0,loss,0.6101655584019614
-25.0,loss,0.6298712765617099
-25.0,loss,0.6599617362414926
-25.0,loss,1.7934318820862787
-25.0,loss,0.7797641034316459
100.0,win,0.6150636446955478
-25.0,loss,1.1194238838884594
-25.0,loss,0.6352871704677452
-25.0,loss,0.727450161294146
100.0,win,0.6613867312688227
-25.0,loss,0.7464579310805467
100.0,win,0.9054694029408118
100.0,win,0.79248819774751
-25.0,loss,1.083775515230298
-25.0,loss,0.9039300096429443
-25.0,loss,0.9404846198923322
-25.0,loss,2.9187704469543254
100.0,win,0.8666466899765684
100.0,win,0.6818241757045737
-25.0,loss,0.9397092824990682
-25.0,loss,1.3603911447511579
-25.0,loss,0.6379703623453814
-25.0,loss,0.8429248421928932
-25.0,loss,0.6287442829502177
100.0,win,0.6169066878388526
-25.0,loss,0.7137979202158006
-25.0,loss,0.8531210521990366
-25.0,loss,0.7241557215227222
-25.0,loss,1.685831577067105
-25.0,loss,0.6998349065317051
-25.0,loss,0.6034231638196466
-25.0,loss,0.6212169435455327
-25.0,loss,0.691744627334504
-25.0,loss,1.0585082051422703
-25.0,loss,0.6251965304700707
-25.0,loss,0.6296241507530072
-25.0,loss,1.1264791295473278
-25.0,loss,0.6459904744149046
-25.0,loss,0.6711644130086354
100.0,win,0.6132920473977115
-25.0,loss,0.7912356038229093
-25.0,loss,0.6156178405367159
100.0,win,0.7009477940855104
-25.0,loss,0.7767626371331703
-25.0,loss,4.975260251321528
-25.0,loss,0.6275431139928963
-25.0,loss,0.7919417140721073
100.0,win,0.9384036368342531
