date,mfe_15m_long,mfe_30m_long,mfe_60m_long,mfe_15m_short,mfe_30m_short,mfe_60m_short,mfe_60m_best,pm_high_broken,pm_low_broken,pm_high,pm_low,pm_range,pm_vol,pm_open,prev_close,rth_open,gap_pct,pm_vol_ma20,pm_vol_ratio
2025-12-15,0.005833284722622006,0.005833284722622006,0.005833284722622006,0.33833051391239133,0.5862451146240422,0.9435338038849714,0.9435338038849714,True,True,685.65,684.84,0.11827580164709209,862.0,684.93,,685.72,,,
2025-12-16,0.18992373605016985,0.273843526397929,0.273843526397929,0.19875739819204713,0.2267306616413058,0.40929301257324174,0.40929301257324174,False,True,682.06,679.45,0.3841342262123629,4925.0,680.49,680.98,679.22,-0.2584510558313006,,
2025-12-17,0.08016002588653445,0.08016002588653445,0.08016002588653445,0.26180705702392637,0.33681919133977023,0.33681919133977023,0.33681919133977023,False,True,681.1,679.94,0.17060328852545342,2054.0,681.1,678.75,679.89,0.16795580110497038,,
2025-12-18,0.14610389610389743,0.14610389610389743,0.2287485242030629,0.22432113341203982,0.2818772136953908,0.2818772136953908,0.2818772136953908,True,False,677.34,674.19,0.46722733947403217,5146.0,674.25,671.99,677.6,0.8348338516942235,,
2025-12-19,0.44487141590304324,0.5793674253620986,0.5793674253620986,0.019213715637007897,0.019213715637007897,0.019213715637007897,0.5793674253620986,True,False,676.24,675.16,0.15996208306179885,1434.0,675.24,676.31,676.6,0.04287974449587871,,
2025-12-22,0.08772827628558812,0.08772827628558812,0.08772827628558812,0.1447516558711996,0.1447516558711996,0.152062345561675,0.152062345561675,True,True,683.97,683.28,0.10098349139445828,2137.0,683.29,,683.93,,,
2025-12-23,0.29608293246386197,0.3392160016376018,0.3392160016376018,0.0087728276285505,0.0087728276285505,0.0087728276285505,0.3392160016376018,True,False,684.61,683.67,0.1374932350403052,804.0,684.61,685.0,683.93,-0.1562043795620511,,
2025-12-24,0.10756595682825919,0.1133803328730246,0.18606003343265828,0.02180391016790333,0.02180391016790333,0.02180391016790333,0.18606003343265828,True,True,688.22,687.91,0.045064034539410554,545.0,687.99,687.71,687.95,0.0348984310247065,,
2025-12-29,0.23998254672388786,0.23998254672388786,0.23998254672388786,0.05235982837610355,0.05235982837610355,0.10617409642933671,0.23998254672388786,True,False,688.37,686.79,0.23005576668268918,1087.0,688.37,,687.55,,,
2025-12-30,0.06109535238925872,0.15710233471524143,0.15710233471524143,0.07127791112081011,0.08291512109972361,0.10182558731544773,0.15710233471524143,True,True,687.96,687.57,0.056721497447530626,1270.0,687.69,687.85,687.45,-0.05815221341861994,,
2025-12-31,0.03347255977762842,0.03347255977762842,0.03347255977762842,0.24158456187329444,0.2692358069069933,0.3223553039454007,0.3223553039454007,False,True,687.54,687.38,0.023276790130636354,275.0,687.54,687.0,687.13,0.018922852983987694,,
2026-01-02,0.06416706771083124,0.16479269662101986,0.1691677239649368,0.23187644922781228,0.23187644922781228,0.6022954310131099,0.6022954310131099,True,True,686.0,685.61,0.05688365105526266,543.0,685.86,,685.71,,,
2026-01-05,0.18772394907799073,0.19518163544732017,0.31316456433712403,0.02403355958865669,0.02403355958865669,0.02403355958865669,0.31316456433712403,True,False,686.28,684.66,0.23661379370782648,860.0,685.14,,686.54,,,
2026-01-06,0.13882226389313462,0.34305815998721,0.4259154274417548,0.021804544066980257,0.021804544066980257,0.021804544066980257,0.4259154274417548,True,False,688.09,687.49,0.08727399671268277,1104.0,688.04,687.44,687.93,0.07127894798089948,,
2026-01-07,0.1076278532216129,0.12857555619762875,0.12857555619762875,0.07078878936723622,0.07078878936723622,0.15891360878359184,0.15891360878359184,True,True,692.28,691.38,0.13017443374120993,1912.0,691.59,691.93,692.2,0.03902128828062022,2040.35,0.9370941260077928
2026-01-08,0.07113717861239081,0.07113717861239081,0.17566527779794666,0.19163484850683593,0.19163484850683593,0.19163484850683593,0.19163484850683593,True,True,689.25,688.25,0.1452960406828914,2442.0,688.25,689.6,688.81,-0.11455916473318986,1977.95,1.2346115928107384
