date,side,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,hit_+1.00%
2025-12-15,long,680.93,0.07783472603646284,0.24672139573817425,0.17182382917481576,0.24672139573817425,0.2100069023247711,0.24672139573817425,False,False,False,False
2025-12-15,long,680.72,0.10870842637207795,0.2159478199553454,0.20713362322246567,0.2159478199553454,0.2849923610294895,0.2159478199553454,True,False,False,False
2025-12-15,long,680.68,0.11459129106189199,0.21008403361343803,0.21742962919433775,0.21008403361343803,0.317329729094447,0.21008403361343803,True,False,False,False
2025-12-16,long,677.305,0.2044869002886594,0.12771203519830734,0.30636124050465385,0.12771203519830734,0.3115287795011131,0.12771203519830734,True,False,False,False
2025-12-16,long,676.74,0.28814611224399994,0.04433017111445378,0.39527735910393275,0.04433017111445378,0.39527735910393275,0.04433017111445378,True,False,False,False
2025-12-16,long,676.58,0.3118626030920236,0.020692305418425958,0.4190191847231551,0.020692305418425958,0.4190191847231551,0.020692305418425958,True,False,False,False
2025-12-17,long,676.395,0.015523473709891142,0.3511261910570007,0.015523473709891142,0.3673888778006954,0.015523473709891142,0.4383533290459024,False,False,False,False
2025-12-17,long,676.04,0.05620969173421624,0.2987988876397819,0.05620969173421624,0.3505709721318272,0.05620969173421624,0.3860718300692287,False,False,False,False
2025-12-17,long,676.03,0.05768974749641087,0.29732408325074194,0.05768974749641087,0.3845983166427559,0.05768974749641087,0.3845983166427559,False,False,False,False
2025-12-18,short,680.14,0.04704913694238485,0.06763313435469703,0.06983856264886976,0.06763313435469703,0.09115770282588946,0.08821713176699249,False,False,False,False
2025-12-18,short,680.4,0.1014109347442594,0.02939447383892497,0.1080246913580267,0.02939447383892497,0.12933568489123978,0.04997060552616576,False,False,False,False
2025-12-18,short,680.44,0.08083005114338783,0.04408911880547212,0.13520663100347902,0.04408911880547212,0.40635471165717774,0.04408911880547212,True,False,False,False
2026-01-02,long,682.875,0.15742266154128434,0.1896393922753006,0.2511440600402756,0.1896393922753006,0.2511440600402756,0.3595094270547378,True,False,False,False
2026-01-02,long,682.2,0.2565230137789505,0.09088243916740026,0.3503371445323932,0.09088243916740026,0.3503371445323932,0.2609205511580308,True,False,False,False
2026-01-02,long,682.16,0.2624017825730148,0.08502404128062732,0.3562214143309581,0.08502404128062732,0.3562214143309581,0.25507212384191524,True,False,False,False
2026-01-13,long,692.315,0.20872001906645618,0.03249965694806883,0.24916403660182274,0.03249965694806883,0.28384478163840055,0.03249965694806883,True,False,False,False
2026-01-13,long,692.13,0.2355048906997234,0.0014448152803650913,0.27595971854997875,0.0014448152803650913,0.31064973343157387,0.0014448152803650913,True,False,False,False
2026-01-14,long,687.93,0.42446179117062394,0.011629090169047323,0.42446179117062394,0.011629090169047323,0.42446179117062394,0.20641635050077176,True,False,False,False
2026-01-14,long,687.3,0.04196129783210013,0.1149425287356269,0.059653717445086844,0.1149425287356269,0.315728211843456,0.1149425287356269,True,False,False,False
2026-01-14,long,687.11,0.05748715635050892,0.08732226281090695,0.08732226281090695,0.08732226281090695,0.343467567056223,0.08732226281090695,True,False,False,False
2026-01-16,long,690.41,0.17018872843673588,0.04490085601308577,0.32589330977245407,0.04490085601308577,0.3881751423067545,0.04490085601308577,True,False,False,False
2026-01-16,long,690.28,0.20426493596802484,0.026076374804419947,0.34478762241409217,0.026076374804419947,0.41432462189256736,0.026076374804419947,True,False,False,False
2026-01-16,long,690.145,0.22459048460831682,0.0007244854342196861,0.36441617341283156,0.0007244854342196861,0.4412116294402007,0.0007244854342196861,True,False,False,False
2026-01-20,short,684.52,0.15047040261788885,0.036521942382983695,0.23227955355578098,0.036521942382983695,0.28341027289194487,0.036521942382983695,True,False,False,False
2026-01-21,short,682.29,0.09380175585161535,0.07621392662943643,0.09380175585161535,0.1656187251755112,0.09380175585161535,0.4162452915915567,False,False,False,False
2026-01-21,short,682.52,0.12746879212330842,0.04248959737443058,0.12746879212330842,0.1318642677137633,0.12746879212330842,0.38240637636992525,False,False,False,False
2026-01-21,short,682.71,0.1552635819015481,0.10399730485856698,0.1552635819015481,0.12010956335778535,0.1552635819015481,0.35446968698275383,False,False,False,False
2026-01-21,long,680.1,0.09410380826348864,0.2852521687987141,0.09410380826348864,0.2896632848110612,0.1279223643581833,0.2896632848110612,False,False,False,False
2026-01-21,long,680.05,0.10146312771120575,0.2823321814572398,0.10146312771120575,0.2823321814572398,0.13528417028160764,0.2823321814572398,False,False,False,False
2026-01-29,long,692.24,0.15457066913208373,0.3770368658268828,0.15457066913208373,0.47382410724603785,0.15457066913208373,1.0112099849763088,False,False,False,False
