direction,max_fav,final_pnl,level_hit
short,0.10097356602464948,-1.1333152485155353,0.1
short,0.018095726392617632,-1.3089242090659685,
short,0.0,-0.16771990775405143,
long,0.11201674355535114,-0.3389980397069978,0.1
long,0.0,-0.29300901113139893,
short,0.8665943282794171,0.7742162526760276,0.2
short,0.2260838726837445,-0.10048172119276974,0.2
long,0.3365705389576665,0.08451330713914097,0.2
long,0.1376167152517888,-0.13169771674632452,0.1
short,0.9280536076972101,0.8479978651802037,0.2
long,0.11024053152213387,-0.916698111113568,0.1
short,0.5739330063654253,0.11553196881381872,0.2
short,0.3041876247206583,-0.16068879438561506,0.2
long,0.5210984995956851,0.03893264652151641,0.2
long,0.2194586686173975,-0.14705223713479743,0.2
long,0.35126530246185,-0.06128458468482805,0.2
long,0.20148953000701822,-0.19551946985865068,0.2
short,0.17175201995311778,-0.42713980614422686,0.15
short,0.036037118231780095,-0.08708970239345434,0.03
long,0.13040936549098445,-0.19336561090041876,0.1
long,0.0,-1.3523035636647098,
long,0.3674456819426638,0.08520479581278459,0.2
short,0.07212017984011221,-0.14117141585722642,0.07
long,2.0088562479749403,2.00577044728681,0.2
short,0.10987990590564609,-2.2796211464652747,0.1
short,1.1242792594057578,0.5416013753023605,0.2
short,0.09417637780806534,-0.14241305912439914,0.08
short,0.0712228893518,-0.14091410366376042,0.07
long,0.7275506304929295,0.4768819258693167,0.2
long,0.8438882954372176,0.5371585533343654,0.2
short,0.0,-0.7842056089080862,
long,0.03958466550957506,-0.4460887305502365,0.03
long,0.010654652277802757,-0.43379655702522457,
long,0.053478387091848774,-0.7708527510810385,0.05
short,0.316989381636473,0.0640224859462786,0.2
short,0.10015492715293756,0.017214128104413647,0.1
short,0.5252297880322663,0.5064715813168275,0.2
short,0.5193193067362157,-0.5106770792413695,0.2
short,0.49385425812115535,0.2320331117521664,0.2
short,0.155721588674795,-0.011010617381053876,0.15
short,0.6473105037970323,0.21629643663461764,0.2
long,0.09964036057357041,0.017125686973581862,0.08
