sym,date,gap_pct,gap_bucket,level,entry_time,ret_eod,TP1.0_SL0.5_result,TP1.0_SL0.5_ret,TP1.5_SL0.5_result,TP1.5_SL0.5_ret,TP2.0_SL1.0_result,TP2.0_SL1.0_ret
TXN,2025-12-18,1.485,gap_1_2,PMH,09:40,-0.525,SL,-0.5,SL,-0.5,EOD,-0.5252
TXN,2025-12-22,1.804,gap_1_2,PDH,10:32,0.255,EOD,0.2551,EOD,0.2551,EOD,0.2551
TXN,2026-01-02,1.141,gap_1_2,BOTH,09:33,0.305,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-01-06,1.645,gap_1_2,PDH,09:32,4.859,TP,1.0,TP,1.5,TP,2.0
TXN,2026-01-22,1.476,gap_1_2,PDH,10:10,-0.588,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-03-16,1.944,gap_1_2,PDH,10:00,0.186,SL,-0.5,SL,-0.5,EOD,0.1858
TXN,2026-03-23,3.91,gap_2plus,PDH,09:43,-1.003,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-03-25,1.485,gap_1_2,PMH,09:31,-0.694,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-03-31,2.087,gap_2plus,PMH,09:58,1.564,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-04-06,1.088,gap_1_2,PMH,10:09,1.298,TP,1.0,EOD,1.2979,EOD,1.2979
TXN,2026-04-08,3.57,gap_2plus,PMH,09:31,-0.186,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-04-09,1.733,gap_1_2,PMH,09:53,0.755,TP,1.0,EOD,0.7548,EOD,0.7548
TXN,2026-04-17,2.317,gap_2plus,PMH,11:53,-0.113,SL,-0.5,SL,-0.5,EOD,-0.113
TXN,2026-04-20,1.014,gap_1_2,PDH,09:34,1.344,TP,1.0,EOD,1.3443,EOD,1.3443
TXN,2026-04-22,1.387,gap_1_2,PDH,09:32,0.085,SL,-0.5,SL,-0.5,EOD,0.0847
TXN,2026-04-23,10.114,gap_2plus,PMH,09:31,5.22,TP,1.0,TP,1.5,TP,2.0
TXN,2026-04-29,1.764,gap_1_2,PMH,09:31,-1.0,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-05-11,1.132,gap_1_2,PMH,09:31,1.898,TP,1.0,SL,-0.5,SL,-1.0
TXN,2026-05-13,2.54,gap_2plus,PMH,09:33,0.405,TP,1.0,EOD,0.4047,EOD,0.4047
TXN,2026-05-18,1.949,gap_1_2,BOTH,09:32,-2.378,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-05-26,2.988,gap_2plus,PMH,09:35,1.34,TP,1.0,TP,1.5,EOD,1.3398
TXN,2026-06-02,2.892,gap_2plus,BOTH,09:38,1.905,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-06-08,3.141,gap_2plus,PMH,11:05,-1.444,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-06-11,2.525,gap_2plus,PMH,09:46,2.128,SL,-0.5,SL,-0.5,SL,-1.0
TXN,2026-06-15,3.009,gap_2plus,PMH,09:50,-0.147,SL,-0.5,SL,-0.5,SL,-1.0
UNH,2026-01-06,1.818,gap_1_2,PMH,09:36,-0.033,SL,-0.5,SL,-0.5,SL,-1.0
UNH,2026-02-25,1.21,gap_1_2,PMH,09:34,2.007,TP,1.0,TP,1.5,TP,2.0
UNH,2026-04-01,1.342,gap_1_2,PDH,09:44,0.608,SL,-0.5,SL,-0.5,EOD,0.6078
UNH,2026-04-17,1.157,gap_1_2,PDH,09:31,1.62,TP,1.0,TP,1.5,EOD,1.6205
UNH,2026-04-21,9.119,gap_2plus,PMH,09:44,-2.449,SL,-0.5,SL,-0.5,SL,-1.0
UNH,2026-04-22,1.439,gap_1_2,PDH,11:09,-1.219,SL,-0.5,SL,-0.5,SL,-1.0
V,2026-03-30,1.09,gap_1_2,PMH,09:35,0.201,SL,-0.5,SL,-0.5,SL,-1.0
V,2026-04-08,1.736,gap_1_2,PMH,09:33,-0.4,SL,-0.5,SL,-0.5,EOD,-0.3997
V,2026-04-29,8.758,gap_2plus,PMH,10:15,-0.455,TP,1.0,SL,-0.5,EOD,-0.4548
VZ,2026-01-30,5.514,gap_2plus,PMH,09:31,4.019,SL,-0.5,SL,-0.5,SL,-1.0
VZ,2026-02-04,1.212,gap_1_2,PDH,09:33,0.513,SL,-0.5,SL,-0.5,SL,-1.0
VZ,2026-02-19,1.759,gap_1_2,PMH,09:31,-0.542,SL,-0.5,SL,-0.5,EOD,-0.5421
VZ,2026-06-04,1.04,gap_1_2,PMH,09:31,-5.157,SL,-0.5,SL,-0.5,SL,-1.0
VZ,2026-06-10,1.508,gap_1_2,PMH,09:39,0.858,SL,-0.5,SL,-0.5,SL,-1.0
VZ,2026-06-12,1.044,gap_1_2,PMH,09:33,1.499,TP,1.0,TP,1.5,EOD,1.4985
WMT,2026-02-19,1.335,gap_1_2,BOTH,09:38,-3.442,SL,-0.5,SL,-0.5,SL,-1.0
XOM,2026-01-05,2.096,gap_2plus,PDH,10:10,2.092,TP,1.0,TP,1.5,TP,2.0
XOM,2026-01-20,1.263,gap_1_2,PMH,10:04,-0.836,SL,-0.5,SL,-0.5,SL,-1.0
XOM,2026-01-23,1.07,gap_1_2,PMH,09:33,-0.586,SL,-0.5,SL,-0.5,EOD,-0.5856
XOM,2026-01-29,1.992,gap_1_2,PMH,09:31,-0.362,TP,1.0,SL,-0.5,SL,-1.0
XOM,2026-02-11,1.59,gap_1_2,PMH,09:31,0.761,TP,1.0,TP,1.5,EOD,0.7611
XOM,2026-02-18,1.306,gap_1_2,PMH,09:31,1.284,SL,-0.5,SL,-0.5,EOD,1.2842
XOM,2026-02-27,1.642,gap_1_2,PDH,09:36,0.903,SL,-0.5,SL,-0.5,SL,-1.0
XOM,2026-03-02,4.437,gap_2plus,PDH,10:31,0.127,SL,-0.5,SL,-0.5,EOD,0.1266
XOM,2026-04-02,2.301,gap_2plus,PMH,09:40,-3.727,SL,-0.5,SL,-0.5,SL,-1.0
XOM,2026-04-28,2.261,gap_2plus,PMH,09:31,-0.83,SL,-0.5,SL,-0.5,SL,-1.0
XOM,2026-05-11,1.122,gap_1_2,BOTH,09:49,2.063,TP,1.0,TP,1.5,TP,2.0
XOM,2026-06-01,1.163,gap_1_2,PMH,09:40,0.905,TP,1.0,EOD,0.9047,EOD,0.9047
XOM,2026-06-10,1.619,gap_1_2,PDH,09:32,-0.324,SL,-0.5,SL,-0.5,SL,-1.0
