sym,date,gap_pct,gap_bucket,level,entry_time,ret_eod,TP1.0_SL0.5_result,TP1.0_SL0.5_ret,TP1.5_SL0.5_result,TP1.5_SL0.5_ret,TP2.0_SL1.0_result,TP2.0_SL1.0_ret
BAC,2026-06-15,1.114,gap_1_2,PDH,09:41,-0.658,SL,-0.5,SL,-0.5,EOD,-0.6575
CSCO,2026-01-15,1.102,gap_1_2,PMH,09:32,-0.119,EOD,-0.1194,EOD,-0.1194,EOD,-0.1194
CSCO,2026-01-26,2.534,gap_2plus,PMH,09:40,0.502,SL,-0.5,SL,-0.5,EOD,0.5024
CSCO,2026-02-04,1.005,gap_1_2,PMH,09:35,-3.496,SL,-0.5,SL,-0.5,SL,-1.0
CSCO,2026-02-06,1.451,gap_1_2,PDH,09:31,1.387,SL,-0.5,SL,-0.5,EOD,1.3872
CSCO,2026-03-10,1.234,gap_1_2,PDH,09:59,0.18,TP,1.0,TP,1.5,EOD,0.1805
CSCO,2026-03-23,1.217,gap_1_2,PDH,10:19,-0.36,SL,-0.5,SL,-0.5,EOD,-0.3605
CSCO,2026-05-05,1.252,gap_1_2,PMH,09:32,0.533,EOD,0.533,EOD,0.533,EOD,0.533
CSCO,2026-05-12,1.033,gap_1_2,PDH,09:32,0.349,SL,-0.5,SL,-0.5,SL,-1.0
CSCO,2026-06-08,1.57,gap_1_2,PMH,10:01,0.534,TP,1.0,TP,1.5,TP,2.0
CVX,2026-01-21,1.028,gap_1_2,PMH,09:31,-0.299,SL,-0.5,SL,-0.5,EOD,-0.299
CVX,2026-01-29,1.607,gap_1_2,PMH,09:34,-1.582,SL,-0.5,SL,-0.5,SL,-1.0
CVX,2026-03-02,1.917,gap_1_2,PDH,09:46,0.911,TP,1.0,EOD,0.9105,EOD,0.9105
CVX,2026-04-02,2.615,gap_2plus,PMH,09:35,-2.491,SL,-0.5,SL,-0.5,SL,-1.0
CVX,2026-04-13,1.543,gap_1_2,PDH,09:33,0.282,SL,-0.5,SL,-0.5,EOD,0.2824
CVX,2026-04-28,1.867,gap_1_2,PMH,09:31,-0.236,SL,-0.5,SL,-0.5,SL,-1.0
CVX,2026-05-15,1.05,gap_1_2,PMH,09:37,0.948,SL,-0.5,SL,-0.5,EOD,0.9483
CVX,2026-05-21,1.27,gap_1_2,PMH,09:48,-1.368,SL,-0.5,SL,-0.5,SL,-1.0
CVX,2026-06-01,1.061,gap_1_2,PMH,09:40,0.421,TP,1.0,TP,1.5,EOD,0.4215
CVX,2026-06-10,1.317,gap_1_2,PDH,09:31,0.198,SL,-0.5,SL,-0.5,EOD,0.1979
CVX,2026-06-11,1.038,gap_1_2,PMH,09:39,-3.242,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2025-12-17,1.178,gap_1_2,PDH,09:45,0.304,TP,1.0,SL,-0.5,EOD,0.304
FCX,2025-12-22,1.771,gap_1_2,PMH,09:31,0.436,TP,1.0,SL,-0.5,EOD,0.4363
FCX,2025-12-23,1.915,gap_1_2,PMH,10:16,0.659,TP,1.0,EOD,0.6594,EOD,0.6594
FCX,2026-01-02,1.841,gap_1_2,PMH,10:06,-0.355,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-01-05,3.254,gap_2plus,PMH,09:33,0.89,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-01-06,2.95,gap_2plus,PMH,10:56,0.178,TP,1.0,TP,1.5,EOD,0.1784
FCX,2026-01-09,2.269,gap_2plus,PMH,09:43,1.866,TP,1.0,TP,1.5,TP,2.0
FCX,2026-01-13,2.257,gap_2plus,PDH,10:21,0.756,SL,-0.5,SL,-0.5,EOD,0.7558
FCX,2026-01-14,1.492,gap_1_2,PDH,09:47,0.416,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-01-21,2.481,gap_2plus,PMH,09:38,-1.878,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-01-28,2.004,gap_2plus,PMH,09:41,-1.402,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-01-29,9.035,gap_2plus,PDH,11:14,0.556,SL,-0.5,SL,-0.5,EOD,0.556
FCX,2026-02-03,5.481,gap_2plus,PMH,09:41,0.717,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-02-06,1.908,gap_1_2,PMH,09:36,0.083,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-02-09,1.162,gap_1_2,PMH,09:32,2.399,TP,1.0,TP,1.5,TP,2.0
FCX,2026-02-11,2.909,gap_2plus,PDH,10:21,2.765,SL,-0.5,SL,-0.5,TP,2.0
FCX,2026-02-18,2.717,gap_2plus,PMH,09:54,-0.683,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-02-25,1.65,gap_1_2,PDH,09:38,-0.232,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-03-04,1.99,gap_1_2,PMH,09:31,-1.839,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-03-16,1.508,gap_1_2,PMH,09:35,0.661,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-03-23,4.165,gap_2plus,PDH,09:41,1.816,TP,1.0,TP,1.5,TP,2.0
FCX,2026-03-30,2.428,gap_2plus,PMH,09:31,-5.679,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-03-31,3.102,gap_2plus,PMH,09:35,4.257,TP,1.0,TP,1.5,TP,2.0
FCX,2026-04-01,3.351,gap_2plus,PMH,10:29,0.352,TP,1.0,TP,1.5,EOD,0.3524
FCX,2026-04-08,7.364,gap_2plus,PMH,09:46,-0.253,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-04-10,1.174,gap_1_2,PMH,09:33,0.236,SL,-0.5,SL,-0.5,EOD,0.2363
FCX,2026-04-17,1.596,gap_1_2,PDH,10:10,0.898,TP,1.0,TP,1.5,EOD,0.8981
FCX,2026-04-22,2.686,gap_2plus,PMH,09:43,0.904,TP,1.0,EOD,0.904,EOD,0.904
FCX,2026-05-05,2.554,gap_2plus,PMH,09:31,0.566,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-05-07,1.216,gap_1_2,PDH,09:52,-1.174,TP,1.0,TP,1.5,SL,-1.0
FCX,2026-05-08,1.93,gap_1_2,PMH,09:35,-0.82,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-05-13,1.204,gap_1_2,PDH,09:34,1.168,SL,-0.5,SL,-0.5,TP,2.0
FCX,2026-05-26,1.71,gap_1_2,PMH,09:35,0.688,TP,1.0,TP,1.5,EOD,0.6883
FCX,2026-06-02,1.253,gap_1_2,PMH,09:33,4.769,TP,1.0,TP,1.5,TP,2.0
FCX,2026-06-08,1.925,gap_1_2,PMH,09:33,-1.798,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-06-09,2.003,gap_2plus,PDH,09:33,-2.282,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-06-11,1.53,gap_1_2,PMH,09:46,4.035,TP,1.0,TP,1.5,TP,2.0
FCX,2026-06-12,1.342,gap_1_2,PMH,09:35,0.066,SL,-0.5,SL,-0.5,SL,-1.0
FCX,2026-06-15,4.087,gap_2plus,PMH,09:47,-1.964,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2025-12-18,1.682,gap_1_2,PMH,10:42,-0.063,EOD,-0.0628,EOD,-0.0628,EOD,-0.0628
GOOGL,2026-01-02,1.246,gap_1_2,PMH,10:09,-0.926,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-01-08,2.154,gap_2plus,PDH,09:35,-0.422,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-01-22,1.681,gap_1_2,PDH,09:31,-0.64,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-02-03,1.03,gap_1_2,PDH,09:38,-1.493,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-02-23,1.274,gap_1_2,PDH,09:48,-1.705,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-03-31,1.759,gap_1_2,PMH,09:33,3.268,TP,1.0,TP,1.5,TP,2.0
GOOGL,2026-04-14,1.102,gap_1_2,PMH,09:44,2.157,TP,1.0,TP,1.5,TP,2.0
GOOGL,2026-05-06,1.552,gap_1_2,PMH,10:59,-0.058,SL,-0.5,SL,-0.5,EOD,-0.0578
GOOGL,2026-06-09,1.038,gap_1_2,PDH,10:19,-0.691,SL,-0.5,SL,-0.5,SL,-1.0
GOOGL,2026-06-12,1.404,gap_1_2,PDH,09:58,0.061,TP,1.0,TP,1.5,EOD,0.0612
GOOGL,2026-06-15,2.305,gap_2plus,PMH,09:32,-0.654,SL,-0.5,SL,-0.5,SL,-1.0
JNJ,2026-03-30,1.302,gap_1_2,PDH,10:46,-0.113,SL,-0.5,SL,-0.5,EOD,-0.1133
JNJ,2026-04-28,1.074,gap_1_2,PDH,09:36,-0.127,TP,1.0,SL,-0.5,EOD,-0.1272
JNJ,2026-06-04,1.57,gap_1_2,PMH,10:15,0.313,SL,-0.5,SL,-0.5,EOD,0.3133
JPM,2026-02-11,1.587,gap_1_2,PMH,09:45,-3.741,SL,-0.5,SL,-0.5,SL,-1.0
JPM,2026-03-16,1.023,gap_1_2,PMH,09:39,-0.176,SL,-0.5,SL,-0.5,EOD,-0.1762
JPM,2026-03-17,1.007,gap_1_2,PDH,10:04,-0.848,SL,-0.5,SL,-0.5,SL,-1.0
JPM,2026-03-31,1.628,gap_1_2,PDH,09:41,2.345,TP,1.0,TP,1.5,TP,2.0
JPM,2026-04-28,1.133,gap_1_2,PDH,10:06,-0.366,EOD,-0.3663,EOD,-0.3663,EOD,-0.3663
JPM,2026-06-04,1.622,gap_1_2,PMH,09:31,1.623,TP,1.0,TP,1.5,TP,2.0
JPM,2026-06-05,1.094,gap_1_2,PDH,10:04,-0.179,SL,-0.5,SL,-0.5,SL,-1.0
KO,2026-04-23,1.085,gap_1_2,BOTH,09:31,0.751,TP,1.0,EOD,0.7509,EOD,0.7509
KO,2026-04-28,5.408,gap_2plus,PMH,09:31,-1.471,SL,-0.5,SL,-0.5,SL,-1.0
KO,2026-05-15,1.093,gap_1_2,PDH,09:32,-0.345,SL,-0.5,SL,-0.5,EOD,-0.3452
KO,2026-06-10,1.66,gap_1_2,PMH,09:33,0.905,SL,-0.5,SL,-0.5,EOD,0.9054
MDT,2026-03-23,1.206,gap_1_2,PDH,10:55,-0.126,SL,-0.5,SL,-0.5,EOD,-0.126
MDT,2026-04-08,1.672,gap_1_2,PDH,09:41,1.821,TP,1.0,TP,1.5,TP,2.0
