date,side,entry,et,pnl,mfe,mae
2025-12-15,long,613.57,sl,-0.3000000000000095,0.2183939892758639,0.3112929250126443
2025-12-15,short,613.47,tp,0.40000000000000424,0.41729831939623113,0.03586157432311723
2025-12-16,short,609.74,time,0.11152294420573748,0.3099681831600332,0.23944632138289046
2025-12-16,short,609.02,sl,-0.2999999999999935,0.13956848707760383,0.32182851137894264
2025-12-18,long,609.35,tp,0.44999999999999996,0.49396898334290484,0.016410929679170055
2025-12-18,short,610.31,tp,0.39999999999999897,0.40143533614063864,0.04096278940210713
2025-12-22,long,619.67,time,-0.07746058385913543,0.06616424871303789,0.1371697839172316
2025-12-22,long,619.54,time,-0.00484230235335454,0.027439713335712428,0.09846014785163405
2025-12-23,long,619.79,sl,-0.30000000000000204,0.14924409880767167,0.3243033930847531
2025-12-24,long,622.185,time,0.19206506103490925,0.20010125605728277,0.013661531538034942
2025-12-24,long,622.4812,time,0.23435245915862365,0.2568430982333437,0.025896364420306083
2025-12-24,long,623.1506,time,0.007927457664325677,0.027184439844877943,0.0
2025-12-24,long,623.22,time,-0.003209139629662368,0.01604569814833008,0.007252655563047166
2025-12-26,long,624.31,time,0.10411494289697282,0.19301308644744455,0.18740689721451828
2025-12-26,long,624.46,time,-0.1473272907792449,0.0848733305575974,0.15373282516094486
2025-12-26,long,624.345,time,-0.05525791028998827,0.052054553171713036,0.06807133876303456
2025-12-26,short,624.26,time,0.04164931278633757,0.09451190209208211,0.054464485951371516
2025-12-26,long,624.365,time,-0.05845939474506243,0.03763824045230172,0.11131309410361727
2025-12-29,long,620.54,time,0.09668997969510794,0.18612821091308965,0.15309246785057076
2025-12-29,long,620.41,time,0.07898002933544093,0.20712109733886977,0.00161183733337485
2025-12-30,long,620.43,time,-0.011282497622606313,0.28206244056541435,0.06769498573569284
2025-12-30,short,620.63,time,-0.0241689895751055,0.09989849024378528,0.04672671317853852
2025-12-30,long,620.72,time,-0.022554452893411903,0.049942002835408145,0.06283026163165137
2025-12-31,long,617.81,time,0.0,0.025897929784251122,0.12463378708664181
2025-12-31,short,617.55,time,0.1716945996275579,0.2096996194640044,0.1700267184843443
2025-12-31,short,617.46,tp,0.3999999999999962,0.4065040650406489,0.030771224046892247
2026-01-05,short,619.07,time,0.08186473258274482,0.29883534979889553,0.017768588366404436
2026-01-06,long,620.94,time,0.22788031049698257,0.2971301575031265,0.0241569233742537
2026-01-07,short,623.83,sl,-0.29999999999998084,0.04969302534345239,0.3141881602359493
2026-01-07,long,625.685,sl,-0.3000000000000066,0.0774990610291183,0.3132566706889126
2026-01-07,short,625.61,time,0.2413644283179602,0.3180895446044675,0.014385959303724657
2026-01-09,long,621.17,sl,-0.30000000000000315,0.3364618381441525,0.339681568652706
2026-01-09,short,621.34,sl,-0.29999999999999716,0.3669488524801375,0.39752792352011995
2026-01-09,long,621.66,tp,0.4499999999999961,0.4681015346009204,0.00804298169416635
2026-01-13,short,626.61,time,0.22661623657457736,0.39418458052058336,0.00478766696988122
2026-01-14,long,617.79,time,0.3658201006814599,0.3674387736933233,0.1472992440796983
2026-01-15,short,625.18,sl,-0.29999999999998195,0.22713458523944452,0.7709779583480039
2026-01-15,long,625.81,sl,-0.30000000000000066,0.13422604304821462,0.32757546220098027
2026-01-15,short,625.49,sl,-0.2999999999999883,0.27658315880350093,0.7210347087883086
2026-01-15,short,625.6033,time,0.035693545734172875,0.12041176892768428,0.11456141615622228
2026-01-15,long,625.76,sl,-0.30000000000000665,0.08949117872667782,0.3547686013807254
2026-01-15,short,625.71,tp,0.3999999999999987,0.45708075626088973,0.0015981844624492025
2026-01-16,long,622.01,time,-0.12379222198999724,0.017684603141430787,0.16719988424622814
2026-01-20,short,611.84,sl,-0.29999999999999577,0.1569037656903825,0.30073221757320834
2026-01-20,long,612.72,time,0.052226139182650524,0.38108760934846625,0.06691474082779766
2026-01-20,short,612.58,tp,0.4000000000000054,0.4162721603709014,0.03754611642559413
2026-01-21,short,612.74,tp,0.40000000000000147,0.42105950321507346,0.05548846166400624
2026-01-21,long,613.51,tp,0.44999999999998636,0.45476031360531427,0.02607944450782679
2026-01-22,short,619.64,sl,-0.29999999999998356,0.04841520883092675,0.3001742947517936
2026-01-22,long,619.85,time,0.30812293296765236,0.3274985883681492,0.03871904493022652
2026-01-22,long,620.7,time,-0.012888674077660854,0.06444337038826764,0.2883840824875265
2026-01-23,short,622.62,time,-0.07307828209823664,0.1742635957727083,0.15418714464682093
2026-01-23,long,623.02,time,-0.04494237745176282,0.11556611344740575,0.11877628326538621
2026-01-23,long,622.75,time,-0.13488558811722712,0.15897230028101308,0.16219991971095396
2026-01-23,long,622.7,time,0.004817729243612127,0.08993094588083272,0.08029548739360848
2026-01-26,short,626.08,time,0.1006261180679778,0.11340403782264827,0.009583439815989239
2026-01-28,long,634.19,sl,-0.29999999999999505,0.04730443557923564,0.4793516138696726
2026-01-29,long,624.13,time,0.37011520035890905,0.43580664284684717,0.10734943040712017
2026-01-29,short,623.9299,sl,-0.29999999999998533,0.07531294781672408,0.3075986581184915
2026-01-30,long,627.19,sl,-0.30000000000000165,0.11320333551235234,0.30770579888073607
2026-01-30,long,626.8686,sl,-0.30000000000000193,0.1980319320508315,0.3028704899240427
2026-02-02,long,626.25,time,-0.07025948103793286,0.017564870259483216,0.07984031936127745
2026-02-04,short,612.84,tp,0.40000000000000363,0.40956856602049324,0.08158736374910253
2026-02-04,long,607.27,sl,-0.30000000000000454,0.2766479490177456,0.33922308034316623
2026-02-04,long,607.39,sl,-0.30000000000000465,0.12183275984128965,0.3078746768962289
2026-02-04,short,606.97,time,0.12685964709952416,0.2899649076560606,0.019770334612914074
2026-02-05,long,599.28,tp,0.44999999999998774,0.5056067280736839,0.19773728474168092
2026-02-05,short,598.995,sl,-0.2999999999999916,0.23455955391947725,0.3514219651249206
2026-02-05,short,599.08,sl,-0.299999999999998,0.20531481605128166,0.3004607064164977
2026-02-05,long,599.25,sl,-0.29999999999999183,0.3095536086775166,0.3181476846057657
2026-02-05,short,598.7,tp,0.4000000000000053,0.42091197594790297,0.05010856856521705
2026-02-06,long,600.06,tp,0.4499999999999888,0.4632870046328845,0.21497850214977895
2026-02-10,short,614.75,sl,-0.2999999999999981,0.3822692151281045,0.3530052867019191
2026-02-10,short,615.04,time,-0.0032518210197681145,0.23250520291362353,0.11706555671176302
2026-02-10,short,615.01,time,-0.12194923659777891,0.2276385749825169,0.12845319588298787
2026-02-10,long,615.2,sl,-0.2999999999999984,0.10240572171651421,0.3023407022106654
2026-02-10,short,614.88,time,0.2309393702836259,0.338277387457722,0.021142336716106467
2026-02-11,short,615.15,tp,0.3999999999999999,0.4080305616516282,0.1202958627976931
2026-02-11,long,612.58,sl,-0.3000000000000087,0.04407587580397365,0.3085311306278341
2026-02-11,short,611.94,sl,-0.29999999999998345,0.3603294440631501,0.307219662058371
2026-02-17,long,598.83,tp,0.44999999999998713,0.4717532521750633,0.11689461115843318
2026-02-18,long,607.23,sl,-0.29999999999999827,0.05599196350641962,0.38206280980848273
2026-02-18,short,606.56,tp,0.40000000000000124,0.4195792666842455,0.037094434186234294
2026-02-19,short,603.76,tp,0.3999999999999961,0.4124155293494119,0.18384788657745027
2026-02-19,short,603.29,tp,0.3999999999999914,0.42102471448224965,0.06630310464288998
2026-02-20,long,606.87,tp,0.449999999999997,0.46467942063375184,0.26529569759586297
2026-02-20,long,606.48,tp,0.4499999999999965,0.5292837356549328,0.057710064635276136
2026-02-23,short,606.48,tp,0.40000000000000313,0.4402453502176613,0.2522754254056148
2026-02-26,long,608.52,time,0.07394991126011397,0.18898310655360173,0.10681653848681676
2026-02-27,long,603.99,tp,0.44999999999999357,0.4966969651815427,0.01986787860726246
2026-02-27,long,606.06,time,-0.2062502062502063,0.20295020295020594,0.2673002673002493
2026-02-27,short,605.84,time,0.14195167040803078,0.23108411461771708,0.10563845239667012
2026-02-27,long,605.99,time,0.1864717239558401,0.3366392184689456,0.06848297826696209
2026-02-27,short,605.91,sl,-0.2999999999999972,0.05528873925169129,0.349886946906307
2026-02-27,long,606.13,time,0.16333129856631567,0.31346410835958904,0.06104301057528987
2026-03-02,short,604.03,sl,-0.29999999999998317,0.013244375279361495,0.3493369534625745
2026-03-02,long,605.2,tp,0.44999999999999496,0.45935228023793334,0.06444150693987112
2026-03-03,long,595.96,tp,0.4500000000000027,0.4530337606550703,0.005033894892289147
2026-03-06,short,600.12,sl,-0.2999999999999925,0.046657335199622195,0.31660334599746337
2026-03-06,long,601.34,tp,0.44999999999999024,0.47394153058170463,0.019955432866598687
2026-03-06,short,602.54,sl,-0.2999999999999882,0.13443090915125064,0.4746572841637093
2026-03-06,long,602.7282,tp,0.450000000000001,0.4515799990775328,0.0378611785544488
2026-03-06,short,601.915,tp,0.39999999999999414,0.429462631766931,0.08722161767028416
2026-03-09,short,593.05,sl,-0.29999999999999305,0.2512435713683516,0.33386729618076355
2026-03-10,short,608.99,time,0.19212138130346296,0.3316967437888934,0.2692983464424681
2026-03-11,long,610.48,sl,-0.3000000000000071,0.3194207836456447,0.3095924518411719
2026-03-11,short,608.38,tp,0.4000000000000072,0.460238666622827,0.03616160952037004
2026-03-12,long,600.73,sl,-0.2999999999999993,0.06991493682685385,0.3445807600752501
2026-03-12,long,600.46,time,-0.20734103853712227,0.2131699030743051,0.2548046497685252
2026-03-12,long,600.45,sl,-0.2999999999999928,0.04163544008660171,0.38804230160713477
2026-03-16,long,601.61,sl,-0.3000000000000063,0.16455843486644323,0.33742790179684057
2026-03-16,short,600.84,time,0.058251780840160895,0.2846015578190594,0.19139870847479815
2026-03-16,short,600.62,time,-0.10655655822316712,0.2514068795577888,0.16982451466817317
2026-03-16,long,601.05,tp,0.44999999999998996,0.46751518176525403,0.044921387571746414
2026-03-16,long,601.11,tp,0.44999999999998996,0.45748698241586394,0.007486150621343693
2026-03-16,short,600.99,time,0.10815487778498432,0.24293249471705625,0.024958817950378083
2026-03-17,short,604.32,tp,0.4000000000000008,0.4054143500132455,0.16547524490336246
2026-03-17,long,604.07,time,-0.13243498270069165,0.07615011505287841,0.2292780638005702
2026-03-18,long,602.09,sl,-0.3000000000000067,0.11626168845188123,0.36871564051886385
2026-03-18,short,601.805,tp,0.4000000000000087,0.4875001038542229,0.017447512067865538
2026-03-18,long,601.39,sl,-0.2999999999999999,0.026605031676610547,0.37413325795241026
2026-03-18,short,600.37,tp,0.3999999999999987,0.4230724386628185,0.02665023235670806
2026-03-19,long,590.53,time,0.1642761587048926,0.44028245813083555,0.29295717406397953
2026-03-19,long,590.475,sl,-0.3000000000000037,0.1447986790295979,0.34633134340997884
2026-03-19,short,590.14,time,-0.21011963262954708,0.2999288304470095,0.2745111329515038
2026-03-19,short,590.15,sl,-0.29999999999999705,0.13894772515461093,0.33550792171482136
2026-03-19,long,590.45,tp,0.4499999999999959,0.5233296638157198,0.010161741044975714
2026-03-20,short,589.39,tp,0.4000000000000059,0.4105940039701996,0.11198018290096
2026-03-20,short,585.98,sl,-0.29999999999999355,0.10751220178162998,0.3344824055428575
2026-03-20,long,586.98,sl,-0.3000000000000009,0.16354901359501794,0.3017138573716433
2026-03-20,short,586.72,tp,0.40000000000000946,0.40905372238886983,0.04920575402235289
2026-03-23,long,590.49,sl,-0.3000000000000037,0.17273789564598585,0.3776355230401943
2026-03-23,short,590.315,tp,0.40000000000000263,0.4379017981924966,0.10672268195793694
2026-03-23,short,590.33,tp,0.3999999999999962,0.44043162299053457,0.030491420053182113
2026-03-24,long,584.51,tp,0.4499999999999885,0.46192537338968465,0.27031188516878085
2026-03-24,short,583.46,sl,-0.29999999999999144,0.06170088780722134,0.3033626983854903
2026-03-24,long,585.63,sl,-0.29999999999999977,0.22539828902208733,0.432013387292313
2026-03-24,short,585.02,tp,0.4000000000000098,0.41537041468666885,0.2136679087894431
2026-03-24,short,584.45,time,-0.1711010351612627,0.318247925399951,0.2617845837967273
2026-03-25,long,589.28,sl,-0.2999999999999963,0.3258213412978674,0.5192777626934473
2026-03-25,short,589.2,tp,0.4000000000000036,0.5057705363204376,0.07807196198233582
2026-03-25,short,588.86,time,0.08151343273443912,0.36511225078965753,0.12057195258635947
2026-03-30,long,564.03,sl,-0.3000000000000014,0.267716256227504,0.3226778717443995
2026-03-30,long,564.09,sl,-0.3000000000000014,0.24641457923380775,0.31732524951693475
2026-03-30,short,563.765,tp,0.3999999999999925,0.40353693471570196,0.011529626706172708
2026-04-01,short,584.721,tp,0.40000000000000124,0.4095115448222304,0.09389093259862022
2026-04-01,short,584.45,time,0.020532124219352303,0.12832577637094703,0.041064248438704605
2026-04-06,short,586.95,time,0.04768719652440545,0.19422438027090894,0.19763182553879685
2026-04-07,short,581.53,sl,-0.29999999999998334,0.12037212181657554,0.5090021151101467
2026-04-07,long,582.35,tp,0.44999999999998574,0.5477805443461734,0.06868721559199403
2026-04-07,long,583.01,tp,0.44999999999998663,0.5660280269635092,0.02744378312549839
2026-04-08,short,605.87,tp,0.4000000000000067,0.4109792529750622,0.20301384785515342
2026-04-08,short,605.82,tp,0.3999999999999962,0.4027598956785934,0.009903931860939788
2026-04-09,long,604.89,tp,0.44999999999999457,0.4628940799153678,0.026451090280872256
2026-04-10,long,611.98,time,-0.0522892904996977,0.27615281545147563,0.14052746821791784
2026-04-10,short,611.735,sl,-0.29999999999999566,0.021496236115304827,0.3016011835190119
2026-04-16,short,638.76,time,-0.17533972070887416,0.2442231824159223,0.19412611935625418
2026-04-17,short,647.89,time,0.030097701770352425,0.2176295358779991,0.13273858216672796
2026-04-17,short,647.74,time,-0.16210207799424994,0.11269953993886717,0.17136505387964515
2026-04-20,long,645.75,time,0.11769260549748213,0.14866434378630064,0.06813782423539366
2026-04-20,long,645.735,time,0.13550450262104421,0.16647696036298662,0.017809163201624366
2026-04-21,short,648.3,tp,0.4000000000000038,0.42324541107511027,0.010797470306964372
2026-04-21,short,646.63,tp,0.39999999999999236,0.49487342065787937,0.18557753274670916
2026-04-21,short,646.74,tp,0.39999999999999636,0.5117976311964714,0.0015307542443665162
2026-04-23,short,653.86,tp,0.4000000000000054,0.4190499495304819,0.08258648640381176
2026-04-23,short,652.21,tp,0.3999999999999979,0.4339093236840957,0.012265987948655683
2026-04-24,long,658.5,time,0.31435079726652243,0.3264996203492752,0.2991495823842145
2026-04-24,long,658.87,tp,0.4500000000000029,0.6678100383990738,0.006071000349076998
2026-04-27,long,662.91,time,-0.08145902158663523,0.055814514790847106,0.29717457875125036
2026-04-28,long,656.26,time,0.3733428823941762,0.3839941486605891,0.018285435650505066
2026-04-29,long,659.293,time,0.30290022797147204,0.3681216090569778,0.28864253071093127
2026-04-29,short,659.02,sl,-0.29999999999999055,0.24733695487238558,0.31258535401050946
2026-05-01,short,673.45,sl,-0.2999999999999842,0.1455193407082958,0.3326156359046713
2026-05-01,short,673.61,time,-0.10985585130862205,0.04156707887352811,0.2850313979899287
2026-05-01,long,674.14,time,-0.023733942504519562,0.22547245379297798,0.044501142195976284
2026-05-05,short,679.51,sl,-0.2999999999999887,0.07358243440125974,0.3046312784212227
2026-05-05,long,680.52,time,0.15348556985833936,0.1895609239992893,0.07200376182919077
2026-05-06,long,687.68,tp,0.45000000000000023,0.46387854816194374,0.1352373196835665
2026-05-06,short,688.81,sl,-0.29999999999999544,0.10743165749624649,0.3063254017798832
2026-05-07,short,698.21,tp,0.3999999999999936,0.44256026123945974,0.012890104696283088
2026-05-11,short,711.48,sl,-0.2999999999999897,0.36121886771238126,0.307809074042832
2026-05-11,short,712.35,time,-0.11370814908401002,0.06738260686460562,0.15457289253877643
2026-05-11,long,712.9175,time,0.034015156031371084,0.06627695350443329,0.14693144718708878
2026-05-12,long,702.72,tp,0.4499999999999995,0.45537340619306854,0.1465733151183932
2026-05-14,short,717.2999,sl,-0.2999999999999923,0.16030951628461157,0.3115990954411103
2026-05-14,short,719.105,sl,-0.29999999999998966,0.2148504043220493,0.30941239457381364
2026-05-14,short,719.27,time,-0.16405522265631317,0.08619850681941477,0.22800895352231934
2026-05-14,long,719.8,time,0.13337038066129986,0.15420950263962402,0.11114198388440602
2026-05-15,short,708.5,tp,0.3999999999999925,0.41637261820748706,0.10790402258292141
2026-05-19,short,701.96,tp,0.4000000000000079,0.4202518662032089,0.07550287765684266
2026-05-19,short,698.31,sl,-0.29999999999999666,0.211940255760322,0.30502212484428254
2026-05-19,long,699.72,tp,0.4499999999999964,0.4673154976276235,0.10861487452123576
