pnl,slack,tier,result,symbol
-50.0,1.5461992048880706,core,loss,AAPL
-50.0,1.8061624649859944,core,loss,AAPL
-50.0,1.6469145382649735,core,loss,AAPL
-50.0,1.3509455743946899,core,loss,AAPL
-50.0,1.1895831045016025,core,loss,AAPL
-50.0,1.1730606672387935,core,loss,AAPL
200.0,1.5349281036248144,core,win,AAPL
-50.0,1.3554355068814283,core,loss,AAPL
-50.0,1.964203082027328,core,loss,AAPL
-50.0,1.9825098382160047,core,loss,AAPL
200.0,1.1982984371557832,core,win,AAPL
200.0,1.944260150521313,core,win,AAPL
-50.0,1.9690175997246022,core,loss,AAPL
-50.0,1.5664985269995793,core,loss,AAPL
-50.0,1.9726631393298057,core,loss,AAPL
-50.0,1.9251760563380287,core,loss,AAPL
-50.0,1.9955869373345116,core,loss,AAPL
200.0,1.2556227163862788,core,win,AAPL
-50.0,1.4086940942438568,core,loss,AAPL
-50.0,1.58709179291886,core,loss,AAPL
200.0,1.5348949317272766,core,win,AAPL
-50.0,1.458716327266794,core,loss,AAPL
-50.0,1.2018489211531478,core,loss,AAPL
200.0,1.5269419035261897,core,win,AAPL
-50.0,1.8444783760094823,core,loss,AAPL
-50.0,1.2538463535001028,core,loss,AAPL
200.0,1.249908474646627,core,win,AAPL
-50.0,1.3414094972401929,core,loss,AAPL
-50.0,1.8009101531257563,core,loss,AAPL
200.0,2.0,core,win,AAPL
-50.0,1.2776022436655532,core,loss,AAPL
-50.0,1.5186291234766858,core,loss,AAPL
200.0,1.2298113594308424,core,win,AAPL
-50.0,1.9914089347079043,core,loss,AAPL
-50.0,1.257332285494157,core,loss,AAPL
-50.0,1.7946705614033018,core,loss,AAPL
-50.0,1.9144135730167768,core,loss,AAPL
-50.0,1.2081646178348155,core,loss,AAPL
-50.0,1.9929836870724447,core,loss,AAPL
200.0,1.259463520084467,core,win,AAPL
-50.0,1.2154973258355561,core,loss,AAPL
-50.0,1.501718016874691,core,loss,AAPL
-50.0,1.928428573519961,core,loss,AAPL
-50.0,1.400730028069903,core,loss,AAPL
-50.0,1.1985247178845042,core,loss,AAPL
-50.0,1.9912433096428894,core,loss,AAPL
-50.0,1.911285727146445,core,loss,AAPL
-50.0,1.296948903141687,core,loss,AAPL
-50.0,1.283786087977593,core,loss,AAPL
200.0,1.9920445505171038,core,win,AAPL
-50.0,1.3284792357671313,core,loss,AAPL
200.0,1.8089074047007194,core,win,AAPL
-50.0,1.3023964179385774,core,loss,AAPL
-50.0,1.191157556847543,core,loss,AAPL
-50.0,1.342472434693989,core,loss,AAPL
-50.0,1.978997470091334,core,loss,AAPL
-50.0,1.4928190696017787,core,loss,AAPL
-50.0,1.9639113249699272,core,loss,AAPL
200.0,1.3326332503167315,core,win,AAPL
200.0,1.558926423580542,core,win,AAPL
-50.0,1.4487288268497676,core,loss,AAPL
-50.0,1.9559676531605903,core,loss,AAPL
200.0,1.5208411702832334,core,win,AAPL
-50.0,1.4484095517333793,core,loss,AAPL
200.0,1.1797268813616149,core,win,AAPL
200.0,1.8831682109328178,core,win,AAPL
-50.0,1.7499872683710755,core,loss,AAPL
-50.0,1.5830208929499023,core,loss,AAPL
-50.0,1.9957716701902757,core,loss,AAPL
200.0,1.679663554240292,core,win,AAPL
-50.0,1.6235164925769534,core,loss,AAPL
-50.0,1.3714123087949344,core,loss,AAPL
-50.0,1.4257746199910526,core,loss,AAPL
-50.0,1.3933481068744973,core,loss,AAPL
-50.0,1.1426917970173056,core,loss,AAPL
-50.0,1.9754693059588582,core,loss,AAPL
-50.0,1.2215992184254552,core,loss,AAPL
200.0,1.707902641426227,core,win,AAPL
-50.0,1.985282093213409,core,loss,AAPL
-50.0,1.42766389888545,core,loss,AAPL
-50.0,1.983590416803414,core,loss,AAPL
-50.0,1.2258998347504964,core,loss,AAPL
200.0,1.217783469223488,core,win,AAPL
-50.0,1.5217459081020286,core,loss,AAPL
200.0,1.5231675481761517,core,win,AAPL
-50.0,1.2482068248736256,core,loss,AAPL
-50.0,1.517754648532406,core,loss,NVDA
-50.0,1.439750954595363,core,loss,NVDA
-50.0,1.8920585967617563,core,loss,NVDA
-50.0,1.3360722304866186,core,loss,NVDA
200.0,1.4374902380722883,core,win,NVDA
-50.0,1.3303073224026016,core,loss,NVDA
-50.0,1.416200029047656,core,loss,NVDA
-50.0,1.1786961990941442,core,loss,NVDA
-50.0,1.9597610661407958,core,loss,NVDA
-50.0,1.3500254572084371,core,loss,NVDA
200.0,1.785991100654487,core,win,NVDA
200.0,1.2794747448207506,core,win,NVDA
-50.0,1.2528686272646294,core,loss,NVDA
-50.0,1.622168776401234,core,loss,NVDA
-50.0,1.3645515403140867,core,loss,NVDA
200.0,1.3476976798283369,core,win,NVDA
-50.0,1.2044000999213123,core,loss,NVDA
-50.0,1.3377978779081579,core,loss,NVDA
-50.0,1.684811541268387,core,loss,NVDA
-50.0,1.9184782608695645,core,loss,NVDA
-50.0,1.4109221737699116,core,loss,NVDA
-50.0,1.5753899760983403,core,loss,NVDA
-50.0,1.6029997130941431,core,loss,NVDA
-50.0,1.4294972099110843,core,loss,NVDA
-50.0,1.9505583496718084,core,loss,NVDA
-50.0,1.9386503067484664,core,loss,NVDA
-50.0,1.9607475040532463,core,loss,NVDA
200.0,1.9280082276311277,core,win,NVDA
-50.0,1.5075384152707136,core,loss,NVDA
-50.0,1.285309681573028,core,loss,NVDA
-50.0,1.5712344052930969,core,loss,NVDA
-50.0,1.338731767631954,core,loss,NVDA
-50.0,1.9394474580547496,core,loss,NVDA
-50.0,1.2591580483501013,core,loss,NVDA
-50.0,1.313836255521758,core,loss,NVDA
-50.0,1.905636532142556,core,loss,NVDA
-50.0,1.50530053880414,core,loss,NVDA
-50.0,1.2086907230094455,core,loss,NVDA
200.0,1.50179019860685,core,win,NVDA
200.0,1.9701244813277998,core,win,NVDA
200.0,1.3678391400287484,core,win,NVDA
-50.0,1.5614610167672085,core,loss,NVDA
-50.0,1.5822040884404585,core,loss,NVDA
200.0,1.284780214293245,core,win,NVDA
-50.0,1.6721121347221133,core,loss,NVDA
200.0,1.4834511197994422,core,win,NVDA
-50.0,1.384549240396682,core,loss,NVDA
200.0,1.948883175317373,core,win,NVDA
-50.0,1.4943240001035254,core,loss,NVDA
-50.0,1.514764680136226,core,loss,NVDA
-50.0,1.5523830307068864,core,loss,NVDA
200.0,1.9856744926382803,core,win,NVDA
-50.0,1.3867438322825942,core,loss,NVDA
-50.0,1.9826443673082992,core,loss,NVDA
-50.0,1.1935931368329311,core,loss,NVDA
200.0,1.2932743834469482,core,win,NVDA
-50.0,1.2677634920547116,core,loss,NVDA
200.0,1.3731518389566315,core,win,NVDA
-50.0,1.6519437592807757,core,loss,NVDA
200.0,1.982809814033443,core,win,NVDA
-50.0,1.5387583108638154,core,loss,NVDA
200.0,1.7879874897193893,core,win,NVDA
-50.0,1.8287918485763544,core,loss,NVDA
-50.0,1.5636835532114086,core,loss,NVDA
-50.0,1.279857528505454,core,loss,NVDA
200.0,1.927650832521943,core,win,NVDA
-50.0,1.2402118610230195,core,loss,NVDA
-50.0,1.3667246693643218,core,loss,NVDA
-50.0,1.798375234464801,core,loss,NVDA
-50.0,1.8560039939002964,core,loss,NVDA
-50.0,1.5919983929331314,core,loss,NVDA
-50.0,1.210186543113604,core,loss,NVDA
200.0,1.31019199318939,core,win,NVDA
-50.0,1.9655807654978277,core,loss,NVDA
-50.0,1.569302309479757,core,loss,NVDA
-50.0,1.613906691267996,core,loss,NVDA
200.0,1.836436063722841,core,win,NVDA
-50.0,1.3200030885343896,core,loss,NVDA
200.0,1.9150906985719782,core,win,NVDA
-50.0,1.987750727300569,core,loss,NVDA
200.0,1.9923118320904112,core,win,NVDA
-50.0,1.292172534717222,core,loss,NVDA
-50.0,1.4462768685774487,core,loss,NVDA
200.0,1.4560969991191,core,win,NVDA
-50.0,1.5680991066024552,core,loss,NVDA
-50.0,1.4063354811823696,core,loss,NVDA
-50.0,1.1664160981061877,core,loss,NVDA
-50.0,1.7768148683443692,core,loss,NVDA
-50.0,1.6628132100845772,core,loss,NVDA
-50.0,1.9893923321715423,core,loss,NVDA
200.0,1.8431515214510303,core,win,NVDA
-50.0,1.9638744637615702,core,loss,NVDA
-50.0,1.4344230890812346,core,loss,NVDA
200.0,1.9471250472232728,core,win,NVDA
-50.0,1.2405362043783117,core,loss,NVDA
200.0,1.567739708902312,core,win,NVDA
-50.0,1.2907238187083026,core,loss,NVDA
200.0,1.2070650805371541,core,win,NVDA
-50.0,1.5319547030377443,core,loss,NVDA
-50.0,1.263125412729851,core,loss,NVDA
-50.0,1.3369020941527674,core,loss,NVDA
200.0,1.9486792452830184,core,win,NVDA
-50.0,1.4469883635199963,core,loss,NVDA
-50.0,1.9939885782987687,core,loss,NVDA
200.0,1.8856967511794749,core,win,NVDA
-50.0,1.244440722813009,core,loss,NVDA
-50.0,1.4211989439474557,core,loss,NVDA
-50.0,1.3828183749893799,core,loss,NVDA
-50.0,1.2324496644581346,core,loss,NVDA
-50.0,1.591078929213139,core,loss,NVDA
-50.0,1.6158636713989551,core,loss,NVDA
-50.0,1.7581825469957801,core,loss,NVDA
-50.0,1.3455251477450714,core,loss,NVDA
200.0,1.2683500876729488,core,win,NVDA
200.0,1.54376950053896,core,win,NVDA
-50.0,1.408904106924321,core,loss,NVDA
-50.0,1.235235615326677,core,loss,NVDA
-50.0,1.5689628992573044,core,loss,NVDA
-50.0,1.5803934058283882,core,loss,NVDA
200.0,1.5613601523256047,core,win,NVDA
-50.0,1.4220592460656363,core,loss,NVDA
-50.0,1.8049876015002853,core,loss,NVDA
-50.0,1.602489745035485,core,loss,NVDA
200.0,1.8306575211982066,core,win,NVDA
200.0,1.7552372976751818,core,win,NVDA
200.0,1.6189611976994513,core,win,NVDA
-50.0,1.7791278248341547,core,loss,NVDA
-50.0,1.5099464207266253,core,loss,NVDA
200.0,1.1660903522112398,core,win,NVDA
-50.0,1.3309793434612693,core,loss,NVDA
200.0,1.2829720384912444,core,win,NVDA
200.0,1.193644587961374,core,win,NVDA
-50.0,1.8081985297233847,core,loss,NVDA
200.0,1.5061739387903517,core,win,NVDA
-50.0,1.9716914366595872,core,loss,NVDA
200.0,1.6270301222944676,core,win,NVDA
-50.0,1.1991667980181904,core,loss,META
-50.0,1.3858540007603157,core,loss,META
-50.0,1.9327477150517693,core,loss,META
200.0,1.9881288024929522,core,win,META
-50.0,1.2054686879504752,core,loss,META
-50.0,1.3546701937936758,core,loss,META
200.0,1.975058769565965,core,win,META
-50.0,1.7673101295470097,core,loss,META
200.0,1.1801805417525257,core,win,META
-50.0,1.9600798403193618,core,loss,META
-50.0,1.3902925063292166,core,loss,META
-50.0,1.4474658599690386,core,loss,META
200.0,1.3077992736629749,core,win,META
-50.0,1.3216583052265112,core,loss,META
-50.0,1.3054681069984915,core,loss,META
-50.0,1.9809315099682645,core,loss,META
