date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2025-12-16,long,PML,Flat,-0.419,1st,610.6012,0.240549805666956,0.3093344723200774,0.3093344723200774,False,False
2025-12-16,long,PML,Flat,-0.419,2nd,609.8,0.1877664808133971,0.1877664808133971,0.1877664808133971,False,False
2025-12-16,short,PMH,Flat,-0.419,1st,609.74,0.3066880965657501,0.3099681831600332,0.3099681831600332,False,False
2025-12-18,short,PMH,Gap Up,1.424,1st,608.02,0.12828525377454242,0.12828525377454242,0.12828525377454242,False,False
2025-12-18,short,PDH,Gap Up,1.424,1st,612.1,0.12824701846103057,0.12824701846103057,0.6485868322169625,True,False
2025-12-23,long,PDL,Flat,-0.211,1st,619.4,0.11301259283178003,0.20503713270907034,0.21795285760413668,False,False
2025-12-30,long,PDL,Flat,-0.171,1st,620.44,0.2111404809489951,0.2111404809489951,0.2111404809489951,False,False
2026-01-06,long,PML,Flat,0.244,1st,620.15,0.13061356123519458,0.13061356123519458,0.15641377086189265,False,False
2026-01-06,long,1H_Sup,Flat,0.244,1st,620.44,0.32396363870801215,0.32396363870801215,0.3465282702598119,False,False
2026-01-06,short,PDH,Flat,0.244,1st,619.18,0.10336251170903234,0.10336251170903234,0.10336251170903234,False,False
2026-01-07,long,1H_Sup,Flat,-0.099,1st,625.51,0.12150085530207207,0.1278956371600701,0.26378475164265597,False,False
2026-01-07,long,4H_Sup,Flat,-0.099,1st,625.51,0.12150085530207207,0.1278956371600701,0.26378475164265597,False,False
2026-01-09,long,PML,Flat,0.097,1st,623.57,0.2838494475359593,0.2838494475359593,0.3704475840723488,False,False
2026-01-09,long,1H_Sup,Flat,0.097,1st,622.41,0.4257643675390783,0.47075079127907066,0.5575103227775947,True,False
2026-01-09,long,4H_Sup,Flat,0.097,2nd,622.41,0.4257643675390783,0.47075079127907066,0.5575103227775947,True,False
2026-01-09,short,PDH,Flat,0.097,1st,621.33,0.36534530764651557,0.36534530764651557,0.36534530764651557,False,False
2026-01-13,short,PMH,Flat,0.003,1st,627.7,0.2915405448462706,0.4046519037757013,0.6085709733949418,True,False
2026-01-13,short,PDH,Flat,0.003,1st,627.18,0.22959915813641077,0.5165981058069288,0.5261647373959556,True,False
2026-01-15,long,PML,Gap Up,1.058,1st,626.36,0.046299252825845134,0.5811354492624028,0.5811354492624028,True,False
2026-01-15,short,PMH,Gap Up,1.058,1st,625.18,0.083176045298951,0.09117374196230467,0.1887456412553105,False,False
2026-01-15,short,PMH,Gap Up,1.058,2nd,625.4501,0.0,0.0,0.0,False,False
2026-01-21,short,PMH,Flat,0.196,1st,608.01,0.024094998437516873,0.024094998437516873,0.024094998437516873,False,False
2026-01-22,long,1H_Sup,Gap Up,0.926,1st,620.53,0.029007461363683252,0.049151531755122824,0.1547064606062618,False,False
2026-01-22,long,4H_Sup,Gap Up,0.926,1st,620.3101,0.0644677557241132,0.0644677557241132,0.18053873377201435,False,False
2026-01-22,long,4H_Sup,Gap Up,0.926,2nd,620.28,0.1313116656993723,0.16926226865286317,0.22409234539240122,False,False
2026-01-22,short,PMH,Gap Up,0.926,1st,620.82,0.04349086691796261,0.04349086691796261,0.04349086691796261,False,False
2026-01-22,short,PDH,Gap Up,0.926,1st,618.09,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False
2026-01-22,short,4H_Res,Gap Up,0.926,1st,618.09,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False
2026-01-30,long,PML,Gap Down,-0.634,1st,626.78,0.23548932639841716,0.23548932639841716,0.23548932639841716,False,False
2026-01-30,long,4H_Sup,Gap Down,-0.634,1st,625.01,0.49599206412697766,0.49599206412697766,0.49599206412697766,False,False
2026-01-30,long,4H_Sup,Gap Down,-0.634,2nd,625.1,0.1919692849144028,0.1919692849144028,0.1919692849144028,False,False
2026-01-30,short,PMH,Gap Down,-0.634,1st,624.32,0.3275403639159562,0.3507816504356827,0.3507816504356827,False,False
2026-02-03,long,PDL,Flat,0.395,1st,620.63,0.05156051109357427,0.05156051109357427,0.05156051109357427,False,False
2026-02-03,short,PMH,Flat,0.395,1st,623.87,0.615512847227793,0.859153349255456,1.0883677689262128,True,True
2026-02-03,short,PDH,Flat,0.395,1st,623.87,0.615512847227793,0.859153349255456,1.0883677689262128,True,True
2026-02-04,short,PMH,Flat,-0.285,1st,612.8,0.7359660574412518,0.7359660574412518,0.7359660574412518,True,False
2026-02-05,long,PML,Gap Down,-0.988,1st,602.99,0.30182921773162674,0.30182921773162674,0.30182921773162674,False,False
2026-02-05,long,PML,Gap Down,-0.988,2nd,601.57,0.12301145336368093,0.12301145336368093,0.24602290672738075,False,False
2026-02-05,long,PDL,Gap Down,-0.988,1st,602.06,0.006643856094089843,0.0647775969172674,0.16443543832840732,False,False
2026-02-05,short,PMH,Gap Down,-0.988,1st,600.9575,0.8582137671965201,1.004646751226172,1.004646751226172,True,True
2026-02-06,long,PML,Flat,0.43,1st,602.29,0.239087482774088,0.38851715950788357,0.6110013448671012,True,False
2026-02-06,long,4H_Sup,Flat,0.43,1st,604.33,0.2118048086310414,0.2118048086310414,0.2118048086310414,False,False
2026-02-06,long,4H_Sup,Flat,0.43,2nd,604.28,0.32269808697955343,0.42529953001920473,0.4881842854306026,False,False
2026-02-06,short,PMH,Flat,0.43,1st,600.43,0.10992122312342292,0.10992122312342292,0.10992122312342292,False,False
2026-02-06,short,PDH,Flat,0.43,1st,603.15,0.4990466716405522,0.5603912791179633,0.5603912791179633,True,False
2026-02-06,short,PDH,Flat,0.43,2nd,602.67,0.17090613436872132,0.17090613436872132,0.17090613436872132,False,False
2026-02-10,long,PML,Flat,0.117,1st,615.57,0.235554039345636,0.235554039345636,0.235554039345636,False,False
2026-02-10,short,PMH,Flat,0.117,1st,614.15,0.04477733452739189,0.08792640234469813,0.08792640234469813,False,False
2026-02-10,short,PDH,Flat,0.117,1st,614.73,0.004880191303494659,0.07970979129048673,0.13908545214972723,False,False
2026-02-11,long,PDL,Gap Up,0.747,1st,612.58,0.057135394560695586,0.057135394560695586,0.057135394560695586,False,False
2026-02-11,short,PMH,Gap Up,0.747,1st,614.76,0.04391957837204467,0.4538356431778196,1.1500422929273109,True,True
2026-02-11,short,PMH,Gap Up,0.747,2nd,615.38,0.4745035587766842,1.137508531313985,1.2496343722577823,True,True
2026-02-11,short,PDH,Gap Up,0.747,1st,614.76,0.04391957837204467,0.4538356431778196,1.1500422929273109,True,True
2026-02-11,short,PDH,Gap Up,0.747,2nd,615.38,0.4745035587766842,1.137508531313985,1.2496343722577823,True,True
2026-02-12,short,PMH,Flat,0.276,1st,614.89,0.588723186260958,0.7188277578103334,1.052220722405638,True,True
2026-02-13,long,PDL,Flat,0.017,1st,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,False
2026-02-13,long,PDL,Flat,0.017,2nd,601.85,0.30617263437732367,0.3372933455179816,0.432001329234863,False,False
2026-02-13,long,1H_Sup,Flat,0.017,1st,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,False
2026-02-13,long,1H_Sup,Flat,0.017,2nd,601.85,0.30617263437732367,0.3372933455179816,0.432001329234863,False,False
2026-02-13,long,1H_Sup,Flat,0.017,1st,604.36,0.10589714739558977,0.20352108015090645,0.34251108610760744,False,False
2026-02-13,long,4H_Sup,Flat,0.017,1st,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,False
2026-02-13,long,4H_Sup,Flat,0.017,2nd,601.85,0.30617263437732367,0.3372933455179816,0.432001329234863,False,False
2026-02-13,short,PMH,Flat,0.017,1st,600.26,0.22490254223170336,0.22490254223170336,0.22490254223170336,False,False
2026-02-13,short,PMH,Flat,0.017,2nd,599.5,0.0050041701417802694,0.0050041701417802694,0.0050041701417802694,False,False
2026-02-13,short,PMH,Flat,0.017,3rd+,600.21,0.016660835374289456,0.061645090884857714,0.061645090884857714,False,False
2026-02-18,long,1H_Sup,Flat,0.118,1st,603.968,0.6460607184486669,0.7454037299989513,0.8381404312811253,True,True
2026-02-19,long,PML,Flat,-0.449,1st,604.04,0.26157208131912474,0.26157208131912474,0.26157208131912474,False,False
2026-02-19,long,PDL,Flat,-0.449,1st,602.36,0.5412045952586478,0.5412045952586478,0.5412045952586478,True,False
2026-02-19,short,PMH,Flat,-0.449,1st,602.12,0.013286388095403064,0.013286388095403064,0.12455988839433998,False,False
2026-02-20,long,1H_Sup,Gap Down,-0.545,1st,605.27,0.6129495927437403,0.6129495927437403,0.7913823582863786,True,True
2026-02-20,long,1H_Sup,Gap Down,-0.545,2nd,606.89,0.1664222511493007,0.4102885201601623,0.5701197910659322,True,False
2026-02-20,long,4H_Sup,Gap Down,-0.545,1st,606.98,0.13344756005139305,0.15157006820652394,0.5502652476193667,True,False
2026-02-20,long,4H_Sup,Gap Down,-0.545,2nd,606.89,0.1664222511493007,0.4102885201601623,0.5701197910659322,True,False
2026-02-24,long,PML,Flat,0.145,1st,604.51,0.5210831913450527,0.549205141354163,0.6120659707862641,True,False
2026-02-24,long,4H_Sup,Flat,0.145,1st,604.17,0.26648128837910084,0.5776519853683582,0.612410414287377,True,False
