date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-06-04,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,21741.0,SL,-12.0,1,09:30-09:45
2025-06-04,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,21741.0,SL,-20.0,3,09:30-09:45
2025-06-04,NQ,OR15Low,breakout,long,TP25_SL12,25,12,21741.0,TP,25.0,3,09:30-09:45
2025-06-04,NQ,OR15Low,breakout,long,TP40_SL20,40,20,21741.0,TP,40.0,4,09:30-09:45
2025-06-04,NQ,VWAP,reject,short,TP25_SL12,25,12,21741.0,SL,-12.0,1,09:30-09:45
2025-06-04,NQ,VWAP,reject,short,TP40_SL20,40,20,21741.0,SL,-20.0,3,09:30-09:45
2025-06-04,NQ,OR15High,reject,short,TP25_SL12,25,12,21773.75,SL,-12.0,0,09:30-09:45
2025-06-04,NQ,OR15High,reject,short,TP40_SL20,40,20,21773.75,TP,40.0,19,09:30-09:45
2025-06-04,NQ,OR15Low,reject,short,TP25_SL12,25,12,21719.5,TP,25.0,1,10:00-10:30
2025-06-04,NQ,OR15Low,reject,short,TP40_SL20,40,20,21719.5,TP,40.0,3,10:00-10:30
2025-06-04,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,21702.75,SL,-12.0,0,10:00-10:30
2025-06-04,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,21702.75,SL,-20.0,2,10:00-10:30
2025-06-04,NQ,GlobexLow,reject,short,TP25_SL12,25,12,21707.5,SL,-12.0,1,10:00-10:30
2025-06-04,NQ,GlobexLow,reject,short,TP40_SL20,40,20,21707.5,SL,-20.0,3,10:00-10:30
2025-06-05,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,21792.0,SL,-12.0,0,09:30-09:45
2025-06-05,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,21792.0,SL,-20.0,1,09:30-09:45
2025-06-05,NQ,OR15High,reject,short,TP25_SL12,25,12,21792.0,SL,-12.0,0,09:30-09:45
2025-06-05,NQ,OR15High,reject,short,TP40_SL20,40,20,21792.0,SL,-20.0,1,09:30-09:45
2025-06-05,NQ,OR15Low,breakout,long,TP25_SL12,25,12,21792.0,SL,-12.0,0,09:30-09:45
