date,time,close,score,levels,approach,reaction,dist_pdh,dist_pdl,dist_pmh,dist_pml,dist_1h,dist_4h,gap_pct,ep,mfe15,mae15,mfe15_s,mae15_s,mfe30,mae30,mfe30_s,mae30_s,mfe60,mae60,mfe60_s,mae60_s,hit_up_+0.50%,hit_dn_+0.50%,hit_up_+0.75%,hit_dn_+0.75%
2025-12-16,09:30,609.65,5,PDL,above,retest_continue,1.4385,0.0541,0.3248,0.2444,,,-0.419,609.64,0.23143166458893275,0.3370841808280215,0.3370841808280215,0.23143166458893275,0.4674890099074901,0.3370841808280215,0.3370841808280215,0.4674890099074901,0.4674890099074901,0.4379633882291121,0.4379633882291121,0.4674890099074901,False,False,False,False
2025-12-16,09:31,610.19,5,PDL,below,retest_continue,1.3488,0.1426,0.236,0.3327,,,-0.419,610.24,0.1328821447299336,0.4350747246984748,0.4350747246984748,0.1328821447299336,0.3687073938122706,0.4350747246984748,0.4350747246984748,0.3687073938122706,0.3687073938122706,0.5358547456738303,0.5358547456738303,0.3687073938122706,False,False,False,False
2025-12-16,09:32,609.32,5,PDL,above,breakout,1.4935,0.0,0.3791,0.1904,,,-0.419,609.24,0.29723918324468956,0.271649924496089,0.271649924496089,0.29723918324468956,0.5334515133609087,0.271649924496089,0.271649924496089,0.5334515133609087,0.5334515133609087,0.37259536471669324,0.37259536471669324,0.5334515133609087,True,False,False,False
2025-12-16,09:33,609.77,5,PDL,below,rejection,1.4186,0.0738,0.305,0.264,,,-0.419,609.8,0.20513283043620884,0.3632338471629909,0.3632338471629909,0.20513283043620884,0.4411282387668178,0.3632338471629909,0.3632338471629909,0.4411282387668178,0.4411282387668178,0.46408658576581296,0.46408658576581296,0.4411282387668178,False,False,False,False
2025-12-16,09:34,609.52,5,PDL,above,breakout,1.4596,0.0334,0.3456,0.2237,,,-0.419,609.52,0.35109594434964997,0.31746292164325135,0.31746292164325135,0.35109594434964997,0.4872686704291947,0.31746292164325135,0.31746292164325135,0.4872686704291947,0.4872686704291947,0.4183619897624286,0.4183619897624286,0.4872686704291947,False,False,False,False
2025-12-16,09:35,609.14,5,PDL,above,breakout,1.5235,0.0295,0.4088,0.1609,,,-0.419,609.16,0.4777070063694402,0.2585527611793177,0.2585527611793177,0.4777070063694402,0.5466544093505878,0.2585527611793177,0.2585527611793177,0.5466544093505878,0.5466544093505878,0.3595114584017239,0.3595114584017239,0.5466544093505878,True,False,False,False
2025-12-16,09:39,610.05,5,PDL,above,rejection,1.372,0.1197,0.259,0.3098,,,-0.419,610.03,0.33440978312543274,0.40079996065766216,0.40079996065766216,0.33440978312543274,0.403258856121836,0.40079996065766216,0.40079996065766216,0.403258856121836,0.403258856121836,0.5016146746881212,0.5016146746881212,0.403258856121836,False,False,False,False
2025-12-16,09:40,609.38,5,PDL,above,rejection,1.4835,0.0099,0.3692,0.2002,,,-0.419,609.4,0.43813587134887966,0.29783393501804084,0.29783393501804084,0.43813587134887966,0.5070561207745375,0.29783393501804084,0.29783393501804084,0.5070561207745375,0.5070561207745375,0.39875287167705126,0.39875287167705126,0.5070561207745375,True,False,False,False
2025-12-16,09:41,608.74,9,PDL|PML,above,retest_continue,1.5893,0.0945,0.4739,0.0961,,,-0.419,608.78,0.5404251125201349,0.1962942277998516,0.1962942277998516,0.5404251125201349,0.6094155524163141,0.1962942277998516,0.1962942277998516,0.6094155524163141,0.6094155524163141,0.2973159433621252,0.2973159433621252,0.6094155524163141,True,False,False,False
2025-12-16,09:42,608.88,9,PDL|PML,below,rejection,1.5668,0.0723,0.4516,0.1182,,,-0.419,608.92,0.5173093345595631,0.21924062274189102,0.21924062274189102,0.5173093345595631,0.5862839125008293,0.21924062274189102,0.21924062274189102,0.5862839125008293,0.5862839125008293,0.3202391118701852,0.3202391118701852,0.5862839125008293,True,False,False,False
