sym,level,date,gap_regime,outcome,bars,pnl,ep,side,touch_num
RKLB,PML,2025-12-16,Gap Down,win,3,0.5,53.565,long,1
RKLB,PDL,2025-12-16,Gap Down,win,0,0.5,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,win,0,0.5,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.25,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.25,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.25,56.34,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,win,0,0.5,55.55,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,loss,0,-0.25,56.34,long,1
RKLB,PMH,2025-12-16,Gap Down,win,0,0.5,54.78,short,1
RKLB,1H_Res,2025-12-16,Gap Down,loss,0,-0.25,55.31,short,1
RKLB,1H_Res,2025-12-16,Gap Down,win,3,0.5,56.25,short,1
RKLB,PML,2025-12-17,Gap Up,win,0,0.5,55.86,long,1
RKLB,1H_Sup,2025-12-17,Gap Up,loss,0,-0.25,55.09,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,0,-0.25,54.64,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,0,-0.25,56.19,long,1
RKLB,PDH,2025-12-17,Gap Up,win,0,0.5,56.06,short,1
RKLB,1H_Res,2025-12-17,Gap Up,win,0,0.5,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,win,0,0.5,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,loss,0,-0.25,54.795,short,1
RKLB,4H_Res,2025-12-17,Gap Up,win,0,0.5,55.43,short,1
RKLB,PMH,2025-12-18,Gap Up,loss,0,-0.25,56.2437,short,1
RKLB,PDH,2025-12-18,Gap Up,loss,0,-0.25,56.81,short,1
RKLB,1H_Sup,2025-12-23,Gap Down,loss,0,-0.25,78.72,long,1
RKLB,PDH,2025-12-23,Gap Down,loss,0,-0.25,77.7276,short,1
RKLB,PML,2025-12-24,Gap Up,loss,0,-0.25,76.82,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,win,11,0.5,77.37,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,loss,0,-0.25,78.4325,long,1
RKLB,4H_Sup,2025-12-24,Gap Up,loss,1,-0.25,76.48,long,1
RKLB,PMH,2025-12-24,Gap Up,win,0,0.5,77.88,short,1
RKLB,PDH,2025-12-24,Gap Up,win,0,0.5,77.88,short,1
RKLB,1H_Res,2025-12-24,Gap Up,loss,0,-0.25,77.1512,short,1
RKLB,4H_Res,2025-12-24,Gap Up,loss,0,-0.25,77.1512,short,1
RKLB,1H_Sup,2025-12-30,Gap Up,loss,0,-0.25,71.39,long,1
RKLB,4H_Sup,2025-12-30,Gap Up,loss,0,-0.25,72.36,long,1
RKLB,PMH,2025-12-30,Gap Up,loss,0,-0.25,72.58,short,1
RKLB,PDH,2025-12-30,Gap Up,win,0,0.5,72.16,short,1
RKLB,4H_Res,2025-12-30,Gap Up,loss,0,-0.25,71.42,short,1
RKLB,PML,2025-12-31,Gap Up,loss,0,-0.25,71.1812,long,1
RKLB,PDL,2025-12-31,Gap Up,win,0,0.5,70.65,long,1
RKLB,PMH,2025-12-31,Gap Up,loss,0,-0.25,71.715,short,1
RKLB,1H_Res,2025-12-31,Gap Up,loss,0,-0.25,70.735,short,1
RKLB,4H_Res,2025-12-31,Gap Up,loss,0,-0.25,71.96,short,1
RKLB,PML,2026-01-06,Flat,win,1,0.5,76.725,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.25,78.44,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.25,77.9,long,1
RKLB,1H_Sup,2026-01-06,Flat,win,0,0.5,78.3898,long,1
RKLB,4H_Sup,2026-01-06,Flat,loss,1,-0.25,75.72,long,1
RKLB,4H_Sup,2026-01-06,Flat,win,0,0.5,78.3898,long,1
RKLB,PMH,2026-01-06,Flat,loss,0,-0.25,77.12,short,1
RKLB,PDH,2026-01-06,Flat,loss,0,-0.25,77.12,short,1
RKLB,1H_Res,2026-01-06,Flat,loss,0,-0.25,77.12,short,1
RKLB,4H_Res,2026-01-06,Flat,loss,0,-0.25,76.65,short,1
RKLB,4H_Res,2026-01-06,Flat,loss,0,-0.25,77.12,short,1
RKLB,PML,2026-01-07,Gap Down,win,0,0.5,83.05,long,1
RKLB,1H_Sup,2026-01-07,Gap Down,win,3,0.5,85.33,long,1
RKLB,4H_Sup,2026-01-07,Gap Down,win,0,0.5,84.415,long,1
RKLB,PMH,2026-01-07,Gap Down,win,0,0.5,83.655,short,1
RKLB,1H_Res,2026-01-07,Gap Down,loss,0,-0.25,84.65,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,5,-0.25,82.1284,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,0,-0.25,83.05,short,1
RKLB,1H_Sup,2026-01-08,Gap Up,win,0,0.5,84.86,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,win,5,0.5,82.48,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,loss,0,-0.25,86.9,long,1
RKLB,PMH,2026-01-08,Gap Up,loss,0,-0.25,84.85,short,1
RKLB,PDH,2026-01-08,Gap Up,loss,0,-0.25,84.85,short,1
RKLB,1H_Res,2026-01-08,Gap Up,loss,0,-0.25,84.4899,short,1
RKLB,4H_Res,2026-01-08,Gap Up,win,0,0.5,84.8,short,1
RKLB,PML,2026-01-09,Gap Up,loss,0,-0.25,83.035,long,1
RKLB,1H_Sup,2026-01-09,Gap Up,win,0,0.5,84.3173,long,1
RKLB,4H_Sup,2026-01-09,Gap Up,win,0,0.5,85.51,long,1
RKLB,PMH,2026-01-09,Gap Up,loss,0,-0.25,83.05,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,0,-0.25,82.92,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,0,-0.25,82.92,short,1
RKLB,4H_Res,2026-01-09,Gap Up,loss,0,-0.25,83.05,short,1
RKLB,PML,2026-01-13,Gap Up,loss,0,-0.25,88.0,long,1
RKLB,1H_Sup,2026-01-13,Gap Up,loss,0,-0.25,89.03,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,1,-0.25,87.87,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,0,-0.25,88.9,long,1
RKLB,PMH,2026-01-13,Gap Up,loss,0,-0.25,87.44,short,1
RKLB,PDH,2026-01-13,Gap Up,loss,0,-0.25,87.44,short,1
RKLB,1H_Res,2026-01-13,Gap Up,loss,0,-0.25,88.0,short,1
RKLB,PML,2026-01-14,Gap Down,win,0,0.5,86.065,long,1
RKLB,PDL,2026-01-14,Gap Down,loss,0,-0.25,86.78,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,win,1,0.5,86.69,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.25,88.14,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.25,88.3466,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.25,88.805,long,1
RKLB,4H_Sup,2026-01-14,Gap Down,win,1,0.5,86.69,long,1
RKLB,4H_Sup,2026-01-14,Gap Down,win,0,0.5,86.72,long,1
RKLB,PMH,2026-01-14,Gap Down,loss,0,-0.25,85.15,short,1
RKLB,PDH,2026-01-14,Gap Down,win,2,0.5,89.19,short,1
RKLB,1H_Res,2026-01-14,Gap Down,win,1,0.5,87.74,short,1
RKLB,4H_Res,2026-01-14,Gap Down,win,2,0.5,87.9,short,1
RKLB,4H_Res,2026-01-14,Gap Down,win,0,0.5,88.44,short,1
RKLB,PML,2026-01-15,Gap Down,loss,1,-0.25,89.5504,long,1
RKLB,1H_Sup,2026-01-15,Gap Down,loss,3,-0.25,90.9001,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,win,3,0.5,87.6,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,0,-0.25,89.43,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,2,-0.25,92.13,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,2,-0.25,92.13,long,1
RKLB,PMH,2026-01-15,Gap Down,loss,1,-0.25,90.325,short,1
RKLB,PDH,2026-01-15,Gap Down,loss,0,-0.25,91.87,short,1
RKLB,1H_Res,2026-01-15,Gap Down,loss,9,-0.25,90.5614,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,0,-0.25,87.3301,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,0,-0.25,88.02,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,9,-0.25,90.5614,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,0,-0.25,91.87,short,1
RKLB,PML,2026-01-21,Gap Up,loss,0,-0.25,89.6,long,1
RKLB,PDL,2026-01-21,Gap Up,loss,0,-0.25,88.94,long,1
RKLB,1H_Sup,2026-01-21,Gap Up,loss,0,-0.25,88.94,long,1
RKLB,1H_Res,2026-01-21,Gap Up,loss,0,-0.25,88.8,short,1
RKLB,PML,2026-01-22,Gap Down,loss,0,-0.25,85.505,long,1
RKLB,PDL,2026-01-22,Gap Down,loss,0,-0.25,82.99,long,1
RKLB,1H_Sup,2026-01-22,Gap Down,win,8,0.5,86.53,long,1
RKLB,1H_Sup,2026-01-22,Gap Down,win,11,0.5,86.9,long,1
RKLB,4H_Sup,2026-01-22,Gap Down,loss,0,-0.25,83.2041,long,1
RKLB,4H_Sup,2026-01-22,Gap Down,loss,0,-0.25,83.62,long,1
RKLB,4H_Sup,2026-01-22,Gap Down,win,8,0.5,86.53,long,1
RKLB,4H_Sup,2026-01-22,Gap Down,win,2,0.5,88.3526,long,1
RKLB,PMH,2026-01-22,Gap Down,loss,0,-0.25,85.47,short,1
RKLB,1H_Res,2026-01-22,Gap Down,loss,0,-0.25,85.47,short,1
RKLB,1H_Res,2026-01-22,Gap Down,loss,0,-0.25,87.215,short,1
RKLB,1H_Res,2026-01-22,Gap Down,loss,1,-0.25,87.77,short,1
RKLB,4H_Res,2026-01-22,Gap Down,loss,0,-0.25,84.18,short,1
RKLB,4H_Res,2026-01-22,Gap Down,loss,0,-0.25,85.47,short,1
RKLB,PML,2026-01-23,Gap Up,loss,0,-0.25,89.36,long,1
RKLB,1H_Sup,2026-01-23,Gap Up,win,5,0.5,87.85,long,1
RKLB,1H_Sup,2026-01-23,Gap Up,loss,0,-0.25,88.57,long,1
RKLB,1H_Sup,2026-01-23,Gap Up,loss,1,-0.25,89.2989,long,1
RKLB,1H_Sup,2026-01-23,Gap Up,loss,0,-0.25,89.66,long,1
RKLB,4H_Sup,2026-01-23,Gap Up,win,5,0.5,87.85,long,1
RKLB,4H_Sup,2026-01-23,Gap Up,loss,0,-0.25,89.66,long,1
RKLB,PMH,2026-01-23,Gap Up,loss,1,-0.25,87.95,short,1
RKLB,PDH,2026-01-23,Gap Up,loss,1,-0.25,87.95,short,1
RKLB,4H_Res,2026-01-23,Gap Up,loss,0,-0.25,86.21,short,1
RKLB,4H_Sup,2026-01-27,Gap Up,win,10,0.5,84.2401,long,1
RKLB,PMH,2026-01-27,Gap Up,loss,1,-0.25,82.26,short,1
RKLB,4H_Res,2026-01-27,Gap Up,win,0,0.5,83.11,short,1
RKLB,4H_Res,2026-01-27,Gap Up,loss,0,-0.25,84.13,short,1
RKLB,PML,2026-01-28,Gap Up,loss,0,-0.25,88.1238,long,1
RKLB,1H_Sup,2026-01-28,Gap Up,loss,0,-0.25,88.1238,long,1
RKLB,4H_Sup,2026-01-28,Gap Up,loss,0,-0.25,88.1238,long,1
RKLB,PMH,2026-01-28,Gap Up,loss,0,-0.25,87.93,short,1
RKLB,PML,2026-01-29,Gap Down,loss,0,-0.25,88.6399,long,1
RKLB,1H_Sup,2026-01-29,Gap Down,loss,0,-0.25,88.6399,long,1
RKLB,1H_Sup,2026-01-29,Gap Down,loss,0,-0.25,88.6399,long,1
RKLB,4H_Sup,2026-01-29,Gap Down,win,0,0.5,87.935,long,1
RKLB,PMH,2026-01-29,Gap Down,loss,0,-0.25,88.395,short,1
RKLB,1H_Res,2026-01-29,Gap Down,win,0,0.5,87.535,short,1
RKLB,PML,2026-01-30,Gap Down,win,1,0.5,82.15,long,1
RKLB,PDL,2026-01-30,Gap Down,loss,3,-0.25,83.7,long,1
RKLB,1H_Sup,2026-01-30,Gap Down,loss,2,-0.25,83.82,long,1
RKLB,1H_Sup,2026-01-30,Gap Down,loss,2,-0.25,83.82,long,1
RKLB,1H_Sup,2026-01-30,Gap Down,loss,0,-0.25,84.2,long,1
RKLB,1H_Sup,2026-01-30,Gap Down,loss,0,-0.25,86.3899,long,1
RKLB,1H_Sup,2026-01-30,Gap Down,win,0,0.5,87.24,long,1
RKLB,4H_Sup,2026-01-30,Gap Down,loss,2,-0.25,83.82,long,1
RKLB,4H_Sup,2026-01-30,Gap Down,loss,2,-0.25,83.82,long,1
RKLB,4H_Sup,2026-01-30,Gap Down,loss,0,-0.25,84.2,long,1
RKLB,4H_Sup,2026-01-30,Gap Down,win,0,0.5,87.24,long,1
RKLB,PMH,2026-01-30,Gap Down,win,0,0.5,84.314,short,1
RKLB,PDH,2026-01-30,Gap Down,loss,0,-0.25,87.875,short,1
RKLB,1H_Res,2026-01-30,Gap Down,win,0,0.5,84.314,short,1
RKLB,1H_Res,2026-01-30,Gap Down,win,1,0.5,84.46,short,1
RKLB,4H_Res,2026-01-30,Gap Down,win,0,0.5,86.2688,short,1
