tp,sl,total_trades,win_rate,avg_pnl,median_pnl,total_return,pf
0.0025,0.0025,492,0.42276422764227645,-0.00035678255380440233,-0.0025,-0.17553701647176595,0.7324586429368043
0.0075,0.0025,492,0.2804878048780488,-0.0004043160846137639,-0.0025,-0.19892351362997185,0.7515357510802141
0.005,0.0025,492,0.30284552845528456,-0.0005238001914159044,-0.0025,-0.257709694176625,0.6691578705782651
0.0025,0.004,492,0.491869918699187,-0.0005877435242313288,-0.00012845124969276497,-0.28916981392181373,0.659806513575057
0.0025,0.005,492,0.5203252032520326,-0.0006266209876608481,0.0003800269798826173,-0.3082975259291373,0.6577211788176448
0.0075,0.004,492,0.34552845528455284,-0.0006368850320507709,-0.0033442900729196813,-0.3133474357689793,0.7074014093412354
0.0075,0.005,492,0.37601626016260165,-0.0006577917026815574,-0.001438043191962412,-0.32363351771932625,0.717227851028807
0.005,0.004,492,0.3678861788617886,-0.0007903071380590248,-0.002515706381562308,-0.3888311119250402,0.6251329695609316
0.005,0.005,492,0.39634146341463417,-0.000842023640456499,-0.0012699568070663636,-0.41427563110459753,0.6260514460098311
