direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
short,196.44,-0.5,False,sl,2026-03-09 18:10:00+00:00,2.7970986091913024,1.328985507246378
short,191.64,-0.5,False,sl,2026-03-10 13:45:00+00:00,1.918241543791535,0.9574254106603961
long,198.39,-0.5,False,sl,2026-03-10 16:35:00+00:00,3.725429852061428,0.36202020202019514
short,194.725,-0.5,False,sl,2026-03-10 19:50:00+00:00,3.336860743230759,0.6258596973864972
short,192.75,-0.5,False,sl,2026-03-11 19:25:00+00:00,1.8639676958926072,1.3946360153256905
long,196.7,0.8,True,tp,2026-03-12 13:35:00+00:00,2.5420079328066603,3.684210526315764
long,199.52,-0.5,False,sl,2026-03-12 13:40:00+00:00,2.538266179772748,3.2041612483745077
long,198.89,-0.47262305797174203,False,time,2026-03-12 18:05:00+00:00,2.0777316287926904,0.3410138248847969
long,198.75,-0.5,False,sl,2026-03-12 19:40:00+00:00,2.7147988545708293,0.4699453551912601
long,198.19,0.8,True,tp,2026-03-12 19:55:00+00:00,2.2696104748780837,0.8292682926829444
long,200.12,-0.5,False,sl,2026-03-13 13:30:00+00:00,3.6307880351079125,1.9390088945362045
short,191.985,-0.5,False,sl,2026-03-13 19:45:00+00:00,3.119553273235537,1.4971098265896143
short,191.8,-0.5,False,sl,2026-03-13 19:50:00+00:00,3.0544507503838445,0.599164926931144
long,197.89,-0.5,False,sl,2026-03-16 18:25:00+00:00,3.440146417496853,1.3740053050397905
long,197.38,0.8,True,tp,2026-03-16 19:45:00+00:00,2.0898127422602406,0.8782287822878337
long,197.905,0.8,True,tp,2026-03-16 19:50:00+00:00,3.5168799111099687,1.2356369691923432
long,198.05,0.8,True,tp,2026-03-17 13:30:00+00:00,3.2233328498807965,1.0308039068369836
short,196.815,0.2921525290247129,True,time,2026-03-17 16:05:00+00:00,2.219755830747088,0.5420699925539644
short,196.3,0.5348955680081565,True,time,2026-03-17 16:55:00+00:00,2.144182075323407,0.851179673321247
short,195.73,0.2656720993204832,True,time,2026-03-17 17:50:00+00:00,3.732139986163999,1.2841475573279406
short,195.75,-0.5,False,sl,2026-03-19 13:30:00+00:00,3.691542181647859,0.44562334217500826
short,194.08,-0.5,False,sl,2026-03-19 17:35:00+00:00,4.031704976930388,0.708860759493705
short,191.22,-0.5,False,sl,2026-03-20 13:35:00+00:00,1.9058642294934653,2.5573770491803476
short,193.5,-0.5,False,sl,2026-03-20 15:20:00+00:00,2.138984529925549,1.19687347337567
short,194.3,-0.5,False,sl,2026-03-20 19:35:00+00:00,2.47446748081354,0.9600818833162876
short,193.62,-0.5,False,sl,2026-03-20 19:50:00+00:00,2.1712246388846403,0.8811188811188706
short,194.84,0.8,True,tp,2026-03-23 15:20:00+00:00,1.949309512292606,1.5334846765039778
short,183.745,-0.5,False,sl,2026-03-24 17:45:00+00:00,2.616037605477464,0.6623897353648431
short,184.345,0.8,True,tp,2026-03-24 18:45:00+00:00,2.5953692371488826,0.7333333333333665
short,182.72,-0.5,False,sl,2026-03-24 19:50:00+00:00,2.0152182391556313,1.9371727748691332
short,180.01,-0.5,False,sl,2026-03-25 15:20:00+00:00,2.4065405754680587,1.0592920353982163
short,185.065,0.8,True,tp,2026-03-26 19:55:00+00:00,3.570743219218632,0.5986394557823054
short,179.07,-0.5,False,sl,2026-03-27 19:20:00+00:00,2.0175967182812395,0.7448609431680804
short,179.21,-0.5,False,sl,2026-03-27 19:50:00+00:00,2.02521885811377,0.9230769230768856
short,183.46,-0.5,False,sl,2026-03-30 19:30:00+00:00,3.6114039186046134,0.9618320610686664
short,186.88,-0.5,False,sl,2026-03-31 15:30:00+00:00,2.2715788730281337,0.7352297592997596
short,187.15,0.36868821800694507,True,time,2026-03-31 17:30:00+00:00,2.8737865053158544,0.9161213563354891
short,186.68,-0.5,False,sl,2026-03-31 19:55:00+00:00,1.94179118686994,1.008645533141219
short,185.495,-0.5,False,sl,2026-04-02 19:45:00+00:00,2.5452320337586687,1.3214285714285725
short,185.56,0.17784005173529452,True,time,2026-04-06 16:30:00+00:00,1.9504719868241702,0.33447098976106204
short,184.915,0.8,True,tp,2026-04-07 13:30:00+00:00,3.7821570723494524,0.5586034912718137
short,183.64,-0.5,False,sl,2026-04-07 19:25:00+00:00,2.176279792160905,0.7031963470320514
short,183.25,-0.5,False,sl,2026-04-07 19:35:00+00:00,2.515714821612388,0.7768786127167026
short,182.98,-0.5,False,sl,2026-04-07 19:40:00+00:00,1.9589622637569242,0.8428093645485297
short,186.14,0.8,True,tp,2026-04-08 13:30:00+00:00,2.4341115522967187,0.8887056883759068
short,182.615,-0.5,False,sl,2026-04-08 15:25:00+00:00,2.677425561809931,1.2379583033788852
