sym,level,date,gap_regime,outcome,bars,pnl,ep,side,touch_num
RKLB,PML,2025-12-16,Gap Down,loss,5,-0.5,53.565,long,1
RKLB,PDL,2025-12-16,Gap Down,win,0,1.0,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,win,0,1.0,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.5,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.5,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,1,-0.5,56.34,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,win,0,1.0,55.55,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,loss,1,-0.5,56.34,long,1
RKLB,PMH,2025-12-16,Gap Down,win,3,1.0,54.78,short,1
RKLB,1H_Res,2025-12-16,Gap Down,loss,0,-0.5,55.31,short,1
RKLB,1H_Res,2025-12-16,Gap Down,win,7,1.0,56.25,short,1
RKLB,PML,2025-12-17,Gap Up,loss,1,-0.5,55.86,long,1
RKLB,1H_Sup,2025-12-17,Gap Up,win,4,1.0,55.09,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,0,-0.5,54.64,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,1,-0.5,56.19,long,1
RKLB,PDH,2025-12-17,Gap Up,win,4,1.0,56.06,short,1
RKLB,1H_Res,2025-12-17,Gap Up,loss,2,-0.5,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,loss,2,-0.5,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,loss,0,-0.5,54.795,short,1
RKLB,4H_Res,2025-12-17,Gap Up,win,0,1.0,55.43,short,1
RKLB,PMH,2025-12-18,Gap Up,loss,2,-0.5,56.2437,short,1
RKLB,PDH,2025-12-18,Gap Up,loss,0,-0.5,56.81,short,1
RKLB,1H_Sup,2025-12-23,Gap Down,loss,0,-0.5,78.72,long,1
RKLB,PDH,2025-12-23,Gap Down,loss,1,-0.5,77.7276,short,1
RKLB,PML,2025-12-24,Gap Up,loss,0,-0.5,76.82,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,win,37,1.0,77.37,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,loss,0,-0.5,78.4325,long,1
RKLB,4H_Sup,2025-12-24,Gap Up,loss,2,-0.5,76.48,long,1
RKLB,PMH,2025-12-24,Gap Up,win,0,1.0,77.88,short,1
RKLB,PDH,2025-12-24,Gap Up,win,0,1.0,77.88,short,1
RKLB,1H_Res,2025-12-24,Gap Up,win,1,1.0,77.1512,short,1
RKLB,4H_Res,2025-12-24,Gap Up,win,1,1.0,77.1512,short,1
RKLB,1H_Sup,2025-12-30,Gap Up,win,2,1.0,71.39,long,1
RKLB,4H_Sup,2025-12-30,Gap Up,loss,0,-0.5,72.36,long,1
RKLB,PMH,2025-12-30,Gap Up,loss,0,-0.5,72.58,short,1
RKLB,PDH,2025-12-30,Gap Up,win,1,1.0,72.16,short,1
RKLB,4H_Res,2025-12-30,Gap Up,loss,0,-0.5,71.42,short,1
RKLB,PML,2025-12-31,Gap Up,loss,1,-0.5,71.1812,long,1
RKLB,PDL,2025-12-31,Gap Up,loss,1,-0.5,70.65,long,1
RKLB,PMH,2025-12-31,Gap Up,loss,0,-0.5,71.715,short,1
RKLB,1H_Res,2025-12-31,Gap Up,loss,0,-0.5,70.735,short,1
RKLB,4H_Res,2025-12-31,Gap Up,win,3,1.0,71.96,short,1
RKLB,PML,2026-01-06,Flat,win,10,1.0,76.725,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.5,78.44,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.5,77.9,long,1
RKLB,1H_Sup,2026-01-06,Flat,win,12,1.0,78.3898,long,1
RKLB,4H_Sup,2026-01-06,Flat,loss,1,-0.5,75.72,long,1
RKLB,4H_Sup,2026-01-06,Flat,win,12,1.0,78.3898,long,1
RKLB,PMH,2026-01-06,Flat,loss,0,-0.5,77.12,short,1
RKLB,PDH,2026-01-06,Flat,loss,0,-0.5,77.12,short,1
RKLB,1H_Res,2026-01-06,Flat,loss,0,-0.5,77.12,short,1
RKLB,4H_Res,2026-01-06,Flat,win,1,1.0,76.65,short,1
RKLB,4H_Res,2026-01-06,Flat,loss,0,-0.5,77.12,short,1
RKLB,PML,2026-01-07,Gap Down,win,1,1.0,83.05,long,1
RKLB,1H_Sup,2026-01-07,Gap Down,loss,29,-0.5,85.33,long,1
RKLB,4H_Sup,2026-01-07,Gap Down,loss,2,-0.5,84.415,long,1
RKLB,PMH,2026-01-07,Gap Down,win,0,1.0,83.655,short,1
RKLB,1H_Res,2026-01-07,Gap Down,loss,0,-0.5,84.65,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,6,-0.5,82.1284,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,0,-0.5,83.05,short,1
RKLB,1H_Sup,2026-01-08,Gap Up,win,0,1.0,84.86,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,win,25,1.0,82.48,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,win,1,1.0,86.9,long,1
RKLB,PMH,2026-01-08,Gap Up,loss,0,-0.5,84.85,short,1
RKLB,PDH,2026-01-08,Gap Up,loss,0,-0.5,84.85,short,1
RKLB,1H_Res,2026-01-08,Gap Up,win,1,1.0,84.4899,short,1
RKLB,4H_Res,2026-01-08,Gap Up,loss,3,-0.5,84.8,short,1
RKLB,PML,2026-01-09,Gap Up,loss,0,-0.5,83.035,long,1
RKLB,1H_Sup,2026-01-09,Gap Up,win,3,1.0,84.3173,long,1
RKLB,4H_Sup,2026-01-09,Gap Up,win,1,1.0,85.51,long,1
RKLB,PMH,2026-01-09,Gap Up,loss,0,-0.5,83.05,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,2,-0.5,82.92,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,2,-0.5,82.92,short,1
RKLB,4H_Res,2026-01-09,Gap Up,loss,0,-0.5,83.05,short,1
RKLB,PML,2026-01-13,Gap Up,loss,2,-0.5,88.0,long,1
RKLB,1H_Sup,2026-01-13,Gap Up,loss,0,-0.5,89.03,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,3,-0.5,87.87,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,0,-0.5,88.9,long,1
RKLB,PMH,2026-01-13,Gap Up,loss,0,-0.5,87.44,short,1
RKLB,PDH,2026-01-13,Gap Up,loss,0,-0.5,87.44,short,1
RKLB,1H_Res,2026-01-13,Gap Up,win,5,1.0,88.0,short,1
RKLB,PML,2026-01-14,Gap Down,win,0,1.0,86.065,long,1
RKLB,PDL,2026-01-14,Gap Down,loss,0,-0.5,86.78,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,2,-0.5,86.69,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.5,88.14,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.5,88.3466,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,1,-0.5,88.805,long,1
RKLB,4H_Sup,2026-01-14,Gap Down,loss,2,-0.5,86.69,long,1
RKLB,4H_Sup,2026-01-14,Gap Down,loss,1,-0.5,86.72,long,1
RKLB,PMH,2026-01-14,Gap Down,loss,1,-0.5,85.15,short,1
RKLB,PDH,2026-01-14,Gap Down,win,5,1.0,89.19,short,1
RKLB,1H_Res,2026-01-14,Gap Down,win,1,1.0,87.74,short,1
RKLB,4H_Res,2026-01-14,Gap Down,win,2,1.0,87.9,short,1
RKLB,4H_Res,2026-01-14,Gap Down,win,2,1.0,88.44,short,1
RKLB,PML,2026-01-15,Gap Down,loss,1,-0.5,89.5504,long,1
RKLB,1H_Sup,2026-01-15,Gap Down,win,26,1.0,90.9001,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,win,13,1.0,87.6,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,0,-0.5,89.43,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,16,-0.5,92.13,long,1
RKLB,4H_Sup,2026-01-15,Gap Down,loss,16,-0.5,92.13,long,1
RKLB,PMH,2026-01-15,Gap Down,loss,2,-0.5,90.325,short,1
RKLB,PDH,2026-01-15,Gap Down,loss,1,-0.5,91.87,short,1
RKLB,1H_Res,2026-01-15,Gap Down,loss,17,-0.5,90.5614,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,1,-0.5,87.3301,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,0,-0.5,88.02,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,17,-0.5,90.5614,short,1
RKLB,4H_Res,2026-01-15,Gap Down,loss,1,-0.5,91.87,short,1
