sym,mktcap_B,float_M,sector,industry,beta,atr_pct,avg_gap_pct,price,avg_1mo,avg_3mo,wr_1mo,N,bucket
AFRM,24.08,281.3,Financial Services,Credit Services,3.699,5.89,1.2,71.9,-16.07,4.489999999999999,33.33333333333333,3,C_bot
SOUN,3.17,396.6,Technology,Software - Application,2.735,7.86,1.48,7.33,24.83083333333333,-22.179166666666664,33.33333333333333,12,A_top
AXTI,7.24,48.9,Technology,Semiconductor Equipment & Materials,1.811,13.81,3.42,110.74,39.998000000000005,284.73400000000004,100.0,5,A_top
QBTS,9.73,358.4,Technology,Computer Hardware,2.055,10.63,2.49,26.26,-21.627499999999998,-10.386666666666667,8.333333333333332,12,C_bot
SNDK,312.15,146.0,Technology,Computer Hardware,,7.27,2.65,2107.86,16.981666666666666,125.16833333333334,83.33333333333334,6,A_top
CCJ,46.61,434.5,Energy,Uranium,0.983,5.82,1.28,107.02,3.035,8.31,50.0,6,B_mid
GLW,161.7,789.8,Technology,Electronic Components,1.155,7.58,2.28,187.88,1.5876923076923077,20.295384615384616,38.46153846153847,13,B_mid
RGTI,7.55,327.6,Technology,Computer Hardware,1.902,11.63,2.46,22.7,-13.809000000000001,-27.121,30.0,10,C_bot
LMND,4.67,71.1,Financial Services,Insurance - Property & Casualty,1.809,6.46,1.11,60.75,0.2978947368421055,3.2910526315789475,31.57894736842105,19,B_mid
CELH,7.35,195.9,Consumer Defensive,Beverages - Non-Alcoholic,0.903,6.0,0.89,28.74,-0.11500000000000021,-3.2737500000000006,50.0,8,B_mid
IREN,21.75,327.9,Financial Services,Capital Markets,4.232,10.16,2.33,60.85,19.609,72.64099999999999,80.0,10,A_top
TFPM,6.35,69.6,Basic Materials,Other Precious Metals & Mining,0.296,4.45,1.66,30.74,0.8500000000000001,17.846666666666668,66.66666666666666,3,B_mid
CRSP,5.18,96.0,Healthcare,Biotechnology,1.704,6.14,1.04,52.61,-10.666666666666666,8.216666666666667,0.0,3,C_bot
TSEM,34.13,112.4,Technology,Semiconductors,0.872,7.93,2.85,286.86,16.002000000000002,40.154,100.0,5,A_top
FTAI,27.03,101.4,Industrials,Aerospace & Defense,1.517,5.93,1.61,263.52,12.858888888888888,12.950000000000001,88.88888888888889,9,A_top
SMR,3.68,339.3,Industrials,Specialty Industrial Machinery,2.219,11.12,1.89,10.64,25.39,16.266666666666666,83.33333333333334,6,A_top
APLD,13.28,253.9,Technology,Information Technology Services,5.644,9.4,3.05,46.47,-14.811818181818182,22.81909090909091,18.181818181818183,11,C_bot
RKLB,68.26,534.4,Industrials,Aerospace & Defense,2.499,11.02,3.79,109.25,18.934166666666666,101.695,75.0,12,A_top
OKLO,10.57,161.8,Utilities,Utilities - Independent Power Producers,1.113,8.96,2.04,60.74,-11.053846153846154,21.58923076923077,46.15384615384615,13,C_bot
