Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
NQ,breakout,GlobexLow,10:00-10:30,TP25_SL12,18,22.2,0.6,-3.78,-131.0
NQ,breakout,PriorRTHLow,11:00-12:00,TP25_SL12,9,22.2,0.6,-3.78,-72.0
NQ,reject,PriorRTHHigh,11:00-12:00,TP25_SL12,9,22.2,0.6,-3.78,-36.0
NQ,reject,PriorRTHHigh,11:00-12:00,TP40_SL20,9,22.2,0.57,-6.67,-100.0
NQ,breakout,GlobexLow,10:30-11:00,TP40_SL20,10,20.0,0.5,-8.0,-100.0
NQ,reject,PriorRTHLow,10:00-10:30,TP40_SL20,15,20.0,0.5,-8.0,-120.0
NQ,breakout,PriorRTHLow,09:45-10:00,TP40_SL20,11,18.2,0.44,-9.09,-120.0
NQ,breakout,GlobexLow,10:00-10:30,TP40_SL20,18,16.7,0.4,-10.0,-240.0
NQ,reject,GlobexHigh,14:00-close,TP40_SL20,17,17.6,0.37,-8.75,-210.0
NQ,reject,OR15Low,09:30-09:45,TP40_SL20,128,14.8,0.35,-10.99,-1447.25
NQ,reject,OR15Low,09:30-09:45,TP25_SL12,128,14.1,0.34,-6.8,-858.0
NQ,breakout,PriorRTHLow,12:00-14:00,TP25_SL12,10,10.0,0.23,-8.3,-108.0
NQ,breakout,PriorRTHLow,12:00-14:00,TP40_SL20,10,10.0,0.22,-14.0,-180.0
NQ,breakout,GlobexHigh,09:45-10:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,breakout,GlobexHigh,09:45-10:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
NQ,breakout,GlobexHigh,10:30-11:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,breakout,GlobexHigh,10:30-11:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
NQ,breakout,GlobexHigh,11:00-12:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,breakout,GlobexHigh,11:00-12:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
