symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,long,275.06,275.73,sl,-0.0003,30,0.9333333333333949,expanded,1.6352010715310776,19,85,boof22
AAPL,short,275.11,275.26,sl,-0.0003,30,1.1751824817516234,expanded,1.530207028009672,9,85,boof22
AAPL,short,275.87,275.335,tp,0.0005,30,0.7503999999999473,expanded,1.5646863184576847,14,95,boof22
AAPL,short,275.37,274.23,tp,0.0005,30,0.9333333333331044,expanded,1.2297934623516018,43,85,boof22
AAPL,long,274.74,273.76,tp,0.0005,30,0.7850467289718236,expanded,0.9978011932849925,166,80,boof22
AAPL,short,273.56,272.61,tp,0.0005,30,1.0968660968660444,expanded,1.2674863150577809,172,85,boof22
AAPL,short,273.0,272.46,tp,0.0005,30,0.7397260273971756,expanded,0.8532204973088385,110,80,boof22
AAPL,short,272.96,272.935,sl,-0.0003,30,0.6086956521738068,expanded,0.9132635206073169,110,80,boof22
AAPL,short,272.92,273.68,tp,0.0005,30,0.6037735849055342,expanded,1.2740132188523072,24,95,boof22
AAPL,long,273.495,267.9,tp,0.0005,30,0.7682926829265423,expanded,0.8814055058200431,83,80,boof22
AAPL,long,267.97,269.18,tp,0.0005,30,1.089494163424137,expanded,1.4096633203297178,4,80,boof22
AAPL,short,271.37,272.26,sl,-0.0003,30,0.842751842751848,expanded,1.491118491209896,36,85,boof22
AAPL,short,272.495,273.0,sl,-0.0003,30,0.7179487179486697,expanded,1.4118736257377618,161,95,boof22
AAPL,short,272.475,272.7,tp,0.0005,30,1.072992700729841,expanded,1.7807585568917668,161,85,boof22
AAPL,long,271.395,271.0,tp,0.0005,30,0.7015945330296838,expanded,1.0383433155347488,5,85,boof22
AAPL,long,270.75,271.74,tp,0.0005,30,0.7124681933844569,expanded,2.135765566201393,30,95,boof22
AAPL,long,270.735,271.86,tp,0.0005,30,1.0500000000002387,expanded,1.7199910504530709,30,85,boof22
AAPL,short,271.79,272.525,tp,0.0005,30,0.6363636363634514,expanded,0.8295585839492983,67,80,boof22
AAPL,long,272.26,272.305,tp,0.0005,30,0.9019607843138415,expanded,1.5048944746263424,31,85,boof22
AAPL,short,272.49,271.825,sl,-0.0003,30,0.948509485094837,expanded,2.957659178831727,161,85,boof22
AAPL,long,271.905,271.415,tp,0.0005,30,0.6395939086295366,expanded,1.002353761659838,33,85,boof22
AAPL,long,271.79,271.72,tp,0.0005,30,0.6821705426357371,expanded,0.9836690415457238,67,80,boof22
AAPL,short,271.785,271.96,tp,0.0005,30,0.7974683544302497,expanded,1.5336638497064252,2,85,boof22
AAPL,long,271.39,271.41,tp,0.0005,30,0.6823529411763798,expanded,0.963381878810884,5,80,boof22
AAPL,long,271.1,271.205,tp,0.0005,30,0.7747035573121858,expanded,2.238986985857206,52,95,boof22
AAPL,short,271.42,271.03,sl,-0.0003,30,0.7648456057007664,expanded,0.8211283592237801,5,80,boof22
AAPL,short,270.64,273.17,tp,0.0005,30,0.752988047808717,expanded,1.2918781472137888,7,95,boof22
