symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,strategy
NVDA,long,165.05,165.13252500000002,tp,0.000500000000000024,30746,0.6660754106072192,expanded,boof22
NVDA,long,167.42,167.50370999999998,tp,0.0004999999999999785,30762,1.7304616573404958,core,boof22
NVDA,short,173.39,173.303305,tp,0.0004999999999999524,30957,0.6254097593608942,expanded,boof22
NVDA,long,173.02,173.10651000000001,tp,0.0005000000000000235,30973,0.8289194588331874,expanded,boof22
NVDA,short,173.475,173.3882625,tp,0.0004999999999999893,30976,0.8096583727885595,expanded,boof22
NVDA,short,173.92,173.972176,sl,-0.0003000000000000166,31093,0.9573508438339208,expanded,boof22
NVDA,long,173.62,173.70681,tp,0.0004999999999999172,31100,0.6264617981411053,expanded,boof22
NVDA,short,174.175,174.08791250000002,tp,0.0004999999999999744,31115,0.6895545944960688,expanded,boof22
NVDA,short,174.43,174.34278500000002,tp,0.0004999999999999213,31142,0.9203302388337636,expanded,boof22
NVDA,long,175.36,175.44768,tp,0.000499999999999872,31164,1.5714966374200838,core,boof22
NVDA,short,176.685,176.73800549999999,sl,-0.000299999999999906,31293,1.180526303066167,expanded,boof22
NVDA,short,177.275,177.1863625,tp,0.0005000000000000246,31323,0.7586788025379202,expanded,boof22
NVDA,long,177.115,177.0618655,sl,-0.0002999999999999929,31327,1.1754269134692157,expanded,boof22
NVDA,short,176.965,176.8765175,tp,0.0004999999999999875,31380,0.8351021680760187,expanded,boof22
NVDA,long,175.005,175.0925025,tp,0.0004999999999999964,31458,1.07619518349232,expanded,boof22
NVDA,long,175.87,175.957935,tp,0.0004999999999999286,31528,0.6376896456753262,expanded,boof22
NVDA,long,171.96,171.90841200000003,sl,-0.00029999999999989004,31572,0.9462980615706077,expanded,boof22
NVDA,short,176.17,176.081915,tp,0.0004999999999998763,31628,0.7665242199927046,expanded,boof22
NVDA,short,176.18,176.09191,tp,0.000499999999999966,31727,0.8955244835618104,expanded,boof22
NVDA,long,176.13,176.077161,sl,-0.00030000000000003326,31747,1.611946297230236,core,boof22
NVDA,short,176.51,176.421745,tp,0.0005000000000000213,31751,1.0965852068229422,expanded,boof22
NVDA,long,176.66,176.74832999999998,tp,0.0004999999999999147,31809,1.0913349587182537,expanded,boof22
NVDA,long,176.25,176.338125,tp,0.0004999999999999484,31823,0.9503792624195199,expanded,boof22
NVDA,short,176.71,176.763013,sl,-0.00029999999999995964,31865,0.7341865428276307,expanded,boof22
NVDA,short,176.955,177.00808650000002,sl,-0.0003000000000000353,31882,0.9478039175266341,expanded,boof22
NVDA,short,177.25,177.30317499999998,sl,-0.00029999999999989714,31941,1.2546411657435728,expanded,boof22
