symbol,n,tpd,wr,pf,ev,avg_mfe,med_mfe
APP,192,2.4,0.3333333333333333,0.7428289963341164,-0.0005809301231134769,0.9414971037663648,0.696036569608918
MSTR,256,2.694736842105263,0.33203125,0.7217270735785047,-0.0006252857017595627,0.9202976780897286,0.6426751816839416
AFRM,144,2.057142857142857,0.4027777777777778,0.7729205072216088,-0.0004553014075480454,1.005405883146019,0.7165880220122874
RDDT,167,2.2266666666666666,0.3712574850299401,0.7581088607797509,-0.0005170966269558618,0.863127384169721,0.7029621758067645
HOOD,184,2.329113924050633,0.34782608695652173,0.7510751965619942,-0.0005357798395621225,0.7725501312410824,0.5850601361031357
NET,132,2.0,0.3787878787878788,0.8447820421022588,-0.00032187209006295423,0.8115546684845139,0.6778922419524961
AMD,139,2.1384615384615384,0.33093525179856115,0.6681739610469173,-0.0007366670983256535,0.7028128816148439,0.5120974733456255
DDOG,119,1.859375,0.3697478991596639,0.7838995256907679,-0.00045595545843061456,0.6861674241781527,0.5086903675183725
SHOP,133,1.9850746268656716,0.3082706766917293,0.6218065510710431,-0.0008894654949246444,0.6907292847181029,0.5320702824864081
PLTR,142,2.1515151515151514,0.3732394366197183,0.7750753142524816,-0.00045401420714681693,0.6680202876304645,0.42947239151526173
CRWD,111,1.85,0.32432432432432434,0.6798239466239141,-0.0007355395820801976,0.5926700958987532,0.46929749871614046
SMCI,164,2.1866666666666665,0.34146341463414637,0.7587838366029361,-0.000532905030285584,0.912790593897117,0.5815477374609681
ARM,125,1.9230769230769231,0.352,0.7266323571776522,-0.000597671519725001,0.8356713013723952,0.5053777324463247
COIN,204,2.372093023255814,0.31862745098039214,0.5857798368115816,-0.0009596100447198359,0.7206858381102269,0.5452533766724298
TSLA,110,1.6923076923076923,0.33636363636363636,0.7833718586809402,-0.0004354449753216754,0.5324103833121436,0.3425550923718109
NVDA,83,1.5660377358490567,0.3132530120481928,0.44835988406841865,-0.0012019585640616142,0.38843519591466397,0.30407017959323973
META,55,1.4864864864864864,0.4727272727272727,1.136464391291512,0.00021883005573741288,0.47570216380247304,0.295655133666394
AMZN,54,1.2857142857142858,0.37037037037037035,0.7169544058396823,-0.0005320269267510071,0.4055207317275678,0.29823760079347594
NFLX,61,1.4523809523809523,0.3114754098360656,0.4633709194899919,-0.0011253440222485191,0.365319088363657,0.22275983874498134
AVGO,102,1.9615384615384615,0.35294117647058826,0.6650551843618112,-0.0007181317510447021,0.5565657013180295,0.48133043235541334
UBER,72,1.469387755102041,0.375,0.8575795015452252,-0.00027684265422697513,0.5138269522598755,0.36701762307498254
DASH,102,1.7,0.28431372549019607,0.45824053562213796,-0.0013030676699457345,0.5581437817029702,0.3885318997190838
ABNB,57,1.5833333333333333,0.3508771929824561,0.5407531554936057,-0.0009635713288789784,0.4012639242744244,0.28700882095130786
PANW,73,1.553191489361702,0.410958904109589,1.0070794215789984,1.3691524318678787e-05,0.5666083078807858,0.4658047326628928
SNOW,146,2.085714285714286,0.3767123287671233,0.8189723528384696,-0.00037446909205481944,1.1172277657973324,0.6061453078654176
MDB,125,1.838235294117647,0.384,0.8885764477933341,-0.00022500555410449324,0.7863851913508182,0.580877479255654
ZS,100,1.8181818181818181,0.36,0.7279897613379811,-0.0005840165135152941,0.6533850403987665,0.5015371199443347
MRVL,152,2.1714285714285713,0.3157894736842105,0.6786903642880459,-0.0007291594082685674,0.8559722971937819,0.575299769926829
MU,170,2.236842105263158,0.4411764705882353,1.0485611507311303,9.22661863891483e-05,1.0299398513156581,0.665371776984445
QCOM,83,1.6938775510204083,0.4457831325301205,1.1548670462125314,0.0002734259921017867,0.8467113293667586,0.6086009800025644
