sym,date,level,entry_time,gap_pct,gapped_up,open_above,max_30m,max_1hr,max_2hr,max_3hr,max_eod,ret_30m,ret_1hr,ret_2hr,ret_3hr,ret_eod,rr_1_05,rr_2_1
AAPL,2026-06-05,PMH,09:31,0.524,True,False,0.172,0.385,0.385,0.385,0.385,-0.213,-0.056,-0.032,-0.627,-2.093,False,False
AAPL,2026-06-08,PDH,10:59,0.439,True,False,0.029,0.029,0.029,0.676,0.676,-0.425,-0.527,-0.561,-2.162,-4.342,False,False
AAPL,2026-06-15,PDH,11:42,1.02,True,False,0.209,0.209,0.209,0.209,0.209,0.029,-0.072,-0.165,-0.374,-0.219,False,
AAPL,2026-06-15,PMH,09:40,1.02,True,False,0.285,0.414,0.612,0.902,0.902,0.18,0.165,0.585,0.665,0.472,,
ABBV,2025-12-17,PMH,11:23,0.112,True,False,0.221,0.221,0.221,0.221,0.221,0.027,-0.058,-0.367,0.137,-0.664,False,
ABBV,2025-12-18,PMH,09:31,-0.183,False,False,0.519,0.535,0.804,0.804,0.804,-0.145,0.526,0.376,-0.009,-0.706,False,
ABBV,2025-12-19,PDH,10:14,0.034,False,False,0.42,0.495,0.495,0.495,1.392,0.3,0.133,0.004,-0.022,0.177,True,
ABBV,2025-12-19,PMH,09:31,0.034,False,False,1.042,1.352,1.686,1.686,2.593,1.019,1.225,1.404,1.464,1.364,False,True
ABBV,2025-12-22,PMH,09:31,-0.269,False,False,0.071,0.071,0.22,0.679,0.793,-0.831,-0.388,0.214,0.628,0.454,False,False
ABBV,2025-12-23,PDH,09:35,0.149,True,False,0.839,0.883,0.883,0.883,0.883,0.673,0.568,0.616,0.197,0.004,,
ABBV,2025-12-23,PMH,09:31,0.149,True,False,0.954,0.998,0.998,0.998,0.998,0.726,0.379,0.694,0.272,0.118,,
ABBV,2025-12-26,PMH,09:33,-0.03,False,True,0.289,0.289,0.289,0.289,0.289,0.126,-0.009,-0.274,-0.491,0.052,False,
ABBV,2025-12-29,PDH,09:42,0.039,False,False,0.583,0.583,0.583,0.583,0.583,0.412,0.23,0.247,0.195,0.078,,
ABBV,2025-12-29,PMH,10:03,0.039,False,False,0.492,0.492,0.492,0.492,0.492,0.162,0.308,0.169,0.191,-0.013,,
ABBV,2025-12-31,PMH,09:41,-0.009,False,False,-0.007,-0.007,-0.007,-0.007,0.028,-0.376,-0.435,-0.254,-0.167,-0.723,False,
ABBV,2026-01-02,PDH,11:08,0.118,True,False,0.191,0.191,0.191,0.191,0.191,-0.384,-0.341,-0.588,-0.393,-0.426,False,
ABBV,2026-01-02,PMH,09:59,0.118,True,True,0.341,0.529,0.936,0.936,0.936,0.284,0.483,0.451,0.327,0.315,,
ABBV,2026-01-06,PMH,09:33,-0.195,False,False,1.098,1.098,1.098,1.098,1.123,0.573,0.158,0.135,0.029,0.997,True,
ABBV,2026-01-12,PMH,09:49,0.503,True,False,0.588,0.588,0.588,0.588,0.588,0.109,-0.181,-0.814,-1.103,-0.497,False,False
ABBV,2026-01-14,PDH,10:49,0.19,True,True,0.525,0.619,0.619,0.619,0.738,0.491,-0.498,-0.713,-0.215,0.507,False,False
ABBV,2026-01-14,PMH,09:31,0.19,True,False,0.686,0.771,0.771,0.771,0.771,0.217,0.162,-2.021,-1.169,0.153,False,False
ABBV,2026-01-16,PMH,11:09,-0.531,False,False,0.539,0.539,0.539,0.539,0.539,0.227,-0.59,-0.761,-0.509,-0.86,False,False
ABBV,2026-01-21,PDH,09:43,-0.701,False,False,0.973,1.585,1.781,1.781,1.781,0.819,1.352,0.591,0.544,0.917,True,
ABBV,2026-01-21,PMH,09:43,-0.701,False,False,0.973,1.585,1.781,1.781,1.781,0.819,1.352,0.591,0.544,0.917,True,
ABBV,2026-01-22,PDH,10:27,0.06,False,False,0.461,0.461,0.461,0.461,0.461,0.076,0.213,0.057,0.172,0.025,,
ABBV,2026-01-22,PMH,10:07,0.06,False,False,0.799,0.896,0.896,0.896,0.896,0.753,0.652,0.389,0.645,0.458,,
ABBV,2026-01-23,PDH,09:43,-0.385,False,False,0.292,0.292,0.292,0.292,0.292,-0.201,-0.579,-0.258,-0.632,0.036,False,
ABBV,2026-01-23,PMH,09:35,-0.385,False,False,0.978,0.978,0.978,0.978,0.978,0.519,0.216,0.271,0.06,0.721,,
ABBV,2026-01-26,PDH,09:33,-0.068,False,False,0.74,0.74,0.74,0.74,0.74,-0.041,0.03,0.064,0.171,0.4,,
ABBV,2026-01-26,PMH,09:34,-0.068,False,False,0.534,0.534,0.534,0.534,0.534,-0.243,-0.104,-0.132,-0.01,0.195,False,
ABBV,2026-01-27,PDH,09:31,0.068,False,False,0.541,1.415,2.198,2.198,2.198,0.23,1.412,1.297,1.095,0.874,True,True
ABBV,2026-01-29,PMH,09:35,-0.311,False,False,0.526,0.692,1.422,1.422,2.0,0.321,0.457,1.231,0.894,0.275,True,True
ABBV,2026-01-30,PMH,09:48,0.073,False,True,0.39,0.39,0.54,0.54,1.573,-0.007,-0.19,0.338,0.159,1.111,True,
ABBV,2026-02-03,PMH,09:38,-0.771,False,False,0.996,1.217,1.217,1.217,1.217,0.89,0.038,0.589,-0.35,-0.173,True,
ABBV,2026-02-05,PMH,09:35,0.009,False,False,0.609,0.609,0.609,0.609,0.609,-0.702,-0.75,-1.487,-0.561,0.073,False,False
ABBV,2026-02-06,PDH,09:31,0.023,False,False,0.345,1.253,1.843,2.534,2.534,0.023,1.23,1.75,1.317,1.439,False,True
