symbol,direction,slack,timestamp,compression,impulse,spike,early_move_score,hit_0.5_15,pnl_0.5_15,win_0.5_15,score_bucket
AAPL,short,0.6913580246913553,2026-05-29 14:42:00+00:00,0.0,0.6173469387750241,0.43579000421202174,0.3776757767736162,True,0.5,True,0.2-0.4
AAPL,short,0.7335562987737119,2026-05-29 14:54:00+00:00,0.26250000000000956,0.46355817111824416,0.17382662406180927,0.31632125566584335,True,0.5,True,0.2-0.4
AAPL,short,0.6163522012579267,2026-05-29 15:37:00+00:00,0.1863354037266652,1.0,0.24752917858851564,0.5301593746945542,False,0.26290899180813837,False,0.4-0.6
AAPL,short,0.7991543340379789,2026-05-29 16:35:00+00:00,0.1472392638036767,0.16598079561048878,0.29949593201143276,0.20041287698872834,False,0.0722322990738287,False,0.2-0.4
AAPL,long,0.7811158798283042,2026-05-29 16:38:00+00:00,0.027027027027079042,0.25,1.0,0.4081081081081237,False,-0.15409309791332848,False,0.4-0.6
AAPL,short,0.7974683544301662,2026-05-29 17:16:00+00:00,0.0,0.8919753086420416,0.6723712955824537,0.5585015121315527,False,0.06438735432360718,False,0.4-0.6
AAPL,short,0.682926829268156,2026-05-29 17:31:00+00:00,0.6206896551724094,0.0,0.4406894546106037,0.31841373293490394,False,0.12240887786493002,False,0.2-0.4
AAPL,long,0.768292682927134,2026-05-29 17:51:00+00:00,0.1864406779658617,0.0030864197530786224,0.2824207763721316,0.14189300420262943,False,0.016135798883406386,False,0-0.2
AAPL,long,0.7142857142858634,2026-05-29 18:15:00+00:00,0.402877697841822,0.0,0.49469741340049844,0.26927253337269613,False,0.048371493066745326,False,0.2-0.4
AAPL,short,0.6064981949458007,2026-05-29 18:45:00+00:00,0.0,0.250000000000406,0.23121911522464422,0.16936573456755566,False,0.003219782342710704,False,0-0.2
AAPL,long,0.7650273224045521,2026-05-29 19:22:00+00:00,0.0,0.0,1.0,0.3,False,0.20252676246503856,False,0.2-0.4
AAPL,long,0.7777777777778204,2026-05-29 19:31:00+00:00,0.1468531468530184,0.04280618311543398,0.8223931537576004,0.3078963634293592,False,0.09309492472152434,False,0.2-0.4
AAPL,short,0.6397849462367695,2026-05-29 19:40:00+00:00,0.028985507246350586,0.19140624999990286,1.0,0.38525815217386633,False,-0.29178824510211565,False,0.2-0.4
