date,side,entry_dist,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.60%,hit_+0.75%,hit_+1.00%
2026-02-12,long,0.6373785288016155,0.057,0.0995,0.057,0.1682,0.0717,0.1682,False,False,False,False,False
2026-02-12,long,0.6868048787551175,0.06,0.082,0.1061,0.082,0.1061,0.1201,False,False,False,False,False
2026-02-12,long,0.4875327679551865,0.1579,0.0219,0.2091,0.0219,0.2281,0.0219,False,False,False,False,False
2026-02-13,short,0.442906892543245,0.1095,0.0073,0.1095,0.0803,0.1095,0.0803,False,False,False,False,False
2026-02-13,short,0.5174445095299827,0.132,0.0467,0.132,0.0467,0.132,0.0467,False,False,False,False,False
2026-02-17,long,0.45493997241791106,0.0457,0.1771,0.0885,0.2051,0.1328,0.2051,False,False,False,False,False
2026-02-17,long,0.4039635756766228,0.0724,0.099,0.0724,0.105,0.2543,0.105,True,False,False,False,False
2026-02-17,short,0.4193223412304768,0.026,0.1203,0.026,0.1745,0.026,0.2171,False,False,False,False,False
2026-02-17,short,0.441655977317529,0.0835,0.0396,0.1531,0.0396,0.1538,0.0396,False,False,False,False,False
2026-02-17,short,0.4804512919428549,0.0088,0.1061,0.0088,0.1061,0.0088,0.1844,False,False,False,False,False
2026-02-17,short,0.5896308791876004,0.0658,0.0723,0.0658,0.0723,0.0658,0.0723,False,False,False,False,False
2026-02-17,short,0.5901370577880738,0.095,0.0175,0.1023,0.0175,0.1023,0.0541,False,False,False,False,False
2026-02-18,short,0.4380111483115257,0.1424,0.0233,0.1424,0.061,0.1424,0.072,False,False,False,False,False
2026-02-18,short,0.4026190624690599,0.1264,0.0138,0.1293,0.0138,0.1293,0.0138,False,False,False,False,False
2026-02-20,short,0.6533364349185831,0.6459,0.0581,0.6459,0.0581,0.6981,0.0581,True,True,True,False,False
2026-02-20,short,0.42975552417177715,0.0856,0.0218,0.0856,0.045,0.1234,0.045,False,False,False,False,False
2026-02-23,long,0.40870898385219356,0.1022,0.0511,0.1022,0.073,0.1022,0.073,False,False,False,False,False
2026-02-23,long,0.41946177983196303,0.098,0.0278,0.098,0.0673,0.098,0.0673,False,False,False,False,False
2026-02-23,long,0.5027425443652958,0.063,0.0586,0.063,0.2124,0.063,0.2871,False,False,False,False,False
2026-02-23,long,0.6491404321597295,0.0147,0.0881,0.0147,0.113,0.0396,0.1437,False,False,False,False,False
2026-02-23,long,0.40345501449446575,0.0836,0.0147,0.0851,0.0147,0.0851,0.044,False,False,False,False,False
2026-02-24,short,0.4154895660133819,0.0342,0.0498,0.0772,0.0498,0.0772,0.0547,False,False,False,False,False
2026-02-24,short,0.4012162267643307,0.0073,0.0451,0.0189,0.0451,0.0189,0.0553,False,False,False,False,False
2026-02-24,short,0.4293477515623614,0.0487,0.0036,0.0555,0.0036,0.0749,0.0036,False,False,False,False,False
2026-02-24,short,0.40002465704887524,0.0559,0.0022,0.0559,0.0022,0.0559,0.0691,False,False,False,False,False
2026-02-24,short,0.4312665549624413,0.0509,0.0305,0.0698,0.0305,0.0785,0.0305,False,False,False,False,False
2026-02-26,long,0.41985918564491675,0.0029,0.3926,0.0029,0.4475,0.0029,0.4753,False,False,False,False,False
2026-02-26,long,0.40228181167033616,0.1007,0.0321,0.1007,0.0321,0.1007,0.0409,False,False,False,False,False
2026-02-26,long,0.4250573787002858,0.0599,0.038,0.0803,0.038,0.1182,0.038,False,False,False,False,False
2026-03-02,short,0.41254711329754895,0.0978,0.0781,0.0978,0.0832,0.1898,0.0832,False,False,False,False,False
2026-03-02,short,0.41608732903810924,0.0787,0.1166,0.0787,0.1195,0.0787,0.1195,False,False,False,False,False
2026-03-02,short,0.46860095647957983,0.0277,0.0306,0.0538,0.0378,0.1041,0.0378,False,False,False,False,False
2026-03-02,short,0.43647001355309684,0.0015,0.128,0.0015,0.128,0.0015,0.1775,False,False,False,False,False
2026-03-02,short,0.5683123091359553,0.0392,0.0187,0.0392,0.032,0.0625,0.032,False,False,False,False,False
2026-03-03,long,0.4054778405226508,0.035,0.1714,0.035,0.2027,0.1273,0.2027,False,False,False,False,False
2026-03-03,short,0.517286021573726,0.2158,0.0,0.2794,0.003,0.2794,0.003,True,False,False,False,False
2026-03-03,short,0.5978863201579752,0.0546,0.1609,0.0546,0.1609,0.0679,0.1609,False,False,False,False,False
2026-03-03,short,0.6984347431057716,0.1976,0.0029,0.2079,0.0029,0.2698,0.0029,True,False,False,False,False
2026-03-03,short,0.6710740079570783,0.0744,0.0273,0.0744,0.0464,0.1437,0.0464,False,False,False,False,False
2026-03-03,short,0.7631090067802333,0.0015,0.1354,0.0015,0.156,0.0015,0.2429,False,False,False,False,False
2026-03-04,short,0.4127097227729557,0.0,0.1621,0.0,0.219,0.0,0.219,False,False,False,False,False
2026-03-04,short,0.407787156515405,0.0903,0.0554,0.2535,0.0554,0.2812,0.0554,True,False,False,False,False
2026-03-05,long,0.4275820733651039,0.0779,0.1499,0.1205,0.1499,0.2161,0.1499,False,False,False,False,False
2026-03-05,long,0.4226681137318608,0.1391,0.0383,0.1391,0.0589,0.1391,0.0589,False,False,False,False,False
2026-03-05,long,0.43933180057997734,0.0435,0.1872,0.0435,0.2108,0.0435,0.2432,False,False,False,False,False
2026-03-05,long,0.677273572599374,0.1345,0.0636,0.1345,0.0636,0.1375,0.0636,False,False,False,False,False
2026-03-05,long,0.5239170796033278,0.0388,0.1211,0.0388,0.1787,0.0388,0.1905,False,False,False,False,False
2026-03-06,short,0.40953145948274294,0.0519,0.1497,0.0519,0.1727,0.1245,0.1727,False,False,False,False,False
2026-03-06,short,0.4064097673940165,0.0859,0.0429,0.0859,0.1096,0.154,0.1096,False,False,False,False,False
2026-03-06,short,0.40520009087628917,0.111,0.0207,0.145,0.0207,0.2537,0.0207,True,False,False,False,False
2026-03-09,short,0.42231018559090083,0.0659,0.0899,0.0659,0.1056,0.0659,0.1213,False,False,False,False,False
2026-03-09,short,0.529261714140232,0.1196,0.0135,0.1196,0.0329,0.1196,0.1062,False,False,False,False,False
2026-03-09,short,0.5832568378881612,0.13,0.0164,0.13,0.0926,0.13,0.1046,False,False,False,False,False
2026-03-09,short,0.5334602358795449,0.0492,0.0358,0.0717,0.0911,0.0717,0.0911,False,False,False,False,False
2026-03-09,short,0.7451184946915932,0.245,0.0097,0.245,0.0097,0.245,0.0171,False,False,False,False,False
2026-03-10,short,0.44947005439302135,0.0838,0.036,0.0838,0.0985,0.0838,0.1514,False,False,False,False,False
2026-03-10,short,0.4815251286166981,0.0062,0.0702,0.0062,0.1474,0.0319,0.1474,False,False,False,False,False
2026-03-10,short,0.4552710519540323,0.0367,0.0455,0.0543,0.0455,0.1116,0.0455,False,False,False,False,False
2026-03-10,short,0.471757862502157,0.1306,0.0337,0.1306,0.0337,0.1306,0.0337,False,False,False,False,False
2026-03-10,short,0.43481547018950817,0.0176,0.0425,0.0176,0.1348,0.0425,0.1348,False,False,False,False,False
2026-03-11,long,0.42343089670787765,0.1261,0.0326,0.1438,0.0326,0.1438,0.0475,False,False,False,False,False
2026-03-11,long,0.40813572344907295,0.0341,0.092,0.1157,0.092,0.1157,0.092,False,False,False,False,False
2026-03-11,long,0.42759050321088043,0.0371,0.0549,0.0386,0.0623,0.0861,0.0623,False,False,False,False,False
2026-03-11,long,0.4035423532309983,0.2093,0.0,0.2108,0.0,0.3266,0.0,True,False,False,False,False
2026-03-13,long,0.4227868774150986,0.0824,0.114,0.0824,0.2774,0.0824,0.3358,False,False,False,False,False
2026-03-13,long,0.6259852836417955,0.0684,0.0902,0.0684,0.1097,0.233,0.1097,False,False,False,False,False
2026-03-13,long,0.555999479889661,0.0181,0.0707,0.0812,0.0707,0.0812,0.1233,False,False,False,False,False
2026-03-13,long,0.6892969695933817,0.2623,0.0226,0.2623,0.0226,0.2623,0.0482,True,False,False,False,False
2026-03-13,long,0.5371274103024535,0.165,0.0,0.2275,0.0,0.2351,0.0,False,False,False,False,False
2026-03-18,long,0.4012723261496186,0.0376,0.128,0.0376,0.152,0.0677,0.152,False,False,False,False,False
2026-03-18,long,0.51740527429561,0.0272,0.0453,0.0361,0.0558,0.0361,0.0724,False,False,False,False,False
2026-03-19,short,0.409713343937077,0.053,0.4302,0.053,0.4302,0.053,0.4302,False,False,False,False,False
2026-03-20,long,0.5903219211782303,0.1572,0.0262,0.1572,0.0262,0.1572,0.1033,False,False,False,False,False
2026-03-20,long,0.599462057923893,0.0278,0.0925,0.0278,0.0964,0.0278,0.1311,False,False,False,False,False
2026-03-20,long,0.6279333057987712,0.0417,0.0903,0.0417,0.0903,0.0417,0.0903,False,False,False,False,False
2026-03-20,long,0.7524981941904231,0.0015,0.2861,0.0665,0.2861,0.0665,0.2861,False,False,False,False,False
2026-03-23,short,0.40582023381452137,0.0967,0.1058,0.1844,0.1058,0.2116,0.1058,False,False,False,False,False
2026-03-23,short,0.44651755992778175,0.0868,0.0226,0.0868,0.0226,0.1547,0.0226,False,False,False,False,False
2026-03-23,long,0.4582169888347757,0.0662,0.1226,0.0845,0.1226,0.1515,0.1226,False,False,False,False,False
2026-03-23,long,0.48051146108983683,0.0274,0.1143,0.0274,0.192,0.0274,0.3338,False,False,False,False,False
2026-03-23,long,0.5198221731635356,0.1083,0.0496,0.1083,0.0809,0.1282,0.0809,False,False,False,False,False
2026-03-23,long,0.5481169293270068,0.0717,0.1175,0.084,0.1175,0.1298,0.1175,False,False,False,False,False
2026-03-24,short,0.446049244712814,0.1121,0.0496,0.1121,0.1502,0.1121,0.1502,False,False,False,False,False
2026-03-24,short,0.5420302772015047,0.3075,0.0,0.3851,0.0,0.4003,0.0,True,False,False,False,False
