symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_dollar,slack,regime,result,max_adverse_excursion,max_favorable_excursion
AAPL,2022-01-03 13:00:00+00:00,2022-01-03 13:05:00+00:00,short,178.24,178.37,-0.0007293536804308542,-1.2323384201077134,1.5305476752101528,chop,loss,0.0007293536804308542,0.0
AAPL,2022-01-03 15:34:00+00:00,2022-01-03 16:05:00+00:00,short,180.9699,180.785,0.0010217168711481796,-0.7945707822129551,0.6207738615683182,trend,loss,0.001437808165888347,0.001988728512310511
AAPL,2022-01-03 16:06:00+00:00,2022-01-03 16:22:00+00:00,short,180.7699,181.15,-0.0021026730666997037,-1.575668266674926,0.6314698565254485,trend,loss,0.002213310954976357,0.0012717825257413699
AAPL,2022-01-03 16:48:00+00:00,2022-01-03 17:19:00+00:00,short,181.615,181.5501,0.00035734933788521224,-0.960662665528697,0.815067209594562,normal,loss,0.0008451945048590687,0.002340115078600398
AAPL,2022-01-03 18:13:00+00:00,2022-01-03 18:25:00+00:00,short,182.0201,182.23,-0.0011531693477806913,-1.3382923369451727,0.7201422720621405,trend,loss,0.001208108335288221,0.00019283584615105643
AAPL,2022-01-03 19:18:00+00:00,2022-01-03 19:49:00+00:00,short,182.2338,182.045,0.0010360317350569144,-0.7909920662357715,0.6556857514634921,trend,loss,0.00030839503977851424,0.0023804585098921873
AAPL,2022-01-03 20:14:00+00:00,2022-01-03 20:41:00+00:00,short,182.1399,181.56,0.00318381639607801,-0.2540459009804975,0.6145647792730776,trend,loss,5.54518806697172e-05,0.00318381639607801
AAPL,2022-01-03 22:58:00+00:00,2022-01-03 23:37:00+00:00,short,182.11,182.0,0.0006040305309978235,-0.8989923672505441,1.598381434338964,trend,loss,0.00043929493163463886,0.0006040305309978235
AAPL,2022-01-03 23:50:00+00:00,2022-01-04 00:01:00+00:00,short,182.01,181.83,0.0009889566507333576,-0.8027608373166606,1.197784822748579,normal,loss,0.00016482610845558563,0.0009889566507333576
AAPL,2022-01-04 13:15:00+00:00,2022-01-04 13:46:00+00:00,short,182.81,182.71,0.0005470160275695767,-0.9132459931076058,0.7742430157026274,chop,loss,0.0004923144248126656,0.001203435260653131
