symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,strategy,zz_trend
AMD,short,357.28,357.10136,tp,0.0004999999999999245,38516,1.0929840514791145,core,boof23,down
AMD,long,354.125,354.3020625,tp,0.0004999999999999345,38529,1.502479378612286,core,boof23,down
AMD,short,350.05,349.874975,tp,0.0005000000000000145,38535,0.6138250592608997,expanded,boof23,down
AMD,short,424.19,423.977905,tp,0.0004999999999999448,38593,1.168801115667647,core,boof23,up
AMD,long,415.51,415.385347,sl,-0.00029999999999991963,38723,1.3131862631836804,core,boof23,up
AMD,short,410.8,410.92324,sl,-0.0003000000000000238,38788,1.6009888116415698,core,boof23,down
AMD,short,412.06,411.85397,tp,0.0004999999999999961,38794,0.6284320902014014,expanded,boof23,up
AMD,long,415.65,415.85782499999993,tp,0.0004999999999998968,38830,1.4336737027370945,core,boof23,up
AMD,short,416.66,416.78499800000003,sl,-0.0003000000000000121,38855,0.6710829807630153,expanded,boof23,up
AMD,short,417.945,418.0703835,sl,-0.0002999999999999954,38864,0.8136109895815011,core,boof23,up
AMD,short,418.78,418.57061,tp,0.0004999999999999639,38954,0.7514636556999581,expanded,boof23,up
AMD,short,417.94,417.73103000000003,tp,0.0004999999999999169,38964,0.7939993045453758,expanded,boof23,up
AMD,long,412.875,413.0814375,tp,0.0004999999999999823,38998,0.8938412068633673,core,boof23,up
AMD,long,411.23,411.435615,tp,0.0004999999999999176,39099,0.8870280092237922,core,boof23,up
AMD,short,404.115,403.91294250000004,tp,0.0004999999999999176,39210,0.86419586809859,core,boof23,up
AMD,long,401.43,401.630715,tp,0.000500000000000006,39214,0.796232773079512,expanded,boof23,up
AMD,short,407.95,408.072385,sl,-0.00030000000000002063,39248,0.6493471110309144,expanded,boof23,down
AMD,long,405.46,405.338362,sl,-0.0002999999999999056,39271,0.8782257144900316,core,boof23,up
AMD,long,405.05,405.252525,tp,0.0004999999999999508,39275,1.136273595838302,core,boof23,up
AMD,short,405.59,405.71167699999995,sl,-0.00029999999999994316,39290,2.1332584379361443,core,boof23,up
AMD,short,408.93,408.72553500000004,tp,0.000499999999999928,39356,1.7840253277798666,core,boof23,up
AMD,short,423.26,423.04837000000003,tp,0.0004999999999998982,39368,1.003969905316386,core,boof23,up
AMD,short,430.1,430.22903,sl,-0.00030000000000000046,39376,0.8957175846934722,core,boof23,up
AMD,long,435.36,435.229392,sl,-0.0002999999999999889,39455,0.6023423852026831,expanded,boof23,down
AMD,short,436.715,436.4966425,tp,0.0004999999999999263,39462,0.7820673319726783,expanded,boof23,up
AMD,short,438.38,438.16081,tp,0.0004999999999999295,39493,1.0632776040686078,core,boof23,down
AMD,short,442.97,442.74851500000005,tp,0.0004999999999999386,39513,2.118557966290572,core,boof23,down
AMD,short,441.96,441.73902,tp,0.0004999999999999939,39530,1.035436986145305,core,boof23,up
AMD,short,445.585,445.3622075,tp,0.0004999999999999296,39549,0.7726558418546491,expanded,boof23,down
AMD,long,444.0,444.222,tp,0.0004999999999999549,39552,1.1112577453050145,core,boof23,up
AMD,short,444.745,444.52262750000006,tp,0.0004999999999998853,39577,0.7191948938186765,expanded,boof23,up
AMD,short,444.45,444.583335,sl,-0.00029999999999997346,39601,2.512498760375724,core,boof23,down
AMD,long,445.96,446.18297999999993,tp,0.0004999999999998879,39652,0.6189653192960985,expanded,boof23,down
AMD,short,455.09,455.226527,sl,-0.0003000000000000021,39749,0.9528135563284479,core,boof23,up
AMD,long,460.4,460.63019999999995,tp,0.0004999999999999305,39766,1.4588672782831806,core,boof23,down
AMD,long,462.065,462.29603249999997,tp,0.0004999999999999337,39899,0.6710728511106755,expanded,boof23,down
AMD,short,466.6,466.36670000000004,tp,0.0004999999999999692,40022,1.2014797780811457,core,boof23,down
AMD,long,464.95,465.18247499999995,tp,0.0004999999999999255,40087,1.3165443589200405,core,boof23,up
AMD,long,451.305,451.16960850000004,sl,-0.00029999999999993086,40198,0.7682099668326247,expanded,boof23,down
AMD,long,443.965,444.18698249999994,tp,0.0004999999999999264,40240,0.9297688683077868,core,boof23,up
AMD,short,437.64,437.42118,tp,0.0004999999999999858,40268,0.7097431819446379,expanded,boof23,down
AMD,short,437.31,437.09134500000005,tp,0.0004999999999998985,40274,0.8815901712844112,core,boof23,down
AMD,long,427.72,427.93386,tp,0.0004999999999998929,40345,0.7375729781506154,expanded,boof23,up
AMD,short,427.69,427.476155,tp,0.0004999999999999815,40354,1.4754287091441107,core,boof23,down
AMD,short,437.63,437.41118500000005,tp,0.0004999999999998848,40385,0.7254672203479343,expanded,boof23,down
AMD,short,438.75,438.881625,sl,-0.00029999999999996685,40439,1.5615259854239625,core,boof23,up
AMD,short,440.4,440.53211999999996,sl,-0.0002999999999999688,40447,1.5841055056249471,core,boof23,up
AMD,long,440.65,440.870325,tp,0.0005000000000000058,40450,1.1841019911771933,core,boof23,up
AMD,short,440.31,440.089845,tp,0.0004999999999999478,40454,1.0186588884266095,core,boof23,down
AMD,long,437.365,437.5836825,tp,0.0004999999999999998,40468,0.7187266916338901,expanded,boof23,up
AMD,long,439.02,439.23950999999994,tp,0.0004999999999999021,40491,0.6677901426612692,expanded,boof23,down
AMD,long,446.7,446.92334999999997,tp,0.0004999999999999601,40521,0.6705065093128694,expanded,boof23,up
