pnl,slack,tier,result,symbol
100.0,0.7818214489027676,expanded,win,NVDA
-25.0,0.6512342809213543,expanded,loss,NVDA
-50.0,0.8618733116554309,core,loss,NVDA
-25.0,0.795898291460809,expanded,loss,NVDA
-50.0,2.298722817746141,core,loss,NVDA
200.0,2.1660335430737554,core,win,NVDA
-50.0,1.3814201149810168,core,loss,NVDA
100.0,0.7072879365048759,expanded,win,NVDA
-25.0,0.6474473782212719,expanded,loss,NVDA
-25.0,0.6403402414032425,expanded,loss,NVDA
100.0,0.6504257170609217,expanded,win,NVDA
100.0,0.6407532613965631,expanded,win,NVDA
-25.0,0.7327731094336412,expanded,loss,NVDA
-50.0,1.3019741676254644,core,loss,NVDA
100.0,0.7545362392731175,expanded,win,NVDA
100.0,0.6142308419142567,expanded,win,NVDA
-25.0,0.6878108452258667,expanded,loss,NVDA
-50.0,0.8747306388439123,core,loss,NVDA
200.0,0.9035538251746372,core,win,NVDA
-50.0,0.8240019568379775,core,loss,NVDA
-50.0,0.991365758813553,core,loss,NVDA
-50.0,0.9178059353167985,core,loss,NVDA
100.0,0.6628965785302596,expanded,win,NVDA
-25.0,0.6777617191374001,expanded,loss,NVDA
-25.0,0.6781005784078843,expanded,loss,NVDA
200.0,1.1274572432054435,core,win,NVDA
-50.0,0.9248863693067775,core,loss,NVDA
-50.0,1.1125671854335641,core,loss,NVDA
200.0,2.0089694246617213,core,win,NVDA
100.0,0.650850750865406,expanded,win,NVDA
100.0,0.6353169347520967,expanded,win,NVDA
-25.0,0.6840075130424971,expanded,loss,NVDA
-50.0,1.1605422990259904,core,loss,NVDA
100.0,0.732962798967803,expanded,win,NVDA
200.0,0.8484084523877793,core,win,NVDA
200.0,0.8566408869128136,core,win,NVDA
-50.0,1.5162437219810447,core,loss,NVDA
200.0,0.8135467831769261,core,win,NVDA
-25.0,0.7086489930540244,expanded,loss,NVDA
200.0,1.7035852923949353,core,win,NVDA
-25.0,0.6871879993079406,expanded,loss,NVDA
-25.0,0.6845995912422219,expanded,loss,NVDA
200.0,1.069333488279589,core,win,NVDA
-25.0,0.7486881160940555,expanded,loss,NVDA
-50.0,1.3036758707371257,core,loss,NVDA
-25.0,0.6298712765617099,expanded,loss,NVDA
200.0,1.2086259622227378,core,win,NVDA
-25.0,0.7797641034316459,expanded,loss,NVDA
100.0,0.6150636446955478,expanded,win,NVDA
-50.0,1.1194238838884594,core,loss,META
-50.0,1.1161599508903772,core,loss,META
-25.0,0.6352871704677452,expanded,loss,META
-25.0,0.7464579310805467,expanded,loss,META
-25.0,0.7897733324274755,expanded,loss,META
100.0,0.7082732244555806,expanded,win,META
-25.0,0.684835225096684,expanded,loss,META
-50.0,0.8420039354745118,core,loss,META
-50.0,1.2268663637663186,core,loss,META
-50.0,1.0679928577657802,core,loss,META
-50.0,0.8464641138273186,core,loss,META
100.0,0.79248819774751,expanded,win,META
-25.0,0.6579664889134281,expanded,loss,META
-50.0,2.9187704469543254,core,loss,META
-25.0,0.7352342309073856,expanded,loss,META
200.0,0.8666466899765684,core,win,META
-50.0,0.9025474160813369,core,loss,META
200.0,1.1768279043689833,core,win,META
-50.0,0.9397092824990682,core,loss,META
-50.0,2.9234075254378613,core,loss,META
-50.0,1.505298307567934,core,loss,META
-50.0,0.8429248421928932,core,loss,META
100.0,0.6169066878388526,expanded,win,META
-25.0,0.7137979202158006,expanded,loss,META
