symbol,date,time,entry_price,rvol,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m
AAPL,2025-12-18,14:31,271.32,5.746951559043894,0.016106442577030828,0.0013637033760872939,0.016106442577030828,0.0013637033760872939,0.016106442577030828,0.0013637033760872939
AAPL,2026-01-14,14:28,259.31,9.045735320215938,0.0005784582160347741,0.00967953414831665,0.0006941498592418604,0.00967953414831665,0.0018896301723805833,0.00967953414831665
AAPL,2026-01-30,14:28,255.2,7.505820799914079,0.01183385579937297,0.006896551724137895,0.01183385579937297,0.006896551724137895,0.01183385579937297,0.01371473354231975
AAPL,2026-02-09,14:31,276.3,3.794425211333143,0.010206297502714417,0.0010495837857400058,0.01136445892146213,0.0010495837857400058,0.011762576909156714,0.0010495837857400058
AAPL,2026-02-12,14:31,272.8245,3.777444846006182,0.004671501276461568,0.003062408251458445,0.004671501276461568,0.003062408251458445,0.010132887625561481,0.003062408251458445
AAPL,2026-02-27,14:31,269.22,3.5946017107427677,0.00170863977416253,0.003825867320407,0.00170863977416253,0.008097466755812903,0.0034172795483248487,0.008097466755812903
AAPL,2026-03-06,14:31,256.155,3.667155278418849,0.006968437079112133,0.0016981905486912312,0.006968437079112133,0.00177626827506799,0.006968437079112133,0.0035712752044661004
AAPL,2026-03-09,13:32,254.4218,1.5615333703864456,0.0029136654170357863,0.005574207870552025,0.0029136654170357863,0.007657362694549029,0.0029136654170357863,0.009819127134545962
AAPL,2026-03-10,12:01,259.0157,5.011301600729647,0.0019682204592230677,0.0006343244830333669,0.0019682204592230677,0.000904578371118117,0.0019682204592230677,0.0027963555877115864
AAPL,2026-04-02,13:31,252.92,2.9157970599559686,0.008975170014233678,0.0004942274236912858,0.008975170014233678,0.0004942274236912858,0.008975170014233678,0.0004942274236912858
AAPL,2026-04-07,13:31,253.85,3.363165109160637,0.015796336419145116,0.0007086862320268012,0.019105771124679906,0.0007086862320268012,0.02592081938152446,0.0007086862320268012
AAPL,2026-04-21,13:32,270.74,3.5299355076303995,0.0007756519169684434,0.003398094112432651,0.0007756519169684434,0.004875526335229346,0.005134076974218757,0.004875526335229346
AAPL,2026-04-28,13:31,269.4,3.0445197316589003,0.002746844840385866,0.002412769116555435,0.002746844840385866,0.0044543429844099685,0.002746844840385866,0.008351893095768375
AAPL,2026-05-04,13:32,277.3015,1.879476634658183,0.004116458079022115,0.0010043220105192658,0.007398084756122762,0.0013288784950677875,0.008804135570849735,0.0013288784950677875
AAPL,2026-05-18,13:31,298.6,2.8996041322429824,0.004152377762893617,0.0029135967849966663,0.004152377762893617,0.0029135967849966663,0.006396517079705374,0.0029135967849966663
AMZN,2025-12-15,14:31,226.22,2.7748162372269247,0.007320749712669124,0.0007956856157722873,0.010299708248607606,0.0007956856157722873,0.014720183891786812,0.0007956856157722873
AMZN,2026-01-13,14:31,244.78,4.5067074866387,0.00032682408693525823,0.011765667129667437,0.00032682408693525823,0.011765667129667437,0.008415720238581594,0.011765667129667437
AMZN,2026-01-15,14:31,237.991,3.7231024493390272,0.003991747587093701,0.0032732330214167607,0.0052565012962675255,0.0032732330214167607,0.0057187036484573715,0.0032732330214167607
AMZN,2026-01-21,14:35,228.959,2.403333556087771,0.001218558781266499,0.005682240051712262,0.001218558781266499,0.013194065313003565,0.001218558781266499,0.013194065313003565
AMZN,2026-02-05,14:28,224.5,5.233214819135936,0.013140311804008858,0.007527839643652551,0.013140311804008858,0.008062360801781748,0.018351893095768394,0.008062360801781748
AMZN,2026-02-06,14:31,201.25,4.0570055996981615,0.004670807453416138,0.015354037267080763,0.004670807453416138,0.01803726708074532,0.004670807453416138,0.020571428571428504
AMZN,2026-02-09,14:31,205.3201,4.926087511361185,0.00959526125303856,0.007840927410419196,0.00959526125303856,0.007840927410419196,0.00959526125303856,0.011542464668583354
AMZN,2026-03-20,13:31,205.38,0.7042463125461369,0.0011198753530041376,0.00905638328951219,0.0011198753530041376,0.00905638328951219,0.0011198753530041376,0.00905638328951219
AMZN,2026-03-26,13:31,208.5,3.434105579607184,0.003357314148681001,0.0037889688249400097,0.003357314148681001,0.01239808153477222,0.003357314148681001,0.019280575539568395
AMZN,2026-03-27,13:31,204.91,3.1786466282589654,0.00885754721585085,0.0011224439998047423,0.018056707822946605,0.0011224439998047423,0.018764335561954025,0.0011224439998047423
AMZN,2026-04-02,13:32,205.12,3.5049093894683527,0.001072542901716063,0.009067862714508507,0.001072542901716063,0.014820105304212114,0.001072542901716063,0.021548361934477317
AMZN,2026-04-16,13:32,247.82,2.4471926356959117,0.00807037365830038,0.0010895004438705926,0.014607376321523705,0.0010895004438705926,0.014607376321523705,0.0010895004438705926
AMZN,2026-04-17,13:31,252.45,1.3529570049901265,0.000990295107942167,0.008952267775797265,0.000990295107942167,0.008952267775797265,0.000990295107942167,0.010536739948504754
AMZN,2026-04-21,13:31,252.11,4.628032078963603,0.0021815874023244273,0.005672127246043308,0.0021815874023244273,0.007060410138431528,0.0021815874023244273,0.007060410138431528
AMZN,2026-04-24,13:31,258.745,2.296003556249458,0.004096697520725047,0.008212719086359156,0.004096697520725047,0.008212719086359156,0.004096697520725047,0.010819146263695883
AMZN,2026-04-30,13:31,268.09,4.080150864912267,0.038084225446678284,0.005856242306688239,0.039688164422395415,0.005856242306688239,0.039688164422395415,0.005856242306688239
AMZN,2026-05-01,13:31,263.31,3.39990835948404,0.0021647487752079037,0.009950248756218923,0.0021647487752079037,0.027306217006570193,0.0021647487752079037,0.03799703771220233
