date,side,gap_pct,config,exit_bars,ep,K,delta,opt_entry,opt_exit,und_move,pnl_pct,pnl_dollar
2026-06-10,long,-0.887,1DTE ~45d,30,703.21,705,0.456,4.282,4.939,0.293,15.36,65.78
2026-06-10,long,-0.887,1DTE ~45d,60,703.21,705,0.456,4.282,6.215,0.6399,45.15,193.32
2026-06-10,short,-0.887,0DTE ATM,15,702.22,702,0.481,3.343,1.189,-0.7661,-64.45,-215.46
2026-06-10,short,-0.887,0DTE ATM,30,702.22,702,0.481,3.343,1.417,-0.6123,-57.62,-192.62
2026-06-10,short,-0.887,0DTE ATM,60,702.22,702,0.481,3.343,0.728,-0.984,-78.23,-261.52
2026-06-10,short,-0.887,1DTE ATM,15,702.22,702,0.481,4.738,2.341,-0.7661,-50.59,-239.7
2026-06-10,short,-0.887,1DTE ATM,30,702.22,702,0.481,4.738,2.649,-0.6123,-44.1,-208.94
2026-06-10,short,-0.887,1DTE ATM,60,702.22,702,0.481,4.738,1.795,-0.984,-62.11,-294.28
2026-06-10,short,-0.887,0DTE ~45d,15,702.22,701,0.436,2.879,0.962,-0.7661,-66.6,-191.76
2026-06-10,short,-0.887,0DTE ~45d,30,702.22,701,0.436,2.879,1.153,-0.6123,-59.95,-172.63
2026-06-10,short,-0.887,0DTE ~45d,60,702.22,701,0.436,2.879,0.568,-0.984,-80.28,-231.15
2026-06-10,short,-0.887,1DTE ~45d,15,702.22,701,0.449,4.267,2.044,-0.7661,-52.09,-222.27
2026-06-10,short,-0.887,1DTE ~45d,30,702.22,701,0.449,4.267,2.321,-0.6123,-45.61,-194.6
2026-06-10,short,-0.887,1DTE ~45d,60,702.22,701,0.449,4.267,1.547,-0.984,-63.73,-271.94
