rvol,tp_pct,sl_pct,trades,win_rate,avg_win,avg_loss,profit_factor,expectancy_pct,expectancy_dollar,total_pnl,best_sym,worst_sym,avg_move_5m,avg_move_15m,avg_max_move
4.0,1.0,0.5,765,45.88235294117647,0.21752217834763451,-0.1817613430244493,1.0146325628212731,0.001439331487447992,0.01439331487447992,11.010885878976705,TSLA,MSFT,0,0,0
4.0,0.75,0.5,772,45.72538860103627,0.21849598006401422,-0.1820178126002862,1.011323834455015,0.0011186754962138647,0.011186754962138647,8.636174830770798,AVGO,MSFT,0,0,0
2.0,0.75,0.5,1269,46.17809298660362,0.2457052954359878,-0.209350850519391,1.00697038747216,0.0007853997011385066,0.007853997011385066,9.9667222074481,AMD,TSLA,0,0,0
4.0,1.5,0.5,762,45.66929133858268,0.2135712497585054,-0.1817613430244493,0.9876888904432557,-0.0012157494700290117,-0.012157494700290117,-9.264010961621494,AVGO,MSFT,0,0,0
2.0,0.75,0.3,1421,44.26460239268121,0.24176340387595752,-0.19496878066932757,0.9848065985511095,-0.0016510156594863991,-0.01651015659486399,-23.460932521301395,AVGO,META,0,0,0
2.0,1.0,0.5,1242,46.2157809983897,0.23617136975630232,-0.20649599949169964,0.9827680657818717,-0.0019138175687099775,-0.019138175687099773,-23.769614203378254,AMD,COIN,0,0,0
2.0,1.5,0.5,1227,46.291768541157296,0.2323242212821283,-0.20430437517839012,0.9801211120346954,-0.002181275920383214,-0.02181275920383214,-26.7642555431022,AMD,COIN,0,0,0
2.0,1.5,0.3,1374,44.54148471615721,0.2301610309266379,-0.19259973013290324,0.9597819334772277,-0.004295810359657821,-0.04295810359657821,-59.024434341698495,AVGO,META,0,0,0
2.0,1.0,0.3,1390,44.460431654676256,0.2318038295059856,-0.19426485006397645,0.9552071265327756,-0.0048328759817918695,-0.0483287598179187,-67.17697614690735,AVGO,META,0,0,0
5.0,0.75,0.5,572,45.10489510489511,0.20733791566965323,-0.18270152299562653,0.9324522872561494,-0.00677464331793042,-0.0677464331793042,-38.750959778562,TSLA,MSFT,0,0,0
3.0,1.0,0.5,1035,44.15458937198068,0.22247367953107897,-0.1895543051923737,0.927968740270698,-0.007625040440085887,-0.07625040440085887,-78.91916855488927,AVGO,MSFT,0,0,0
3.0,0.75,0.5,1045,44.11483253588517,0.22243034258393085,-0.19039369011771637,0.9222094279385135,-0.008277059423496855,-0.08277059423496855,-86.49527097554233,AVGO,MSFT,0,0,0
5.0,1.0,0.5,568,45.24647887323944,0.20412408008169017,-0.18451192041156678,0.914202797244751,-0.008667814554582558,-0.08667814554582558,-49.23318667002896,AMD,MSFT,0,0,0
3.0,1.5,0.5,1030,43.980582524271846,0.21961499237704937,-0.18892324828875598,0.9126388859805579,-0.009245750209523129,-0.09245750209523128,-95.23122715808844,AVGO,MSFT,0,0,0
4.0,1.0,0.3,798,43.859649122807014,0.21507901901175788,-0.18547456009575644,0.9059489534100277,-0.00979316575035543,-0.09793165750355431,-78.14946268783633,TSLA,MSFT,0,0,0
4.0,0.75,0.3,805,43.72670807453416,0.21533982116551,-0.18511348590032412,0.9039215708396822,-0.01000843734482894,-0.1000843734482894,-80.56792062587284,TSLA,MSFT,0,0,0
5.0,1.5,0.5,566,45.053003533568905,0.20129009080153887,-0.18451192041156678,0.8944946721531294,-0.010696526667146388,-0.10696526667146387,-60.542340936048674,META,MSFT,0,0,0
3.0,1.0,0.3,1104,42.844202898550726,0.22095730767291616,-0.18548207885276957,0.8929727295715396,-0.011346363430079923,-0.11346363430079923,-125.26385226808286,AVGO,MSFT,0,0,0
4.0,1.5,0.3,795,43.64779874213836,0.21255808190575404,-0.18547456009575644,0.8876560828132428,-0.011742073586921054,-0.11742073586921054,-93.34948501602238,TSLA,MSFT,0,0,0
3.0,0.75,0.3,1113,42.76729559748428,0.22002708356988068,-0.18541515167083616,0.8867443743728523,-0.012018472448391227,-0.12018472448391228,-133.76559835059442,AVGO,MSFT,0,0,0
3.0,1.5,0.3,1099,42.675159235668794,0.21926527501413828,-0.18521334963371533,0.8813123685018909,-0.01260145249100073,-0.1260145249100073,-138.48996287609822,AVGO,MSFT,0,0,0
5.0,0.75,0.3,593,43.00168634064081,0.2014145441115662,-0.18607030654111936,0.8166523849801728,-0.01944528644595102,-0.19445286445951018,-115.3105486244896,META,MSFT,0,0,0
5.0,1.0,0.3,589,43.12393887945671,0.19811082986035322,-0.1875873360398025,0.8007438481619186,-0.021259094717833805,-0.21259094717833807,-125.21606788804112,META,MSFT,0,0,0
5.0,1.5,0.3,587,42.93015332197615,0.1977065814676561,-0.1875873360398025,0.7928177131536938,-0.022180066513602197,-0.22180066513602198,-130.19699043484482,META,MSFT,0,0,0
