date,side,ep,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.75%
2025-12-15,short,614.95,0.04227986015123032,0.16694040165865787,0.14391413936092218,0.16694040165865787,0.33010813887309315,0.16694040165865787,True,False,False
2025-12-16,long,611.59,0.07848395166696939,0.20111512614660446,0.14715740937555835,0.20111512614660446,0.14715740937555835,0.21419578475777218,False,False,False
2025-12-16,short,607.47,0.08230859137076728,0.33746522462013834,0.08230859137076728,0.35721928654912327,0.08230859137076728,0.35721928654912327,False,False,False
2025-12-17,short,609.17,0.028727612981590447,0.23515603197793797,0.028727612981590447,0.3365234663558725,0.028727612981590447,0.3677134461644548,False,False,False
2025-12-18,long,611.11,0.10963656297556235,0.10636382975241401,0.27981869057944336,0.10636382975241401,0.27981869057944336,0.10636382975241401,True,False,False
2025-12-19,long,616.81,0.021076182292782082,0.13375269531945524,0.021076182292782082,0.16536696875860993,0.13132082813184923,0.16536696875860993,False,False,False
2025-12-22,short,618.53,0.12287197064006448,0.006466945823173865,0.12287197064006448,0.10266276494268524,0.12287197064006448,0.10266276494268524,False,False,False
2025-12-23,long,620.43,0.04593588317780924,0.11282497622615473,0.04593588317780924,0.24176780619892657,0.04593588317780924,0.4271231242847666,False,False,False
2025-12-23,short,618.0,0.021035598705500883,0.08737864077669315,0.024271844660190497,0.13268608414240293,0.024271844660190497,0.17152103559869666,False,False,False
2025-12-24,long,622.8,0.04415542710341859,0.011239563262674428,0.04415542710341859,0.05780346820807642,0.04415542710341859,0.09794476557480733,False,False,False
2025-12-26,short,623.54,0.040093658786926265,0.08179106392532812,0.05613112230168218,0.08179106392532812,0.06414985405907837,0.08179106392532812,False,False,False
2025-12-29,short,619.03,0.048462917790729775,0.05447231959679701,0.048462917790729775,0.06380950842446761,0.048462917790729775,0.08400239083727475,False,False,False
2025-12-30,short,619.55,0.02743927043821468,0.25986603179727447,0.02743927043821468,0.35186829150190685,0.02743927043821468,0.3550964409652241,False,False,False
2025-12-30,long,620.85,0.06603849561085096,0.04187807038737068,0.14496255134089994,0.04187807038737068,0.14496255134089994,0.04187807038737068,False,False,False
2025-12-31,short,617.64,0.049996761867757804,0.08419143837834042,0.049996761867757804,0.15866848002072698,0.049996761867757804,0.15866848002072698,False,False,False
2026-01-02,long,621.78,0.1720865901122664,0.10614686866736919,0.1720865901122664,0.1093634404451655,0.1720865901122664,0.11579658400077636,False,False,False
2026-01-02,short,618.62,0.27803821408942925,0.037179528628239984,0.5560764281788585,0.037179528628239984,0.6482169991270879,0.037179528628239984,True,True,False
2026-01-05,long,620.05,0.054834287557460185,0.03596484154502965,0.054834287557460185,0.10160470929763657,0.054834287557460185,0.14998790420126604,False,False,False
2026-01-06,long,620.44,0.23370511250079487,0.011282315775909034,0.2465991876732597,0.011282315775909034,0.32396363870801215,0.011282315775909034,True,False,False
2026-01-07,long,624.92,0.009601228957315995,0.09601228957305082,0.036804711003011296,0.09601228957305082,0.036804711003011296,0.22242847084426592,False,False,False
2026-01-08,short,618.6,0.1293242806337,0.17135467183962907,0.1293242806337,0.305528612997088,0.1293242806337,0.3071451665050076,False,False,False
2026-01-09,short,619.581,0.03566926681095831,0.44207294929961255,0.03566926681095831,0.5082467022068141,0.03566926681095831,0.6825580513282247,False,False,False
2026-01-09,long,623.57,0.21248616835318115,0.04490273746332992,0.2581907404140513,0.04490273746332992,0.2838494475359593,0.04490273746332992,True,False,False
2026-01-12,long,626.095,0.071075475766447,0.05510345874029137,0.071075475766447,0.06628387065861846,0.071075475766447,0.1461439557894692,False,False,False
2026-01-13,short,626.17,0.04791031189612319,0.2012233099637464,0.04791031189612319,0.2012233099637464,0.15650701886067753,0.2012233099637464,False,False,False
2026-01-14,short,619.3,0.011303084127230153,0.2179880510253549,0.059744873243985884,0.2179880510253549,0.3310188922977482,0.2179880510253549,True,False,False
2026-01-15,short,624.9,0.031525044007041564,0.24803968634982693,0.031525044007041564,0.24803968634982693,0.046407425188024265,0.24803968634982693,False,False,False
2026-01-16,short,624.33,0.25468902663655546,0.011196002114260317,0.4100395624109139,0.011196002114260317,0.4100395624109139,0.011196002114260317,True,False,False
2026-01-20,long,613.37,0.026085397068648312,0.24128992288504789,0.026085397068648312,0.3065034155566779,0.026085397068648312,0.31954611409101136,False,False,False
2026-01-20,short,610.14,0.06064181991018529,0.04753007506473328,0.09342118202378738,0.04753007506473328,0.09342118202378738,0.04753007506473328,False,False,False
2026-01-21,long,610.41,0.20969512295016243,0.09993283203093227,0.41283727330810144,0.09993283203093227,0.42758146164053895,0.09993283203093227,True,False,False
2026-01-22,short,619.36,0.19536295530871162,0.09201433738051559,0.19536295530871162,0.09848876259364726,0.2470291914234004,0.09848876259364726,False,False,False
2026-01-23,long,620.82,0.25611288296123164,0.012886182790509473,0.25611288296123164,0.012886182790509473,0.25611288296123164,0.012886182790509473,True,False,False
2026-01-26,long,625.13,0.0,0.10237870522931013,0.07518436165278058,0.10237870522931013,0.08958136707565773,0.10237870522931013,False,False,False
2026-01-27,long,629.98,0.11270199053938798,0.03015968760913911,0.1396869741896561,0.03015968760913911,0.14762373408678844,0.03015968760913911,False,False,False
2026-01-28,short,634.48,0.08038078426427799,0.053587189509524624,0.09771781616441882,0.06304375236413713,0.17337031900139055,0.06304375236413713,False,False,False
2026-01-29,short,627.7,0.04142106101640766,0.31384419308585526,0.09240082842122685,0.31384419308585526,0.5607774414529385,0.31384419308585526,True,True,False
2026-01-30,short,624.73,0.08643734093127649,0.3409472892289462,0.08643734093127649,0.3809645766971324,0.08643734093127649,0.454596385638601,False,False,False
2026-02-02,long,623.35,0.25026068821688385,0.0978583460335307,0.25026068821688385,0.0978583460335307,0.25026068821688385,0.0978583460335307,True,False,False
2026-02-03,short,623.07,0.48790665575297754,0.030494165984550833,0.5970436708556065,0.030494165984550833,0.6628468711380736,0.030494165984550833,True,True,False
2026-02-04,short,611.28,0.48913754744143584,0.006543646119630498,0.48913754744143584,0.006543646119630498,0.48913754744143584,0.11778563015312578,True,False,False
2026-02-05,short,597.2,0.3817816476892308,0.016744809109160923,0.3817816476892308,0.043536503683856476,0.3817816476892308,0.070328198258533,True,False,False
2026-02-06,long,604.33,0.1952575579567372,0.13568745552927208,0.2118048086310414,0.2945410620025625,0.2118048086310414,0.5080005957010325,False,False,False
2026-02-09,long,610.405,0.04832856873716185,0.2940670538412954,0.04832856873716185,0.33993823772739934,0.04832856873716185,0.33993823772739934,False,False,False
2026-02-10,short,612.58,0.029383917202661473,0.4130072806817024,0.029383917202661473,0.5697215057625141,0.029383917202661473,0.5697215057625141,False,False,False
2026-02-10,long,616.78,0.03891176756704321,0.0486397094587948,0.03891176756704321,0.30967281688770193,0.03891176756704321,0.30967281688770193,False,False,False
2026-02-11,short,614.23,0.2197873760643444,0.053709522491567054,0.28816567083991046,0.053709522491567054,0.73588069615616,0.053709522491567054,True,True,False
2026-02-12,short,612.96,0.1500913599582473,0.1076742364917724,0.1986263377708311,0.1076742364917724,0.36870268859305516,0.1076742364917724,True,False,False
2026-02-13,long,601.85,0.18443133671180753,0.4369859599567991,0.18443133671180753,0.4619091135664988,0.18443133671180753,0.488493810750196,False,False,False
2026-02-17,short,596.575,0.3645811507354596,0.05112517286174411,0.48359384821690327,0.05112517286174411,0.48359384821690327,0.05112517286174411,True,False,False
2026-02-17,long,602.24,0.1411397449521823,0.009962805526045948,0.1411397449521823,0.021586078639744197,0.20506774707757933,0.021586078639744197,False,False,False
2026-02-18,long,603.65,0.024848836246165372,0.31806510395095816,0.1888511554708832,0.31806510395095816,0.3909550236063967,0.31806510395095816,True,False,False
2026-02-19,long,604.04,0.1390636381696629,0.11257532613733363,0.26157208131912474,0.14899675518177227,0.26157208131912474,0.14899675518177227,True,False,False
2026-02-19,short,600.97,0.013311812569685827,0.15474982112251026,0.013311812569685827,0.1822054345474861,0.013311812569685827,0.1822054345474861,False,False,False
2026-02-20,long,605.795,0.010729702292038491,0.3870946442278186,0.010729702292038491,0.3920468145164619,0.5257554123094544,0.3920468145164619,True,True,False
2026-02-23,short,603.9,0.05133300215266525,0.38085775790694953,0.05133300215266525,0.38085775790694953,0.05133300215266525,0.38085775790694953,False,False,False
2026-02-24,long,605.23,0.16357417841151448,0.0479156684235685,0.16357417841151448,0.24286634833039544,0.16357417841151448,0.41141384267138265,False,False,False
2026-02-25,long,614.39,0.196943309624186,0.0325526131610104,0.196943309624186,0.0325526131610104,0.24414459870766128,0.0325526131610104,False,False,False
2026-02-26,short,612.61,0.12242699270335122,0.13385351202232026,0.14353340624541835,0.13385351202232026,0.344427939472097,0.13385351202232026,True,False,False
2026-02-27,long,605.61,0.05696735522861698,0.2097059163488023,0.05696735522861698,0.28731361767474267,0.1221908488961558,0.28731361767474267,False,False,False
2026-03-02,long,604.9,0.028103818813038976,0.32402049925606263,0.028103818813038976,0.3521243180691016,0.06116713506364764,0.3521243180691016,False,False,False
2026-03-03,short,595.54,0.050374450078912336,0.25690969540250636,0.09067401014204984,0.25690969540250636,0.16623568526043744,0.25690969540250636,False,False,False
2026-03-03,long,599.6901,0.20175420604741476,0.0567126254043558,0.20175420604741476,0.0567126254043558,0.20175420604741476,0.12174621525351062,False,False,False
2026-03-04,long,606.96,0.021582970871222452,0.31451825490971264,0.11697640701198145,0.31451825490971264,0.1631079478054582,0.31451825490971264,False,False,False
2026-03-05,long,611.2,0.09816753926700082,0.1431609947643979,0.2552356020942319,0.1431609947643979,0.2552356020942319,0.1431609947643979,True,False,False
2026-03-05,short,606.61,0.08901930400091716,0.20111768681690495,0.08901930400091716,0.4714726100789657,0.08901930400091716,0.4714726100789657,False,False,False
2026-03-06,long,601.71,0.14126406408401207,0.09639194961028416,0.14126406408401207,0.31078094098486053,0.2310082930315245,0.31078094098486053,False,False,False
