symbol,pnl,gross_pnl,costs,slack,result,is_test
NVDA,-54.5,-50.0,4.5,4.12426409989163,loss,True
NVDA,195.5,200.0,4.5,1.2020435633493938,win,True
NVDA,195.5,200.0,4.5,1.0843623359574708,win,True
NVDA,-54.5,-50.0,4.5,1.0076029662542267,loss,True
NVDA,-54.5,-50.0,4.5,0.8784813118129737,loss,True
NVDA,-54.5,-50.0,4.5,0.8307911796251897,loss,True
NVDA,-54.5,-50.0,4.5,0.8650873633506593,loss,True
NVDA,-54.5,-50.0,4.5,0.97168273694061,loss,True
NVDA,-54.5,-50.0,4.5,3.236274736772705,loss,True
NVDA,-54.5,-50.0,4.5,2.9680640231882465,loss,True
NVDA,-54.5,-50.0,4.5,0.8618733116554309,loss,True
NVDA,-54.5,-50.0,4.5,0.8793598547701894,loss,True
NVDA,-54.5,-50.0,4.5,2.298722817746141,loss,True
NVDA,195.5,200.0,4.5,2.1660335430737554,win,True
NVDA,-54.5,-50.0,4.5,1.3814201149810168,loss,True
NVDA,195.5,200.0,4.5,2.157550057994605,win,True
NVDA,-54.5,-50.0,4.5,1.3019741676254644,loss,True
NVDA,-54.5,-50.0,4.5,1.0730425682718125,loss,True
NVDA,-54.5,-50.0,4.5,0.8747306388439123,loss,True
NVDA,195.5,200.0,4.5,0.9035538251746372,win,True
NVDA,-54.5,-50.0,4.5,0.8240019568379775,loss,True
NVDA,-54.5,-50.0,4.5,0.991365758813553,loss,True
NVDA,-54.5,-50.0,4.5,0.9178059353167985,loss,True
NVDA,-54.5,-50.0,4.5,0.877163167167028,loss,True
NVDA,-54.5,-50.0,4.5,1.4350661169566066,loss,True
NVDA,-54.5,-50.0,4.5,1.037155460233991,loss,True
NVDA,-54.5,-50.0,4.5,2.3927777739736786,loss,True
NVDA,195.5,200.0,4.5,1.1274572432054435,win,True
NVDA,-54.5,-50.0,4.5,0.9248863693067775,loss,True
NVDA,-54.5,-50.0,4.5,1.1125671854335641,loss,True
NVDA,195.5,200.0,4.5,2.0089694246617213,win,True
NVDA,-54.5,-50.0,4.5,1.1605422990259904,loss,True
NVDA,195.5,200.0,4.5,0.8849619872229875,win,True
NVDA,-54.5,-50.0,4.5,1.5734094827087723,loss,True
NVDA,195.5,200.0,4.5,1.2464403861057565,win,True
NVDA,-54.5,-50.0,4.5,1.1966420189952591,loss,True
NVDA,195.5,200.0,4.5,1.238829305113571,win,True
