sym,date,entry_time,entry_price,exit_price,exit_reason,pnl_pct,gap_pct,rvol,level,year
AAPL,2022-05-10,2022-05-10 09:36:00-04:00,155.93,153.77,2hr_hold,-0.013852369653049423,0.021187274516234953,2.0882040683036203,PDH,2022
AAPL,2024-02-05,2024-02-05 09:31:00-05:00,187.4,187.42,2hr_hold,0.0001067235859123896,0.012887430047352617,1.8574286787272891,PDH,2024
AAPL,2025-08-01,2025-08-01 09:31:00-04:00,213.15,208.887,stop_loss,-0.020000000000000025,0.014505653115227399,2.981267607134864,PMH,2025
AMZN,2021-04-30,2021-04-30 09:32:00-04:00,3517.08,3499.98,2hr_hold,-0.004861987785321889,0.01609134467170485,2.2176158760364277,PDH,2021
AMZN,2022-07-29,2022-07-29 09:48:00-04:00,136.96,135.8,2hr_hold,-0.008469626168224274,0.10296883945366826,2.8329304969498423,PMH,2022
AMZN,2023-04-26,2023-04-26 09:45:00-04:00,105.5,106.405,2hr_hold,0.008578199052132713,0.023301160183289468,1.6289220603399295,PDH,2023
AMZN,2023-07-13,2023-07-13 09:31:00-04:00,134.11,133.14,2hr_hold,-0.007232868540750333,0.02415348161736602,1.9630724767912764,PMH,2023
AMZN,2023-08-04,2023-08-04 09:37:00-04:00,141.56,142.6,2hr_hold,0.007346708109635434,0.0945620975874641,2.169803322261953,PMH,2023
AMZN,2023-10-27,2023-10-27 09:33:00-04:00,127.2,129.46,2hr_hold,0.017767295597484318,0.05368174987477035,4.374643466275167,PMH,2023
AMZN,2024-02-02,2024-02-02 09:34:00-05:00,169.74,170.945,2hr_hold,0.0070990927300576415,0.059276414621932894,4.082155043810765,PMH,2024
AMZN,2024-05-01,2024-05-01 09:53:00-04:00,181.905,178.2669,stop_loss,-0.020000000000000046,0.04345203905801263,1.5695491268257837,PMH,2024
AMZN,2024-11-01,2024-11-01 09:31:00-04:00,199.82,199.95,2hr_hold,0.0006505855269742541,0.06836000429599393,8.292770660802315,PMH,2024
AMZN,2025-01-02,2025-01-02 09:31:00-05:00,223.58,223.04,2hr_hold,-0.0024152428660882924,0.013487036952658713,1.6362727954034473,PDH,2025
AMZN,2025-03-12,2025-03-12 09:31:00-04:00,201.07,197.0486,stop_loss,-0.02,0.021577608142493685,1.5310309010646586,PDH,2025
AMZN,2025-04-08,2025-04-08 09:33:00-04:00,183.45,179.78099999999998,stop_loss,-0.020000000000000063,0.05595343396011058,1.7265296269296193,PDH,2025
AMZN,2025-07-31,2025-07-31 09:41:00-04:00,232.6,233.905,2hr_hold,0.005610490111779909,0.023802284671849968,1.5129573894978579,PDH,2025
APP,2021-08-11,2021-08-11 09:34:00-04:00,59.085,60.92,2hr_hold,0.03105695184903107,0.01501658809149641,23.46448262940956,PDH,2021
APP,2021-08-19,2021-08-19 09:32:00-04:00,65.9,64.58200000000001,stop_loss,-0.019999999999999966,0.019752312274651167,1.8671841310909874,PDH,2021
APP,2021-10-07,2021-10-07 09:32:00-04:00,83.145,81.48209999999999,stop_loss,-0.02000000000000009,0.07850272939953219,8.952630557173366,PMH,2021
APP,2021-10-15,2021-10-15 09:39:00-04:00,90.98,91.55,2hr_hold,0.006265113211694802,0.011451222197753868,1.9047619047619047,PDH,2021
APP,2022-07-27,2022-07-27 09:38:00-04:00,34.48,34.84,2hr_hold,0.010440835266821536,0.05382775119617238,1.5338237067406246,PDH,2022
APP,2022-08-04,2022-08-04 09:42:00-04:00,36.27,36.03,2hr_hold,-0.006617038875103446,0.011306532663316615,1.8709825528007344,PDH,2022
APP,2023-01-18,2023-01-18 09:33:00-05:00,11.135,10.9123,stop_loss,-0.019999999999999973,0.016069788797061425,1.5122901678657072,PDH,2023
APP,2023-07-13,2023-07-13 09:45:00-04:00,28.52,29.075,2hr_hold,0.019460028050490873,0.013969938107869253,3.3280251567255936,PDH,2023
APP,2023-09-14,2023-09-14 09:40:00-04:00,41.91,42.89,2hr_hold,0.02338344070627545,0.014100049043648743,1.809728073535044,PDH,2023
APP,2024-01-23,2024-01-23 09:31:00-05:00,44.045,43.885,2hr_hold,-0.0036326484277444363,0.015682656826568258,4.149647058823529,PDH,2024
APP,2024-01-24,2024-01-24 09:31:00-05:00,44.95,44.051,stop_loss,-0.020000000000000018,0.011287438533750457,3.8805970149253732,PDH,2024
APP,2024-09-11,2024-09-11 09:31:00-04:00,88.63,91.605,2hr_hold,0.03356651246756187,0.017862320941831374,3.479891477816789,PDH,2024
APP,2025-04-08,2025-04-08 09:50:00-04:00,252.19,247.1462,stop_loss,-0.020000000000000018,0.09934159566227733,1.5250772642066008,PDH,2025
APP,2025-06-30,2025-06-30 09:32:00-04:00,350.35,343.343,stop_loss,-0.020000000000000014,0.02319031639501441,4.025431425976385,PDH,2025
APP,2025-08-07,2025-08-07 09:37:00-04:00,394.23,445.71,2hr_hold,0.13058366943155,0.013432263016502494,6.211624731811976,PDH,2025
APP,2025-08-08,2025-08-08 09:31:00-04:00,453.49,455.85,2hr_hold,0.005204083882775835,0.02706350658857976,1.710163145956877,PDH,2025
APP,2025-10-07,2025-10-07 09:37:00-04:00,611.9,626.785,2hr_hold,0.024325870240235317,0.010036636278435693,3.0897314802320874,PMH,2025
ARM,2023-10-24,2023-10-24 09:33:00-04:00,51.82,52.175,2hr_hold,0.00685063681976065,0.0340434003583516,7.273343046289906,PDH,2023
ARM,2024-06-12,2024-06-12 09:31:00-04:00,147.75,149.055,2hr_hold,0.008832487309644716,0.015015641293013533,2.398274697292522,PDH,2024
ARM,2024-06-13,2024-06-13 09:33:00-04:00,159.75,156.555,stop_loss,-0.01999999999999996,0.010258554154875218,1.530945024765828,PDH,2024
ARM,2024-07-31,2024-07-31 09:33:00-04:00,142.4,139.552,stop_loss,-0.02000000000000009,0.08086354746502182,2.2764119853024734,PDH,2024
ARM,2025-01-22,2025-01-22 09:31:00-05:00,165.175,178.5,2hr_hold,0.08067201453004381,0.031829896907216486,13.106577181208054,PMH,2025
ARM,2025-12-22,2025-12-22 09:42:00-05:00,115.49,114.18,2hr_hold,-0.011342973417611812,0.02772659471790819,1.5459477990743622,PDH,2025
AVGO,2021-07-14,2021-07-14 09:57:00-04:00,487.59,481.47,2hr_hold,-0.012551528948501709,0.011227019210906842,1.7038677295541778,PDH,2021
AVGO,2023-05-23,2023-05-23 09:43:00-04:00,684.61,696.16,2hr_hold,0.01687091920947686,0.017901794605120473,2.515222166557478,PDH,2023
AVGO,2023-08-24,2023-08-24 09:59:00-04:00,879.25,861.665,stop_loss,-0.020000000000000042,0.02999657573336374,3.289133697451687,PDH,2023
AVGO,2024-12-13,2024-12-13 09:33:00-05:00,217.18,215.96,2hr_hold,-0.005617460171286485,0.18217236329474162,11.335562006979268,PMH,2024
