symbol,date,pnl
AAPL,2025-12-15,-5.2944482343442504e-05
AAPL,2025-12-15,-0.0044
AAPL,2025-12-15,-0.00041798685182969035
AAPL,2025-12-15,-0.00021691247320467422
AAPL,2025-12-15,0.0017006976333195352
AAPL,2025-12-15,-0.00012441631496969065
AAPL,2025-12-15,-0.0017164163975296074
AAPL,2025-12-16,0.0007524708274744016
AAPL,2025-12-16,0.002050801401584014
AAPL,2025-12-16,-0.0016990401618396044
AAPL,2025-12-16,-0.0016624068233783696
AAPL,2025-12-16,0.0032798254769157236
AAPL,2025-12-16,-0.0044
AAPL,2025-12-16,-0.00034474738156380395
AAPL,2025-12-16,0.0022487003381835187
AAPL,2025-12-17,-0.0011269296405282893
AAPL,2025-12-17,0.0029207686681770196
AAPL,2025-12-17,0.0037423096731713764
AAPL,2025-12-17,-0.0044
AAPL,2025-12-17,-0.0019183090802827524
AAPL,2025-12-17,-0.002267987077596571
AAPL,2025-12-18,-0.0008940003430516512
AAPL,2025-12-18,-0.0007842389103972669
AAPL,2025-12-18,-0.0044
AAPL,2025-12-18,-0.0044
AAPL,2025-12-18,0.0007803840286661006
AAPL,2025-12-18,-0.001412070448630876
AAPL,2025-12-18,0.0016561884521361133
AAPL,2025-12-18,-0.0019406740244478126
AAPL,2025-12-19,-0.0044
AAPL,2025-12-19,-0.0044
AAPL,2025-12-19,-0.0016706413131444657
AAPL,2025-12-19,0.0046
AAPL,2025-12-19,0.0018639597964083528
AAPL,2025-12-19,-0.0001946381715268477
AAPL,2025-12-19,0.00015635954268225163
AAPL,2025-12-19,-0.0020773858076515296
AAPL,2025-12-19,-0.001098911326424928
AAPL,2025-12-19,-0.0044
AAPL,2025-12-19,-0.0011873349780967056
AAPL,2025-12-22,0.0005689300898894375
AAPL,2025-12-22,-0.0025043458838222375
AAPL,2025-12-22,-0.0016619401053924682
AAPL,2025-12-22,0.0002794500249798699
AAPL,2025-12-22,0.0009437054601866748
AAPL,2025-12-22,-0.0012248204849494018
AAPL,2025-12-22,0.0003927691196119447
AAPL,2025-12-22,0.00238277370433031
AAPL,2025-12-22,-0.0008585946178488099
AAPL,2025-12-22,-0.0012274034076437366
AAPL,2025-12-22,-0.0017089502116396824
AAPL,2025-12-22,-0.001043859076895673
AAPL,2025-12-23,-0.0044
AAPL,2025-12-23,-0.001152250269701149
AAPL,2025-12-23,-0.00314114250664104
AAPL,2025-12-23,-0.0006389912692338965
AAPL,2025-12-24,-0.0003982207555890341
AAPL,2025-12-24,-0.0005634950103762405
AAPL,2025-12-26,-0.002495600984764198
AAPL,2025-12-26,-0.0007821395674101781
AAPL,2025-12-26,-0.0011284943360920661
AAPL,2025-12-26,-0.0013649974280675492
AAPL,2025-12-26,-0.00042449807815344323
AAPL,2025-12-26,0.0017320231841187947
AAPL,2025-12-26,0.001299744558620528
AAPL,2025-12-26,-0.00016087423851403302
AAPL,2025-12-27,0.0014509011212714984
AAPL,2025-12-29,-0.001114092892000043
AAPL,2025-12-29,-8.867055970659504e-05
AAPL,2025-12-29,-0.0044
AAPL,2025-12-29,-0.0014422636382651229
AAPL,2025-12-29,0.0005301501929874033
AAPL,2025-12-29,-0.0009296676164850927
AAPL,2025-12-29,-0.0005711176788798455
AAPL,2025-12-29,-0.0017520282074293381
AAPL,2025-12-29,-0.0005269313141922286
AAPL,2025-12-29,0.0015577705214878475
AAPL,2025-12-30,0.0013754831141793273
AAPL,2025-12-30,-0.0008751023539997302
AAPL,2025-12-30,-0.0012973504237414396
AAPL,2025-12-30,-0.0012590056651936808
AAPL,2025-12-30,0.0003886255999140782
AAPL,2025-12-31,0.0004630666171349875
AAPL,2025-12-31,-0.0017382999654263255
AAPL,2025-12-31,0.0005117709497094952
AAPL,2025-12-31,-0.0020899226584667713
AAPL,2025-12-31,-0.0026914173885575748
AAPL,2025-12-31,0.0007198720682554133
AAPL,2025-12-31,-0.0012611835840783071
AAPL,2025-12-31,0.0011619095633573508
AAPL,2026-01-01,-0.0044
AAPL,2026-01-02,-0.0012953603680379165
AAPL,2026-01-02,-0.0008197354333949667
AAPL,2026-01-02,-0.0009296555466346834
AAPL,2026-01-02,0.0046
AAPL,2026-01-02,0.0018354098914370603
AAPL,2026-01-02,-0.0008963516773862637
AAPL,2026-01-02,-0.0020301707938705665
AAPL,2026-01-05,-0.0004152421290554403
AAPL,2026-01-05,0.0015418757872234057
AAPL,2026-01-05,0.000588551839898569
AAPL,2026-01-05,0.0005905679878255687
AAPL,2026-01-05,0.0023440265801957768
AAPL,2026-01-05,-0.0014236196501967767
AAPL,2026-01-05,0.0011932366213270671
AAPL,2026-01-05,0.002751184294960126
AAPL,2026-01-05,0.00015584464193530969
AAPL,2026-01-06,2.571695289271689e-05
AAPL,2026-01-06,0.0007487463809812565
AAPL,2026-01-06,-0.0009378439842875656
AAPL,2026-01-06,0.0046
AAPL,2026-01-06,-0.0018529998170754643
AAPL,2026-01-06,-0.0007141529617961577
AAPL,2026-01-06,-0.0003147142197064689
AAPL,2026-01-06,-0.0021619597048335663
AAPL,2026-01-06,0.0008074601433806909
AAPL,2026-01-06,-0.0008285178972899103
AAPL,2026-01-06,-0.0009065392488307664
AAPL,2026-01-07,0.002031061889083883
AAPL,2026-01-07,-0.0015942366299461596
AAPL,2026-01-07,-0.0007910636978428263
AAPL,2026-01-07,-0.0010967205733440708
AAPL,2026-01-07,-0.0044
AAPL,2026-01-07,-0.0044
AAPL,2026-01-07,-0.0020149161109215045
AAPL,2026-01-07,-0.0035677085800009064
AAPL,2026-01-07,-0.0021102520291906017
AAPL,2026-01-07,0.0024409536886725795
AAPL,2026-01-07,-0.0006768632377730709
AAPL,2026-01-07,-0.0008466465532452163
AAPL,2026-01-08,0.0010192800783579857
AAPL,2026-01-08,-0.0002524130390859315
AAPL,2026-01-08,0.0046
AAPL,2026-01-08,0.0004883592427164247
AAPL,2026-01-08,0.0046
AAPL,2026-01-08,-0.001399326673115592
AAPL,2026-01-08,-0.0044
AAPL,2026-01-08,-0.0035990045416028453
AAPL,2026-01-08,-0.002352112949741602
AAPL,2026-01-08,0.002064670442207386
AAPL,2026-01-08,-0.002137103115372681
AAPL,2026-01-08,0.00040139351440521574
AAPL,2026-01-09,-0.0005614386402425198
AAPL,2026-01-09,-0.0044
AAPL,2026-01-09,0.0007117989520058856
AAPL,2026-01-09,-0.0044
AAPL,2026-01-09,-0.0044
AAPL,2026-01-09,-0.0044
AAPL,2026-01-09,0.0013563130729444854
AAPL,2026-01-09,-0.001455377055353583
AAPL,2026-01-09,0.0010557928140645652
AAPL,2026-01-09,-0.00036853008438279974
AAPL,2026-01-09,-0.0004479972100464288
AAPL,2026-01-12,-0.00036819916426775434
AAPL,2026-01-12,-0.002097938397896995
AAPL,2026-01-12,0.0012037126541263867
AAPL,2026-01-12,0.0002462505531372594
AAPL,2026-01-13,0.0003635438455706972
AAPL,2026-01-13,0.0012509682782453095
AAPL,2026-01-13,-0.0021458845117038315
AAPL,2026-01-13,-0.0044
AAPL,2026-01-13,-0.001967354308800138
AAPL,2026-01-13,-0.0014472429064026995
AAPL,2026-01-13,0.0036623397071628497
AAPL,2026-01-13,-0.0005037354344484624
AAPL,2026-01-13,0.0012841213365703508
AAPL,2026-01-13,-0.0044
AAPL,2026-01-14,0.002203900196321798
AAPL,2026-01-14,-0.0006000400080015881
AAPL,2026-01-14,-0.0017934583229336119
AAPL,2026-01-14,-0.0044
AAPL,2026-01-14,0.0046
AAPL,2026-01-14,0.0046
AAPL,2026-01-14,-0.0020584827610023587
AAPL,2026-01-14,0.00011333338807067848
AAPL,2026-01-14,0.00043986915600985685
AAPL,2026-01-14,-0.0017181419723923826
AAPL,2026-01-15,-0.0044
AAPL,2026-01-15,-0.0007153767284821112
AAPL,2026-01-15,-0.0028539692188175657
AAPL,2026-01-15,0.0046
AAPL,2026-01-15,0.0032274040011510555
AAPL,2026-01-15,-0.0006582554809082773
AAPL,2026-01-15,-0.0008136832648287697
AAPL,2026-01-15,-0.0044
AAPL,2026-01-16,0.0005235625935955152
AAPL,2026-01-16,0.0001372558507820965
AAPL,2026-01-16,-0.0014552773231001233
AAPL,2026-01-16,-0.0012992904340760217
AAPL,2026-01-16,0.0046
AAPL,2026-01-16,0.0016000846639125197
AAPL,2026-01-16,-0.002356146203879879
AAPL,2026-01-16,-0.0006586065872268359
AAPL,2026-01-16,0.002875299446568354
AAPL,2026-01-16,-0.0044
AAPL,2026-01-16,0.0018012366090419541
AAPL,2026-01-20,0.0017811996714081192
AAPL,2026-01-20,-0.0004408105182288084
AAPL,2026-01-20,-0.0044
AAPL,2026-01-20,0.0046
AAPL,2026-01-20,-0.002186081721550534
AAPL,2026-01-20,0.0017029215767727687
AAPL,2026-01-20,-0.0006598450848361819
AAPL,2026-01-20,0.00251591019152411
AAPL,2026-01-20,0.00336812851242089
AAPL,2026-01-20,0.0034359540199541657
AAPL,2026-01-20,0.0046
AAPL,2026-01-21,0.003171086389498828
AAPL,2026-01-21,0.0007425649920091558
AAPL,2026-01-21,-0.00035549232095808444
AAPL,2026-01-21,-0.0044
AAPL,2026-01-21,-0.0044
AAPL,2026-01-21,0.0038671125813228282
AAPL,2026-01-21,-0.0005390162313848743
AAPL,2026-01-21,-0.0022437808702365364
AAPL,2026-01-21,-0.0044
AAPL,2026-01-21,-0.00011630631139926921
AAPL,2026-01-21,-0.00019657085108025008
AAPL,2026-01-22,-0.0044
AAPL,2026-01-22,-0.001781547701024924
AAPL,2026-01-22,-0.002928887953423664
AAPL,2026-01-22,-0.002164168544042108
AAPL,2026-01-22,0.000786153176098162
AAPL,2026-01-22,0.00044573153823264784
AAPL,2026-01-22,-0.00035840688511347207
AAPL,2026-01-23,0.001532925916451205
AAPL,2026-01-23,-0.0016898463469932372
AAPL,2026-01-23,6.447369344792214e-05
AAPL,2026-01-23,-0.002333069855297587
AAPL,2026-01-23,-0.0009631768977539919
AAPL,2026-01-23,-0.001206466871385571
AAPL,2026-01-23,-0.00112480393245487
AAPL,2026-01-23,-0.0008421312678365238
AAPL,2026-01-24,-0.0044
AAPL,2026-01-26,-0.0018880239629414598
AAPL,2026-01-26,-8.929287467980275e-05
AAPL,2026-01-26,-0.0044
AAPL,2026-01-26,-3.2445127853043235e-05
AAPL,2026-01-26,-0.0008758064101443865
AAPL,2026-01-27,-0.00048318055713035643
AAPL,2026-01-27,-0.003673441321642355
AAPL,2026-01-27,0.0012193150520318657
AAPL,2026-01-27,-0.00011908211224852906
AAPL,2026-01-27,-9.934300310719262e-05
AAPL,2026-01-27,-0.0007014012173580334
AAPL,2026-01-27,0.0046
AAPL,2026-01-27,9.853211368654409e-05
AAPL,2026-01-28,0.00036708437800492163
AAPL,2026-01-28,0.002304703573822237
AAPL,2026-01-28,-0.0044
AAPL,2026-01-28,0.0046
AAPL,2026-01-28,-0.00218189339836118
AAPL,2026-01-28,0.0007856570502362699
AAPL,2026-01-28,0.0033476037606897354
AAPL,2026-01-28,-0.002012696504540816
AAPL,2026-01-28,0.0007717614497467027
AAPL,2026-01-28,-0.002242639846102811
AAPL,2026-01-28,-0.0044
AAPL,2026-01-28,0.000960972583621722
AAPL,2026-01-29,-0.0044
AAPL,2026-01-29,-0.0010269286294302675
AAPL,2026-01-29,-0.0044
AAPL,2026-01-29,0.0046
AAPL,2026-01-29,0.00018191608613329517
AAPL,2026-01-29,-0.0044
AAPL,2026-01-29,-0.0044
AAPL,2026-01-30,-0.0011054960513613944
AAPL,2026-01-30,-0.00048373767776824716
AAPL,2026-01-30,0.003666859522767663
AAPL,2026-01-30,-0.0044
AAPL,2026-01-30,-0.002275090705943087
AAPL,2026-01-30,0.0017377863418417377
AAPL,2026-01-30,-0.0044
AAPL,2026-01-30,-0.0044
AAPL,2026-01-30,0.0007723530216472124
AAPL,2026-01-30,-0.0044
AAPL,2026-01-30,0.0006724300687270196
AAPL,2026-02-02,0.0042765302447169504
AAPL,2026-02-02,-0.0044
AAPL,2026-02-02,-0.0012222968180226569
AAPL,2026-02-02,-0.0044
AAPL,2026-02-02,0.0036228704234977493
AAPL,2026-02-02,-0.001903838942835177
AAPL,2026-02-03,-0.0016598422850304588
AAPL,2026-02-03,-0.00022659415055181238
AAPL,2026-02-03,-0.00400449871908166
AAPL,2026-02-03,-0.0044
AAPL,2026-02-03,-0.0044
AAPL,2026-02-03,0.0010322733987841953
AAPL,2026-02-03,-0.0005072260775600918
AAPL,2026-02-03,-0.0044
AAPL,2026-02-03,0.0021786021744853883
AAPL,2026-02-03,-0.0015659502349528787
AAPL,2026-02-03,0.00010508413433643664
AAPL,2026-02-03,-0.0044
AAPL,2026-02-04,-0.002526450647548575
AAPL,2026-02-04,0.0046
AAPL,2026-02-04,0.0046
AAPL,2026-02-04,-0.002197351038121351
AAPL,2026-02-04,-0.0010002364447862188
