label,n,wr,avg_pnl,total_pnl,pf,tpd
SPY | Baseline (no filter),131,26.717557251908396,0.03647166214008387,4.777787740350987,1.7382001004723004,1.8985507246376812
SPY | Test A - 5m trend,98,29.591836734693878,0.035643837152939735,3.4930960409880942,1.6015419000631181,1.6333333333333333
SPY | Test B - 10m trend,86,29.069767441860467,0.044623388472685745,3.8376114086509743,1.911029769791947,1.5636363636363637
SPY | Test C - 5m+10m agree,80,28.749999999999996,0.03402478158576182,2.7219825268609457,1.5757132968152334,1.509433962264151
QQQ | Baseline (no filter),134,28.35820895522388,0.05107258005723522,6.84372572766952,1.7474356407551876,1.8356164383561644
QQQ | Test A - 5m trend,94,31.914893617021278,0.07325912125459753,6.886357397932168,2.2052481888594153,1.46875
QQQ | Test B - 10m trend,87,34.48275862068966,0.08945270527634293,7.782385359041834,2.5988088484979244,1.45
QQQ | Test C - 5m+10m agree,81,34.5679012345679,0.09978253529681258,8.082385359041819,3.2037171704959775,1.396551724137931
