date,side,pm_low,ep,gap_pct,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.50%,hit_+0.75%,hit_+1.00%,pm_high
2026-02-05,short,680.63,679.981,-0.8142397273243585,0.18103447008078086,0.49692564939314765,0.18103447008078086,0.545456417164606,0.5597215216307574,0.545456417164606,True,False,False,
2026-02-27,short,682.75,682.32,-0.9023909006499575,0.0996599835854238,0.22496775706412944,0.0996599835854238,0.4645913940672938,0.0996599835854238,0.5026966819087745,False,False,False,
2026-02-27,long,,685.68,-0.9023909006499575,0.05396103138490324,0.21146890677866234,0.05396103138490324,0.21146890677866234,0.08894819740987615,0.21146890677866234,False,False,False,685.53
2026-03-03,short,673.76,673.44,-1.6320009512573896,0.22125207887859483,0.2019482062247416,0.26876930387266257,0.2019482062247416,0.5612972202423506,0.2019482062247416,True,False,False,
2026-03-03,long,,677.36,-1.6320009512573896,0.16091886146215184,0.06791071217669133,0.16091886146215184,0.14615566316286893,0.1668241407818583,0.1889689382307743,False,False,False,677.01
2026-03-06,short,672.06,671.02,-1.1479573112549801,0.1520073917319874,0.17436141992788187,0.1877738368453982,0.31444666328872667,0.1877738368453982,0.6885040684331324,False,False,False,
2026-03-12,short,670.65,670.66,-0.7277568227202069,0.20576745295678817,0.14761578146900203,0.36933766737243545,0.14761578146900203,0.4100438374138908,0.14761578146900203,False,False,False,
2026-03-19,short,656.43,655.83,-0.6818044385317759,0.07776405470929827,0.27751094033513807,0.07776405470929827,0.5092783190765775,0.07776405470929827,0.5550218806702936,False,False,False,
2026-03-19,long,,659.65,-0.6818044385317759,0.00909573258547095,0.3228985067838999,0.00909573258547095,0.49874933676949346,0.00909573258547095,0.5260365345258892,False,False,False,659.59
2026-03-20,short,655.6,655.08,-0.5302949955303707,0.06564083776028327,0.24577150882335186,0.3968980887830528,0.24577150882335186,0.5495511998534565,0.24577150882335186,True,False,False,
2026-03-24,short,651.0,650.8,-0.5314599877825145,0.1413644744929255,0.1286109403810678,0.1413644744929255,0.428042409342351,0.1413644744929255,0.428042409342351,False,False,False,
2026-03-24,long,,655.27,-0.5314599877825145,0.05341309689136123,0.6180658354571329,0.17855235246540704,0.6180658354571329,0.2685915729393976,0.6180658354571329,False,False,False,655.02
2026-03-26,long,,652.33,-0.7594666991355182,0.3525822819738406,0.021461530207101676,0.38324161084113867,0.021461530207101676,0.386307543727865,0.021461530207101676,False,False,False,652.06
2026-04-02,long,,646.85,-1.356609848773861,0.09121125454124324,0.26899590322331435,0.5021566050861864,0.26899590322331435,0.657030223390276,0.26899590322331435,True,False,False,645.95
2026-05-15,long,,740.97,-0.8500855431993175,0.0,0.39677719745739426,0.0040487469128267966,0.40622427358732344,0.23077857403132687,0.40622427358732344,False,False,False,740.3
2026-05-15,short,738.99,738.66,-0.8500855431993175,0.09476619825087751,0.31678986272439713,0.09476619825087751,0.3722957788427694,0.09476619825087751,0.5442287385265185,False,False,False,
2026-06-05,short,752.41,751.91,-0.6208636609820274,0.2713090662446255,0.12102512268756659,0.49008524956443533,0.12102512268756659,0.49008524956443533,0.12102512268756659,False,False,False,
