symbol,date,time,entry_price,rvol,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m
AAPL,2026-04-07,13:31,253.85,3.363165109160637,0.0157963364191451,0.0007086862320268,0.0191057711246799,0.0007086862320268,0.0259208193815244,0.0007086862320268
AMZN,2026-04-30,13:31,268.09,4.080150864912267,0.0380842254466782,0.0058562423066882,0.0396881644223954,0.0058562423066882,0.0396881644223954,0.0058562423066882
MSFT,2026-04-27,13:02,419.95,4.078450062288288,0.0365281581140611,9.524943445653165e-05,0.0365281581140611,0.0082152637218716,0.0365281581140611,0.0082152637218716
MSFT,2026-04-30,13:28,411.62,5.752656401565409,0.0080656916573538,0.0068023905543948,0.0191924590641853,0.0068023905543948,0.0279140955249988,0.0068023905543948
NVDA,2026-02-26,14:31,193.0342,4.490082734488712,0.0216759517225445,0.0003408722392197,0.0252504478481015,0.0003408722392197,0.0386159551001842,0.0003408722392197
NVDA,2026-05-22,13:31,219.62,3.492718569500836,0.0061014479555596,0.00532738366269,0.0123394954922138,0.00532738366269,0.0203078043893999,0.00532738366269
NVDA,2026-06-03,13:32,221.185,3.684214750993794,0.0180165924452382,0.0006555598254854,0.0232357528765512,0.0006555598254854,0.0261997875081945,0.0006555598254854
TSLA,2026-01-02,14:32,455.3148,3.055675153978223,0.0127709444103288,0.000933859386956,0.0127709444103288,0.000933859386956,0.0243892796807835,0.000933859386956
TSLA,2026-01-29,14:34,430.4,3.517579523783836,0.0138475836431226,0.0008364312267658,0.0199581784386616,0.0008364312267658,0.0212360594795538,0.0008364312267658
TSLA,2026-02-17,14:31,409.21,7.06045756110057,0.0043987194838834,0.0092370665428508,0.016153075438039,0.0092370665428508,0.0205273575914566,0.0092370665428508
TSLA,2026-04-08,13:31,354.79,7.132688818588478,0.0040305532850418,0.0062290368950646,0.0061726655204487,0.0063981510189125,0.0211956368556048,0.0063981510189125
TSLA,2026-04-16,13:31,390.145,4.944063420395998,0.0150841353855617,0.0012174960591575,0.0213894833971984,0.0012174960591575,0.0213894833971984,0.0012174960591575
