symbol,trades,win_rate,profit_factor,ev,total_pnl,max_drawdown,longest_loss_streak
AMD,254,0.7283464566929134,2.952518780838725,0.0011564891531521196,0.2937482449006384,-0.012437656054785156,5
AVGO,211,0.7582938388625592,3.2805601649543785,0.0012970380294194726,0.2736750242075087,-0.007481265624999923,3
PLTR,244,0.6721311475409836,2.3682253940095315,0.0009366254115463081,0.22853660041729917,-0.010714751398613302,4
TSLA,261,0.6590038314176245,1.9808056208259375,0.0007511946570000471,0.1960618054770123,-0.010774428606953688,5
NVDA,233,0.6566523605150214,2.167073047955763,0.0007969201010412672,0.18568238354261524,-0.020020448098316945,6
META,186,0.6397849462365591,2.0274165926368273,0.0007405808082846405,0.13774803034094313,-0.014369273195902098,5
MSFT,181,0.6132596685082873,1.9511014770676303,0.0006837143758601957,0.12375230203069543,-0.022120054467632308,5
AMZN,162,0.654320987654321,1.98841015034272,0.0007057649062988503,0.11433391482041375,-0.02016397173646595,5
QQQ,145,0.5241379310344828,1.2482892728286283,0.00020510825705452994,0.02974069727290684,-0.02080915341927839,10
SPY,86,0.5,0.8494594227041183,-0.00011224417467371343,-0.009652999021939355,-0.016441099256110245,5
