label,n,wr,avg_pnl,total_pnl,pf,tpd
QQQ | 14:00-15:30,77,24.675324675324674,0.05922082722894729,4.560003696628941,2.3255827272556826,1.711111111111111
QQQ | 13:30-15:30,102,25.49019607843137,0.05956830423635673,6.0759670321083865,2.246600521035497,1.8888888888888888
SPY | 11:00-12:00,54,33.33333333333333,0.0482080250871307,2.6032333547050577,1.854428017235287,1.3846153846153846
QQQ | 09:30-10:00 + 13:30-15:30,134,28.35820895522388,0.05107281120015355,6.843756700820576,1.7474397709627372,1.8356164383561644
SPY | 11:00-12:00 + 13:30-15:00,131,26.717557251908396,0.03647176874326396,4.777801705367579,1.7382047336113058,1.8985507246376812
QQQ | 09:30-10:00 + 14:00-15:30,109,28.440366972477065,0.048878838214138805,5.32779336534113,1.6899288902544418,1.6515151515151516
QQQ | 13:30-15:00,76,26.31578947368421,0.04531337933188137,3.443816829222984,1.6879136942093815,1.6888888888888889
SPY | 13:30-15:00,77,22.07792207792208,0.028241147411201567,2.1745683506625206,1.634829849275419,1.6041666666666667
SPY | 11:00-12:00 + 13:30-15:30,152,25.0,0.03087135155799982,4.692445436815973,1.6292216695539794,2.026666666666667
QQQ | 11:00-12:00 + 13:30-15:30,150,26.666666666666668,0.043375514362602834,6.5063271543904255,1.6259891591734463,2.112676056338028
QQQ | 11:00-12:00 + 14:00-15:30,125,26.400000000000002,0.03992291055128784,4.99036381891098,1.5569823634544353,1.893939393939394
SPY | 13:30-15:30,99,20.2020202020202,0.021949047586846133,2.1729557110977673,1.5021806117835108,1.8333333333333333
QQQ | 09:30-10:00 + 13:30-15:00,108,29.629629629629626,0.03899635646236271,4.211606497935173,1.4534258981913408,1.6363636363636365
SPY | 11:00-12:00 + 14:00-15:30,130,23.076923076923077,0.022566564690510348,2.9336534097663454,1.446772711902113,1.8840579710144927
QQQ | 11:00-12:00 + 13:30-15:00,124,27.419354838709676,0.031243362512137284,3.874176951505023,1.3680641248279066,1.9076923076923078
QQQ | 09:30-10:30 + 13:30-15:30,176,28.40909090909091,0.026930344271800997,4.739740591836975,1.2879501063497871,2.1204819277108435
QQQ | 09:30-10:30 + 14:00-15:30,151,28.47682119205298,0.02134951825402339,3.2237772563575318,1.2145429677710649,1.9113924050632911
SPY | 10:00-12:00 + 13:30-15:00,220,25.90909090909091,0.013177302619412018,2.899006576270644,1.1858221124724253,2.3157894736842106
QQQ | 09:30-10:00,32,37.5,0.02399342714725591,0.7677896687121891,1.179296432876978,1.103448275862069
SPY | 10:00-12:00 + 13:30-15:30,241,24.896265560165975,0.011674897542402654,2.8136503077190396,1.1696367390243767,2.4343434343434343
SPY | 09:30-10:00 + 13:30-15:00,103,24.271844660194176,0.011016655389293096,1.1347155050971889,1.1629105734310135,1.5846153846153845
SPY | 09:30-10:00 + 13:30-15:30,125,22.400000000000002,0.00906482292425949,1.1331028655324362,1.1440347503491013,1.8115942028985508
QQQ | 09:30-10:30 + 13:30-15:00,150,29.333333333333332,0.014050602593010494,2.107590388951574,1.127021193656833,1.948051948051948
QQQ | 09:45-11:00 + 13:30-15:30,193,25.906735751295333,0.01062329211950837,2.0502953790651155,1.1076286231096424,2.244186046511628
QQQ | 09:30-12:00 + 13:30-15:30,258,27.131782945736433,0.01063567404333065,2.7440039031793075,1.101984720542703,2.6875
SPY | 09:30-12:00 + 13:30-15:00,246,26.422764227642276,0.007557535490672006,1.8591537307053136,1.0971303651868511,2.510204081632653
SPY | 10:00-11:30 + 13:30-15:00,192,23.958333333333336,0.0067732234058045385,1.3004588939144714,1.0945820614271968,2.0210526315789474
SPY | 14:00-15:30,76,15.789473684210526,0.004347632303438,0.330420055061288,1.0938809031269354,1.6888888888888889
SPY | 10:00-11:30 + 13:30-15:30,214,22.897196261682243,0.0060693750203257854,1.2988462543497181,1.088651577253918,2.1616161616161618
SPY | 09:30-12:00 + 13:30-15:30,267,25.468164794007492,0.006643436187841596,1.7737974621537063,1.088133935131092,2.6435643564356437
QQQ | 10:00-12:00 + 13:30-15:30,226,25.663716814159294,0.008744310771978408,1.97621423446712,1.0873511440733725,2.4301075268817205
QQQ | 09:30-15:55,342,25.146198830409354,0.007879608253394786,2.6948260226610166,1.0801907278515135,3.2884615384615383
QQQ | 11:00-12:00,48,29.166666666666668,0.008965835880875817,0.43036012228203924,1.07796880601189,1.411764705882353
QQQ | 09:30-11:00 + 13:30-15:30,213,26.291079812206576,0.007868570838595122,1.676005588620761,1.076098976171845,2.393258426966292
QQQ | 09:30-11:30 + 13:30-15:30,237,26.160337552742618,0.007240083917711723,1.7158998884976784,1.0699393240444257,2.521276595744681
SPY | 10:00-12:00 + 14:00-15:30,219,23.74429223744292,0.004816704477942523,1.0548582806694125,1.06720936459291,2.3297872340425534
SPY | 10:00-12:00,143,27.972027972027973,0.005066001577679191,0.7244382256081242,1.0594994620263811,1.9066666666666667
QQQ | 10:00-11:00 + 13:30-15:30,181,24.30939226519337,0.005017767513307031,0.9082159199085726,1.0511907812269394,2.207317073170732
QQQ | 09:30-12:00 + 14:00-15:30,233,27.038626609442062,0.005270560376394255,1.2280405676998614,1.0482113917932652,2.4526315789473685
QQQ | 10:00-11:30 + 13:30-15:30,205,24.390243902439025,0.004624927901392634,0.94811021978549,1.046815898575008,2.2777777777777777
QQQ | 09:45-11:00 + 14:00-15:30,168,25.595238095238095,0.0031805478784861377,0.5343320435856711,1.03033272968998,2.0240963855421685
QQQ | 10:00-12:00 + 14:00-15:30,201,25.37313432835821,0.0022898054676003675,0.4602508989876739,1.0217204356004297,2.2333333333333334
SPY | 10:00-11:00 + 13:30-15:00,167,23.353293413173652,0.001259092171528909,0.21026839264532782,1.0166355174487858,1.941860465116279
SPY | 10:00-11:00 + 13:30-15:30,189,22.22222222222222,0.0011039986935480165,0.2086557530805751,1.0154088057667487,2.1
SPY | 09:30-11:30 + 13:30-15:00,218,24.770642201834864,0.001195440588757525,0.2606060483491405,1.0150732027974678,2.2244897959183674
SPY | 09:30-11:30 + 13:30-15:30,240,23.75,0.0010791392032682803,0.25899340878438726,1.0142374737637603,2.376237623762376
QQQ | 09:30-11:30 + 14:00-15:30,212,25.943396226415093,0.0009430969481992211,0.19993655301823487,1.0086552275304532,2.2795698924731185
QQQ | 09:30-11:00 + 14:00-15:30,188,26.063829787234045,0.0008512885805389133,0.1600422531413157,1.0077728171887081,2.160919540229885
QQQ | 09:30-12:00 + 13:30-15:00,233,27.467811158798284,0.0003185355615713832,0.07421878584613228,1.0027411472648124,2.478723404255319
SPY | 09:30-12:00 + 14:00-15:30,245,24.489795918367346,6.12466738942015e-05,0.015005435104079368,1.000780113439066,2.5257731958762886
SPY | 09:30-15:55,367,22.3433242506812,-0.000499548617425335,-0.18333434259509795,0.9930642633712997,3.4622641509433962
SPY | 09:30-10:30 + 13:30-15:30,174,22.988505747126435,-0.0011319538783848026,-0.19695997483895566,0.9851316486729367,1.9120879120879122
SPY | 09:30-10:30 + 13:30-15:00,152,24.342105263157894,-0.001285179837330279,-0.1953473352742024,0.9841764087687281,1.7272727272727273
SPY | 09:30-12:00,169,28.402366863905325,-0.0018663586979716462,-0.3154146199572082,0.9799295500943801,2.0864197530864197
SPY | 09:45-11:00 + 13:30-15:30,210,23.333333333333332,-0.0019703332778439335,-0.41376998834722606,0.9747142146999412,2.210526315789474
SPY | 09:45-11:00 + 13:30-15:00,188,24.46808510638298,-0.0021923263233110256,-0.4121573487824728,0.9733440830827363,2.0434782608695654
QQQ | 10:00-11:30 + 14:00-15:30,180,23.88888888888889,-0.0031547395316330845,-0.5678531156939552,0.9698237079786675,2.0689655172413794
