date,side,ep,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.75%
2025-12-15,short,682.12,0.1378056646924375,0.06816982349147244,0.14366973553040788,0.06816982349147244,0.19937840849117658,0.06816982349147244,False,False,False
2025-12-15,short,681.575,0.057954003594629426,0.14818618640648362,0.06382276345230666,0.14818618640648362,0.13864945163775813,0.14818618640648362,False,False,False
2025-12-15,short,680.93,0.08077188550951707,0.07783472603646284,0.22469269969012567,0.07783472603646284,0.24672139573817425,0.07783472603646284,False,False,False
2025-12-15,long,682.27,0.08354463775338943,0.013191258592643943,0.08354463775338943,0.013191258592643943,0.11578993653538387,0.05569642516892073,False,False,False
2025-12-15,long,682.47,0.05421483728222553,0.027840051577366704,0.06447169838966414,0.027840051577366704,0.08645068647704926,0.13187392852432742,False,False,False
2025-12-15,long,682.56,0.04102203469293343,0.04102203469291677,0.07325363338021566,0.04102203469291677,0.07325363338021566,0.16921589310829419,False,False,False
2025-12-16,short,678.35,0.12235571607577814,0.01768998304710025,0.2815655634996636,0.01768998304710025,0.2815655634996636,0.0501216186334535,True,False,False
2025-12-16,short,677.86,0.2094827840556987,0.02507892485173326,0.2094827840556987,0.12244416251143908,0.2094827840556987,0.12244416251143908,False,False,False
2025-12-16,short,677.7,0.18592297476759495,0.03984063745019652,0.18592297476759495,0.14608233731739842,0.18592297476759495,0.14608233731739842,False,False,False
2025-12-16,long,679.21,0.03018212334917437,0.10895010379705969,0.03018212334917437,0.11631159729687096,0.03018212334917437,0.20464951929447245,False,False,False
2025-12-16,long,678.7,0.00884043023426336,0.0591572123176743,0.00884043023426336,0.18270222484161028,0.03536172093708694,0.18270222484161028,False,False,False
2025-12-16,long,678.23,0.05602819102664221,0.06634917358418906,0.05602819102664221,0.086991138699266,0.05602819102664221,0.11058195597363725,False,False,False
2025-12-17,short,677.93,0.16963403301225455,0.0177009425751928,0.4012213650376756,0.0177009425751928,0.4012213650376756,0.0177009425751928,True,False,False
2025-12-17,short,677.36,0.13715011220030318,0.05019487421755519,0.3174087634345071,0.05019487421755519,0.3174087634345071,0.05019487421755519,True,False,False
2025-12-17,short,676.7,0.22018619772425138,0.004433279148806371,0.31919609871436116,0.004433279148806371,0.3709176887838024,0.004433279148806371,True,False,False
2025-12-18,long,678.86,0.08249123530624067,0.026515039919875034,0.19518015496566768,0.026515039919875034,0.2504198214653878,0.026515039919875034,True,False,False
